編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLNKKHOFFAA27CA,28,99.29,商業用,鋼筋混凝土造,79年7月24日,十三層,六層 陽臺
RPQNMLNKKHOFFAA27CA,28,9.81,共有部分,鋼筋混凝土造,79年7月24日,十三層,
RPQNMLNKKHOFFAA27CA,28,8.83,見使用執照,鋼筋混凝土造,79年7月24日,十三層,地下一層
RPXNMLNKKHOFFAA97CA,,115.17,,鋼筋混凝土造,,四層,一層 平台
RPWOMLSKKHOFFAA48CA,11,.07,一般事務所,鋼筋混凝土造,97年5月21日,十四層,一層
RPWOMLSKKHOFFAA48CA,11,.01,共有部分,鋼筋混凝土造,97年5月21日,十四層,
RPWOMLSKKHOFFAA48CA,11,86.84,共有部分,鋼筋混凝土造,97年5月21日,十四層,
RPSOMLMKKHOFFAA47CA,4,137.86,住家用,鋼骨鋼筋混凝土造,104年4月27日,三十三層,二十四層 陽臺 雨遮
RPSOMLMKKHOFFAA47CA,4,35.16,共有部分，本共有部分之項目有緊急昇降機間兼排煙室、進氣、排氣、排煙、排煙室、特別安全梯Ｂ１、Ｂ２樓梯、客梯十五人份、緊急昇降機兼行動不便電梯、消防給水、電氣、集風箱、電梯坑道、梯廳、中繼水箱、陽台、雨遮、樓梯間、電梯機房、自來水箱、客梯六人份、Ｂ梯廳、Ｂ１安全梯、電梯機坑、Ｂ棟自來水箱、Ｂ棟泵浦機房、排煙管道、進氣管道、消防水箱等二十九項。,鋼骨鋼筋混凝土造,104年4月27日,三十三層,
RPSOMLMKKHOFFAA47CA,4,1.94,共有部分，本共有部分之項目有電表室（Ｂ＋Ｃ棟）、台電配電場所（Ｂ＋Ｃ棟）等二項。,鋼骨鋼筋混凝土造,104年4月27日,三十三層,
RPSOMLMKKHOFFAA47CA,4,15.99,共有部分，本共有部分之項目有發電機室、儲油室、進氣機房、進氣管道、排氣機房、排氣管道、機房、門廳、客梯十三人份、Ｃ樓梯、法定機車位、獎勵機車位、獎勵行動不便車位、台電管道間、電信機房、電梯機坑、行動不便車位、消防機房、雨水回收機房、泳池水箱、管委會空間、行動不便坡道、管理員室、蓄水池（雨水儲留沉砂過濾池）、出入口緩衝空間、防災中心、電梯坑道、管委會空間（一）、管委會空間（二）、梯廳、游泳池、陽台、電氣等三十三項。,鋼骨鋼筋混凝土造,104年4月27日,三十三層,
RPSOMLMKKHOFFAA47CA,4,11.76,共有部分，本共有部分之項目有機車車道、汽車車道、停車空間、防空避難室兼停車空間等四項。,鋼骨鋼筋混凝土造,104年4月27日,三十三層,
RPSOMLMKKHOFFAA47CA,4,3.96,共有部分，本共有部分之項目有法定機車位、獎勵機車位二項。,鋼骨鋼筋混凝土造,104年4月27日,三十三層,
RPSOMLMKKHOFFAA47CA,4,28.02,停車空間,鋼骨鋼筋混凝土造,104年4月27日,三十三層,地下二層 地下三層 地下四層
RPSOMLMKKHOFFAA47CA,4,37.08,共有部分，本共有部分之項目有機車車道、汽車車道、停車空間、防空避難室兼停車空間等四項。,鋼骨鋼筋混凝土造,104年4月27日,三十三層,
RPSOMLMKKHOFFAA47CA,4,.91,共有部分，本共有部分之項目有客梯十二人份、Ｃ１安全梯、Ｃ梯廳、停獎專用梯廳四項。,鋼骨鋼筋混凝土造,104年4月27日,三十三層,
RPROMLNKKHOFFAA47CA,47,61.28,住家用,鋼筋混凝土造,60年8月30日,五層,二層 陽臺
RPPPMLLKKHOFFBA27CA,1,87.46,一般事務所（Ｇ２）,鋼筋混凝土造,106年11月27日,十九層,七層 陽臺 雨遮
RPPPMLLKKHOFFBA27CA,1,11.75,本共有部分之項目有梯廳、梯廳（排煙室）及雨遮等３項,鋼筋混凝土造,106年11月27日,十九層,
RPPPMLLKKHOFFBA27CA,1,23.91,本共有部分之項目有特別安全梯、儲藏室、梯廳、排煙室、行動不便者專用電梯、緊急昇降機、進風管道、排風管道、一般安全梯、管委會使用空間（入口門廳）、騎樓、信箱室、水箱、準備室、防災中心、高層建築物緩衝空間、發電機機械排風、發電機機械進風、配電箱、台電配電場所、電錶室、消防管道、自然排風管道、管理員室、消防幫浦室、水表室、雨遮、陽台、屋頂消防水箱、Ｂ梯、Ｄ梯、Ｆ梯、Ｇ梯、裝卸位、機電設備空間（垃圾處理室）、機車停車空間、行動不便者車位、管委會使用空間、防空避難室兼停車空間、電信室、一般安全梯（停獎專用梯）、發電機房、入口門廳及Ｈ梯等４４項,鋼筋混凝土造,106年11月27日,十九層,
RPRNMLQKKHOFFBA77CA,,41.20,住家用,加強磚造,,二層,一層
RPQNMLPKKHOFFBA57CA,3,109.84,住家用,鋼筋混凝土造,105年3月7日,二十一層,十二層 陽臺 雨遮
RPQNMLPKKHOFFBA57CA,3,42.66,本共有部分之項目有防空避難室兼停車空間、車道及停車空間等３項,鋼筋混凝土造,105年3月7日,二十一層,
RPQNMLPKKHOFFBA57CA,3,36.66,本共有部分之項目有騎樓、大廳、安全梯、特別安全梯、緊急升降機、排煙室、乘客兼行動不便人員、廁所、行動不便者通路、６Ｍ╳１２Ｍ緩衝空間、管委會空間、茶水間、儲藏室、防空避難室兼停車空間、排風機房、防災中心、梯廳、進風機房、中繼機房、中繼消防水箱、台電配電室、電錶室、機房、發電機室、資源回收室、電信機房、停等車位、蓄水池、機電空間、雨水回收室、消防泵浦室、泡沫泵浦、消防泵浦、撒水泵浦、中繼屋頂消防水箱、水錶室、屋頂水箱及屋頂消防水箱等３８項,鋼筋混凝土造,105年3月7日,二十一層,
RPQNMLPKKHOFFBA57CA,3,14.15,本共有部分之項目有排煙室、梯廳及陽台等３項,鋼筋混凝土造,105年3月7日,二十一層,
RPPNMLSKKHOFFAA67CA,36,41.70,一般事務所,鋼筋混凝土造,71年11月11日,十二層,二層 陽臺
RPPNMLSKKHOFFAA67CA,36,4.32,共有部分,鋼筋混凝土造,71年11月11日,十二層,
RPPNMLSKKHOFFAA67CA,36,7.50,共有部分,鋼筋混凝土造,71年11月11日,十二層,
RPVNMLTKKHOFFAA38CA,35,64.33,集合住宅,鋼筋混凝土造,72年7月28日,七層,六層 陽臺
RPVNMLTKKHOFFAA38CA,35,18.02,共有部分,鋼筋混凝土造,72年7月28日,十二層,
RPRRMLSJLHOFFBA38CA,,63.28,住家用,鋼筋混凝土造,107年11月29日,十四層,十三層 陽臺
RPRRMLSJLHOFFBA38CA,,14.01,本共有部分之項目有：排煙室、緊急昇降機、供行動不便者使用昇降機、梯廳、安全梯（Ａ梯）及戶外安全梯（Ｂ梯）等６項,鋼筋混凝土造,107年11月29日,十四層,
