編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNKKHOFFAA27CA,木柵段一小段,20.01,都市：商,10000,121,持分移轉,04410000
RPTNMLNKKHOFFAA57CA,福和段一小段,97.00,都市：其他:道路用地,2,1,持分移轉,05510000
RPXNMLNKKHOFFAA97CA,萬隆段一小段,51.25,都市：住,4,1,持分移轉,06200000
RPTNMLNKKHOFFAA57CA,福和段一小段,27.00,都市：其他:道路用地,2,1,持分移轉,05560000
RPWOMLSKKHOFFAA48CA,華興段二小段,1.19,都市：住,10000,2,持分移轉,00590000
RPSOMLMKKHOFFAA47CA,景美段五小段,19.21,都市：商,100000,453,持分移轉,00420000
RPROMLNKKHOFFAA47CA,萬隆段一小段,22.36,都市：住,100000,246,持分移轉,06020000
RPROMLNKKHOFFAA47CA,萬隆段一小段,.41,都市：其他:堤防用地,100000,246,持分移轉,06020002
RPPPMLLKKHOFFBA27CA,漢中段二小段,9.94,都市：商,10000,21,持分移轉,09770000
RPRNMLQKKHOFFBA77CA,華中段二小段,24.00,都市：住,2,1,持分移轉,02720000
RPQNMLPKKHOFFBA57CA,龍山段一小段,14.29,都市：商,100000,1162,持分移轉,03200000
RPPNMLSKKHOFFAA67CA,河堤段四小段,4.05,都市：商,10000,62,持分移轉,00440000
RPVNMLTKKHOFFAA38CA,萬芳段一小段,47.99,都市：住,51885,48,持分移轉,00090000
RPVNMLTKKHOFFAA38CA,萬芳段一小段,.02,都市：其他:道路用地,51885,48,持分移轉,00090003
RPVNMLTKKHOFFAA38CA,萬芳段一小段,.00,都市：其他:道路用地,51885,48,持分移轉,00090004
RPRRMLSJLHOFFBA38CA,延平段一小段,9.02,都市：商,10000,112,持分移轉,03730000
RPPNMLQLKHOFFAA57CA,興泰段三小段,.13,都市：住,10000,1,持分移轉,03770009
RPTPMLQJLHOFFBA18CA,延平段一小段,18.03,都市：商,10000,224,持分移轉,03730000
RPTRMLSJLHOFFBA58CA,延平段一小段,9.02,都市：商,10000,112,持分移轉,03730000
RPVOMLLKKHOFFCA87CA,東湖段三小段,18.90,都市：住,10000,261,持分移轉,00110019
RPVOMLLKKHOFFCA87CA,東湖段三小段,.18,都市：其他:道路用地(公共設施用地)【64/7/2】,10000,261,持分移轉,00110020
RPQPMLLKKHOFFCA47CA,文德段二小段,27.64,都市：住,10000,100,持分移轉,01660000
RPSPMLLKKHOFFCA67CA,石潭段四小段,75.52,都市：住,10000,925,持分移轉,03050000
RPWOMLLKKHOFFCA97CA,碧湖段三小段,15.08,都市：住,10000,17,持分移轉,01230000
RPWOMLLKKHOFFCA97CA,碧湖段三小段,.00,都市：其他:道路護坡用地(公共設施用地)【78/7/27】,10000,17,持分移轉,01230001
RPQPMLMKKHOFFCA57CA,正義段二小段,9.11,都市：商,1000,44,持分移轉,03320000
RPRNMLTKLHOFFBA18CA,青年段一小段,38.33,都市：住,100000,740,持分移轉,01240004
RPQQMLSJLHOFFBA18CA,延平段一小段,9.82,都市：商,10000,122,持分移轉,03730000
RPOOMLPKKHOFFCA57CA,潭美段三小段,3.95,都市：工,60000,36,持分移轉,05390000
RPUQMLSJLHOFFBA58CA,延平段一小段,18.84,都市：商,10000,234,持分移轉,03730000
RPXPMLSJLHOFFBA78CA,延平段一小段,18.84,都市：商,10000,234,持分移轉,03730000
RPTPMLSJLHOFFBA38CA,延平段一小段,18.84,都市：商,10000,234,持分移轉,03730000
RPPOMLTKLHOFFBA08CA,漢中段二小段,11.83,都市：商,10000,25,持分移轉,09770000
RPPNMLOKLHOFFBA47CA,漢中段二小段,15.14,都市：商,10000,32,持分移轉,09770000
RPUNMLMKLHOFFCA87CA,中山段一小段,13.06,都市：其他:道路用地,42850000,163200,持分移轉,00020000
RPQNMLTKKHOFFCA08CA,吉林段四小段,9.39,都市：商,1000000,5578,持分移轉,06420000
RPWOMLLKKHOFFDA08CA,三興段一小段,8.42,都市：商,10000,105,持分移轉,05780000
RPSOMLSKKHOFFCA28CA,潭美段五小段,34.21,都市：住,100000,4985,持分移轉,01660000
RPROMLSKKHOFFCA18CA,潭美段五小段,28.04,都市：住,100000,4087,持分移轉,01660000
RPPPMLLKKHOFFDA47CA,玉成段四小段,11.00,都市：住,9,1,持分移轉,04470000
RPTNMLMKKHOFFDA77CA,寶清段三小段,10.64,都市：住,10000,154,持分移轉,07150000
RPSOMLMKKHOFFDA77CA,西松段三小段,1.31,都市：住,16,1,持分移轉,04910000
RPSOMLMKKHOFFDA77CA,西松段三小段,6.88,都市：住,16,1,持分移轉,04920000
RPURMLMKKHOFFDA28CA,逸仙段二小段,9.40,都市：住,5,1,持分移轉,03290000
RPURMLMKKHOFFDA28CA,逸仙段二小段,21.40,都市：住,5,1,持分移轉,03300000
RPURMLMKKHOFFDA28CA,逸仙段二小段,.20,都市：其他:道路用地(公共設施用地)【62/5/29】,5,1,持分移轉,03300001
RPURMLMKKHOFFDA28CA,逸仙段二小段,1.40,都市：其他:道路用地(公共設施用地)【62/5/29】,5,1,持分移轉,03310000
RPSOMLNKKHOFFDA87CA,三興段二小段,25.00,都市：住,4,1,持分移轉,01470000
RPXNMLTKKHOFFDA88CA,祥和段三小段,2.75,都市：住,40,2,持分移轉,00290000
RPXNMLTKKHOFFDA88CA,祥和段三小段,17.50,都市：住,120,12,持分移轉,00300000
RPOOMLTKKHOFFDA08CA,吳興段一小段,37.69,都市：住,10000,385,持分移轉,01860000
RPOOMLTKKHOFFDA08CA,吳興段一小段,.38,都市：其他:道路用地,10000,385,持分移轉,01870000
RPOOMLTKKHOFFDA08CA,吳興段一小段,.62,都市：其他:道路用地,10000,385,持分移轉,01880000
RPRNMLOKKHOFFDA77CA,虎林段四小段,33.02,都市：住,100000,1875,持分移轉,09410000
RPQOMLLLKHOFFDA57CA,敦化段一小段,9.50,都市：住,8,1,持分移轉,06470000
RPQOMLLLKHOFFDA57CA,敦化段一小段,24.75,都市：住,8,1,持分移轉,06540000
RPQOMLLLKHOFFDA57CA,敦化段一小段,14.33,都市：住,60000,495,持分移轉,06550000
RPQOMLLKKHOFFEA57CA,翠山段一小段,97.00,都市：住,16,1,持分移轉,03750000
RPROMLLKKHOFFEA67CA,天母段四小段,21.12,都市：住,80,5,持分移轉,05850000
RPPOMLMKKHOFFEA57CA,光華段四小段,.15,都市：其他:道路用地,72,1,持分移轉,05350001
RPPOMLMKKHOFFEA57CA,光華段四小段,1.56,都市：其他:道路用地,16,1,持分移轉,05700001
RPWOMLNKKHOFFEA38CA,溫泉段二小段,11.06,都市：住,450,7,持分移轉,03720000
RPUNMLNKKHOFFEA08CA,大業段一小段,16.21,都市：商,1000000,8281,持分移轉,01780000
RPQNMLOKKHOFFEA77CA,新民段三小段,6.36,都市：住,10000,25,持分移轉,01300000
RPXNMLOKKHOFFEA48CA,光華段四小段,15.72,都市：住,100000,904,持分移轉,08050000
RPUOMLOKKHOFFEA28CA,天母段三小段,26.20,都市：商,10000,523,持分移轉,03270000
RPQOMLSKKHOFFEA28CA,振興段一小段,125.00,都市：住,1,1,全筆移轉,08310000
RPPQMLLLLHOFFEA87CA,行義段一小段,88.29,都市：住,100000,5702,持分移轉,05590000
RPVNMLOJLHOFFEA28CA,三玉段二小段,1.00,都市：其他:道路用地,3,1,持分移轉,04080001
RPVNMLOJLHOFFEA28CA,三玉段二小段,2.33,都市：其他:道路用地,3,1,持分移轉,04080002
RPVNMLOJLHOFFEA28CA,三玉段二小段,2.67,都市：其他:道路用地,3,1,持分移轉,04080003
RPVNMLOJLHOFFEA28CA,三玉段二小段,2.67,都市：其他:道路用地,3,1,持分移轉,04080004
RPVNMLOJLHOFFEA28CA,三玉段二小段,2.33,都市：其他:道路用地,3,1,持分移轉,04080005
RPVNMLOJLHOFFEA28CA,三玉段二小段,2.33,都市：其他:道路用地,3,1,持分移轉,04080006
RPVNMLOJLHOFFEA28CA,三玉段二小段,2.33,都市：其他:道路用地,3,1,持分移轉,04080007
RPVNMLOJLHOFFEA28CA,三玉段二小段,3.67,都市：其他:道路用地,3,1,持分移轉,04080008
RPVNMLOJLHOFFEA28CA,三玉段二小段,1.33,都市：其他:道路用地,3,1,持分移轉,04080009
RPVNMLOJLHOFFEA28CA,三玉段二小段,2.00,都市：其他:道路用地,3,1,持分移轉,04080010
RPVNMLOJLHOFFEA28CA,三玉段二小段,5.00,都市：其他:道路用地,3,1,持分移轉,04080011
RPVNMLOJLHOFFEA28CA,三玉段二小段,1.33,都市：其他:道路用地,3,1,持分移轉,04660001
RPVNMLOJLHOFFEA28CA,三玉段二小段,1.00,都市：其他:道路用地,3,1,持分移轉,04660002
RPVNMLOJLHOFFEA28CA,三玉段二小段,1.00,都市：其他:道路用地,3,1,持分移轉,04660003
RPVNMLOJLHOFFEA28CA,三玉段二小段,5.00,都市：其他:道路用地,3,1,持分移轉,04660004
RPVNMLOJLHOFFEA28CA,三玉段二小段,4.00,都市：其他:道路用地,3,1,持分移轉,04760001
RPVNMLOJLHOFFEA28CA,三玉段二小段,.33,都市：其他:道路用地,3,1,持分移轉,04760002
RPSNMLMKKHOFFFA87CA,仁愛段四小段,23.33,都市：住,144200,4200,持分移轉,01720000
RPSNMLMKKHOFFFA87CA,仁愛段四小段,1.31,都市：其他:道路用地(公共設施用地)【61/3/27】,144200,4200,持分移轉,01730000
RPTNMLMKKHOFFFA97CA,大安段三小段,19.94,都市：住,90827,36,持分移轉,02980000
RPSNMLTKKHOFFCA28CA,吉林段四小段,10.73,都市：商,1000000,6377,持分移轉,06420000
RPRNMLOKKHOFFFA97CA,仁愛段三小段,4.29,都市：商,10000,268,持分移轉,04450000
RPRNMLOKKHOFFFA97CA,仁愛段三小段,25.73,都市：住,10000,268,持分移轉,04450003
RPRNMLTKKHOFFCA18CA,吉林段四小段,11.39,都市：商,1000000,6769,持分移轉,06420000
RPWNMLOKKHOFFAA08DA,興泰段一小段,49.59,都市：住,10000,88,持分移轉,00050000
