編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLLKLHOFFCA77CB,長安段四小段,8.27,都市：商,10000,156,持分移轉,00040000
RPTNMLLKLHOFFCA77CB,長安段四小段,1.75,都市：商,10000,156,持分移轉,00110000
RPTNMLLKLHOFFCA77CB,長安段四小段,1.34,都市：商,10000,156,持分移轉,00110001
RPXNMLOJLHOFFEA58CB,芝山段一小段,98.91,都市：住,10000,301,持分移轉,05720000
RPXNMLOJLHOFFEA58CB,芝山段一小段,.57,都市：住,10000,301,持分移轉,06190000
RPXOMLLKLHOFFBA18CB,雙園段三小段,11.03,都市：住,1000000,7048,持分移轉,08880000
RPROMLLKLHOFFBA57CB,雙園段三小段,16.48,都市：住,1000000,10531,持分移轉,08880000
RPTOMLLKLHOFFBA77CB,雙園段三小段,16.11,都市：住,1000000,10292,持分移轉,08880000
RPPPMLLKLHOFFBA47CB,雙園段三小段,15.70,都市：住,1000000,10033,持分移轉,08880000
RPVOMLLKLHOFFBA97CB,雙園段三小段,11.40,都市：住,1000000,7287,持分移轉,08880000
RPWOMLLKLHOFFBA08CB,雙園段三小段,11.40,都市：住,1000000,7287,持分移轉,08880000
RPVPMLLKLHOFFBA08CB,雙園段三小段,16.08,都市：住,1000000,10272,持分移轉,08880000
RPRQMLLKLHOFFBA77CB,雙園段三小段,16.85,都市：住,1000000,10766,持分移轉,08880000
RPWPMLLKLHOFFBA18CB,雙園段三小段,16.94,都市：住,1000000,10826,持分移轉,08880000
RPQQMLLKLHOFFBA67CB,雙園段三小段,21.55,都市：住,1000000,13773,持分移轉,08880000
RPQPMLLKLHOFFBA57CB,雙園段三小段,21.93,都市：住,1000000,14013,持分移轉,08880000
RPRPMLLKLHOFFBA67CB,雙園段三小段,21.15,都市：住,1000000,13514,持分移轉,08880000
RPOQMLLKLHOFFBA47CB,雙園段三小段,16.11,都市：住,1000000,10292,持分移轉,08880000
RPPQMLLKLHOFFBA57CB,雙園段三小段,16.11,都市：住,1000000,10292,持分移轉,08880000
RPUPMLLKLHOFFBA97CB,雙園段三小段,16.11,都市：住,1000000,10292,持分移轉,08880000
RPSPMLLKLHOFFBA77CB,雙園段三小段,27.01,都市：住,1000000,17257,持分移轉,08880000
RPTQMLLKLHOFFBA97CB,雙園段三小段,16.88,都市：住,1000000,10787,持分移轉,08880000
RPVQMLLKLHOFFBA18CB,雙園段三小段,21.15,都市：住,1000000,13514,持分移轉,08880000
RPSQMLLKLHOFFBA87CB,雙園段三小段,21.93,都市：住,1000000,14013,持分移轉,08880000
RPQRMLLKLHOFFBA77CB,雙園段三小段,16.85,都市：住,1000000,10766,持分移轉,08880000
RPXQMLLKLHOFFBA38CB,雙園段三小段,21.93,都市：住,1000000,14013,持分移轉,08880000
RPSRMLLKLHOFFBA97CB,雙園段三小段,16.88,都市：住,1000000,10787,持分移轉,08880000
RPXRMLLKLHOFFBA48CB,雙園段三小段,16.48,都市：住,1000000,10528,持分移轉,08880000
RPURMLLKLHOFFBA18CB,雙園段三小段,21.81,都市：住,1000000,13939,持分移轉,08880000
RPTRMLLKLHOFFBA08CB,雙園段三小段,21.93,都市：住,1000000,14013,持分移轉,08880000
RPPRMLLKLHOFFBA67CB,雙園段三小段,21.55,都市：住,1000000,13773,持分移轉,08880000
RPORMLLKLHOFFBA57CB,雙園段三小段,21.55,都市：住,1000000,13773,持分移轉,08880000
RPOSMLLKLHOFFBA67CB,雙園段三小段,17.25,都市：住,1000000,11025,持分移轉,08880000
RPVRMLLKLHOFFBA28CB,雙園段三小段,21.93,都市：住,1000000,14013,持分移轉,08880000
RPRSMLLKLHOFFBA97CB,雙園段三小段,16.88,都市：住,1000000,10787,持分移轉,08880000
RPUSMLLKLHOFFBA28CB,雙園段三小段,21.81,都市：住,1000000,13939,持分移轉,08880000
RPPSMLLKLHOFFBA77CB,雙園段三小段,17.25,都市：住,1000000,11025,持分移轉,08880000
RPVSMLLKLHOFFBA38CB,雙園段三小段,17.25,都市：住,1000000,11025,持分移轉,08880000
RPQTMLLKLHOFFBA97CB,雙園段三小段,16.74,都市：住,1000000,10695,持分移轉,08880000
RPSSMLLKLHOFFBA08CB,雙園段三小段,21.44,都市：住,1000000,13700,持分移轉,08880000
RPOTMLLKLHOFFBA77CB,雙園段三小段,17.25,都市：住,1000000,11025,持分移轉,08880000
RPRTMLLKLHOFFBA08CB,雙園段三小段,12.49,都市：住,1000000,7984,持分移轉,08880000
RPWSMLLKLHOFFBA48CB,雙園段三小段,21.81,都市：住,1000000,13939,持分移轉,08880000
RPTTMLLKLHOFFBA28CB,雙園段三小段,7.82,都市：住,1000000,4999,持分移轉,08880000
