鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,建物,臺北市中山區林森北路585號8樓之7,0.0,商,,,1080201,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,105.34,2,2,2,有,有,有,72000,684,,0.0,0,含管理費、稅金或水電等費用。；,RPSNMLLKKHOFFCA67CC
中山區,建物,臺北市中山區林森北路107巷65號6樓,0.0,商,,,1080201,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010210,98.03,2,2,2,有,有,有,48000,490,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPUNMLLKKHOFFCA87CC
中山區,建物,臺北市中山區撫順街15號5樓,0.0,商,,,1080205,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000630,111.96000000000001,2,2,2,有,有,有,60000,536,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPVNMLLKKHOFFCA97CC
中山區,建物,臺北市中山區林森北路363號10樓之2,0.0,商,,,1080211,土地0建物1車位0,十層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980916,144.09,2,2,2,有,有,有,72000,500,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPXNMLLKKHOFFCA18CC
內湖區,建物,臺北市內湖區港墘路１２７巷１６弄５號四樓,0.0,住,,,1080117,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860319,77.21000000000001,1,2,1,有,有,有,32000,414,,0.0,0,,RPXOMLLKKHOFFCA28CC
中山區,建物,臺北市中山區松江路170巷27號2樓,0.0,商,,,1080114,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950208,140.1,3,2,2,有,有,有,84067,600,,0.0,0,含管理費、稅金或水電等費用。；,RPOPMLLKKHOFFCA47CC
中山區,建物,臺北市中山區德惠街１６０號,0.0,住,,,1080116,土地0建物1車位4,一層,7,辦公商業大樓,商業用,鋼筋混凝土造,0760817,146.35999999999999,3,2,1,有,無,無,70383,481,一樓平面,0.0,0,四個車位總面積為26.01平方公尺無法分算,RPPPMLLKKHOFFCA57CC
中山區,建物,臺北市中山區松江路38巷33號,0.0,住,,,1071220,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0831205,158.79,2,1,2,有,無,無,50000,315,,0.0,0,做店辦使用,RPRPMLLKKHOFFCA77CC
中山區,建物,臺北市中山區松江路１２９巷５之１號,0.0,住,,,1080118,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),,加強磚造,,121.94,4,2,2,有,無,有,33000,271,,0.0,0,,RPTPMLLKKHOFFCA97CC
