編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLLKKHOFFCA87CC,7,52.63,一般事務所,鋼筋混凝土造,101年2月10日,七層,
RPUNMLLKKHOFFCA87CC,7,23.88,本共有部分之項目有管委會室、梯廳、樓梯間、受電箱、台電配電室、發電機室排風進風口、緊急發電機室、機房、電梯、自設機車、消防幫浦室、水箱、廢水處理機房、電梯機房、消防水箱等１５項。,鋼筋混凝土造,101年2月10日,七層,
RPUNMLLKKHOFFCA87CC,7,1.31,本共有部分之項目有梯廳、電梯等２項。,鋼筋混凝土造,101年2月10日,七層,
RPUNMLLKKHOFFCA87CC,7,7.35,本共有部分之項目有走道等１項。,鋼筋混凝土造,101年2月10日,七層,
RPUNMLLKKHOFFCA87CC,7,12.86,本共有部分之項目有管理員室、汽車升降車道、機車升降車道、機車通道、汽車停車空間、防空避難室兼汽車停車空間等６項。,鋼筋混凝土造,101年2月10日,七層,
RPSNMLLKKHOFFCA67CC,8,68.89,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPSNMLLKKHOFFCA67CC,8,16.72,本共有部分之項目有機車坡道、電梯廳、廳廊、門廳、陽台、管委會使用空間、停獎管理員室、消防給水、電氣弱電、消防水箱、戶外安全梯、發電機室排風管道、發電機室進風管道、停車空間排風管道、停車空間進風管道、機車位、台電配電室、弱電管道、機車坡道、行動不便機車位、機電設備空間、汙物處理室、安全梯、設備空間、停車空間排風機室、行動不便停車車位、機房、汙物處理室、安全梯、設備空間、停車空間排風機室、停車空間進風機室、蓄水池、進風機室、排風機室、排風管道、進風機室、消防泵浦室等３８項。,鋼筋混凝土造,100年7月26日,十三層,
RPSNMLLKKHOFFCA67CC,8,19.73,本共有部分之項目有安全梯、排煙室兼梯廳、排風管道、進風管道、走廊、梯廳、屋頂水箱（２）、蓄水池（Ｂ）等８項。,鋼筋混凝土造,100年7月26日,十三層,
RPWNMLLKKHOFFDA18CC,15,80.94,住家用,鋼筋混凝土造,92年8月6日,六層,
