編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLLKKHOFFCA87CC,正義段一小段,.00,都市：商,,,,01500000
RPSNMLLKKHOFFCA67CC,德惠段四小段,.00,都市：商,,,,03500000
RPWNMLLKKHOFFDA18CC,永吉段二小段,.00,都市：住,,,,00560000
RPTOMLLKKHOFFDA97CC,福德段一小段,.00,非都市： ; 非都市編定：,,,,05510000
RPXOMLLKKHOFFDA38CC,民生段,45.47,都市：住,,,,00230003
RPQPMLLKKHOFFDA77CC,敦化段一小段,.00,都市：住,,,,06270000
RPRPMLLKKHOFFDA87CC,雅祥段四小段,.00,都市：商,,,,08150000
RPRPMLLKKHOFFDA87CC,雅祥段四小段,.00,都市：商,,,,08150001
RPSPMLLKKHOFFDA97CC,玉成段四小段,.00,都市：住,,,,07260000
RPQNMLLKKHOFFEA67CC,天山段二小段,.00,都市：其他:道路用地(公共設施用地),,,,02260000
RPQNMLLKKHOFFEA67CC,天山段二小段,.00,都市：住,,,,02320000
RPRPMLLKKHOFFCA77CC,長安段四小段,.00,都市：住,,,,05180000
RPXNMLLKKHOFFCA18CC,吉林段四小段,.00,都市：商,,,,05470000
RPOPMLLKKHOFFCA47CC,吉林段二小段,.00,都市：商,,,,02480000
RPPPMLLKKHOFFCA57CC,德惠段二小段,.00,都市：住,,,,04470000
RPVNMLLKKHOFFCA97CC,中山段二小段,.00,都市：商,,,,00890000
RPTPMLLKKHOFFCA97CC,長春段三小段,.00,都市：住,,,,02200000
RPXOMLLKKHOFFCA28CC,碧湖段五小段,.00,都市：住,,,,00160000
RPXNMLLKKHOFFFA48CC,大安段三小段,.00,都市：其他:敦化南北路特定專用區,,,,00020000
RPUNMLMKKHOFFAA77CC,南海段三小段,.00,都市：住,,,,08070000
RPPNMLMKKHOFFDA57CC,信義段二小段,.00,都市：商,,,,00010000
RPOOMLLKKHOFFFA67CC,仁愛段一小段,.00,都市：其他:敦化南北路特定專用區,,,,04890000
RPUOMLLKKHOFFEA18CC,百齡段三小段,.00,都市：工,,,,02330009
RPWOMLLKKHOFFEA38CC,文林段五小段,.00,都市：住,,,,02570000
RPRNMLLKKHOFFEA77CC,天山段二小段,.00,都市：商,,,,02940000
RPVOMLLKKHOFFEA28CC,天母段三小段,.00,都市：商,,,,03100000
RPQNMLMKKHOFFBA47CC,玉泉段一小段,.00,都市：商,,,,08370000
RPXNMLMKKHOFFBA18CC,城中段三小段,.00,都市：商,,,,01160001
RPUOMLLKKHOFFBA87CC,成功段一小段,.00,都市：商,,,,01330000
RPUOMLLKKHOFFBA87CC,成功段一小段,.00,都市：商,,,,01330001
RPRNMLMKKHOFFDA87DC,經貿段,49.98,都市：住,,,,00660001
RPOOMLMKKHOFFCA47CC,康寧段三小段,.00,非都市： ; 非都市編定：,,,,02320000
RPXOMLMKKHOFFCA38CC,正義段四小段,.00,都市：商,,,,03230000
RPSPMLMKKHOFFCA97CC,石潭段四小段,.00,都市：商,,,,03230000
RPPPMLMKKHOFFCA67CC,西湖段四小段,52.28,都市：其他:科技工業區(A區),,,,01170000
RPUNMLMKKHOFFCA97CC,長安段一小段,.00,都市：商,,,,00330000
RPWOMLMKKHOFFCA28CC,中山段四小段,111.28,都市：商,,,,06230000
RPXNMLNKKHOFFCA38CC,金泰段,.00,都市：商,,,,00870000
RPWPMLNKKHOFFCA48CC,文德段一小段,.00,都市：住,,,,01030000
