編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLOKKHOFFAB37CA,50,127.61,商業用,見其他登記事項,58年1月29日,二層,一層 二層 騎樓
RPXNMLNKKHOFFAB08CA,50,89.80,住家用,見其他登記事項,57年10月19日,二層,一層 二層
RPSOMLPKKHOFFAB87CA,20,51.85,住家用,鋼筋混凝土造,87年9月30日,十二層,六層 陽台
RPSOMLPKKHOFFAB87CA,20,14.09,共有部份,鋼筋混凝土造,87年9月30日,十三層,
RPRNMLMKKHOFFAB37CA,50,94.50,商業用,見其他登記事項,57年12月4日,二層,一層 二層 騎樓
RPVNMLMKKHOFFBB87CA,24,34.33,商業用,鋼筋混凝土造,83年8月10日,十二層,五層 陽台
RPVNMLMKKHOFFBB87CA,24,19.01,共有部份,鋼筋混凝土造,83年8月10日,十二層,
RPXNMLMKKHOFFBB08CA,40,79.83,住家用,鋼筋混凝土造,68年3月26日,五層,五層 陽台
RPUOMLMKKHOFFBB87CA,48,139.18,住家用,鋼筋混凝土加強磚造,60年1月20日,二層,一層 二層
RPQNMLNKKHOFFBB47CA,42,22.54,商業用,鋼筋混凝土造,65年11月22日,十層,六層
RPTPMLOKKHOFFBB08CA,37,75.62,住家用,鋼筋混凝土造,71年2月26日,五層,四層 陽台
RPXNMLOKKHOFFBB28CA,25,97.91,住家用,鋼筋混凝土造,82年10月28日,十二層,三層 陽台
RPXNMLOKKHOFFBB28CA,25,11.53,共有部份,鋼筋混凝土造,82年10月28日,十二層,
RPUOMLNKKHOFFBB97CA,18,180.23,住家用,鋼筋混凝土造,90年1月20日,五層,一層 二層 三層 四層 五層 陽台
RPUOMLNKKHOFFBB97CA,18,70.34,停車空間,鋼筋混凝土造,90年1月20日,五層,
RPVOMLMKKHOFFBB97CA,39,82.44,商業用,鋼筋混凝土造,68年7月18日,五層,一層 騎樓
RPRNMLTKKHOFFBB18CA,33,70.45,住家用,鋼筋混凝土造,74年9月23日,五層,五層 陽台 花台
RPUPMLOKKHOFFBB18CA,8,179.95,住家用,鋼筋混凝土造,100年1月27日,十二層,二層 陽台 雨遮
RPRNMLTKKHOFFBB18CA,33,11.67,共有部份,鋼筋混凝土造,74年9月23日,五層,
RPUPMLOKKHOFFBB18CA,8,109.13,本共有部分係依使用執照之建築概要表記載項目有：停車空間、梯廳、梯間、消防機房、水箱、污水機房、水箱室、機房、電信機房、網路機房、防空避難室兼停車空間、台電配電室、發電機房、電錶室等１４項,鋼筋混凝土造,100年1月27日,十二層,
RPUPMLOKKHOFFBB18CA,8,69.48,本共有部分係依使用執照之建築概要表記載項目有：人行道兼頂蓋型開放空間、梯廳、門廳、梯間、機車停車空間、視廳室、多功能使用室、閱覽室、兒童遊戲室、公共服務空間、頂蓋型開放空間、廊道、屋脊裝飾物、水錶室、水箱、機械室等１６項,鋼筋混凝土造,100年1月27日,十二層,
RPVOMLPKKHOFFBB28CA,1,70.28,集合住宅,鋼筋混凝土造,107年5月2日,十一層,六層 陽台 雨遮
RPVOMLPKKHOFFBB28CA,1,72.89,本共有部分係依使用執照之建築概要表記載項目有：梯廳，昇降機，樓梯間，發電機房，電信室，防空避難室兼停車空間，台電配電室，電錶區，車道，消防機房，水箱，停車空間，管委會使用空間，空調機房，門廊，水錶室，機房等１７項,鋼筋混凝土造,107年5月2日,十一層,
RPVPMLPKKHOFFBB38CA,37,68.95,住家用,鋼筋混凝土造,70年12月12日,八層,八層 陽台 花台
RPVPMLPKKHOFFBB38CA,37,14.63,共有部份,鋼筋混凝土造,70年12月12日,八層,
RPVPMLPKKHOFFBB38CA,37,10.67,共有部份,鋼筋混凝土造,70年12月12日,八層,
RPTPMLLKKHOFFCB87CA,4,160.57,集合住宅,鋼筋混凝土造,104年4月27日,二十九層,十三層 陽台 雨遮
RPTPMLLKKHOFFCB87CA,4,65.82,本共有部分係依使用執照之建築物概要表記載項目有：停車空間、安全梯、緊急昇降機間、排煙室兼梯廳、管道間、車道、汙水機房、消防機房、自來水水箱、停車空間兼防空避難室、緊急發電機室、電信機房、機械室、雨水回收水箱、電錶室、台電配電室等１６項。,鋼筋混凝土造,104年4月27日,二十九層,
RPTPMLLKKHOFFCB87CA,4,53.28,本共有部分係依使用執照之建築物概要表記載項目有：緊急昇降機間、特別安全梯、管道間、車道、管委會空間、梯廳兼排煙室、垃圾處理間、外廊、頂蓋型開放空間、雨水回收水箱、防災中心、室外梯、辦公室、梯廳、中繼機房、中繼水箱、緊急昇降機、梯間、機房、水箱等２０項。,鋼筋混凝土造,104年4月27日,二十九層,
RPTNMLNKKHOFFCB87CA,5,83.77,住家用,鋼筋混凝土造,103年5月20日,十四層,三層 陽台 雨遮
