編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKKHOFFAB37CA,城隍段四小段,81.00,都市：住,1,1,全筆移轉,00020019
RPXNMLNKKHOFFAB08CA,頂橋子頭段,59.00,都市：住,1,1,全筆移轉,00850092
RPXNMLNKKHOFFAB08CA,頂橋子頭段,13.00,都市：住,1,1,全筆移轉,00850289
RPSOMLPKKHOFFAB87CA,下橋子頭段,10.98,都市：住,100000,51,持分移轉,02310001
RPSNMLMKKHOFFBB57CA,錦村段,26.00,都市：其他:道路用地,1,1,全筆移轉,01900079
RPRNMLMKKHOFFAB37CA,麻園頭段,49.00,都市：住,1,1,全筆移轉,05520000
RPVNMLMKKHOFFBB87CA,中興段,5.08,都市：住,100000,1060,持分移轉,03820000
RPXNMLMKKHOFFBB08CA,錦村段,25.93,都市：住,10000,119,持分移轉,03660000
RPUOMLMKKHOFFBB87CA,乾溝子段,12.00,都市：住,12,1,持分移轉,01410053
RPUOMLMKKHOFFBB87CA,乾溝子段,2.00,都市：其他:道路用地,3,1,持分移轉,01410193
RPTNMLMKKHOFFAB57CA,旱溪段,68.00,都市：其他:道路用地,30,6,持分移轉,03230017
RPTNMLMKKHOFFAB57CA,旱溪段,.60,都市：其他:道路用地,30,6,持分移轉,03230032
RPRNMLMKKHOFFBB47CA,錦村段,25.00,都市：其他:道路用地,1,1,全筆移轉,01900071
RPTPMLOKKHOFFBB08CA,仁美段,.22,都市：住,10000,90,持分移轉,04200001
RPTPMLOKKHOFFBB08CA,仁美段,.03,都市：住,10000,90,持分移轉,04190000
RPTPMLOKKHOFFBB08CA,仁美段,.01,都市：住,10000,90,持分移轉,04190001
RPTPMLOKKHOFFBB08CA,仁美段,.06,都市：住,10000,90,持分移轉,04190002
RPTPMLOKKHOFFBB08CA,仁美段,.06,都市：住,10000,90,持分移轉,04190003
RPTPMLOKKHOFFBB08CA,仁美段,9.42,都市：住,10000,90,持分移轉,04200000
RPTPMLOKKHOFFBB08CA,仁美段,5.58,都市：住,10000,90,持分移轉,04180000
RPTPMLOKKHOFFBB08CA,仁美段,.06,都市：住,10000,90,持分移轉,04180001
RPXNMLOKKHOFFBB28CA,錦村段,14.68,都市：住,10000,49,持分移轉,00740000
RPUOMLNKKHOFFBB97CA,中清段,28.26,都市：住,14,1,持分移轉,05610000
RPUOMLNKKHOFFBB97CA,中清段,49.24,都市：住,1,1,全筆移轉,05610013
RPUOMLNKKHOFFBB97CA,中清段,.05,都市：住,10000,10,持分移轉,05610014
RPVOMLMKKHOFFBB97CA,邱厝子段,24.81,都市：住,75,1,持分移轉,00600002
RPRNMLTKKHOFFBB18CA,東山段,21.25,都市：住,10000,229,持分移轉,00350000
RPUPMLOKKHOFFBB18CA,賴厝?段,3.30,都市：商,10000,262,持分移轉,01450064
RPUPMLOKKHOFFBB18CA,賴厝?段,40.77,都市：住,10000,262,持分移轉,01450087
RPVOMLPKKHOFFBB28CA,北屯段,27.98,都市：住,100000,4008,持分移轉,05420018
RPVPMLPKKHOFFBB38CA,邱厝子段,16.32,都市：住,10000,83,持分移轉,00470000
RPTPMLLKKHOFFCB87CA,大進段,20.47,都市：商,100000,722,持分移轉,08580000
RPTNMLNKKHOFFCB87CA,春安段,18.61,都市：住,100000,757,持分移轉,03450000
RPXNMLOKKHOFFCB38CA,保安段,9.43,都市：住,100000,1040,持分移轉,06840000
RPXNMLOKKHOFFCB38CA,保安段,13.00,都市：商,100000,1039,持分移轉,06970000
RPOOMLOKKHOFFCB57CA,國安段,9.84,都市：住,10000,18,持分移轉,05930491
RPTPMLOKKHOFFCB18CA,福安段,18.28,都市：住,10000,44,持分移轉,07890000
RPSPMLOKKHOFFCB08CA,何安段,20.31,都市：住,30000,544,持分移轉,04860000
RPQNMLQKKHOFFCB87CA,黎明段,12.30,都市：住,10000,100,持分移轉,01930000
RPQRMLPKKHOFFCB18CA,大進段,14.32,都市：住,10000,60,持分移轉,00640000
RPOPMLLLKHOFFCB47CA,黎明段,52.00,都市：住,1,1,全筆移轉,13970000
RPRPMLMLKHOFFCB87CA,何厝段,16.54,都市：商,100000,1390,持分移轉,00840000
RPPNMLNLKHOFFBB47CA,錦村段,127.00,都市：商,1,1,全筆移轉,03600025
RPWOMLQLKHOFFCB68CA,永定段,.03,都市：住,23040,29,持分移轉,03500000
RPWOMLQLKHOFFCB68CA,永定段,.65,都市：住,23040,29,持分移轉,03540000
RPPNMLRLKHOFFCB97CA,上石碑段,28.75,都市：其他:道路用地,4,1,持分移轉,00780008
RPPNMLPJLHOFFCB67CA,保安段,14.30,都市：住,100000,611,持分移轉,10500000
RPVPMLMLKHOFFCB28CA,保安段,5.93,都市：住,20000,25,持分移轉,06360000
RPXNMLKLKHOFFBB97CA,軍福段,15.96,都市：商,10000,65,持分移轉,01200000
