編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLNLKHOFFHB48CB,學雅段,31.46,都市：住,100000,1072,持分移轉,00210000
RPROMLNLKHOFFHB48CB,學雅段,4.81,都市：住,100000,1072,持分移轉,00210001
RPROMLNLKHOFFHB48CB,學雅段,.39,都市：住,100000,1072,持分移轉,00210002
RPOOMLNLKHOFFHB18CB,學雅段,32.02,都市：住,100000,1091,持分移轉,00210000
RPOOMLNLKHOFFHB18CB,學雅段,4.89,都市：住,100000,1091,持分移轉,00210001
RPOOMLNLKHOFFHB18CB,學雅段,.39,都市：住,100000,1091,持分移轉,00210002
RPQNMLOLKHOFFHB38CB,學雅段,31.49,都市：住,100000,1073,持分移轉,00210000
RPQNMLOLKHOFFHB38CB,學雅段,4.81,都市：住,100000,1073,持分移轉,00210001
RPQNMLOLKHOFFHB38CB,學雅段,.39,都市：住,100000,1073,持分移轉,00210002
RPQOMLNLKHOFFHB38CB,學雅段,31.43,都市：住,100000,1071,持分移轉,00210000
RPQOMLNLKHOFFHB38CB,學雅段,4.80,都市：住,100000,1071,持分移轉,00210001
RPQOMLNLKHOFFHB38CB,學雅段,.39,都市：住,100000,1071,持分移轉,00210002
RPPNMLOLKHOFFHB28CB,學雅段,31.11,都市：住,100000,1060,持分移轉,00210000
RPPNMLOLKHOFFHB28CB,學雅段,4.75,都市：住,100000,1060,持分移轉,00210001
RPPNMLOLKHOFFHB28CB,學雅段,.38,都市：住,100000,1060,持分移轉,00210002
RPSOMLNLKHOFFHB58CB,學雅段,31.40,都市：住,100000,1070,持分移轉,00210000
RPSOMLNLKHOFFHB58CB,學雅段,4.80,都市：住,100000,1070,持分移轉,00210001
RPSOMLNLKHOFFHB58CB,學雅段,.39,都市：住,100000,1070,持分移轉,00210002
RPRNMLOLKHOFFHB48CB,學雅段,31.43,都市：住,100000,1071,持分移轉,00210000
RPRNMLOLKHOFFHB48CB,學雅段,4.80,都市：住,100000,1071,持分移轉,00210001
RPRNMLOLKHOFFHB48CB,學雅段,.39,都市：住,100000,1071,持分移轉,00210002
RPTOMLNLKHOFFHB68CB,學雅段,31.70,都市：住,100000,1080,持分移轉,00210000
RPTOMLNLKHOFFHB68CB,學雅段,4.84,都市：住,100000,1080,持分移轉,00210001
RPTOMLNLKHOFFHB68CB,學雅段,.39,都市：住,100000,1080,持分移轉,00210002
RPPOMLNLKHOFFHB28CB,學雅段,31.43,都市：住,100000,1071,持分移轉,00210000
RPPOMLNLKHOFFHB28CB,學雅段,4.80,都市：住,100000,1071,持分移轉,00210001
RPPOMLNLKHOFFHB28CB,學雅段,.39,都市：住,100000,1071,持分移轉,00210002
RPXNMLNLKHOFFHB98CB,學雅段,31.84,都市：住,100000,1085,持分移轉,00210000
RPXNMLNLKHOFFHB98CB,學雅段,4.86,都市：住,100000,1085,持分移轉,00210001
RPXNMLNLKHOFFHB98CB,學雅段,.39,都市：住,100000,1085,持分移轉,00210002
RPSNMLOLKHOFFHB58CB,學雅段,31.43,都市：住,100000,1071,持分移轉,00210000
RPSNMLOLKHOFFHB58CB,學雅段,4.80,都市：住,100000,1071,持分移轉,00210001
RPSNMLOLKHOFFHB58CB,學雅段,.39,都市：住,100000,1071,持分移轉,00210002
RPTNMLOLKHOFFHB68CB,學雅段,31.43,都市：住,100000,1071,持分移轉,00210000
RPTNMLOLKHOFFHB68CB,學雅段,4.80,都市：住,100000,1071,持分移轉,00210001
RPTNMLOLKHOFFHB68CB,學雅段,.39,都市：住,100000,1071,持分移轉,00210002
RPXNMLOLKHOFFHB09CB,學雅段,33.72,都市：住,100000,1149,持分移轉,00210000
RPXNMLOLKHOFFHB09CB,學雅段,5.15,都市：住,100000,1149,持分移轉,00210001
RPXNMLOLKHOFFHB09CB,學雅段,.41,都市：住,100000,1149,持分移轉,00210002
RPOOMLOLKHOFFHB28CB,學雅段,32.37,都市：住,100000,1103,持分移轉,00210000
RPOOMLOLKHOFFHB28CB,學雅段,4.94,都市：住,100000,1103,持分移轉,00210001
RPOOMLOLKHOFFHB28CB,學雅段,.40,都市：住,100000,1103,持分移轉,00210002
RPWNMLOLKHOFFHB98CB,學雅段,32.37,都市：住,100000,1103,持分移轉,00210000
RPWNMLOLKHOFFHB98CB,學雅段,4.94,都市：住,100000,1103,持分移轉,00210001
RPWNMLOLKHOFFHB98CB,學雅段,.40,都市：住,100000,1103,持分移轉,00210002
RPVNMLOLKHOFFHB88CB,學雅段,33.49,都市：住,100000,1141,持分移轉,00210000
RPVNMLOLKHOFFHB88CB,學雅段,5.11,都市：住,100000,1141,持分移轉,00210001
RPVNMLOLKHOFFHB88CB,學雅段,.41,都市：住,100000,1141,持分移轉,00210002
RPQOMLOLKHOFFHB48CB,學雅段,32.37,都市：住,100000,1103,持分移轉,00210000
RPQOMLOLKHOFFHB48CB,學雅段,4.94,都市：住,100000,1103,持分移轉,00210001
RPQOMLOLKHOFFHB48CB,學雅段,.40,都市：住,100000,1103,持分移轉,00210002
RPPOMLOLKHOFFHB38CB,學雅段,33.49,都市：住,100000,1141,持分移轉,00210000
RPPOMLOLKHOFFHB38CB,學雅段,5.11,都市：住,100000,1141,持分移轉,00210001
RPPOMLOLKHOFFHB38CB,學雅段,.41,都市：住,100000,1141,持分移轉,00210002
RPPPMLOLKHOFFHB48CB,學雅段,31.55,都市：住,100000,1075,持分移轉,00210000
RPPPMLOLKHOFFHB48CB,學雅段,4.82,都市：住,100000,1075,持分移轉,00210001
RPPPMLOLKHOFFHB48CB,學雅段,.39,都市：住,100000,1075,持分移轉,00210002
RPXOMLOLKHOFFHB56CB,學雅段,32.37,都市：住,100000,1103,持分移轉,00210000
RPXOMLOLKHOFFHB56CB,學雅段,4.94,都市：住,100000,1103,持分移轉,00210001
RPXOMLOLKHOFFHB56CB,學雅段,.40,都市：住,100000,1103,持分移轉,00210002
RPTOMLOLKHOFFHB78CB,學雅段,33.49,都市：住,100000,1141,持分移轉,00210000
RPTOMLOLKHOFFHB78CB,學雅段,5.11,都市：住,100000,1141,持分移轉,00210001
RPTOMLOLKHOFFHB78CB,學雅段,.41,都市：住,100000,1141,持分移轉,00210002
RPROMLOLKHOFFHB58CB,學雅段,33.69,都市：住,100000,1148,持分移轉,00210000
RPROMLOLKHOFFHB58CB,學雅段,5.15,都市：住,100000,1148,持分移轉,00210001
RPROMLOLKHOFFHB58CB,學雅段,.41,都市：住,100000,1148,持分移轉,00210002
RPOPMLOLKHOFFHB38CB,學雅段,31.58,都市：住,100000,1076,持分移轉,00210000
RPOPMLOLKHOFFHB38CB,學雅段,4.82,都市：住,100000,1076,持分移轉,00210001
RPOPMLOLKHOFFHB38CB,學雅段,.39,都市：住,100000,1076,持分移轉,00210002
RPVOMLOLKHOFFHB98CB,學雅段,33.69,都市：住,100000,1148,持分移轉,00210000
RPVOMLOLKHOFFHB98CB,學雅段,5.15,都市：住,100000,1148,持分移轉,00210001
RPVOMLOLKHOFFHB98CB,學雅段,.41,都市：住,100000,1148,持分移轉,00210002
RPSOMLOLKHOFFHB68CB,學雅段,32.37,都市：住,100000,1103,持分移轉,00210000
RPSOMLOLKHOFFHB68CB,學雅段,4.94,都市：住,100000,1103,持分移轉,00210001
RPSOMLOLKHOFFHB68CB,學雅段,.40,都市：住,100000,1103,持分移轉,00210002
RPUOMLOLKHOFFHB88CB,學雅段,32.37,都市：住,100000,1103,持分移轉,00210000
RPUOMLOLKHOFFHB88CB,學雅段,4.94,都市：住,100000,1103,持分移轉,00210001
RPUOMLOLKHOFFHB88CB,學雅段,.40,都市：住,100000,1103,持分移轉,00210002
RPOQMLOLKHOFFHB48CB,學雅段,31.96,都市：住,100000,1089,持分移轉,00210000
RPOQMLOLKHOFFHB48CB,學雅段,4.88,都市：住,100000,1089,持分移轉,00210001
RPOQMLOLKHOFFHB48CB,學雅段,.39,都市：住,100000,1089,持分移轉,00210002
RPRPMLOLKHOFFHB68CB,學雅段,31.55,都市：住,100000,1075,持分移轉,00210000
RPRPMLOLKHOFFHB68CB,學雅段,4.82,都市：住,100000,1075,持分移轉,00210001
RPRPMLOLKHOFFHB68CB,學雅段,.39,都市：住,100000,1075,持分移轉,00210002
RPUPMLOLKHOFFHB98CB,學雅段,31.96,都市：住,100000,1089,持分移轉,00210000
RPUPMLOLKHOFFHB98CB,學雅段,4.88,都市：住,100000,1089,持分移轉,00210001
RPUPMLOLKHOFFHB98CB,學雅段,.39,都市：住,100000,1089,持分移轉,00210002
RPSPMLOLKHOFFHB78CB,學雅段,31.96,都市：住,100000,1089,持分移轉,00210000
RPSPMLOLKHOFFHB78CB,學雅段,4.88,都市：住,100000,1089,持分移轉,00210001
RPSPMLOLKHOFFHB78CB,學雅段,.39,都市：住,100000,1089,持分移轉,00210002
RPXPMLOLKHOFFHB66CB,學雅段,31.55,都市：住,100000,1075,持分移轉,00210000
RPXPMLOLKHOFFHB66CB,學雅段,4.82,都市：住,100000,1075,持分移轉,00210001
RPXPMLOLKHOFFHB66CB,學雅段,.39,都市：住,100000,1075,持分移轉,00210002
RPQPMLOLKHOFFHB58CB,學雅段,31.96,都市：住,100000,1089,持分移轉,00210000
RPQPMLOLKHOFFHB58CB,學雅段,4.88,都市：住,100000,1089,持分移轉,00210001
RPQPMLOLKHOFFHB58CB,學雅段,.39,都市：住,100000,1089,持分移轉,00210002
RPTPMLOLKHOFFHB88CB,學雅段,31.55,都市：住,100000,1075,持分移轉,00210000
RPTPMLOLKHOFFHB88CB,學雅段,4.82,都市：住,100000,1075,持分移轉,00210001
RPTPMLOLKHOFFHB88CB,學雅段,.39,都市：住,100000,1075,持分移轉,00210002
RPWPMLOLKHOFFHB56CB,學雅段,31.96,都市：住,100000,1089,持分移轉,00210000
RPWPMLOLKHOFFHB56CB,學雅段,4.88,都市：住,100000,1089,持分移轉,00210001
RPWPMLOLKHOFFHB56CB,學雅段,.39,都市：住,100000,1089,持分移轉,00210002
RPPNMLOLKHOFFBB67CB,仁美段,12.03,都市：住,10000,37,持分移轉,17450000
