鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,建物,臺中市北區北平三街３１號７樓之５,0.0,住,,,1080123,土地0建物1車位1,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060828,181.23000000000002,3,2,2,有,有,有,30000,166,坡道平面,26.75,0,租金含管理費,RPVOMLLKKHOFFBB08CC
西屯區,房地(土地+建物)+車位,臺中市西屯區台灣大道四段1158號6樓之5,7.84,住,,,1080114,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,63.42,1,1,1,有,有,有,18000,284,坡道平面,36.6,0,,RPRPMLLKKHOFFCB87CC
南屯區,建物,臺中市南屯區河南路四段３６０號３樓之２,0.0,住,,,1080118,土地0建物1車位0,三層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941220,31.32,1,0,1,有,有,有,8200,262,,0.0,0,租金含管理費,RPVPMLLKKHOFFCB28CC
潭子區,房地(土地+建物),臺中市潭子區大德一路二段31巷3號,228.73,住,,,1080106,土地3建物1車位0,全,1,透天厝,住家用,加強磚造,0650301,72.92,0,0,0,無,無,有,17000,233,,0.0,0,,RPQNMLLKKHOFFHB08CC
潭子區,房地(土地+建物),臺中市潭子區大豐一路163號,75.54,農,,,1080115,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0880401,163.19,4,2,2,有,無,無,25000,153,,0.0,0,,RPXOMLLKKHOFFHB88CC
太平區,土地,愛平段303地號,399.0,住,,,1080115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,60000,150,,0.0,0,急出租急承租。；,RPQOMLLKKHOFFJB38CC
太平區,建物,臺中市太平區樹孝路３９５號,0.0,住,,,1080121,土地0建物0車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0951221,13.38,1,0,0,有,無,有,5000,374,,0.0,0,,RPSOMLLKKHOFFJB58CC
大肚區,土地,文昌段2003地號,1931.0,農,,,1080114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,100000,52,,0.0,0,含增建或未登記建物。；承租本地號上含增建或未登記建物約1652.89平方公尺約500坪。,RPPNMLMKKHOFFKB38CC
南屯區,建物,臺中市南屯區五權西路二段268號,4.12,住,,,1080201,土地0建物1車位1,一層,29,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040427,46.9,0,0,0,無,無,無,53000,1130,坡道平面,3.79,0,,RPSNMLMKKHOFFCB87CC
南屯區,房地(土地+建物),臺中市南屯區文心路一段64巷22號,71.34,住,,,1080114,土地1建物0車位0,三層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0710809,71.34,3,2,1,有,無,有,10800,151,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金12000房東租金9折10800房客租金5折6000,RPUOMLMKKHOFFCB18CC
北區,房地(土地+建物)+車位,臺中市北區英才路386號24樓之3,38.93,商,,,1080130,土地1建物1車位2,,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990917,331.72,6,2,4,有,有,有,83529,252,坡道平面,0.0,0,,RPWNMLMKKHOFFBB18CC
北屯區,房地(土地+建物),臺中市北屯區東光路892巷1號1樓,32.76,住,,,1080129,土地1建物1車位0,一層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0830818,194.76999999999998,0,0,0,無,有,無,25000,128,,0.0,0,管理費由承租方自行繳納.,RPTQMLMKKHOFFBB18CC
北屯區,建物,臺中市北屯區東山路一段133巷15之4號,0.0,住,,,1080114,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680926,14.0,1,0,1,有,無,有,5400,386,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金6000房東租金9折5400房客租金7折4200,RPUQMLMKKHOFFBB28CC
北屯區,房地(土地+建物),臺中市北屯區東山路一段225之16巷7之7號,11.7,住,,,1080212,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800419,99.38999999999999,4,1,2,有,有,有,15000,151,,0.0,0,含管理費、稅金或水電等費用。；,RPQPMLNKKHOFFBB87CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北七路186號15樓之7,12.57,其他,,,1080114,土地1建物1車位1,十五層,28,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1060321,226.81,0,0,0,無,有,無,58888,260,坡道平面,0.0,0,,RPTOMLNKKHOFFCB18CC
龍井區,房地(土地+建物),臺中市龍井區台灣大道五段3巷30弄69號,29.75,,鄉村區,乙種建築用地,1080115,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0750425,29.75,1,0,1,有,無,有,9000,303,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金10000房東租金9折9000房客租金7折7000,RPPNMLNKKHOFFKB48CC
沙鹿區,房地(土地+建物),臺中市沙鹿區七賢路302號,82.6,住,,,1080131,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1050307,49.5,1,1,1,有,無,有,19000,384,,0.0,0,,RPXNMLNKKHOFFFB78CC
沙鹿區,房地(土地+建物),臺中市沙鹿區七賢路302號,82.6,住,,,1080131,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1050307,124.0,6,0,6,有,無,有,13000,105,,0.0,0,,RPOOMLNKKHOFFFB97CC
霧峰區,房地(土地+建物),臺中市霧峰區樹仁路31號3樓之1,24.48,商,,,1080115,土地1建物0車位0,三層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0740120,24.48,1,0,1,有,無,有,7500,306,,0.0,0,,RPTNMLNKKHOFFIB68CC
霧峰區,房地(土地+建物),臺中市霧峰區樹仁路31號3樓之1,24.48,商,,,1080115,土地1建物0車位0,三層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0740120,24.48,1,0,1,有,無,有,5500,225,,0.0,0,,RPVNMLNKKHOFFIB88CC
神岡區,房地(土地+建物),臺中市神岡區文昌街420巷9號,187.42,住,,,1070913,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0780520,351.21,0,0,0,無,有,無,19999,57,,0.0,0,,RPSNMLNKKHOFFDB08CC
潭子區,房地(土地+建物),臺中市潭子區祥和路60巷14弄1號3樓,20.63,住,,,1080123,土地1建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830118,106.55,3,1,2,有,有,有,15000,141,,0.0,0,臺中市包租代管案件租金市價打9折。,RPQNMLOKKHOFFHB38CC
大里區,房地(土地+建物),臺中市大里區益民路一段62巷36弄1號及1號地下室,23.92,住,,,1080125,土地1建物1車位0,見其他登記事項,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0790620,221.11,2,1,1,有,有,有,17100,77,,0.0,0,,RPRNMLOKKHOFFIB58CC
清水區,房地(土地+建物),臺中市清水區港新三路22號11樓之6,11.64,商,,,1080124,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070926,111.78,2,1,1,有,有,有,17100,153,,0.0,0,臺中市包租代管案件租金市價打9折。,RPPNMLOKKHOFFFB08CC
清水區,房地(土地+建物)+車位,臺中市清水區港埠路三段205號十二樓之3,15.67,商,,,1080117,土地1建物0車位1,十二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070725,159.45999999999998,3,2,2,有,有,有,17100,107,坡道平面,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金19000房東租金9折17100房客租金9900,RPTNMLOKKHOFFFB48CC
太平區,建物,臺中市太平區太順路３８５號９樓之１,0.0,住,,,1080126,土地0建物1車位1,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060707,154.31,3,2,2,有,有,有,21000,136,坡道平面,25.94,0,租金含管理費,RPVNMLOKKHOFFJB09CC
豐原區,房地(土地+建物),臺中市豐原區中正路695巷6號5樓之2,9.17,住,,,1080201,土地1建物1車位0,五層,16,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0820208,89.24,2,2,2,有,有,無,7500,84,,0.0,0,,RPUNMLOKKHOFFDB48DC
太平區,房地(土地+建物),臺中市太平區太平路852號,422.0,工,,,1080213,土地1建物1車位0,見其他登記事項,2,店面(店鋪),見其他登記事項,鋼骨鋼筋混凝土造,1051220,531.96,0,0,0,無,無,無,100000,188,,0.0,0,含增建或未登記建物。；扣除代扣所得稅及二代健保補充費，稅後淨額新台幣88090元,RPRNMLOKKHOFFJB78DC
西屯區,房地(土地+建物),臺中市西屯區西屯路二段上石北5巷16號,23.16,住,,,1080121,土地1建物1車位0,見其他登記事項,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840324,158.31,4,2,4,有,有,有,20000,126,,0.0,0,,RPSNMLOKKHOFFCB08CC
西屯區,房地(土地+建物),臺中市西屯區四川路30號3樓之2,20.92,住,,,1080125,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0810302,126.87,2,2,2,有,有,有,17100,135,,0.0,0,臺中市包租代管案件租金市價打9折。,RPTNMLOKKHOFFCB18CC
南屯區,房地(土地+建物),臺中市南屯區大墩七街113之2號,26.6,住,,,1080121,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710705,102.06,3,2,2,有,無,有,9000,88,,0.0,0,臺中市包租代管案件租金市價打9折。,RPWNMLOKKHOFFCB48CC
西屯區,土地,福順段122-1地號,1215.38,住,,,1080130,土地4建物0車位0,,,其他,,,,0.0,1,0,0,有,無,無,331422,273,,0.0,0,地上一層兩戶,RPQOMLOKKHOFFCB97CC
南屯區,房地(土地+建物),臺中市南屯區文心路一段64巷25號,18.8,住,,,1080116,土地1建物0車位0,三層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0710809,70.67,3,2,1,有,無,有,8550,121,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金9500房東租金9折8550房客租金7折6650,RPRPMLOKKHOFFCB18CC
北屯區,房地(土地+建物),臺中市北屯區昌平路二段10巷72弄95之1號,3.54,住,,,1080124,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800528,58.45,1,1,1,有,有,有,7000,120,,0.0,0,臺中市包租代管案件租金市價打9折。,RPWNMLOKKHOFFBB38CC
北屯區,房地(土地+建物),臺中市北屯區同榮路82號4樓,15.86,住,,,1080125,土地1建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820106,101.71000000000001,3,2,1,有,有,有,15300,150,,0.0,0,臺中市包租代管案件租金市價打9折。,RPQOMLOKKHOFFBB87CC
北屯區,房地(土地+建物),臺中市北屯區遼陽五街54之3號,25.85,商,,,1080210,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731003,96.47,3,2,2,有,無,無,12000,124,,0.0,0,,RPSOMLOKKHOFFBB08CC
北屯區,房地(土地+建物)+車位,臺中市北屯區陳平一街77號4樓,11.98,住,,,1080201,土地1建物1車位1,四層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830217,66.04,1,1,1,有,無,有,12000,182,坡道機械,0.0,0,含管理費、稅金或水電等費用。；,RPTOMLOKKHOFFBB18CC
北屯區,房地(土地+建物)+車位,臺中市北屯區北屯路409之29號9樓,15.93,住,,,1080201,土地2建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890218,138.6,3,2,2,有,有,有,18500,133,坡道機械,10.01,0,含管理費、稅金或水電等費用。；,RPXPMLOKKHOFFBB68CC
北屯區,建物,臺中市北屯區敦化路一段４５０巷１號三樓,0.0,住,,,1080126,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820225,122.96,3,2,2,有,有,有,13500,110,,0.0,0,租金含管理費,RPURMLOKKHOFFBB58CC
北區,房地(土地+建物),臺中市北區忠太東路119號8樓之22,2.57,住,,,1080116,土地1建物0車位0,八層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840607,30.169999999999998,1,0,1,有,有,有,6570,218,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金7300房東租金9折6570房客租金7折5110,RPVRMLOKKHOFFBB68CC
北屯區,建物,臺中市北屯區大連路一段295號5樓之2,0.0,住,,,1080117,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730419,23.04,1,0,1,有,無,有,8550,371,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金9500房東租金9折8550房客租金7折6650,RPOSMLOKKHOFFBB08CC
南區,房地(土地+建物),臺中市南區德富路30號,30.77,住,,,1080214,土地1建物1車位0,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,1050914,189.54,1,0,0,無,有,無,60000,317,,0.0,0,,RPWOMLOKKHOFFAB38CC
南區,房地(土地+建物),臺中市南區忠明南路879巷15號,16.2,住,,,1080117,土地1建物0車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0861125,49.42,3,0,1,有,無,有,10800,219,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金12000房東租金9折10800房客租金7折8400,RPXOMLOKKHOFFAB48CC
西區,房地(土地+建物),臺中市西區台灣大道二段181號12樓之15,3.5,住,,,1080121,土地1建物1車位0,十二層,13,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0840628,41.370000000000005,0,0,0,無,有,有,7500,181,,0.0,0,,RPPNMLPKKHOFFAB67CC
西區,房地(土地+建物)+車位,臺中市西區華美西街1段142號8樓之1,15.46,住,,,1080122,土地1建物1車位1,八層,13,辦公商業大樓,商業用,鋼筋混凝土造,0830420,157.41,0,0,0,無,有,無,25000,159,坡道機械,0.0,0,,RPQNMLPKKHOFFAB77CC
西區,房地(土地+建物)+車位,臺中市西區公益路367號8樓之1,46.0,住,,,1080115,土地1建物1車位1,八層,17,辦公商業大樓,商業用,鋼筋混凝土造,0800118,478.14,0,0,0,無,有,無,75200,157,坡道機械,0.0,0,,RPSNMLPKKHOFFAB97CC
南區,房地(土地+建物),臺中市南區工學北路86號10樓之27,1.74,商,,,1080114,土地1建物1車位0,十層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,29.09,1,1,1,有,有,有,6000,206,,0.0,0,,RPTNMLPKKHOFFAB08CC
西區,房地(土地+建物),臺中市西區五權路1-67號5樓502室,5.7,商,,,1080122,土地3建物0車位0,五層,22,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0800403,72.11,0,0,0,無,有,有,18600,258,,0.0,0,,RPUNMLPKKHOFFAB18CC
南區,房地(土地+建物),臺中市南區工學北路86號7樓之51,1.72,商,,,1080110,土地1建物1車位0,七層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,28.49,1,1,1,有,有,有,6000,211,,0.0,0,,RPVNMLPKKHOFFAB28CC
南區,房地(土地+建物),臺中市南區工學北路86號8樓之9,1.83,商,,,1080107,土地1建物1車位0,八層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,30.47,1,1,1,有,有,有,6000,197,,0.0,0,,RPWNMLPKKHOFFAB38CC
南區,房地(土地+建物),臺中市南區工學北路86號6樓之49,1.83,商,,,1080110,土地1建物1車位0,六層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,30.47,1,1,1,有,有,有,5500,181,,0.0,0,,RPPOMLPKKHOFFAB77CC
南區,房地(土地+建物),臺中市南區學府路92號,28.78,住,,,1080129,土地1建物1車位0,一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000729,179.65,0,0,0,無,無,無,20000,111,,0.0,0,,RPXPMLPKKHOFFAB68CC
南區,建物,臺中市南區美村路二段１８０之１號,0.0,住,,,1080128,土地0建物1車位0,見其他登記事項,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0880812,148.23000000000002,1,2,2,有,有,有,25000,169,,0.0,0,租金含管理費,RPRRMLPKKHOFFAB28CC
西區,建物,臺中市西區大業北路２４號３樓,0.0,住,,,1080128,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0770627,125.25,4,2,2,有,有,有,15000,120,,0.0,0,租金含管理費,RPSRMLPKKHOFFAB38CC
西區,房地(土地+建物),臺中市西區民權路187號11樓,9.48,商,,,1080118,土地1建物0車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720819,127.83,3,2,2,有,有,有,16002,125,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金17780房東租金9折16002房客租金7折12446,RPRSMLPKKHOFFAB38CC
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段696號12樓之1,16.45,商,,,1080118,土地1建物1車位1,十二層,26,辦公商業大樓,商業用,見其他登記事項,0810829,318.23,0,0,0,無,有,無,45000,141,坡道機械,0.0,0,,RPQNMLPKKHOFFBB87CC
