編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVOMLLKKHOFFBB08CC,1,103.76,集合住宅,鋼筋混凝土造,106年8月28日,十五層,
RPVOMLLKKHOFFBB08CC,1,60.12,本共有部分係依使用執照之建築概要表記載項目有：停車空間，消防機械室，機械室，水箱，梯廳，昇降機間，一般安全梯，防空避難室兼停車空間，台電配電室，緊急發電機室，電信室，排煙室，公共服務空間，管委會使用空間，門廳，戶外安全梯，樓梯間，水錶室，昇降機械室等１９項,鋼筋混凝土造,106年8月28日,十五層,
RPVOMLLKKHOFFBB08CC,1,17.35,本共有部分係依使用執照之建築概要表記載項目有：梯廳，排煙室，昇降機間，戶外安全梯等四項。,鋼筋混凝土造,106年8月28日,十五層,
RPRPMLLKKHOFFCB87CC,12,63.42,住家用,鋼筋混凝土造,95年11月13日,十五層,
RPVPMLLKKHOFFCB28CC,13,20.10,住家用,鋼筋混凝土造,94年12月20日,十層,
RPVPMLLKKHOFFCB28CC,13,5.34,共用,鋼筋混凝土造,94年12月20日,十層,
RPVPMLLKKHOFFCB28CC,13,5.88,共用,鋼筋混凝土造,94年12月20日,十層,
RPSNMLMKKHOFFCB87CC,4,46.90,店鋪,鋼筋混凝土造,104年4月27日,二十九層,
RPXOMLLKKHOFFHB88CC,20,163.19,住宅、梯間,鋼筋混凝土造,88年4月1日,三層,
RPQNMLLKKHOFFHB08CC,43,72.92,住家用,加強磚造,65年3月1日,一層,
RPUQMLMKKHOFFBB28CC,39,14.00,住家用,鋼筋混凝土造,68年9月26日,五層,
RPWNMLMKKHOFFBB18CC,8,226.02,住家用,鋼筋混凝土造,99年9月17日,二十四層,
RPWNMLMKKHOFFBB18CC,8,22.93,本共有部分係依使用執照之建築概要表記載項目有：守衛室、防災中心、垃圾集中處理室、開放空間、梯廳、排煙室、緊急昇降機、梯間、車道、社區店舖、中繼水箱、中繼機房、水錶室、機械室、電梯機房、水塔、門 廳、等１７項,鋼筋混凝土造,99年9月17日,二十四層,
RPWNMLMKKHOFFBB18CC,8,42.94,本共有部分係依使用執照之建築概要表記載項目有：梯廳、排煙室、緊急昇降機、梯間等４項,鋼筋混凝土造,99年9月17日,二十四層,
RPWNMLMKKHOFFBB18CC,8,39.83,本共有部分係依使用執照之建築概要表記載項目有：停車空間、消防機械室、梯廳、排煙室、緊急昇降機、梯間、車道、網路機房、清水池、電信機房、機械室、防空避難室兼停車空間、台電配電室、發電機室等１４項,鋼筋混凝土造,99年9月17日,二十四層,
RPSOMLLKKHOFFJB58CC,12,13.38,人行道、店舖、住宅、停車空間、辦公室,鋼筋混凝土造,95年12月21日,四層,
RPTQMLMKKHOFFBB18CC,24,94.41,商業用,鋼筋混凝土造,83年8月18日,六層,
RPTQMLMKKHOFFBB18CC,24,100.36,共有部份,鋼筋混凝土造,83年8月18日,六層,
