編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVOMLLKKHOFFBB08CC,中清段,.00,都市：住,,,,00480000
RPRPMLLKKHOFFCB87CC,民安段,7.84,都市：住,,,,16750022
RPVPMLLKKHOFFCB28CC,惠智段,.00,都市：住,,,,01340000
RPQOMLLKKHOFFJB38CC,愛平段,399.00,都市：住,,,,03030000
RPSNMLMKKHOFFCB87CC,大進段,4.12,都市：住,,,,08580000
RPXOMLLKKHOFFHB88CC,東寶二段,75.54,都市：農,,,,15030000
RPPNMLMKKHOFFKB38CC,文昌段,1931.00,都市：農,,,,20030000
RPQNMLLKKHOFFHB08CC,東寶五段,173.65,都市：住,,,,05660000
RPQNMLLKKHOFFHB08CC,東寶五段,20.65,都市：住,,,,05670000
RPQNMLLKKHOFFHB08CC,東寶五段,34.43,都市：住,,,,05680000
RPUQMLMKKHOFFBB28CC,北屯段,.00,都市：住,,,,00160001
RPWNMLMKKHOFFBB18CC,乾溝子段,38.93,都市：商,,,,01630050
RPSOMLLKKHOFFJB58CC,三汴段,.00,都市：住,,,,06310008
RPTQMLMKKHOFFBB18CC,北屯段,32.76,都市：住,,,,01420001
RPUOMLMKKHOFFCB18CC,大進段,71.34,都市：住,,,,10880000
RPTOMLNKKHOFFCB18CC,惠民段,12.57,都市：其他:新市政中心專用區,,,,00110000
RPXNMLNKKHOFFFB78CC,新犁份段,82.60,都市：住,,,,04630000
RPTNMLNKKHOFFIB68CC,峰南段,24.48,都市：商,,,,01400000
RPPNMLNKKHOFFKB48CC,東園段,29.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04560000
RPVNMLNKKHOFFIB88CC,峰南段,24.48,都市：商,,,,01400000
RPOOMLNKKHOFFFB97CC,新犁份段,82.60,都市：住,,,,04630000
RPSNMLNKKHOFFDB08CC,福隆段,187.42,都市：住,,,,10380000
RPQNMLOKKHOFFHB38CC,祥和段,20.63,都市：住,,,,02200000
RPTNMLOKKHOFFFB48CC,市鎮北段,15.67,都市：商,,,,00390000
