編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVOMLLKKHOFFBB08CC,坡道平面,0,26.75,
RPRPMLLKKHOFFCB87CC,坡道平面,0,36.60,
RPSNMLMKKHOFFCB87CC,坡道平面,0,3.79,
RPWNMLMKKHOFFBB18CC,坡道平面,0,,
RPWNMLMKKHOFFBB18CC,坡道平面,0,,
RPTOMLNKKHOFFCB18CC,坡道平面,0,,
RPTNMLOKKHOFFFB48CC,坡道平面,0,,
RPVNMLOKKHOFFJB09CC,坡道平面,0,25.94,
RPQNMLPKKHOFFAB77CC,坡道機械,0,,
RPSNMLPKKHOFFAB97CC,坡道機械,0,,
RPTOMLOKKHOFFBB18CC,坡道機械,0,,
RPXPMLOKKHOFFBB68CC,坡道機械,0,10.01,
RPROMLPKKHOFFBB08CC,坡道平面,0,,
RPQNMLPKKHOFFBB87CC,坡道機械,0,,
RPVNMLPKKHOFFJB66DC,坡道平面,0,,
RPTNMLPKKHOFFBB28DC,坡道平面,0,,
RPSNMLPKKHOFFCB18CC,坡道平面,0,,
RPSNMLPKKHOFFCB18CC,坡道平面,0,,
RPWOMLPKKHOFFCB68CC,坡道平面,0,31.41,
RPWOMLPKKHOFFCB68CC,坡道平面,0,31.40,
RPRPMLPKKHOFFCB28CC,坡道平面,0,,
RPRPMLPKKHOFFCB28CC,坡道平面,0,,
RPRPMLPKKHOFFCB28CC,坡道平面,0,,
RPQOMLPKKHOFFCB08CC,坡道平面,0,,
RPQOMLPKKHOFFCB08CC,坡道機械,0,,
RPUPMLPKKHOFFCB58CC,坡道平面,0,,
RPUPMLPKKHOFFCB58CC,坡道平面,0,,
RPWNMLPKKHOFFCB58CC,坡道平面,0,,
RPPNMLPKKHOFFDB97CC,坡道平面,0,36.44,
RPTNMLSKKHOFFAB38CC,坡道機械,0,14.05,
RPSOMLTKKHOFFBB58CC,坡道機械,0,,
RPVNMLTKKHOFFAB68CC,坡道平面,0,23.33,
RPVNMLTKKHOFFAB68CC,坡道平面,0,23.33,
RPTOMLTKKHOFFAB58CC,坡道平面,0,29.30,
RPTPMLKLKHOFFCB08CC,坡道平面,0,,
RPROMLTKKHOFFCB58CC,坡道機械,0,18.91,
RPUNMLTKKHOFFCB78CC,坡道機械,0,13.89,
RPPPMLSKKHOFFCB38CC,坡道機械,0,,
RPXOMLLLKHOFFAB28CC,坡道平面,0,,
RPRPMLKLKHOFFAB67CC,坡道機械,0,,
RPXPMLLLKHOFFCB58CC,坡道機械,0,22.05,
RPTOMLNLKHOFFJB98CC,坡道平面,3000,31.32,
RPRPMLNLKHOFFBB08CC,坡道平面,3200,27.89,
RPQPMLNLKHOFFCB08CC,坡道平面,0,,
RPSPMLNLKHOFFCB28CC,坡道平面,0,35.91,
RPUPMLNLKHOFFBB38CC,坡道平面,3000,31.88,
RPVPMLNLKHOFFBB48CC,坡道平面,0,31.88,
RPTPMLPLKHOFFBB48CC,坡道平面,0,27.89,
RPUPMLPLKHOFFBB58CC,坡道平面,3200,31.88,
RPVPMLPLKHOFFBB68CC,坡道平面,0,27.23,
RPXPMLPLKHOFFBB88CC,坡道機械,2200,13.62,
RPOQMLPLKHOFFBB08CC,坡道平面,0,27.23,
RPPQMLPLKHOFFBB18CC,坡道平面,0,27.23,
RPQQMLPLKHOFFBB28CC,坡道平面,3500,27.23,
RPVQMLPLKHOFFBB78CC,坡道機械,0,13.62,
RPXQMLPLKHOFFBB98CC,坡道平面,3500,27.23,
RPVNMLPLKHOFFCB58CC,坡道機械,0,,
RPVNMLPLKHOFFCB58CC,坡道機械,0,,
RPVNMLPLKHOFFCB58CC,坡道機械,0,,
RPRRMLPLKHOFFBB48CC,坡道平面,3500,27.23,
RPPRMLPLKHOFFBB28CC,坡道機械,0,13.62,
RPPNMLLJLHOFFJB18CC,坡道平面,0,17.88,
RPQPMLQLKHOFFCB38CC,其他,0,,
RPTOMLLJLHOFFBB87CC,坡道機械,2500,13.62,
RPQOMLLJLHOFFBB57CC,坡道平面,3200,27.90,
RPUNMLLJLHOFFCB97CC,坡道平面,0,23.21,
RPSNMLRLKHOFFAB28CC,坡道平面,0,37.16,
RPVOMLLJLHOFFBB08CC,坡道平面,3500,27.23,
RPVOMLLJLHOFFCB18CC,坡道平面,3500,32.43,
RPTNMLOJLHOFFDB28CC,坡道平面,0,,
RPTNMLPJLHOFFHB78CC,坡道機械,0,22.50,
RPPPMLLJLHOFFCB67CC,坡道平面,2200,37.80,
RPXOMLLJLHOFFCB38CC,坡道平面,2500,37.80,
RPPQMLPJLHOFFBB08CC,坡道平面,3000,,
RPUPMLPJLHOFFCB58CC,坡道機械,0,13.50,
RPWPMLPJLHOFFCB78CC,坡道平面,0,,
RPPOMLQJLHOFFCB08CC,坡道平面,0,22.27,
RPOPMLRJLHOFFCB18CC,坡道平面,0,,
RPOPMLRJLHOFFCB18CC,坡道機械,0,,
RPTPMLPJLHOFFCB48CC,坡道機械,0,,
RPTPMLPJLHOFFCB48CC,坡道機械,0,,
RPSPMLPJLHOFFCB38CC,坡道機械,0,,
RPRRMLSJLHOFFBB68CC,坡道平面,0,27.23,
RPTOMLRJLHOFFBB48CC,坡道平面,0,,
RPTOMLRJLHOFFBB48CC,坡道平面,0,,
RPPRMLSJLHOFFBB48CC,坡道機械,2200,15.94,
RPTRMLSJLHOFFBB88CC,坡道機械,2500,13.62,
RPQRMLSJLHOFFCB68CC,坡道平面,0,,
RPQRMLSJLHOFFCB68CC,坡道平面,0,,
RPURMLSJLHOFFCB09CC,坡道平面,0,,
RPXPMLLKLHOFFBB48CC,坡道機械,0,,
RPPOMLLKLHOFFAB47CC,坡道平面,0,20.33,
RPRQMLNKLHOFFCB28CC,坡道平面,0,14.10,
RPOPMLNKLHOFFCB87CC,坡道機械,0,,
RPOPMLNKLHOFFCB87CC,坡道機械,0,,
RPXOMLNKLHOFFCB68CC,坡道平面,0,,
RPSPMLNKLHOFFCB28CC,坡道平面,0,,
RPXSMLMKLHOFFCB98CC,坡道平面,0,,
RPXSMLMKLHOFFCB98CC,坡道平面,0,,
RPRPMLNKLHOFFCB18CC,坡道機械,0,,
RPRPMLNKLHOFFCB18CC,坡道機械,0,,
RPQPMLNKLHOFFAB87CC,坡道平面,0,,
RPROMLNKLHOFFAB87CC,坡道平面,0,,
RPOOMLOKLHOFFBB77CC,坡道平面,0,24.45,
RPXPMLOKLHOFFBB78CC,坡道平面,0,46.04,
RPTPMLNKLHOFFBB28CC,坡道機械,0,,
RPROMLOKLHOFFCB18CC,坡道平面,0,,
RPROMLOKLHOFFCB18CC,坡道平面,0,,
RPSNMLOKLHOFFJB88CC,坡道平面,0,39.19,
RPPQMLPKLHOFFBB18CC,坡道機械,2500,15.94,
RPSQMLPKLHOFFBB48CC,坡道平面,3000,27.89,
RPWRMLPKLHOFFBB98CC,坡道平面,0,27.23,
RPXRMLPKLHOFFBB09CC,坡道機械,0,13.62,
RPPNMLRKLHOFFBB18DC,坡道平面,0,25.42,
RPRPMLSKLHOFFAB48CC,坡道平面,0,,
RPWOMLSKLHOFFBB98CC,坡道機械,0,8.15,
RPPSMLPKLHOFFBB38CC,坡道機械,0,13.62,
RPPNMLTKLHOFFJB09CC,坡道機械,0,2.92,
RPXNMLKLLHOFFJB09CC,坡道平面,0,25.80,
RPRPMLKLLHOFFAB77CC,坡道平面,0,25.27,
RPWOMLLLLHOFFCB48CC,坡道平面,0,,
RPXQMLPKLHOFFCB09CC,坡道機械,0,15.41,
RPXQMLSKLHOFFCB76CC,坡道機械,0,,
RPSQMLPKLHOFFCB58CC,坡道機械,1500,18.99,
RPXPMLPKLHOFFCB98CC,坡道平面,0,,
RPXPMLLLLHOFFCB68CC,坡道平面,0,37.80,
RPPQMLLLLHOFFCB97CC,坡道平面,2500,35.91,
RPRQMLLLLHOFFCB18CC,坡道平面,2500,35.91,
RPSQMLLLLHOFFCB28CC,坡道平面,0,,
RPWNMLLLLHOFFBB28CC,坡道機械,0,41.88,
RPXQMLLLLHOFFCB78CC,坡道平面,0,,
RPRNMLLLLHOFFAB67CC,坡道機械,3000,,
RPQNMLMLLHOFFHB38CC,坡道平面,0,,
RPXOMLMLLHOFFCB68CC,坡道平面,0,,
RPXOMLMLLHOFFCB68CC,坡道平面,0,,
RPXOMLMLLHOFFCB68CC,坡道平面,0,,
RPUPMLMLLHOFFCB48CC,坡道平面,0,,
RPVNMLNLLHOFFCB48CC,坡道平面,0,32.10,
RPUNMLPLLHOFFCB58CC,坡道平面,0,,
RPPOMLMLLHOFFIB48CC,坡道機械,0,22.47,
RPTRMLLLLHOFFIB09CC,坡道平面,0,38.05,
RPRPMLLLLHOFFBB97CC,坡道機械,0,15.94,
RPUNMLMLLHOFFBB18CC,坡道平面,0,,
RPSPMLLLLHOFFBB08CC,坡道平面,0,27.90,
RPWNMLQLLHOFFCB88CC,坡道平面,0,,
RPPPMLQLLHOFFCB38CC,坡道平面,0,24.79,
RPRPMLQLLHOFFCB58CC,其他,0,24.53,
RPQQMLRLLHOFFBB68DC,坡道平面,0,,
RPVOMLSLLHOFFBB98CC,升降機械,0,,
RPVOMLTLLHOFFCB56CC,坡道平面,3000,37.80,
RPUOMLTLLHOFFCB09CC,坡道機械,1200,18.99,
RPUPMLTLLHOFFBB09CC,坡道機械,0,17.37,
RPXPMLTLLHOFFBB76CC,坡道平面,3200,27.89,
RPSQMLTLLHOFFBB98CC,坡道機械,0,,
RPUNMLKMLHOFFBB08CC,坡道平面,0,32.69,
RPQQMLLJMHOFFBB87CC,坡道機械,0,13.62,
RPOQMLLJMHOFFAB57CC,坡道平面,0,23.51,
RPPRMLLJMHOFFBB87CC,坡道機械,2500,13.62,
RPXPMLTLLHOFFAB66CC,坡道平面,0,,
RPQSMLRLLHOFFAB68CC,坡道平面,0,20.49,
RPORMLLJMHOFFBB77CC,坡道平面,0,27.23,
RPSNMLMJMHOFFAB77CC,坡道平面,0,29.73,
RPTNMLMJMHOFFAB87CC,坡道平面,0,31.09,
RPUPMLMJMHOFFAB18CC,升降機械,0,,
RPVPMLMJMHOFFAB28CC,坡道機械,0,,
RPVRMLMJMHOFFCB68CC,坡道平面,0,136.06,
RPVRMLMJMHOFFCB68CC,坡道平面,0,,
RPVRMLMJMHOFFCB68CC,坡道機械,0,,
RPVRMLMJMHOFFCB68CC,坡道機械,0,,
