編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLPLKHOFFCC87CA,11,90.80,住家用,鋼筋混凝土造,96年11月16日,十層,四層 陽台
RPTNMLMKKHOFFCC87CA,26,33.00,住家用,鋼筋混凝土造,82年1月11日,十二層,五層 陽台
RPOOMLPLKHOFFCC87CA,11,12.10,共用部份,鋼筋混凝土造,96年11月16日,十層,
RPTNMLMKKHOFFCC87CA,26,2.58,共用部份,鋼筋混凝土造,82年1月11日,十二層,
RPOOMLPLKHOFFCC87CA,11,45.08,共用部份,鋼筋混凝土造,96年11月16日,十層,
RPTNMLMKKHOFFCC87CA,26,6.16,共用部份,鋼筋混凝土造,82年1月11日,十二層,
RPTNMLMKKHOFFCC87CA,26,2.75,共用部份,鋼筋混凝土造,82年1月11日,十二層,
RPQNMLPKKHOFFBC77CA,22,42.60,住家用,鋼筋混凝土造,85年11月29日,二十三層,十四層 陽台
RPQNMLPKKHOFFBC77CA,22,5.62,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPQNMLPKKHOFFBC77CA,22,2.25,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPQNMLPKKHOFFBC77CA,22,3.35,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPSNMLOKKHOFFCC08DA,23,90.16,住家用,鋼筋混凝土造,85年3月22日,七層,六層 陽台
RPSNMLOKKHOFFCC08DA,23,5.30,共用部份,鋼筋混凝土造,85年3月22日,七層,
RPSNMLOKKHOFFCC08DA,23,14.14,共用部份,鋼筋混凝土造,85年3月22日,七層,
RPTNMLPKKHOFFCC18CA,21,103.03,住家用,鋼筋混凝土造,87年3月2日,六層,一層
RPTNMLPKKHOFFCC18CA,21,12.11,共用部份,鋼筋混凝土造,87年3月2日,七層,
RPSNMLOKKHOFFBC87CA,22,24.89,住家用,鋼筋混凝土造,85年11月29日,二十三層,十七層 陽台
RPSNMLOKKHOFFBC87CA,22,4.19,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPSNMLOKKHOFFBC87CA,22,1.69,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPSNMLOKKHOFFBC87CA,22,1.93,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPQNMLQLKHOFFBC97CA,24,106.59,住家用,鋼筋混凝土造,84年1月27日,十層,四層 陽台
RPQNMLQLKHOFFBC97CA,24,15.90,共用部份,鋼筋混凝土造,84年1月27日,十層,
RPQNMLQLKHOFFBC97CA,24,2.51,共用部份,鋼筋混凝土造,84年1月27日,十層,
RPQOMLLLKHOFFCC67CA,20,29.30,住家用,鋼筋混凝土造,87年12月10日,十二層,十層 陽台
RPQOMLLLKHOFFCC67CA,20,5.04,共用部份,鋼筋混凝土造,87年12月10日,十二層,
RPQOMLLLKHOFFCC67CA,20,1.54,共用部份,鋼筋混凝土造,87年12月10日,十二層,
RPQOMLLLKHOFFCC67CA,20,2.89,共用部份,鋼筋混凝土造,87年12月10日,十二層,
RPQNMLMJLHOFFBC47CA,23,64.41,住家用,鋼筋混凝土造,85年3月9日,十五層,九層 陽台
RPQNMLMJLHOFFBC47CA,23,11.24,共用部份,鋼筋混凝土造,85年3月9日,十五層,
RPQNMLMJLHOFFBC47CA,23,36.84,共用部份,鋼筋混凝土造,85年3月9日,十五層,
RPSNMLQJLHOFFBC08CA,1,133.34,集合住宅,鋼筋混凝土造,106年10月18日,十五層,八層 陽台 雨遮
RPSNMLQJLHOFFBC08CA,1,21.58,本共有部分之項目有電梯間、樓梯間、蓄水池及水箱等共四項,鋼筋混凝土造,106年10月18日,十五層,
RPSNMLQJLHOFFBC08CA,1,.67,本共有部分之項目有台電配電室共一項,鋼筋混凝土造,106年10月18日,十五層,
RPSNMLQJLHOFFBC08CA,1,61.74,本共有部分之項目有公設空間、門廳、防空避難室兼停車空間、停車空間、社區中心、機械室、游泳池及管委會辦公室等共八項,鋼筋混凝土造,106年10月18日,十五層,
RPOOMLQLKHOFFBC87CA,20,57.41,住家用,鋼筋混凝土造,88年1月14日,十五層,十層 陽台
RPOOMLQLKHOFFBC87CA,20,3.09,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPOOMLQLKHOFFBC87CA,20,1.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLQLKHOFFBC87CA,20,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLQLKHOFFBC87CA,20,8.47,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPOOMLQLKHOFFBC87CA,20,38.72,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPTNMLOKKHOFFCC08CA,24,147.96,住家用,鋼筋混凝土造,82年9月2日,七層,一層 平台 花台 雨遮
RPTNMLOKKHOFFCC08CA,24,1.25,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPTNMLOKKHOFFCC08CA,24,6.96,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPTNMLOKKHOFFCC08CA,24,1.74,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPTNMLOKKHOFFCC08CA,24,11.41,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPTNMLOKKHOFFCC08CA,24,36.79,防空避難室兼停車場,鋼筋混凝土造,82年9月2日,七層,地下二層
RPTNMLQJLHOFFBC18CA,1,118.92,集合住宅,鋼筋混凝土造,106年10月18日,十五層,十層 陽台 雨遮
RPTNMLQJLHOFFBC18CA,1,24.20,本共有部分之項目有電梯間、樓梯間、蓄水池及水箱等共四項,鋼筋混凝土造,106年10月18日,十五層,
RPTNMLQJLHOFFBC18CA,1,.77,本共有部分之項目有台電配電室共一項,鋼筋混凝土造,106年10月18日,十五層,
RPTNMLQJLHOFFBC18CA,1,59.03,本共有部分之項目有公設空間、門廳、防空避難室兼停車空間、停車空間、社區中心、機械室、游泳池及管委會辦公室等共八項,鋼筋混凝土造,106年10月18日,十五層,
RPTNMLOKKHOFFBC97CA,32,91.12,住家用,鋼筋混凝土造,76年3月23日,五層,四層 陽台
RPSNMLPKKHOFFBC97CA,11,27.98,辦公室,鋼骨鋼筋混凝土造,97年2月4日,三十一層,四層 陽台
RPSNMLPKKHOFFBC97CA,11,5.95,共用部份,鋼骨鋼筋混凝土造,97年2月4日,三十一層,
RPSNMLPKKHOFFBC97CA,11,5.67,共用部份,鋼骨鋼筋混凝土造,97年2月4日,三十一層,
RPTNMLPKKHOFFBC08CA,26,89.62,住家用,鋼筋混凝土造,82年3月25日,五層,五層 陽台 花台
RPTNMLPKKHOFFBC08CA,26,7.88,共用部份,鋼筋混凝土造,82年3月25日,五層,
RPTNMLPKKHOFFBC08CA,26,7.90,共用部份,鋼筋混凝土造,82年3月25日,五層,
RPPNMLSKKHOFFBC97CA,52,64.94,住家用,加強磚造,55年11月11日,二層,一層 二層
RPPNMLSKKHOFFBC97CA,52,62.90,住家用,加強磚造,55年11月11日,三層,一層 二層
RPUNMLPKKHOFFBC18CA,,132.04,住商用,磚造,,四層,一層 二層 三層 四層 騎樓
RPPNMLNLKHOFFCC67CA,25,120.96,住家用,鋼筋混凝土造,83年4月1日,五層,二層 陽台
RPPNMLNLKHOFFCC67CA,25,1.95,共用部份,鋼筋混凝土造,83年4月1日,五層,
RPPNMLNLKHOFFCC67CA,25,8.23,共用部份,鋼筋混凝土造,83年4月1日,五層,
RPUNMLOKKHOFFCC18CA,10,95.81,住家用,鋼筋混凝土造,98年1月14日,十三層,十三層 陽台 雨遮
RPUNMLOKKHOFFCC18CA,10,35.95,共用部份,鋼筋混凝土造,98年1月14日,十三層,
RPRNMLPKKHOFFCC97CA,23,125.92,住家用,鋼筋混凝土造,84年8月22日,十一層,七層 陽台
RPRNMLPKKHOFFCC97CA,23,8.00,共用部份,鋼筋混凝土造,84年8月22日,十一層,
RPRNMLOKKHOFFCC87CA,38,105.12,商業用,鋼筋混凝土造,69年10月14日,五層,一層 騎樓
