編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLPLKHOFFCC87CA,工建段,22.07,都市：住,10000,63,持分移轉,02290000
RPTNMLMKKHOFFCC87CA,新會段,6.83,都市：住,10000,41,持分移轉,02100000
RPQNMLPKKHOFFBC77CA,調和段,10.56,都市：住,100000,73,持分移轉,14130000
RPSNMLOKKHOFFCC08DA,麥金段,26.86,都市：住,10000,31,持分移轉,07070000
RPTNMLPKKHOFFCC18CA,新會段,22.85,都市：住,10000,130,持分移轉,01780000
RPTNMLPKKHOFFCC18CA,新會段,1.67,都市：其他:部份鄰里公園用地部份住宅區,10000,130,持分移轉,01780001
RPTNMLPKKHOFFCC18CA,新會段,1.07,都市：住,10000,130,持分移轉,01780002
RPTNMLPKKHOFFCC18CA,新會段,.09,都市：其他:部份鄰里公園用地部份住宅區,10000,130,持分移轉,01790002
RPTNMLPKKHOFFCC18CA,新會段,4.24,都市：其他:部份鄰里公園用地部份住宅區,10000,130,持分移轉,01810001
RPTNMLPKKHOFFCC18CA,新會段,.62,都市：住,10000,130,持分移轉,01820001
RPTNMLPKKHOFFCC18CA,新會段,1.40,都市：其他:部份鄰里公園用地部份住宅區,10000,130,持分移轉,01820002
RPTNMLPKKHOFFCC18CA,新會段,.14,都市：住,10000,130,持分移轉,01960000
RPRNMLNKKHOFFCC97EA,情人湖段,66.32,都市：工,2,1,持分移轉,02480000
RPSNMLOKKHOFFBC87CA,調和段,5.93,都市：住,100000,41,持分移轉,14130000
RPQNMLQLKHOFFBC97CA,培德段,20.38,都市：住,10000,38,持分移轉,07330000
RPQOMLLLKHOFFCC67CA,新會段,2.91,都市：住,10000,8,持分移轉,00720000
RPQOMLLLKHOFFCC67CA,新會段,.31,都市：其他:道路用地,10000,8,持分移轉,00760001
RPQOMLLLKHOFFCC67CA,新會段,.83,都市：其他:鄰里公園用地,10000,8,持分移轉,01000000
RPQOMLLLKHOFFCC67CA,新會段,.09,都市：住,10000,8,持分移轉,01000001
RPQOMLLLKHOFFCC67CA,新會段,1.91,都市：其他:部份保護區部份住宅區(住二),10000,8,持分移轉,01010000
RPQNMLMJLHOFFBC47CA,調和段,13.58,都市：住,10000,8,持分移轉,14140000
RPQNMLMJLHOFFBC47CA,調和段,.00,都市：其他:道路,10000,8,持分移轉,14140001
RPSNMLQJLHOFFBC08CA,培德段,26.78,都市：住,100000,94,持分移轉,04270000
RPOOMLQLKHOFFBC87CA,長潭段,1.37,都市：住,100000,52,持分移轉,08450000
RPOOMLQLKHOFFBC87CA,長潭段,13.66,都市：住,100000,52,持分移轉,08450003
RPTNMLOKKHOFFCC08CA,武嶺段,.06,都市：其他:道路用地,100000,188,持分移轉,04930000
RPTNMLOKKHOFFCC08CA,武嶺段,.10,都市：其他:道路用地,100000,188,持分移轉,04940000
RPTNMLOKKHOFFCC08CA,武嶺段,7.41,都市：其他:部份道路用地部份住宅區(住一),100000,188,持分移轉,04950000
RPTNMLOKKHOFFCC08CA,武嶺段,.08,都市：其他:道路用地,100000,188,持分移轉,04950001
RPTNMLOKKHOFFCC08CA,武嶺段,.18,都市：住,100000,188,持分移轉,04960000
RPTNMLOKKHOFFCC08CA,武嶺段,3.41,都市：其他:部份道路用地部份住宅區(住一),100000,188,持分移轉,04970000
RPTNMLOKKHOFFCC08CA,武嶺段,.02,都市：其他:道路用地,100000,188,持分移轉,04980000
RPTNMLOKKHOFFCC08CA,武嶺段,7.84,都市：其他:部份道路用地部份住宅區(住一),100000,188,持分移轉,04990000
RPTNMLOKKHOFFCC08CA,武嶺段,.17,都市：其他:道路用地,100000,188,持分移轉,04990001
RPTNMLOKKHOFFCC08CA,武嶺段,.07,都市：其他:道路用地,100000,188,持分移轉,05000000
RPTNMLOKKHOFFCC08CA,武嶺段,.30,都市：其他:道路用地,100000,188,持分移轉,05010000
RPTNMLOKKHOFFCC08CA,武嶺段,.03,都市：其他:部份道路用地部份住宅區(住一),100000,188,持分移轉,05010001
RPTNMLOKKHOFFCC08CA,武嶺段,.17,都市：其他:道路用地,100000,188,持分移轉,05020000
RPTNMLOKKHOFFCC08CA,武嶺段,.03,都市：住,100000,188,持分移轉,05020001
RPTNMLOKKHOFFCC08CA,武嶺段,.04,都市：其他:部份道路用地部份住宅區(住一),100000,188,持分移轉,05060000
RPTNMLOKKHOFFCC08CA,武嶺段,.00,都市：住,100000,188,持分移轉,05060001
RPTNMLOKKHOFFCC08CA,武嶺段,1.69,都市：住,100000,188,持分移轉,05100000
RPTNMLOKKHOFFCC08CA,武嶺段,.12,都市：其他:部份道路用地部份住宅區(住一),100000,188,持分移轉,05110000
RPTNMLOKKHOFFCC08CA,武嶺段,11.13,都市：住,100000,188,持分移轉,05120000
RPTNMLOKKHOFFCC08CA,武嶺段,.00,都市：其他:道路用地,100000,188,持分移轉,05120001
RPTNMLOKKHOFFCC08CA,武嶺段,2.51,都市：住,100000,188,持分移轉,05130000
RPTNMLOKKHOFFCC08CA,武嶺段,.02,都市：住,100000,188,持分移轉,05140000
RPTNMLOKKHOFFCC08CA,武嶺段,.09,都市：住,100000,188,持分移轉,05150000
RPTNMLOKKHOFFCC08CA,武嶺段,.04,都市：住,100000,188,持分移轉,05160000
RPTNMLOKKHOFFCC08CA,武嶺段,3.83,都市：住,100000,188,持分移轉,05170000
RPTNMLOKKHOFFCC08CA,武嶺段,.08,都市：住,100000,188,持分移轉,05190000
RPTNMLOKKHOFFCC08CA,武嶺段,.04,都市：住,100000,188,持分移轉,05240000
RPTNMLOKKHOFFCC08CA,武嶺段,.02,都市：住,100000,188,持分移轉,05250000
RPTNMLOKKHOFFCC08CA,武嶺段,.05,都市：住,100000,188,持分移轉,05270000
RPTNMLOKKHOFFCC08CA,武嶺段,.03,都市：住,100000,188,持分移轉,05280000
RPTNMLOKKHOFFCC08CA,武嶺段,.12,都市：其他:道路用地,100000,188,持分移轉,05280001
RPTNMLOKKHOFFCC08CA,武嶺段,.07,都市：住,100000,188,持分移轉,05290000
RPTNMLOKKHOFFCC08CA,武嶺段,.00,都市：其他:道路用地,100000,188,持分移轉,05290001
RPTNMLQJLHOFFBC18CA,培德段,23.93,都市：住,100000,84,持分移轉,04270000
RPSNMLKLKHOFFBC57CA,成功段,169.00,都市：住,1,1,全筆移轉,08800000
