編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLPLKHOFFCC87CA,坡道平面,0,,
RPQNMLMJLHOFFBC47CA,坡道平面,0,,
RPSNMLQJLHOFFBC08CA,坡道平面,1050000,35.96,
RPOOMLQLKHOFFBC87CA,坡道平面,0,,
RPTNMLOKKHOFFCC08CA,坡道平面,0,,
RPTNMLQJLHOFFBC18CA,坡道平面,1050000,35.96,
RPUNMLQJLHOFFBC28CA,坡道平面,1150000,31.21,
RPWNMLQJLHOFFBC48CA,坡道平面,0,35.96,
RPWNMLQJLHOFFBC48CA,坡道平面,0,35.96,
RPQNMLQJLHOFFBC87CA,坡道平面,1000000,35.96,
RPRNMLQJLHOFFBC97CA,坡道平面,1000000,35.96,
RPROMLSKKHOFFCC38CA,坡道平面,800000,35.85,
SPROMLSKKHOFFCC48CA,坡道平面,800000,35.85,
RPVNMLRJLHOFFBC58DA,坡道平面,0,,
RPVNMLRJLHOFFBC58DA,升降機械,0,,
RPXNMLSKKHOFFCC88CA,坡道平面,800000,35.85,
RPWNMLSKKHOFFCC78CA,坡道平面,800000,35.85,
RPPOMLSKKHOFFCC18CA,坡道平面,900000,35.85,
RPOOMLSKKHOFFCC08CA,坡道平面,800000,35.85,
RPVNMLSKKHOFFCC68CA,坡道平面,800000,35.85,
SPVNMLSKKHOFFCC78CA,坡道平面,800000,35.85,
RPQOMLSKKHOFFCC28CA,坡道平面,900000,35.85,
RPUNMLPLKHOFFBC28CA,坡道平面,0,,
RPRNMLSKKHOFFBC18CA,坡道機械,0,14.59,
RPTNMLKLKHOFFCC77CA,坡道平面,0,,
RPTNMLKLKHOFFCC77CA,坡道平面,0,,
RPSNMLPJLHOFFCC08CA,坡道平面,0,,
RPPNMLTKKHOFFCC18CA,坡道平面,0,,
RPXNMLPLKHOFFCC68CA,坡道平面,0,,
RPOOMLTKKHOFFCC18CA,升降機械,0,,
RPQNMLKLKHOFFCC47CA,坡道平面,0,,
RPTNMLLLKHOFFBC77CA,坡道平面,0,,
RPXNMLQLKHOFFCC78CA,坡道平面,0,,
RPTNMLPJLHOFFBC08CA,坡道平面,0,,
RPPNMLRJLHOFFCC97CA,坡道平面,1000000,15.87,
RPSNMLPLKHOFFBC08CA,坡道平面,0,,
RPPNMLNLKHOFFBC57CA,坡道平面,0,36.53,
RPTNMLMLKHOFFCC97CA,坡道平面,800000,34.69,
RPQNMLOJLHOFFCC77CA,坡道平面,1100000,30.04,
RPXNMLRJLHOFFCC78CA,坡道平面,0,,
RPSOMLLLKHOFFCC87CA,坡道平面,0,,
RPTNMLMLKHOFFBC87CA,坡道機械,0,,
RPQOMLRJLHOFFBC08CA,一樓平面,0,,
RPRNMLRJLHOFFCC18CA,坡道平面,900000,15.87,
RPOOMLMLKHOFFCC57CA,坡道平面,1300000,42.95,
RPPOMLMLKHOFFCC67CA,坡道平面,0,,
RPSNMLRJLHOFFCC28CA,坡道平面,1000000,15.87,
RPTNMLRJLHOFFCC38CA,坡道平面,900000,15.87,
RPQNMLRKLHOFFCC18CA,坡道平面,0,,
RPVNMLQLKHOFFBC48CA,坡道機械,0,,
RPUNMLMKLHOFFBC97CA,坡道平面,0,,
RPPOMLRJLHOFFBC08DA,坡道平面,0,,
RPPNMLKKLHOFFCC37CA,坡道平面,0,,
RPSNMLOJLHOFFCC08DA,坡道平面,0,,
RPPNMLTJMHOFFBC38EA,坡道平面,0,,
RPPNMLPJLHOFFCC77CA,坡道機械,0,,
RPPOMLRJLHOFFCC08CA,坡道機械,0,,
RPPOMLRJLHOFFCC08CA,坡道機械,0,,
RPQNMLLKLHOFFCC57CA,坡道平面,0,,
RPTNMLRLKHOFFCC48CA,坡道平面,0,,
RPRNMLOJLHOFFBC77CA,坡道平面,0,,
RPPNMLOKLHOFFCC77CA,坡道平面,0,33.57,
RPPNMLLKLHOFFCC47CA,坡道平面,0,,
RPPNMLLKLHOFFCC47CA,坡道平面,0,,
RPVNMLNKLHOFFBC18CA,坡道平面,0,,
RPPNMLMKLHOFFBC47CA,坡道平面,750000,34.17,
RPXNMLSJLHOFFBC78CA,坡道平面,70000,1.80,
RPXNMLSJLHOFFBC78CA,坡道平面,70000,1.80,
RPVNMLTKLHOFFCC88CA,坡道平面,1050000,27.94,
RPVNMLTKLHOFFCC88CA,坡道平面,1050000,27.94,
RPPPMLRLLHOFFBC28CA,坡道平面,1000000,35.96,
RPPNMLMKLHOFFCC57CA,坡道平面,500000,32.88,
RPPNMLSKLHOFFBC08CA,一樓平面,0,22.26,
RPRNMLMKLHOFFCC97EA,坡道平面,0,32.04,
RPPNMLPKLHOFFCC08EA,坡道平面,0,,
RPROMLRLLHOFFBC38CA,坡道平面,1200000,35.96,
RPUOMLRLLHOFFBC68CA,坡道平面,1200000,35.96,
RPSOMLRLLHOFFBC48CA,坡道平面,1050000,35.96,
RPVOMLRLLHOFFBC78CA,坡道平面,1050000,35.96,
RPTOMLRLLHOFFBC58CA,坡道平面,1150000,31.21,
RPRNMLNKLHOFFCC87CA,坡道平面,100000,1.88,
RPRNMLKLLHOFFBC57CA,升降機械,0,15.41,
RPRNMLSKLHOFFBC28CA,坡道平面,0,,
RPRNMLSKLHOFFBC28CA,坡道平面,0,,
RPRNMLSKLHOFFBC28CA,坡道平面,0,,
RPRNMLSKLHOFFBC28CA,坡道平面,0,,
RPXNMLRJLHOFFBC68CA,坡道平面,0,24.17,
RPPNMLLKLHOFFBC37CA,坡道平面,0,,
RPROMLRJLHOFFBC18CA,升降機械,0,,
RPSNMLSJLHOFFBC28CA,坡道機械,0,9.82,
RPSNMLSJLHOFFBC28CA,坡道機械,0,9.82,
RPSNMLLKLHOFFBC67CA,坡道平面,0,,
RPTPMLOKLHOFFCC38CA,坡道平面,0,,
RPQNMLRJLHOFFCC08CA,坡道平面,1000000,15.87,
RPTNMLMKLHOFFCC97CA,坡道平面,1100000,26.48,
RPSNMLSKLHOFFCC48CA,坡道平面,0,,
RPPNMLPKLHOFFBC77CA,坡道平面,0,,
RPROMLSKLHOFFBC38CA,坡道平面,0,24.17,
RPQSMLRLLHOFFCC78CA,坡道平面,800000,35.85,
RPRPMLLLLHOFFCC08DA,坡道平面,0,,
RPROMLMJMHOFFCC87CA,坡道機械,300000,17.93,
RPPNMLRKLHOFFCC08CA,坡道平面,0,,
SPOOMLNJMHOFFCC77CA,坡道平面,580000,34.37,
RPOOMLNJMHOFFCC67CA,坡道平面,580000,34.37,
RPSNMLQKLHOFFBC18CA,坡道平面,0,,
RPUNMLNKLHOFFBC08CA,坡道平面,650000,41.38,
RPQNMLTKLHOFFCC38CA,坡道平面,0,,
RPSOMLOKLHOFFCC18CA,坡道平面,1100000,26.48,
RPQPNLKMLHOFFCC97CA,坡道平面,0,,
RPWNMLPKLHOFFCC58CA,坡道平面,0,,
RPUNMLMJMHOFFBC97CA,坡道平面,0,,
RPPNMLSLLHOFFCC28CA,坡道機械,0,,
RPUOMLMJMHOFFCC18CA,坡道平面,0,,
RPPNMLQKLHOFFBC87CA,坡道平面,360000,36.84,
RPRNMLPKLHOFFBC97CA,坡道平面,0,,
RPWNMLPKLHOFFBC48CA,坡道平面,0,,
RPQNMLKLLHOFFBC47CA,坡道平面,0,24.17,
RPWNMLSKLHOFFBC78CA,坡道平面,0,,
RPQNMLPLLHOFFBC97CA,坡道平面,0,,
RPQNMLPLLHOFFBC97CA,坡道平面,0,,
RPTNMLKLLHOFFBC87DA,坡道平面,0,,
RPVNMLPKLHOFFCC48CA,坡道平面,0,36.40,
RPWNMLTKLHOFFCC98CA,坡道平面,1300000,42.95,
RPXNMLTLLHOFFBC09CA,坡道平面,0,,
RPOSMLRLLHOFFCC58CA,坡道平面,0,,
RPXNMLLJMHOFFCC28CA,坡道平面,0,,
RPRNMLQLLHOFFBC28DA,坡道平面,0,,
RPOPMLSLLHOFFBC28CA,坡道平面,1100000,25.92,
RPSNMLTJMHOFFBC48CA,坡道機械,1100000,36.15,
RPUNMLTJMHOFFBC68CA,坡道機械,1100000,36.15,
RPTNMLTJMHOFFBC58CA,坡道機械,1200000,36.15,
RPXNMLTJMHOFFBC98CA,坡道機械,1100000,36.15,
RPTNMLRLLHOFFBC48CA,坡道平面,1200000,35.96,
RPXNMLSJMHOFFBC88CA,坡道平面,0,24.17,
RPQNMLLLLHOFFCC67CA,坡道平面,0,,
RPVTMLTKLHOFFCC86CA,坡道平面,0,,
RPVNMLRLLHOFFBC68CA,坡道平面,1200000,35.96,
RPWNMLRLLHOFFBC78CA,坡道平面,1050000,35.96,
RPUNMLRLLHOFFBC58CA,坡道平面,1050000,35.96,
RPPOMLTLLHOFFCC48CA,坡道平面,0,,
RPPNMLNJMHOFFCC87EA,坡道平面,0,27.04,
RPXNMLRLLHOFFBC88CA,坡道平面,1050000,35.96,
RPPOMLRLLHOFFBC18CA,坡道平面,950000,31.21,
RPWNMLSLLHOFFCC98CA,坡道平面,900000,15.87,
RPSNMLRLLHOFFBC38CA,坡道平面,1050000,35.96,
RPRNMLRLLHOFFBC28CA,坡道平面,1050000,35.96,
RPXNMLSLLHOFFCC09CA,坡道平面,1000000,15.87,
RPOOMLSLLHOFFCC28CA,坡道平面,1000000,15.87,
RPPOMLSLLHOFFCC38CA,坡道平面,1000000,15.87,
RPTNMLMLLHOFFCC08CA,坡道平面,1300000,42.95,
RPSNMLQLLHOFFCC38CA,坡道平面,0,37.06,
RPQNMLPKMHOFFCC08CA,坡道平面,0,,
RPVNMLMLLHOFFCC48EA,坡道平面,0,,
RPRNMLQLLHOFFCC28CA,坡道平面,0,37.06,
RPTNMLPLLHOFFCC38CA,坡道平面,1700000,32.55,
RPXNMLPLLHOFFCC78CA,坡道平面,1750000,33.36,
RPOOMLPLLHOFFCC97CA,坡道平面,1750000,33.36,
RPPOMLPLLHOFFCC08CA,坡道平面,1750000,33.36,
RPQOMLPLLHOFFCC18CA,坡道平面,1850000,33.36,
RPROMLSLLHOFFCC58CA,坡道平面,1000000,15.87,
RPTOMLSLLHOFFCC78CA,坡道平面,1000000,13.47,
RPRNMLLJMHOFFBC57CA,坡道平面,0,,
RPTNMLLJMHOFFBC77CA,升降機械,0,11.89,
RPTNMLLJMHOFFBC77CA,升降機械,0,11.89,
RPTNMLLJMHOFFBC77CA,升降機械,0,11.89,
RPTNMLLJMHOFFBC77CA,升降機械,0,11.89,
RPTNMLLJMHOFFBC77CA,升降機械,0,11.89,
RPTNMLLJMHOFFBC77CA,升降機械,0,11.89,
RPTNMLLJMHOFFBC77CA,升降機械,0,11.89,
RPROMLTJMHOFFBC48CA,坡道平面,0,,
RPVOMLSJMHOFFCC88CA,坡道平面,200000,29.28,
RPWNMLPLLHOFFBC58CA,坡道平面,0,8.79,
RPQNMLRLLHOFFBC18CA,坡道平面,1050000,35.96,
RPXNMLQKMHOFFCC88CA,一樓平面,0,,
RPXNMLQKMHOFFCC88CA,一樓平面,0,,
RPROMLQKMHOFFCC38CA,坡道平面,600000,35.85,
RPPOMLQKMHOFFCC18CA,坡道平面,1050000,27.94,
RPSOMLQKMHOFFCC48CA,坡道平面,800000,35.85,
RPRNMLRLLHOFFCC38CA,坡道平面,0,,
RPWNMLTJMHOFFBC88CA,坡道機械,1200000,36.15,
RPRPMLRLLHOFFBC48CA,坡道平面,0,,
RPPNMLMKMHOFFCC67CA,坡道平面,1900000,32.20,
RPPNMLMKMHOFFCC67CA,坡道平面,1800000,29.51,
RPTOMLSLLHOFFBC78DA,坡道平面,0,,
RPVNMLNJMHOFFCC28CA,坡道平面,0,,
RPOOMLOLMHOFFBC87CA,坡道平面,550000,40.41,
RPQNMLQJMHOFFCC08CA,坡道平面,0,,
RPQNMLRKMHOFFCC28CA,坡道平面,1050000,27.94,
RPPNMLKMLHOFFCC57CA,坡道機械,0,,
RPQNMLTLLHOFFCC48CA,坡道平面,0,,
RPWNMLTLLHOFFCC09CA,坡道平面,0,,
RPPNMLSJMHOFFCC18CA,坡道平面,1100000,15.87,
RPSNMLTJMHOFFCC78EA,坡道平面,1300000,21.06,
RPRNMLMJMHOFFCC77CA,升降機械,0,17.02,
RPRNMLMJMHOFFCC77CA,升降機械,0,17.02,
RPQNMLSJMHOFFCC28CA,坡道平面,1000000,13.47,
RPWNMLSJMHOFFCC88CA,坡道平面,1000000,15.87,
RPWNMLSJMHOFFCC88CA,坡道平面,1000000,15.87,
RPTNMLSJMHOFFCC58CA,坡道平面,1100000,15.87,
RPPOMLMLMHOFFCC87CA,坡道平面,0,36.40,
RPTNMLSJMHOFFBC48CA,坡道平面,950000,47.38,
RPOOMLTJMHOFFBC18CA,坡道機械,1100000,36.15,
RPOOMLTLLHOFFBC28CA,坡道平面,0,,
RPQNMLLJMHOFFBC47CA,坡道平面,0,24.17,
RPSOMLTLLHOFFBC68CA,坡道平面,0,,
RPPNMLRJMHOFFBC97CA,坡道平面,0,24.17,
RPROMLSJMHOFFCC58DA,坡道平面,0,,
RPUNMLSJMHOFFCC68CA,坡道平面,900000,13.47,
RPVNMLSJMHOFFCC78CA,坡道平面,950000,13.47,
RPTOMLSJMHOFFCC68CA,坡道平面,0,,
RPVNMLMJMHOFFCC18CA,坡道平面,0,15.87,
RPSNMLQKMHOFFBC28CA,坡道平面,0,31.79,
RPVNMLQKMHOFFBC58CA,坡道平面,0,24.52,
RPVNMLQKMHOFFBC58CA,坡道平面,0,24.52,
RPUNMLNJMHOFFCC18CA,坡道平面,0,,
RPSNMLSJMHOFFCC48CA,坡道平面,1100000,15.87,
RPQNMLSJMHOFFBC18CA,升降機械,0,,
RPRNMLKKMHOFFBC57CA,坡道平面,0,,
RPUNMLKKMHOFFBC87CA,坡道平面,0,,
RPRNMLRKMHOFFBC28CA,坡道平面,0,19.65,
RPTNMLTJMHOFFCC88EA,坡道平面,0,,
RPRNMLMKMHOFFBC87DA,坡道平面,0,,
RPRNMLKLMHOFFCC77CA,坡道平面,0,32.04,
RPQNMLNKMHOFFBC77CA,坡道平面,0,32.10,
RPWNMLLKMHOFFCC28CA,坡道機械,0,,
RPSNMLMKMHOFFBC87CA,坡道平面,0,24.17,
RPPNMLSLMHOFFCC38CA,坡道平面,0,39.72,
RPPNMLPLMHOFFBC97CA,坡道平面,1400000,37.18,
RPRNMLPLMHOFFBC18CA,坡道機械,1100000,36.15,
RPXNMLTLMHOFFBC56CA,坡道平面,1200000,35.96,
RPQNMLTLMHOFFBC48CA,坡道平面,1050000,35.96,
RPPNMLTLMHOFFBC38CA,坡道平面,950000,31.21,
RPOOMLTLMHOFFBC38CA,坡道平面,1200000,35.96,
RPRNMLTLMHOFFBC58CA,坡道平面,1050000,35.96,
RPQOMLTLMHOFFBC58CA,坡道平面,950000,31.21,
RPSNMLPLMHOFFBC28CA,坡道機械,1100000,36.15,
RPVNMLTLMHOFFBC98CA,坡道平面,1050000,35.96,
RPWNMLTLMHOFFBC09CA,坡道平面,1150000,31.21,
RPUNMLTLMHOFFBC88CA,坡道平面,950000,31.21,
RPTNMLMKMHOFFBC08DA,坡道平面,0,,
RPTNMLMKMHOFFBC08DA,坡道平面,0,,
RPRNMLKKMHOFFCC67CA,一樓平面,0,,
RPPNMLPKMHOFFCC97CA,坡道平面,350000,17.87,
RPVOMLTKMHOFFCC09CA,坡道平面,0,,
RPPOMLMJNHOFFCC77CA,坡道平面,0,15.87,
RPROMLSKMHOFFCC58CA,坡道平面,0,,
RPSNMLSKMHOFFCC58CA,坡道平面,0,,
RPPNMLQKMHOFFCC08CA,坡道平面,1750000,33.36,
RPRNMLQKMHOFFCC28CA,坡道平面,1650000,33.36,
RPQNMLQKMHOFFCC18CA,坡道平面,1750000,33.36,
RPPNMLOKMHOFFBC77CA,升降機械,0,,
RPUNMLMKMHOFFBC08CA,坡道平面,0,,
RPUOMLTLMHOFFCC66EA,一樓平面,0,,
RPWNMLPKMHOFFCC68CA,坡道平面,0,,
RPSNMLQKMHOFFCC38CA,坡道平面,0,33.36,
RPSNMLQKMHOFFCC38CA,坡道平面,0,33.36,
RPTNMLQKMHOFFCC48CA,坡道平面,1700000,33.36,
RPUNMLQKMHOFFCC58CA,坡道平面,1750000,33.36,
RPVNMLQKMHOFFCC68CA,坡道平面,1750000,33.36,
RPWNMLQKMHOFFCC78CA,坡道平面,1700000,32.55,
RPXOMLQKMHOFFCC98CA,坡道機械,0,,
RPUOMLRKMHOFFCC78CA,坡道平面,0,,
RPTNMLRKMHOFFCC58CA,坡道平面,0,,
RPSNMLKLMHOFFCC87CA,坡道平面,0,32.04,
