編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLRLLHOFFCC28CB,五堵段五堵北小段,28.28,都市：住,10000,95,持分移轉,06470000
RPQOMLRLLHOFFCC48CB,五堵段五堵北小段,28.28,都市：住,10000,95,持分移轉,06470000
RPPOMLRLLHOFFCC38CB,五堵段五堵北小段,28.28,都市：住,10000,95,持分移轉,06470000
RPUOMLRLLHOFFCC88CB,五堵段五堵北小段,28.28,都市：住,10000,95,持分移轉,06470000
RPTOMLRLLHOFFCC78CB,五堵段五堵北小段,28.28,都市：住,10000,95,持分移轉,06470000
RPROMLRLLHOFFCC58CB,五堵段五堵北小段,28.28,都市：住,10000,95,持分移轉,06470000
RPOPMLRLLHOFFCC38CB,五堵段五堵北小段,33.94,都市：住,10000,114,持分移轉,06470000
RPPPMLRLLHOFFCC48CB,五堵段五堵北小段,33.64,都市：住,10000,113,持分移轉,06470000
RPSOMLRLLHOFFCC68CB,五堵段五堵北小段,28.28,都市：住,10000,95,持分移轉,06470000
RPXOMLRLLHOFFCC56CB,五堵段五堵北小段,33.64,都市：住,10000,113,持分移轉,06470000
RPRPMLRLLHOFFCC68CB,五堵段五堵北小段,33.94,都市：住,10000,114,持分移轉,06470000
RPTPMLRLLHOFFCC88CB,五堵段五堵北小段,33.64,都市：住,10000,113,持分移轉,06470000
RPXPMLRLLHOFFCC66CB,五堵段五堵北小段,19.65,都市：住,10000,66,持分移轉,06470000
RPVPMLRLLHOFFCC09CB,五堵段五堵北小段,19.65,都市：住,10000,66,持分移轉,06470000
RPOQMLRLLHOFFCC48CB,五堵段五堵北小段,19.65,都市：住,10000,66,持分移轉,06470000
RPQQMLRLLHOFFCC68CB,五堵段五堵北小段,19.65,都市：住,10000,66,持分移轉,06470000
RPQPMLRLLHOFFCC58CB,五堵段五堵北小段,33.94,都市：住,10000,114,持分移轉,06470000
RPPQMLRLLHOFFCC58CB,五堵段五堵北小段,19.65,都市：住,10000,66,持分移轉,06470000
RPRQMLRLLHOFFCC78CB,五堵段五堵北小段,19.65,都市：住,10000,66,持分移轉,06470000
RPWPMLRLLHOFFCC56CB,五堵段五堵北小段,19.35,都市：住,10000,65,持分移轉,06470000
RPWQMLRLLHOFFCC66CB,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,06470000
RPTQMLRLLHOFFCC98CB,五堵段五堵北小段,19.65,都市：住,10000,66,持分移轉,06470000
RPSQMLRLLHOFFCC88CB,五堵段五堵北小段,19.35,都市：住,10000,65,持分移轉,06470000
RPXQMLRLLHOFFCC76CB,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,06470000
RPSRMLRLLHOFFCC98CB,五堵段五堵北小段,28.28,都市：住,10000,95,持分移轉,06470000
RPUQMLRLLHOFFCC09CB,五堵段五堵北小段,19.65,都市：住,10000,66,持分移轉,06470000
RPPRMLRLLHOFFCC68CB,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,06470000
RPORMLRLLHOFFCC58CB,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,06470000
RPRRMLRLLHOFFCC88CB,五堵段五堵北小段,28.28,都市：住,10000,95,持分移轉,06470000
RPTOMLTLLHOFFCC98CB,五堵段五堵北小段,33.64,都市：住,10000,113,持分移轉,06470000
RPTRMLRLLHOFFCC09CB,五堵段五堵北小段,28.28,都市：住,10000,95,持分移轉,06470000
RPWRMLRLLHOFFCC76CB,五堵段五堵北小段,37.51,都市：住,10000,126,持分移轉,06470000
RPURMLRLLHOFFCC56CB,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,06470000
RPWOMLTLLHOFFCC66CB,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,06470000
RPSOMLTLLHOFFCC88CB,五堵段五堵北小段,33.64,都市：住,10000,113,持分移轉,06470000
RPVOMLTLLHOFFCC56CB,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,06470000
RPVRMLRLLHOFFCC66CB,五堵段五堵北小段,37.51,都市：住,10000,126,持分移轉,06470000
RPUOMLTLLHOFFCC09CB,五堵段五堵北小段,19.65,都市：住,10000,66,持分移轉,06470000
RPQNMLKMLHOFFCC77CB,武嶺段,.28,都市：住,100000,634,持分移轉,05690000
RPXOMLTLLHOFFCC76CB,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,06470000
RPRNMLKMLHOFFCC87CB,武嶺段,.28,都市：住,100000,634,持分移轉,05690000
RPSNMLKMLHOFFCC97CB,武嶺段,.28,都市：住,100000,634,持分移轉,05690000
RPQOMLKMLHOFFCC87CB,武嶺段,.14,都市：住,100000,444,持分移轉,05690000
RPPOMLKMLHOFFCC77CB,武嶺段,.14,都市：住,100000,444,持分移轉,05690000
RPXNMLKMLHOFFCC48CB,武嶺段,.10,都市：住,100000,380,持分移轉,05690000
RPSOMLKMLHOFFCC08CB,武嶺段,.10,都市：住,100000,383,持分移轉,05690000
RPWNMLKMLHOFFCC38CB,武嶺段,.14,都市：住,100000,444,持分移轉,05690000
RPVNMLKMLHOFFCC28CB,武嶺段,.14,都市：住,100000,444,持分移轉,05690000
RPUNMLKMLHOFFCC18CB,武嶺段,.10,都市：住,100000,380,持分移轉,05690000
RPOOMLKMLHOFFCC67CB,武嶺段,.14,都市：住,100000,444,持分移轉,05690000
RPROMLKMLHOFFCC97CB,武嶺段,.14,都市：住,100000,444,持分移轉,05690000
RPTNMLKMLHOFFCC08CB,武嶺段,.28,都市：住,100000,634,持分移轉,05690000
RPUOMLKMLHOFFCC28CB,武嶺段,.15,都市：住,100000,460,持分移轉,05690000
RPWOMLKMLHOFFCC48CB,武嶺段,.15,都市：住,100000,460,持分移轉,05690000
RPOPMLKMLHOFFCC77CB,武嶺段,.14,都市：住,100000,444,持分移轉,05690000
RPVOMLKMLHOFFCC38CB,武嶺段,.15,都市：住,100000,460,持分移轉,05690000
RPPPMLKMLHOFFCC87CB,武嶺段,.14,都市：住,100000,444,持分移轉,05690000
RPRPMLKMLHOFFCC08CB,武嶺段,.14,都市：住,100000,444,持分移轉,05690000
RPQPMLKMLHOFFCC97CB,武嶺段,.14,都市：住,100000,444,持分移轉,05690000
RPSPMLKMLHOFFCC18CB,武嶺段,.14,都市：住,100000,444,持分移轉,05690000
RPTOMLKMLHOFFCC18CB,武嶺段,.15,都市：住,100000,460,持分移轉,05690000
RPWPMLKMLHOFFCC58CB,武嶺段,.14,都市：住,100000,450,持分移轉,05690000
RPUPMLKMLHOFFCC38CB,武嶺段,.11,都市：住,100000,389,持分移轉,05690000
RPXPMLKMLHOFFCC68CB,武嶺段,.14,都市：住,100000,450,持分移轉,05690000
RPVPMLKMLHOFFCC48CB,武嶺段,.14,都市：住,100000,450,持分移轉,05690000
RPXOMLKMLHOFFCC58CB,武嶺段,.15,都市：住,100000,460,持分移轉,05690000
RPOQMLKMLHOFFCC87CB,武嶺段,.14,都市：住,100000,450,持分移轉,05690000
RPQQMLKMLHOFFCC08CB,武嶺段,.14,都市：住,100000,450,持分移轉,05690000
RPTPMLKMLHOFFCC28CB,武嶺段,.14,都市：住,100000,444,持分移轉,05690000
RPRQMLKMLHOFFCC18CB,武嶺段,.11,都市：住,100000,397,持分移轉,05690000
RPVQMLKMLHOFFCC58CB,武嶺段,.13,都市：住,100000,435,持分移轉,05690000
RPPQMLKMLHOFFCC97CB,武嶺段,.14,都市：住,100000,450,持分移轉,05690000
RPTQMLKMLHOFFCC38CB,武嶺段,.13,都市：住,100000,435,持分移轉,05690000
RPWQMLKMLHOFFCC68CB,武嶺段,.30,都市：住,100000,648,持分移轉,05690000
RPSQMLKMLHOFFCC28CB,武嶺段,.13,都市：住,100000,435,持分移轉,05690000
RPUQMLKMLHOFFCC48CB,武嶺段,.13,都市：住,100000,435,持分移轉,05690000
RPTRMLKMLHOFFCC48CB,武嶺段,.30,都市：住,100000,652,持分移轉,05690000
RPSRMLKMLHOFFCC38CB,武嶺段,.30,都市：住,100000,652,持分移轉,05690000
RPRRMLKMLHOFFCC28CB,武嶺段,.30,都市：住,100000,652,持分移轉,05690000
RPQRMLKMLHOFFCC18CB,武嶺段,.30,都市：住,100000,648,持分移轉,05690000
RPXQMLKMLHOFFCC78CB,武嶺段,.30,都市：住,100000,648,持分移轉,05690000
RPURMLKMLHOFFCC58CB,武嶺段,.14,都市：住,100000,445,持分移轉,05690000
RPPRMLKMLHOFFCC08CB,武嶺段,.30,都市：住,100000,648,持分移轉,05690000
RPWRMLKMLHOFFCC78CB,武嶺段,.14,都市：住,100000,449,持分移轉,05690000
RPORMLKMLHOFFCC97CB,武嶺段,.30,都市：住,100000,648,持分移轉,05690000
RPVRMLKMLHOFFCC68CB,武嶺段,.14,都市：住,100000,445,持分移轉,05690000
RPQSMLKMLHOFFCC28CB,武嶺段,.14,都市：住,100000,440,持分移轉,05690000
RPXRMLKMLHOFFCC88CB,武嶺段,.31,都市：住,100000,666,持分移轉,05690000
RPOSMLKMLHOFFCC08CB,武嶺段,.31,都市：住,100000,666,持分移轉,05690000
RPPSMLKMLHOFFCC18CB,武嶺段,.14,都市：住,100000,440,持分移轉,05690000
RPUSMLKMLHOFFCC68CB,武嶺段,.31,都市：住,100000,659,持分移轉,05690000
RPRSMLKMLHOFFCC38CB,武嶺段,.14,都市：住,100000,440,持分移轉,05690000
RPWSMLKMLHOFFCC88CB,武嶺段,.31,都市：住,100000,659,持分移轉,05690000
RPSSMLKMLHOFFCC48CB,武嶺段,.14,都市：住,100000,440,持分移轉,05690000
RPTSMLKMLHOFFCC58CB,武嶺段,.14,都市：住,100000,440,持分移轉,05690000
RPVSMLKMLHOFFCC78CB,武嶺段,.31,都市：住,100000,659,持分移轉,05690000
RPOTMLKMLHOFFCC18CB,武嶺段,.14,都市：住,100000,446,持分移轉,05690000
RPRTMLKMLHOFFCC48CB,武嶺段,.14,都市：住,100000,446,持分移轉,05690000
RPXSMLKMLHOFFCC98CB,武嶺段,.31,都市：住,100000,659,持分移轉,05690000
RPTTMLKMLHOFFCC68CB,武嶺段,.14,都市：住,100000,446,持分移轉,05690000
RPPTMLKMLHOFFCC28CB,武嶺段,.14,都市：住,100000,446,持分移轉,05690000
RPQTMLKMLHOFFCC38CB,武嶺段,.14,都市：住,100000,446,持分移轉,05690000
RPSTMLKMLHOFFCC58CB,武嶺段,.14,都市：住,100000,446,持分移轉,05690000
RPPUMLKMLHOFFCC38CB,武嶺段,.27,都市：住,100000,625,持分移轉,05690000
RPQUMLKMLHOFFCC48CB,武嶺段,.27,都市：住,100000,625,持分移轉,05690000
RPTUMLKMLHOFFCC78CB,武嶺段,.14,都市：住,100000,448,持分移轉,05690000
RPXTMLKMLHOFFCC09CB,武嶺段,.27,都市：住,100000,625,持分移轉,05690000
RPRUMLKMLHOFFCC58CB,武嶺段,.27,都市：住,100000,625,持分移轉,05690000
RPWTMLKMLHOFFCC98CB,武嶺段,.14,都市：住,100000,446,持分移轉,05690000
RPOUMLKMLHOFFCC28CB,武嶺段,.27,都市：住,100000,625,持分移轉,05690000
RPSUMLKMLHOFFCC68CB,武嶺段,.14,都市：住,100000,448,持分移轉,05690000
RPUTMLKMLHOFFCC78CB,武嶺段,.14,都市：住,100000,446,持分移轉,05690000
RPVTMLKMLHOFFCC88CB,武嶺段,.14,都市：住,100000,446,持分移轉,05690000
RPPVMLKMLHOFFCC48CB,武嶺段,.14,都市：住,100000,447,持分移轉,05690000
RPXUMLKMLHOFFCC56CB,武嶺段,.14,都市：住,100000,441,持分移轉,05690000
RPVUMLKMLHOFFCC98CB,武嶺段,.31,都市：住,100000,665,持分移轉,05690000
RPOVMLKMLHOFFCC38CB,武嶺段,.14,都市：住,100000,441,持分移轉,05690000
RPQVMLKMLHOFFCC58CB,武嶺段,.29,都市：住,100000,646,持分移轉,05690000
RPUUMLKMLHOFFCC88CB,武嶺段,.14,都市：住,100000,448,持分移轉,05690000
RPRVMLKMLHOFFCC68CB,武嶺段,.29,都市：住,100000,646,持分移轉,05690000
RPWUMLKMLHOFFCC09CB,武嶺段,.14,都市：住,100000,441,持分移轉,05690000
RPTVMLKMLHOFFCC88CB,武嶺段,.14,都市：住,100000,450,持分移轉,05690000
RPWVMLKMLHOFFCC56CB,武嶺段,.14,都市：住,100000,450,持分移轉,05690000
RPQWMLKMLHOFFCC68CB,武嶺段,.29,都市：住,100000,645,持分移轉,05690000
RPOWMLKMLHOFFCC48CB,武嶺段,.29,都市：住,100000,645,持分移轉,05690000
RPSVMLKMLHOFFCC78CB,武嶺段,.29,都市：住,100000,646,持分移轉,05690000
RPUVMLKMLHOFFCC98CB,武嶺段,.14,都市：住,100000,450,持分移轉,05690000
RPRWMLKMLHOFFCC78CB,武嶺段,.14,都市：住,100000,440,持分移轉,05690000
RPPWMLKMLHOFFCC58CB,武嶺段,.29,都市：住,100000,645,持分移轉,05690000
RPXVMLKMLHOFFCC66CB,武嶺段,.14,都市：住,100000,450,持分移轉,05690000
RPVVMLKMLHOFFCC09CB,武嶺段,.14,都市：住,100000,450,持分移轉,05690000
RPVWMLKMLHOFFCC56CB,武嶺段,.14,都市：住,100000,440,持分移轉,05690000
RPUWMLKMLHOFFCC09CB,武嶺段,.14,都市：住,100000,440,持分移轉,05690000
RPQNNLKMLHOFFCC87CB,武嶺段,.14,都市：住,100000,450,持分移轉,05690000
RPTWMLKMLHOFFCC98CB,武嶺段,.14,都市：住,100000,440,持分移轉,05690000
RPONNLKMLHOFFCC67CB,武嶺段,.14,都市：住,100000,450,持分移轉,05690000
