編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLQJLHOFFCC58CC,武嶺段,251.17,都市：住,,,,03610000
RPRNMLNKLHOFFBC08DC,光明段,10.07,都市：住,,,,01210000
RPQNMLMLLHOFFBC87CC,深美段,7.67,都市：住,,,,06560000
RPQNMLMLLHOFFBC87CC,深美段,.04,都市：住,,,,06560001
RPQNMLMLLHOFFBC87CC,深美段,.40,都市：住,,,,06560002
RPQNMLMLLHOFFBC87CC,祥豐段,.06,都市：住,,,,07050001
RPRNMLSJLHOFFBC38CC,長潭段,.00,都市：住,,,,08920000
RPSNMLPJLHOFFBC18CC,東信段二小段,22.21,都市：商,,,,00110002
RPXNMLSJMHOFFCC66DC,大華段,24.41,都市：商,,,,14750000
RPSNMLRLLHOFFCC78DC,新會段,.00,都市：商,,,,00720000
RPQNMLQKLHOFFBC18CC,長潭段,.00,都市：住,,,,08450003
RPPNMLKLMHOFFCC77CC,工建段,.00,都市：工,,,,09090006
RPWNMLPLMHOFFBC88CC,調和段,.00,都市：住,,,,14140000
RPSNMLSKMHOFFBC68CC,東信段二小段,.00,都市：商,,,,00240010
RPSNMLSKMHOFFBC68CC,東信段二小段,.00,都市：商,,,,00290000
RPSNMLSKMHOFFBC68CC,東信段二小段,.00,都市：商,,,,00290001
RPQNMLSKMHOFFBC48CC,港濱段,.00,都市：其他:部份港埠用地,,,,00560000
RPXNMLPLMHOFFBC98CC,調和段,.00,都市：住,,,,12650000
RPPNMLNKMHOFFBC87CC,中正段二小段,.00,都市：住,,,,00190016
RPPNMLNKMHOFFBC87CC,中正段三小段,.00,都市：住,,,,00230014
RPPNMLNKMHOFFBC87CC,中正段三小段,.00,都市：住,,,,00240001
RPTNMLSKMHOFFBC78CC,中央段四小段,.00,都市：商,,,,01400000
RPTNMLSKMHOFFBC78CC,中央段四小段,.00,都市：商,,,,01410000
RPQNMLQKMHOFFBC28CC,新店段二小段,.00,都市：商,,,,01140000
RPQNMLQKMHOFFBC28CC,新店段二小段,.00,都市：商,,,,01170000
RPRNMLSKMHOFFBC58CC,港濱段,.00,都市：其他:港埠用地,,,,09100000
RPPNMLMJMHOFFBC67CC,光明段,5466.00,都市：工,,,,00350001
RPPNMLMJMHOFFBC67CC,光明段,5906.00,都市：工,,,,00350021
RPPNMLMJMHOFFBC67CC,光明段,7.00,都市：住,,,,00350039
RPPNMLMJMHOFFBC67CC,光明段,1136.00,都市：住,,,,00350040
RPPNMLMJMHOFFBC67CC,光明段,1683.00,都市：住,,,,00350041
RPPNMLMJMHOFFBC67CC,光明段,68.00,都市：住,,,,00350042
RPPNMLMJMHOFFBC67CC,光明段,739.00,都市：住,,,,00350091
RPQPMLRLLHOFFBC58CC,中正段一小段,.00,都市：商,,,,00020000
RPSNMLKMMHOFFBC08CC,中央段二小段,17.00,都市：商,,,,00410000
RPSNMLKMMHOFFBC08CC,中央段二小段,96.00,都市：商,,,,00420000
RPOOMLPLMHOFFBC18CC,長潭段,.00,都市：住,,,,08920000
