鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
北區,房地(土地+建物)+車位,臺南市北區開元路５１５號二十二樓之６,11.61,商,,,1080118,土地3建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1041105,159.29000000000002,3,2,2,有,有,7300000,45828,坡道平面,32.55,0,,RPPOMLLKKHOFFAD37CA,74.23,1.43,13.1,,
北區,房地(土地+建物)+車位,臺南市北區北成路８０巷２２弄２號７樓,34.96,住,,,1071229,土地1建物1車位1,七層，夾層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840913,138.44,3,2,2,有,有,5380000,38862,坡道平面,0.0,1000000,,RPVNMLMKKHOFFAD97CA,84.58,0.0,9.46,,
北區,房地(土地+建物),臺南市北區賢北街１９５巷８弄１６號,64.16,住,,,1071230,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0831103,184.1,5,3,4,有,無,7500000,40739,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLNKKHOFFAD87CA,171.64,0.0,12.46,,
安平區,房地(土地+建物),臺南市安平區安平路３０４號七樓之３,5.51,住,,,1080125,土地2建物1車位0,七層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0710223,29.83,1,1,1,有,無,450000,15085,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUNMLNKKHOFFAD97CA,20.11,1.63,0.0,,
北區,房地(土地+建物),臺南市北區開元路５１９號二樓之１１,7.77,商,,,1080118,土地3建物1車位0,二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1041105,100.96,2,1,1,有,有,4900000,48534,,0.0,0,,RPPNMLOKKHOFFAD57CA,63.63,0.0,7.19,,
中西區,房地(土地+建物),臺南市中西區府前一街１７１號,42.35,住,,,1071224,土地1建物1車位0,一層，二層，夾層，地下層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0780112,186.89999999999998,3,2,3,有,無,5000000,26752,,0.0,0,,RPUPMLSKKHOFFAD68CA,136.74,9.39,9.76,,
中西區,房地(土地+建物),臺南市中西區正德街48號六樓之4,5.3,商,,,1080113,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700602,26.98,1,0,1,有,無,420000,15567,,0.0,0,,RPSNMLKLKHOFFAD57CA,17.84,0.0,0.0,,
北區,建物,臺南市北區五福里西門路三段10號六樓,0.0,,,,1080103,土地0建物1車位0,六層,七層,辦公商業大樓,商業用,鋼筋混凝土造,0680614,317.4,0,0,0,無,有,4600000,14493,,0.0,0,,RPUQMLMLKHOFFAD28CA,211.06,0.0,0.0,,
北區,房地(土地+建物)+車位,臺南市北區海安路三段８００號１４樓之２,26.58,住,,,1071218,土地1建物1車位2,十四層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060518,284.69,3,2,2,有,有,17800000,71838,坡道平面,71.71,2500000,,RPVNMLQLKHOFFAD48CA,135.04,0.0,12.63,,
中西區,房地(土地+建物),臺南市中西區康樂街148號,224.75,商,,,1071104,土地1建物1車位0,一層，二層，三層，四層，五層，六層，騎樓，地下層,六層,其他,商業用,鋼筋混凝土造,0651206,1307.5,36,2,36,有,無,63880000,48857,,0.0,0,,RPPPMLSJLHOFFAD18CA,1.0,307.5,0.0,,
