編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLNKKHOFFAD87CA,24,184.10,住家用,鋼筋混凝土造,83年11月3日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPPOMLLKKHOFFAD37CA,3,88.76,集合住宅,鋼筋混凝土構造,104年11月5日,二十四層,二十二層 陽台 雨遮
RPPOMLLKKHOFFAD37CA,3,70.53,本共有部分之項目：有樓梯間、門廊、門廳、管委會使用空間、防災中心、停車空間、防空避難室、車道、游泳池、機房自來水池等項,鋼筋混凝土構造,104年11月5日,二十四層,
RPUNMLNKKHOFFAD97CA,37,21.74,住家用,鋼筋混凝土造,71年2月23日,七層,七層 花台
RPUNMLNKKHOFFAD97CA,37,8.09,共有部分,鋼筋混凝土造,71年2月23日,七層,
RPUNMLNKKHOFFAD97CA,37,.00,共有部分,鋼筋混凝土造,71年2月23日,七層,
RPVNMLMKKHOFFAD97CA,23,.12,管理員室,鋼筋混凝土造,84年9月13日,九層,地下一層
RPVNMLMKKHOFFAD97CA,23,29.80,共有部分,鋼筋混凝土造,84年9月13日,九層,
RPVNMLQLKHOFFAD48CA,2,147.67,集合住宅,鋼筋混凝土構造,106年5月18日,二十四層,十四層 陽台
RPVNMLMKKHOFFAD97CA,23,1.04,管理員室　交誼室,鋼筋混凝土造,84年9月13日,九層,一層 二層
RPVNMLQLKHOFFAD48CA,2,100.57,本共有部分之項目有車道、門廳、管理員室、樓梯間、公共服務空間、設備管道、梯廳、防災中心、管委會使用空間、陽台、防空避難設備兼停車空間、停車空間、機械房、水箱、管道間。,鋼筋混凝土構造,106年5月18日,二十四層,
RPVNMLQLKHOFFAD48CA,2,36.46,本共有部分之項目有樓梯間、陽台,鋼筋混凝土構造,106年5月18日,二十四層,
RPVNMLMKKHOFFAD97CA,23,92.87,住家用,鋼筋混凝土造,84年9月13日,九層,七層 陽台 夾層
RPVNMLMKKHOFFAD97CA,23,11.89,共有部分,鋼筋混凝土造,84年9月13日,九層,
RPVNMLMKKHOFFAD97CA,23,2.72,共有部分,鋼筋混凝土造,84年9月13日,九層,
RPSNMLKLKHOFFAD57CA,38,17.84,住家用,鋼筋混凝土造,70年6月2日,七層,六層
RPSNMLKLKHOFFAD57CA,38,9.14,共有部分,鋼筋混凝土造,70年6月2日,七層,
RPPNMLOKKHOFFAD57CA,3,70.82,集合住宅,鋼筋混凝土構造,104年11月5日,二十四層,二層 陽台
RPPNMLOKKHOFFAD57CA,3,30.14,本共有部分之項目：有樓梯間、門廊、門廳、管委會使用空間、防災中心、停車空間、防空避難室、車道、游泳池、機房自來水池等項,鋼筋混凝土構造,104年11月5日,二十四層,
RPUPMLSKKHOFFAD68CA,30,155.89,住商用,鋼筋混凝土造,78年1月12日,五層,一層 二層 陽台 平台 夾層 地下層
RPUPMLSKKHOFFAD68CA,32,31.01,共有部分,鋼筋混凝土造,76年1月12日,五層,
RPXOMLOKKHOFFBD58CA,38,100.87,住商用,加強磚造,70年5月7日,二層,一層 二層 屋頂突出物 騎樓
RPXOMLSKKHOFFBD98CA,,190.17,住家用,鋼筋混凝土造,107年9月27日,三層,一層 二層 三層 陽台 屋頂突出物
RPPPMLSKKHOFFBD28CA,,184.95,住家用,鋼筋混凝土造,107年9月27日,三層,一層 二層 三層 陽台 屋頂突出物
RPUOMLSKKHOFFBD68CA,,195.22,住家用,鋼筋混凝土造,107年9月27日,三層,一層 二層 三層 陽台 屋頂突出物
RPRPMLSKKHOFFBD48CA,,190.79,住家用,鋼筋混凝土造,107年9月27日,三層,一層 二層 三層 陽台 屋頂突出物
RPROMLLKKHOFFCD77CA,27,95.47,住家用,鋼筋混凝土造,80年9月9日,七層,四層 陽台
RPROMLLKKHOFFCD77CA,27,10.86,共有部分,鋼筋混凝土造,80年9月9日,七層,
RPROMLLKKHOFFCD77CA,27,21.52,共有部分,鋼筋混凝土造,80年9月9日,七層,
RPROMLLKKHOFFCD77CA,27,4.83,共有部分,鋼筋混凝土造,80年9月9日,七層,
RPVPMLSKKHOFFBD88CA,4,204.29,停車空間，住宅,鋼筋混凝土造,104年4月9日,四層,一層 二層 三層 四層 陽台
RPQNMLNKKHOFFCD77CA,27,73.28,住家用,鋼筋混凝土造,80年10月4日,六層,一層 平台
RPQNMLNKKHOFFCD77CA,27,14.25,共有部分,鋼筋混凝土造,80年10月4日,六層,
RPQNMLNKKHOFFCD77CA,27,12.48,共有部分,鋼筋混凝土造,80年10月4日,六層,
RPOOMLSKKHOFFDD28CA,25,84.52,住家用,鋼筋混凝土造,82年10月19日,五層,五層 陽台
RPOOMLSKKHOFFDD28CA,25,8.36,共有部分,鋼筋混凝土造,82年10月19日,五層,
RPUNMLPLKHOFFFD78CA,,182.19,停車空間、住宅,鋼筋混凝土構造,107年10月24日,三層,一層 二層 三層 見其他登記事項
RPUQMLMLKHOFFAD28CA,40,211.06,商業用,鋼筋混凝土造,68年6月14日,七層,六層
RPUQMLMLKHOFFAD28CA,40,106.34,共有部分,鋼筋混凝土造,68年6月14日,七層,
RPSNMLMKKHOFFID48CA,25,8.33,共有部分,鋼筋混凝土造,83年6月8日,十一層,
RPSNMLMKKHOFFID48CA,25,45.41,住家用,鋼筋混凝土造,83年6月8日,十一層,十層 陽台
RPSNMLMKKHOFFID48CA,25,7.71,本共有部分之項目有公共梯間、屋頂突出物。,鋼筋混凝土造,83年6月8日,十一層,
RPWNMLNKKHOFFID98CA,26,151.76,住家用,鋼筋混凝土造,81年10月28日,三層,一層 二層 三層 陽台 平台
RPQNMLMKKHOFFKD48CA,5,80.19,住家用,鋼筋混凝土構造,103年5月28日,七層,七層 陽台
RPQNMLMKKHOFFKD48CA,5,18.17,本共有部分之項目有停車空間兼防空避難室，汽車坡道，管委會使用空間等３項,鋼筋混凝土構造,103年5月28日,七層,
RPQNMLMKKHOFFKD48CA,5,14.24,本共有部分之項目有樓梯間，機械室，水箱等３項,鋼筋混凝土構造,103年5月28日,七層,
RPWNMLNKKHOFFKD56CA,1,157.76,住家用,鋼筋混凝土構造,106年12月29日,三層,一層 二層 三層 陽台 屋頂突出物
RPSNMLOKKHOFFKD88CA,26,170.28,住家用,鋼筋混凝土造,81年10月6日,三層,一層 二層 三層 陽台 電梯樓梯間
RPPNMLSKKHOFFKD98CA,26,202.87,住家用,鋼筋混凝土造,81年11月6日,四層,一層 二層 三層 四層 電梯樓梯間
RPRNMLMKKHOFFDD97DA,26,158.20,住家用,混凝土構造,81年11月26日,三層,一層 二層 三層 陽台 屋頂突出物
RPTOMLMKLHOFFHD68CA,,158.30,住家用,鋼筋混凝土造,107年5月7日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPWNMLSKKHOFFKD07CA,7,107.01,集合住宅,鋼筋混凝土構造,101年3月20日,十四層,十三層 陽台
RPWNMLSKKHOFFKD07CA,7,66.01,防空避難室兼停車空間，警衛亭，樓梯間，管委會辦公室，台電配電室，蓄水池，污水機房，電信機房，消房幫浦室，發電機室，機械室，水箱，透空開放空間，過樑，公共（門廳及梯廳），陽台，走廊，社區圖書館，社區集會空間,鋼筋混凝土構造,101年3月20日,十四層,
RPVNMLTKKHOFFKD07CA,21,171.19,住宅、停車空間。,鋼筋混凝土造,86年11月10日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPUNMLOKKHOFFKD09CA,25,78.52,住家用,鋼筋混凝土造,83年5月4日,十六層,二層 陽台 花台
RPUNMLOKKHOFFKD09CA,25,21.13,共有部分,鋼筋混凝土造,83年5月4日,十六層,
RPUNMLOKKHOFFKD09CA,25,11.35,共有部分,鋼筋混凝土造,83年5月4日,十六層,
RPQNMLNKKHOFFKD58CA,27,79.99,辦公室。,鋼筋混凝土造,81年5月19日,二十二層,六層
RPQNMLNKKHOFFKD58CA,27,5.69,共有部分,鋼筋混凝土造,81年5月19日,二十二層,
RPQNMLNKKHOFFKD58CA,27,.63,共有部分,鋼筋混凝土造,81年5月19日,二十二層,
RPQNMLNKKHOFFKD58CA,27,2.56,共有部分,鋼筋混凝土造,81年5月19日,二十二層,
RPQNMLNKKHOFFKD58CA,27,17.47,共有部分,鋼筋混凝土造,81年5月19日,二十二層,
RPQNMLNKKHOFFKD58CA,27,5.26,共有部分,鋼筋混凝土造,81年5月19日,二十二層,
RPQQMLNLKHOFFKD98CA,13,178.82,住家用,鋼筋混凝土造,94年7月27日,四層,
RPVNMLNKKHOFFKD09CA,1,287.06,停車空間，集合住宅,鋼筋混凝土構造,107年5月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPPNMLPLKHOFFID58CA,,185.76,住宅、停車空間,鋼筋混凝土構造,107年7月27日,四層,一層 二層 三層 四層 陽台
RPPOMLMKLHOFFHD28CA,,80.28,廠房,鋼骨構造,107年11月22日,一層,一層
RPPOMLMKLHOFFHD28CA,,80.28,廠房,鋼骨構造,107年11月22日,一層,一層
RPOOMLPLKHOFFID58CA,35,90.73,住家用,加強磚造,73年3月30日,二層,一層 二層 陽台 騎樓
RPWNMLMLKHOFFKD56CA,18,18.90,住家用,鋼筋混凝土造,90年1月10日,十一層,二層 陽台 雨遮
RPWNMLMLKHOFFKD56CA,18,2.75,共有部分,鋼筋混凝土造,90年1月10日,十一層,
RPWNMLMLKHOFFKD56CA,18,4.37,共有部分,鋼筋混凝土造,90年1月10日,十一層,
RPXNMLNKKHOFFID09CA,1,223.68,集合住宅、停車空間,鋼筋混凝土構造,107年6月12日,四層,一層 二層 三層 四層 陽台
RPSOMLQLKHOFFHD98CA,,172.11,住家用,鋼筋混凝土造,107年5月7日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPPPMLSJLHOFFAD18CA,42,1307.50,商業用,鋼筋混凝土造,65年12月6日,六層,一層 二層 三層 四層 五層 六層 騎樓 地下層
RPRNMLOKKHOFFGD38CA,33,91.01,住家用,加強磚造,74年11月18日,二層,一層 二層 陽台 騎樓
RPPOMLOKKHOFFGD28CA,,169.59,住家用,鋼筋混凝土造,107年10月9日,四層,一層 二層 三層 四層 陽台
RPROMLOKKHOFFGD48CA,,176.24,住家用,鋼筋混凝土造,107年10月9日,四層,一層 二層 三層 四層 陽台
RPQOMLOKKHOFFGD38CA,,167.38,住家用,鋼筋混凝土造,107年10月9日,四層,一層 二層 三層 四層 陽台
RPUNMLSKKHOFFDD78CA,22,129.17,住家用,鋼筋混凝土造,85年9月23日,七層,五層 陽台
RPUNMLSKKHOFFDD78CA,22,72.83,共有部分,鋼筋混凝土造,85年9月23日,七層,
RPSNMLNKKHOFFBD97DA,39,105.49,住家用,鋼筋混凝土造,69年5月5日,二層,一層 二層 騎樓
RPPPMLLLKHOFFCD77CA,19,101.56,住家用,鋼筋混凝土造,89年6月21日,十二層,十層 陽台
RPPPMLLLKHOFFCD77CA,19,14.25,共有部分,鋼筋混凝土造,89年6月21日,十二層,
RPPPMLLLKHOFFCD77CA,19,35.85,共有部分,鋼筋混凝土造,89年6月21日,十二層,
RPPPMLLLKHOFFCD77CA,19,9.32,共有部分,鋼筋混凝土造,89年6月21日,十二層,
RPRNMLOKLHOFFHD58CA,,187.14,廠房,鋼骨構造,107年11月22日,一層,一層
RPTNMLOKLHOFFHD78CA,,158.51,廠房,鋼骨構造,107年11月22日,一層,一層
RPXNMLNKKHOFFCD48CA,,203.14,停車空間、住宅,鋼筋混凝土構造,107年9月19日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPPOMLNKKHOFFCD77CA,,205.38,停車空間、住宅,鋼筋混凝土構造,107年9月19日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPPPMLPKKHOFFCD08CA,33,120.22,住商用,鋼筋混凝土造,74年9月3日,七層,一層 二層 陽台
RPPPMLPKKHOFFCD08CA,33,21.01,共有部分,鋼筋混凝土造,74年9月3日,七層,
RPSNMLSKKHOFFCD48CA,34,18.08,共有部分,鋼筋混凝土造,73年10月11日,五層,
RPSNMLSKKHOFFCD48CA,34,141.94,住家用,鋼筋混凝土造,73年10月11日,五層,一層 陽台
RPSOMLSKKHOFFCD58CA,23,9.47,共有部分,鋼筋混凝土造,84年12月21日,十四層,
RPSOMLSKKHOFFCD58CA,23,12.75,店舖、自用倉庫,鋼筋混凝土造,84年12月21日,十四層,地下一層
RPSOMLSKKHOFFCD58CA,23,40.84,共有部分,鋼筋混凝土造,84年12月21日,十四層,
RPSOMLSKKHOFFCD58CA,23,105.30,住家用,鋼筋混凝土造,84年12月21日,十四層,十一層 陽台 花台
RPSOMLSKKHOFFCD58CA,23,1.78,門廳、警衛室,鋼筋混凝土造,84年12月21日,十四層,一層 平台 騎樓
RPQPMLSKKHOFFBD38CA,,189.85,住家用,鋼筋混凝土造,107年9月27日,三層,一層 二層 三層 陽台 屋頂突出物
RPOPMLSKKHOFFBD18CA,,184.95,住家用,鋼筋混凝土造,107年9月27日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLOKKHOFFBD77CA,1,315.51,停車空間，住宅,鋼筋混凝土造,107年5月28日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPPPMLNKKHOFFBD77CA,,173.19,住家用,鋼筋混凝土造,107年9月3日,三層,一層 二層 三層 陽台 屋頂突出物
RPPNMLOKLHOFFCD08EA,37,85.82,集合住宅,鋼筋混凝土造,71年5月28日,五層,一層 陽台
RPPNMLOKLHOFFCD08EA,37,.09,店舖　集合住宅　　騎樓,鋼筋混凝土造,70年11月26日,五層,一層 二層 陽台 騎樓
RPPNMLOKLHOFFCD08EA,37,.09,店舖　集合住宅　　騎樓,鋼筋混凝土造,70年11月26日,五層,一層 二層 陽台 騎樓
RPPNMLOKLHOFFCD08EA,37,6.52,共有部分,鋼筋混凝土造,71年5月28日,五層,
RPXOMLNKKHOFFAD38CA,10,56.95,集合住宅,鋼筋混凝土造,97年12月19日,十四層,四層 陽台
RPXOMLNKKHOFFAD38CA,10,10.63,共有部分,鋼筋混凝土造,97年12月19日,十四層,
RPXOMLNKKHOFFAD38CA,10,10.80,共有部分,鋼筋混凝土造,97年12月19日,十四層,
RPUOMLKLKHOFFAD87CA,38,29.54,住家用,鋼筋混凝土造,69年12月3日,十層,四層
RPUOMLKLKHOFFAD87CA,38,7.96,共有部分,鋼筋混凝土造,69年12月3日,十層,
RPVOMLOKKHOFFAD28CA,42,291.13,住家用,加強磚造,66年3月1日,二層,一層 二層 屋頂突出物 夾層
RPTNMLKLKHOFFCD87CA,,80.19,集合住宅,鋼筋混凝土構造,107年6月19日,十五層,十層 陽台
RPTNMLKLKHOFFCD87CA,,64.18,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、電梯、樓梯間、機械室、水箱、公共服務空間、梯廳、排煙室、安全梯、昇降機、機電設備、環保垃圾貯存室、發電機進風管道、避難通路共十六項。,見其他登記事項,107年6月19日,十五層,
RPUNMLKLKHOFFCD97CA,,32.34,集合住宅,鋼筋混凝土構造,107年6月19日,十五層,七層 陽台
RPUNMLKLKHOFFCD97CA,,32.34,集合住宅,鋼筋混凝土構造,107年6月19日,十五層,七層 陽台
RPUNMLKLKHOFFCD97CA,,28.23,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、電梯、樓梯間、機械室、水箱、公共服務空間、梯廳、排煙室、安全梯、昇降機、機電設備、環保垃圾貯存室、發電機進風管道、避難通路共十六項。,見其他登記事項,107年6月19日,十五層,
RPUNMLKLKHOFFCD97CA,,28.23,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、電梯、樓梯間、機械室、水箱、公共服務空間、梯廳、排煙室、安全梯、昇降機、機電設備、環保垃圾貯存室、發電機進風管道、避難通路共十六項。,見其他登記事項,107年6月19日,十五層,
RPSNMLOKKHOFFAD87CA,27,43.68,住家用,鋼筋混凝土造,81年1月30日,七層,五層 陽台
RPSNMLOKKHOFFAD87CA,27,10.51,共有部分,鋼筋混凝土造,81年1月30日,七層,
RPTNMLOKKHOFFAD97CA,44,60.39,住家用,加強磚造,64年3月14日,二層,一層 二層
RPXNMLNKKHOFFAD28CA,1,383.43,住宅、停車空間,鋼筋混凝土構造,107年4月30日,五層,一層 二層 三層 四層 五層 陽台
RPRNMLKLKHOFFCD67CA,,81.94,集合住宅,鋼筋混凝土構造,107年6月19日,十五層,九層 陽台
RPRNMLKLKHOFFCD67CA,,64.94,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、電梯、樓梯間、機械室、水箱、公共服務空間、梯廳、排煙室、安全梯、昇降機、機電設備、環保垃圾貯存室、發電機進風管道、避難通路共十六項。,見其他登記事項,107年6月19日,十五層,
RPSNMLKLKHOFFCD77CA,,80.19,集合住宅,鋼筋混凝土構造,107年6月19日,十五層,九層 陽台
RPSNMLKLKHOFFCD77CA,,64.18,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、電梯、樓梯間、機械室、水箱、公共服務空間、梯廳、排煙室、安全梯、昇降機、機電設備、環保垃圾貯存室、發電機進風管道、避難通路共十六項。,見其他登記事項,107年6月19日,十五層,
RPQNMLKLKHOFFCD57CA,,32.34,集合住宅,鋼筋混凝土構造,107年6月19日,十五層,四層 陽台
RPQNMLKLKHOFFCD57CA,,32.34,集合住宅,鋼筋混凝土構造,107年6月19日,十五層,四層 陽台
RPQNMLKLKHOFFCD57CA,,28.23,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、電梯、樓梯間、機械室、水箱、公共服務空間、梯廳、排煙室、安全梯、昇降機、機電設備、環保垃圾貯存室、發電機進風管道、避難通路共十六項。,見其他登記事項,107年6月19日,十五層,
RPQNMLKLKHOFFCD57CA,,28.23,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、電梯、樓梯間、機械室、水箱、公共服務空間、梯廳、排煙室、安全梯、昇降機、機電設備、環保垃圾貯存室、發電機進風管道、避難通路共十六項。,見其他登記事項,107年6月19日,十五層,
RPPNMLKLKHOFFCD47CA,,64.67,集合住宅,鋼筋混凝土構造,107年6月19日,十五層,二層 陽台
RPPNMLKLKHOFFCD47CA,,56.47,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、電梯、樓梯間、機械室、水箱、公共服務空間、梯廳、排煙室、安全梯、昇降機、機電設備、環保垃圾貯存室、發電機進風管道、避難通路共十六項。,見其他登記事項,107年6月19日,十五層,
RPPOMLNKKHOFFAD57CA,11,46.98,集合住宅,鋼筋混凝土構造,96年8月24日,十四層,七層 陽台
RPPOMLNKKHOFFAD57CA,11,9.93,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPPOMLNKKHOFFAD57CA,11,6.33,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPRRMLPKKHOFFAD28CA,11,133.26,店舖,鋼筋混凝土造,96年7月19日,十四層,一層 見其他登記事項
RPRRMLPKKHOFFAD28CA,11,30.66,共有部分,鋼筋混凝土造,96年7月19日,十四層,
RPRRMLPKKHOFFAD28CA,11,54.95,共有部分,鋼筋混凝土造,96年7月19日,十四層,
RPPNMLQKKHOFFAD77CA,21,206.86,停車空間、住宅,鋼筋混凝土造,87年5月26日,四層,一層 二層 三層 四層 陽台 平台
RPXNMLOKKHOFFAD38CA,10,484.01,住家用,鋼筋混凝土造,98年4月24日,三層,一層 二層 三層
RPPOMLOKKHOFFAD67CA,44,119.68,住家用,見其他登記事項,64年5月9日,二層,一層 二層
RPQRMLPKKHOFFAD18CA,23,61.11,住家用,鋼筋混凝土造,84年10月24日,十三層,四層 陽台
RPQRMLPKKHOFFAD18CA,23,17.83,共有部分,鋼筋混凝土造,84年10月24日,十三層,
RPSOMLTKKHOFFAD48CA,30,239.50,住家用,鋼筋混凝土造,77年11月30日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓 地下層
RPTOMLTKKHOFFAD58CA,14,62.18,集合住宅,鋼筋混凝土造,93年8月18日,十層,四層 陽台
RPTOMLTKKHOFFAD58CA,14,7.44,共有部分,鋼筋混凝土造,93年8月18日,十層,
RPTOMLTKKHOFFAD58CA,14,10.47,共有部分,鋼筋混凝土造,93年8月18日,十層,
RPSOMLSKKHOFFAD38CA,6,55.78,集合住宅,鋼筋混凝土構造,102年6月20日,十五層,十五層 陽台
RPSOMLSKKHOFFAD38CA,6,27.36,本共有部分之項目有防空避難室、停車空間、門廊、車道、門廳、管理維護空間、公共服務空間。,鋼筋混凝土構造,102年6月20日,十五層,
RPSOMLSKKHOFFAD38CA,6,15.24,本共有部分之項目有樓梯間,鋼筋混凝土構造,102年6月20日,十五層,
RPOPMLSJLHOFFAD08CA,2,187.60,集合住宅,鋼筋混凝土構造,106年5月18日,二十四層,八層 陽台
RPOPMLSJLHOFFAD08CA,2,107.98,本共有部分之項目有車道、門廳、管理員室、樓梯間、公共服務空間、設備管道、梯廳、防災中心、管委會使用空間、陽台、防空避難設備兼停車空間、停車空間、機械房、水箱、管道間。,鋼筋混凝土構造,106年5月18日,二十四層,
RPOPMLSJLHOFFAD08CA,2,45.65,本共有部分之項目有樓梯間、陽台,鋼筋混凝土構造,106年5月18日,二十四層,
RPPOMLKLKHOFFAD37CA,,136.75,集合住宅,鋼筋混凝土構造,107年4月9日,二十四層,十五層 陽台
RPPOMLKLKHOFFAD37CA,,68.38,本共有部分之項目有：門廊、門廳、公共服務空間、汽車坡道、防災中心、管理員室、管委會使用空間、陽台、走廊、樓梯間、消防泵浦室、機械室、水箱、停車空間、防空避難室兼停車空間,鋼筋混凝土構造,107年4月9日,二十四層,
RPPOMLKLKHOFFAD37CA,,22.78,本共有部分之項目有：樓梯間,鋼筋混凝土構造,107年4月9日,二十四層,
RPUOMLNKKHOFFAD08CA,59,52.93,住家用,磚造,49年1月1日,二層,一層 二層
RPQOMLNKKHOFFAD67CA,22,11.32,共有部分,鋼筋混凝土造,85年9月19日,十三層,
RPQOMLNKKHOFFAD67CA,22,.04,管理員室,鋼筋混凝土造,85年9月19日,十三層,一層
RPQOMLNKKHOFFAD67CA,22,16.61,共有部分,鋼筋混凝土造,85年9月19日,十三層,
RPQOMLNKKHOFFAD67CA,22,23.62,共有部分,鋼筋混凝土造,85年9月19日,十三層,
RPQOMLNKKHOFFAD67CA,22,.00,共有部分,鋼筋混凝土造,85年9月19日,十三層,
RPQOMLNKKHOFFAD67CA,22,105.16,住家用,鋼筋混凝土造,85年9月19日,十三層,七層 陽台 花台
RPQQMLRLKHOFFAD38CA,,274.17,住家用,鋼筋混凝土構造,107年7月30日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPWNMLMLKHOFFAD18CA,,68.98,本共有部分之項目有：門廊、門廳、有頂蓋廣場式開放空間、管委會空間、防災中心、樓梯間、車道、公共服務空間、機械室、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土構造,107年5月31日,二十層,
RPWNMLMLKHOFFAD18CA,,80.34,集合住宅,鋼筋混凝土構造,107年5月31日,十層,七層 陽台 雨遮
RPOPMLMLKHOFFAD57CA,2,58.14,集合住宅,鋼筋混凝土構造,105年11月9日,二十七層,十一層 陽台 雨遮
