編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLNKKHOFFAD87CA,光賢段,64.16,都市：住,1,1,全筆移轉,02970006
RPPOMLLKKHOFFAD37CA,開元段,.04,都市：其他:廣場兼停車場用地,100000,103,持分移轉,03610025
RPPOMLLKKHOFFAD37CA,開元段,11.04,都市：商,100000,103,持分移轉,05970000
RPPOMLLKKHOFFAD37CA,開元段,.53,都市：住,100000,103,持分移轉,06180000
RPUNMLNKKHOFFAD97CA,新南段,.03,都市：其他:道路用地,10000,71,持分移轉,04990000
RPUNMLNKKHOFFAD97CA,新南段,5.48,都市：住,10000,71,持分移轉,04970000
RPVNMLMKKHOFFAD97CA,北安段,34.96,都市：住,10000,98,持分移轉,00560094
RPVNMLQLKHOFFAD48CA,北元段,26.58,都市：住,40000,319,持分移轉,06020000
RPSNMLKLKHOFFAD57CA,中正段,.23,都市：其他:道路用地,10000,111,持分移轉,09830000
RPSNMLKLKHOFFAD57CA,中正段,5.07,都市：商,10000,111,持分移轉,09840000
RPPNMLOKKHOFFAD57CA,開元段,.02,都市：其他:廣場兼停車場用地,100000,69,持分移轉,03610025
RPPNMLOKKHOFFAD57CA,開元段,7.40,都市：商,100000,69,持分移轉,05970000
RPPNMLOKKHOFFAD57CA,開元段,.35,都市：住,100000,69,持分移轉,06180000
RPUPMLSKKHOFFAD68CA,環河段,42.35,都市：住,10000,323,持分移轉,20030000
RPVNMLNKKHOFFBD18CA,東和段,102.59,都市：其他:道路用地,1,1,全筆移轉,00110000
RPWNMLNKKHOFFBD28CA,東和段,102.70,都市：其他:道路用地,1,1,全筆移轉,00110001
RPXNMLNKKHOFFBD38CA,東和段,101.25,都市：其他:道路用地,1,1,全筆移轉,00110002
RPQOMLNKKHOFFBD77CA,和農段,182.59,都市：其他:道路用地,1,1,全筆移轉,01730000
RPOOMLNKKHOFFBD57CA,東和段,139.84,都市：其他:道路用地,1,1,全筆移轉,00250000
RPSOMLNKKHOFFBD97CA,和農段,1205.30,都市：其他:道路用地,1,1,全筆移轉,02040000
RPSOMLNKKHOFFBD97CA,和農段,1253.14,都市：其他:道路用地,1,1,全筆移轉,01910001
RPSOMLNKKHOFFBD97CA,和農段,339.14,都市：其他:道路用地,1,1,全筆移轉,01970001
RPSOMLNKKHOFFBD97CA,和農段,51.65,都市：其他:道路用地,1,1,全筆移轉,02030001
RPPOMLNKKHOFFBD67CA,東和段,55.10,都市：其他:道路用地,1,1,全筆移轉,00270000
RPTOMLNKKHOFFBD08CA,和農段,175.11,都市：其他:道路用地,1,1,全筆移轉,05030000
RPUOMLNKKHOFFBD18CA,和農段,266.71,都市：其他:道路用地,1,1,全筆移轉,05060000
RPROMLNKKHOFFBD87CA,和農段,70.00,都市：其他:道路用地,1,1,全筆移轉,01900004
RPROMLNKKHOFFBD87CA,和農段,623.33,都市：其他:道路用地,1,1,全筆移轉,01900000
RPROMLNKKHOFFBD87CA,和農段,69.97,都市：其他:道路用地,1,1,全筆移轉,01900001
RPWOMLNKKHOFFBD38CA,和農段,.46,都市：其他:道路用地,4,1,持分移轉,05160000
RPWOMLNKKHOFFBD38CA,和農段,.17,都市：其他:道路用地,4,1,持分移轉,05170000
RPVOMLNKKHOFFBD28CA,和農段,171.43,都市：其他:道路用地,2,1,持分移轉,05070000
RPXOMLNKKHOFFBD48CA,和農段,.07,都市：其他:道路用地,16,1,持分移轉,05180000
RPRNMLOKKHOFFBD87CA,東和段,170.68,都市：其他:道路用地,1,1,全筆移轉,00040000
RPXOMLOKKHOFFBD58CA,淵西段,87.52,都市：住,1,1,全筆移轉,03070000
RPXOMLSKKHOFFBD98CA,淵北段,92.68,都市：住,1,1,全筆移轉,04640026
RPPPMLSKKHOFFBD28CA,淵北段,88.21,都市：住,1,1,全筆移轉,04640032
RPUOMLSKKHOFFBD68CA,淵北段,96.03,都市：住,1,1,全筆移轉,04640020
RPRNMLTKKHOFFBD38CA,安東段,254.35,都市：住,1,1,全筆移轉,03450000
RPXNMLTKKHOFFBD98CA,溪心段,220.96,都市：其他:道路用地,5,4,持分移轉,04630000
RPRPMLSKKHOFFBD48CA,淵北段,92.73,都市：住,1,1,全筆移轉,04640016
RPROMLLKKHOFFCD77CA,虎尾寮段,29.32,都市：住,1000000,14116,持分移轉,04760000
RPROMLLKKHOFFCD77CA,虎尾寮段,11.24,都市：住,1000000,6218,持分移轉,04760005
RPVPMLSKKHOFFBD88CA,神榕段,15.41,都市：住,100000,2624,持分移轉,09940037
RPVPMLSKKHOFFBD88CA,神榕段,94.94,都市：其他:道路用地,1,1,全筆移轉,10010001
RPVPMLSKKHOFFBD88CA,神榕段,113.18,都市：住,1,1,全筆移轉,10010002
RPVPMLSKKHOFFBD88CA,神榕段,3.30,都市：其他:道路用地,11479,330,持分移轉,10010003
RPQNMLNKKHOFFCD77CA,竹篙厝段,11.46,都市：住,10000,293,持分移轉,34850000
RPQNMLNKKHOFFCD77CA,竹篙厝段,9.38,都市：住,10000,293,持分移轉,34860001
RPROMLLLKHOFFCD87CA,新都段,67.50,都市：住,1,1,全筆移轉,00280016
RPROMLLLKHOFFCD87CA,新都段,67.50,都市：住,1,1,全筆移轉,00280018
RPVNMLSKKHOFFDD88CA,新厝段北安小段,555.56,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01440000
RPOOMLMLKHOFFDD77CA,新營段,614.00,都市：住,1,1,全筆移轉,05900054
RPOOMLMLKHOFFDD77CA,新營段,435.00,都市：住,1,1,全筆移轉,05900005
RPOOMLMLKHOFFDD77CA,新營段,688.00,都市：住,1,1,全筆移轉,05900053
RPPNMLLLKHOFFED77CA,中興段,1.67,都市：商,3,1,持分移轉,11430000
RPOOMLSKKHOFFDD28CA,鹽水段,30.59,都市：住,14852,401,持分移轉,16350087
RPTNMLLKKHOFFFD18CA,大屯寮段,1156.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,33270000
RPSNMLSKKHOFFFD78CA,大內段,378.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03630000
RPSNMLNKKHOFFFD28CA,茅港尾段,224.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05510000
RPSNMLNKKHOFFFD28CA,茅港尾段,5.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,05510003
RPRNMLOKKHOFFFD28CA,鎮田段,3891.97,都市：農,1,1,全筆移轉,01180000
RPUNMLPLKHOFFFD78CA,鎮南段,104.69,都市：住,1,1,全筆移轉,09640014
RPUNMLPLKHOFFFD78CA,鎮南段,15.52,都市：住,22,1,持分移轉,09640011
RPVNMLOKKHOFFHD88CA,洋子段,1576.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06850000
RPTNMLMKKHOFFHD48CA,大營段,75.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16710000
