編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLPKKHOFFAD58CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPUNMLPKKHOFFAD28CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPWNMLOKKHOFFAD38CB,頂美段,20.52,都市：住,10000,66,持分移轉,08390000
RPSOMLOKKHOFFAD08CB,頂美段,20.52,都市：住,10000,66,持分移轉,08390000
RPUOMLOKKHOFFAD28CB,頂美段,20.52,都市：住,10000,66,持分移轉,08390000
RPWNMLPKKHOFFAD48CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPQOMLOKKHOFFAD87CB,頂美段,20.52,都市：住,10000,66,持分移轉,08390000
RPOOMLPKKHOFFAD77CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPRNMLPKKHOFFAD97CB,頂美段,13.68,都市：住,10000,44,持分移轉,08390000
RPROMLOKKHOFFAD97CB,頂美段,20.52,都市：住,10000,66,持分移轉,08390000
RPQOMLPKKHOFFAD97CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPROMLPKKHOFFAD08CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPSOMLPKKHOFFAD18CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPTOMLPKKHOFFAD28CB,頂美段,16.79,都市：住,10000,54,持分移轉,08390000
RPXOMLPKKHOFFAD68CB,頂美段,16.79,都市：住,10000,54,持分移轉,08390000
RPOPMLPKKHOFFAD87CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPUOMLPKKHOFFAD38CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPQPMLPKKHOFFAD08CB,頂美段,16.79,都市：住,10000,54,持分移轉,08390000
RPVOMLPKKHOFFAD48CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPRPMLPKKHOFFAD18CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPROMLMLKHOFFAD87CB,頂美段,16.79,都市：住,10000,54,持分移轉,08390000
RPWOMLPKKHOFFAD58CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPPPMLPKKHOFFAD97CB,頂美段,16.79,都市：住,10000,54,持分移轉,08390000
RPSPMLPKKHOFFAD28CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPVOMLMLKHOFFAD28CB,頂美段,16.79,都市：住,10000,54,持分移轉,08390000
RPSOMLMLKHOFFAD97CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPTOMLMLKHOFFAD08CB,頂美段,18.34,都市：住,10000,59,持分移轉,08390000
RPOQMLMLKHOFFAD77CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPTPMLMLKHOFFAD18CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPQQMLMLKHOFFAD97CB,頂美段,16.79,都市：住,10000,54,持分移轉,08390000
RPXOMLMLKHOFFAD48CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPSQMLMLKHOFFAD18CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPTQMLMLKHOFFAD28CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPWOMLMLKHOFFAD38CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPRQMLMLKHOFFAD08CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPSPMLMLKHOFFAD08CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPRPMLMLKHOFFAD97CB,頂美段,16.48,都市：住,10000,53,持分移轉,08390000
RPQRMLMLKHOFFAD08CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPSRMLMLKHOFFAD28CB,頂美段,16.79,都市：住,10000,54,持分移轉,08390000
RPURMLMLKHOFFAD48CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPTRMLMLKHOFFAD38CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPORMLMLKHOFFAD87CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPVRMLMLKHOFFAD58CB,頂美段,16.17,都市：住,10000,52,持分移轉,08390000
RPVQMLMLKHOFFAD48CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPPRMLMLKHOFFAD97CB,頂美段,16.79,都市：住,10000,54,持分移轉,08390000
RPWQMLMLKHOFFAD58CB,頂美段,17.10,都市：住,10000,55,持分移轉,08390000
RPVSMLMLKHOFFAD68CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPSSMLMLKHOFFAD38CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPRSMLMLKHOFFAD28CB,頂美段,15.23,都市：住,10000,49,持分移轉,08390000
RPTSMLMLKHOFFAD48CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPRNMLRLKHOFFAD28CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPXNMLRLKHOFFAD88CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPPSMLMLKHOFFAD08CB,頂美段,15.54,都市：住,10000,50,持分移轉,08390000
RPSNMLRLKHOFFAD38CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPTNMLRLKHOFFAD48CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPUSMLMLKHOFFAD58CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPPOMLRLKHOFFAD18CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPSOMLRLKHOFFAD48CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPVOMLRLKHOFFAD78CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPQOMLRLKHOFFAD28CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPUOMLRLKHOFFAD68CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPXOMLRLKHOFFAD98CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPOPMLOKLHOFFAD87CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPROMLOKLHOFFAD08CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPPPMLOKLHOFFAD97CB,頂美段,15.54,都市：住,10000,50,持分移轉,08390000
RPPOMLOKLHOFFAD87CB,頂美段,15.54,都市：住,10000,50,持分移轉,08390000
RPQOMLOKLHOFFAD97CB,頂美段,15.23,都市：住,10000,49,持分移轉,08390000
RPQPMLRLKHOFFAD38CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPTNMLMKLHOFFAD97CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPSPMLRLKHOFFAD58CB,頂美段,15.54,都市：住,10000,50,持分移轉,08390000
RPVPMLRLKHOFFAD88CB,頂美段,15.54,都市：住,10000,50,持分移轉,08390000
RPWOMLOKLHOFFAD58CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPVPMLPKLHOFFAD68CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPQPMLOKLHOFFAD08CB,頂美段,15.54,都市：住,10000,50,持分移轉,08390000
RPPOMLKLLHOFFAD57CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPOOMLKLLHOFFAD47CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPPPMLPKLHOFFAD08CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
RPTPMLPKLHOFFAD48CB,頂美段,15.85,都市：住,10000,51,持分移轉,08390000
