鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中西區,房地(土地+建物),臺南市中西區和緯路四段303號,788.96,住,,,1080131,土地1建物1車位0,見其他登記事項,2,店面(店鋪),見其他登記事項,見其他登記事項,1061025,1035.35,0,0,0,無,無,無,250000,241,,0.0,0,,RPVOMLLKKHOFFAD18CC
安平區,土地,金華段140地號,1322.0,住,,,1080129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,200000,151,,0.0,0,,RPWOMLLKKHOFFAD28CC
南區,土地,新興段218-16地號,142.0,住,,,1080131,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,8000,56,,0.0,0,,RPQOMLLKKHOFFCD87CC
東區,房地(土地+建物),臺南市東區青年路416號,279.0,住,,,1080129,土地2建物1車位0,一層,1,店面(店鋪),商業用,見其他登記事項,0730706,109.0,3,0,3,有,無,有,65000,596,,0.0,0,,RPQPMLLKKHOFFCD97CC
學甲區,房地(土地+建物),臺南市學甲區自強路61號,695.54,住,,,1080211,土地1建物1車位0,見其他登記事項,1,店面(店鋪),住家用,鋼造,0800903,210.31,0,0,0,無,無,無,25000,119,,0.0,0,,RPWNMLLKKHOFFGD88DC
北區,建物,臺南市北區西門路四段126巷2號2樓,0.0,住,,,1080212,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0790215,164.92,4,2,1,有,無,無,13000,79,,0.0,0,,RPSOMLNKKHOFFAD08CC
安南區,建物,臺南市安南區安和路一段52巷21弄8號,0.0,,,,1080202,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0680323,94.66,5,1,2,有,無,無,12000,127,,0.0,0,,RPQNMLNKKHOFFBD87CC
仁德區,房地(土地+建物),臺南市仁德區新田二街116巷66號,662.0,,特定農業區,農牧用地,1080116,土地1建物1車位0,一層,1,廠辦,農舍,見其他登記事項,0891107,66.47,2,2,2,有,無,無,45000,677,,0.0,0,,RPUNMLOKKHOFFID09CC
仁德區,房地(土地+建物),臺南市仁德區新田二街116巷66號,662.0,,特定農業區,農牧用地,1080116,土地1建物1車位0,一層,1,廠辦,農舍,見其他登記事項,0891107,66.47,2,2,2,有,無,無,45000,677,,0.0,0,,RPVNMLOKKHOFFID56CC
