編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVOMLLKKHOFFAD18CC,武聖段,788.96,都市：住,,,,05270000
RPWOMLLKKHOFFAD28CC,金華段,1322.00,都市：住,,,,01400000
RPQOMLLKKHOFFCD87CC,新興段,142.00,都市：住,,,,02180016
RPVNMLOKKHOFFID56CC,勝利段,662.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,08370000
RPWNMLLKKHOFFGD88DC,仁得段,695.54,都市：住,,,,05380000
RPOOMLOKKHOFFKD78CC,永華段,.00,都市：住,,,,09210000
RPQPMLLKKHOFFCD97CC,光華段,177.00,都市：住,,,,00140001
RPQPMLLKKHOFFCD97CC,光華段,102.00,都市：住,,,,00150002
RPUNMLOKKHOFFCD48CC,竹篙厝段,.00,都市：住,,,,19430000
RPUNMLPKKHOFFCD58CC,裕東段,.00,都市：住,,,,00280014
RPSOMLNKKHOFFAD08CC,正興段,.00,都市：住,,,,10210006
RPUNMLOKKHOFFID09CC,勝利段,662.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,08370000
RPQNMLNKKHOFFBD87CC,安東段,.00,非都市： ; 非都市編定：,,,,12450000
RPWQMLPKKHOFFAD88CC,新南段,.00,非都市： ; 非都市編定：,,,,00390007
RPQOMLPKKHOFFCD28CC,富裕段,.00,都市：住,,,,04040000
RPUQMLPKKHOFFAD68CC,郡王祠段,.00,都市：商,,,,00670000
RPUQMLPKKHOFFAD68CC,郡王祠段,.00,都市：商,,,,00680000
RPROMLPKKHOFFCD38CC,東光段,.00,都市：住,,,,03170019
RPROMLPKKHOFFCD38CC,東光段,.00,都市：住,,,,03170032
RPVNMLPKKHOFFAD48CC,永華段,.00,都市：商,,,,01980000
RPPOMLPKKHOFFID78CC,南勢園段,.00,都市：住,,,,02950000
RPPOMLPKKHOFFID78CC,南勢園段,.00,都市：住,,,,02960000
RPQQMLPKKHOFFAD28CC,北安段,.00,都市：住,,,,00560094
RPTQMLPKKHOFFAD58CC,郡王祠段,.00,都市：商,,,,00670000
RPTQMLPKKHOFFAD58CC,郡王祠段,.00,都市：商,,,,00680000
RPQNMLSKKHOFFBD38CC,本淵段,400.00,都市：農,,,,00510000
RPQNMLSKKHOFFHD98CC,大榮段,73.74,都市：住,,,,09940000
RPVNMLSKKHOFFKD17CC,頂西段,.00,非都市： ; 非都市編定：,,,,00380000
RPPNMLSKKHOFFHD88CC,南小新段,96.57,都市：住,,,,08540000
RPPNMLSKKHOFFHD88CC,南小新段,12.49,都市：住,,,,08540000
RPXQMLPKKHOFFAD98CC,郡王祠段,.00,都市：商,,,,00670000
RPXQMLPKKHOFFAD98CC,郡王祠段,.00,都市：商,,,,00680000
RPPNMLSKKHOFFCD38CC,德高段,123.00,都市：住,,,,00780006
RPOOMLSKKHOFFAD18CC,漁光段,.00,非都市： ; 非都市編定：,,,,08690000
