編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLOKKHOFFCE87CA,24,98.55,住家用,鋼筋混凝土造,83年9月2日,八層,四層 陽台 電梯樓梯間 花台
RPPNMLOKKHOFFCE87CA,24,30.61,見使用執照,鋼筋混凝土造,83年9月2日,八層,
RPVOMLOKKHOFFBE48CA,36,111.52,,鋼筋混凝土造,72年5月21日,十層,一層 騎樓
RPVOMLOKKHOFFBE48CA,36,86.10,,鋼筋混凝土造,72年5月21日,十層,二層
RPVOMLOKKHOFFBE48CA,36,24.08,,鋼筋混凝土造,72年5月21日,十層,
RPVOMLOKKHOFFBE48CA,36,12.04,,鋼筋混凝土造,72年5月21日,十層,
RPVOMLOKKHOFFBE48CA,36,12.04,,鋼筋混凝土造,72年5月21日,十層,
RPVOMLOKKHOFFBE48CA,36,43.26,,鋼筋混凝土造,72年5月21日,十層,二層 陽台
RPRNMLPKKHOFFAE97CA,23,110.76,住家用,鋼筋混凝土造,84年8月21日,十二層,三層 陽台 花台
RPRNMLPKKHOFFAE97CA,23,53.56,見使用執照,鋼筋混凝土造,84年8月21日,十二層,
RPTPMLOKKHOFFAE28CA,20,49.77,住家用,鋼筋混凝土造,87年8月4日,十四層,八層 陽台
RPTPMLOKKHOFFAE28CA,20,16.21,共有部份,鋼筋混凝土造,87年8月4日,十四層,
RPQPMLPKKHOFFBE18CA,38,92.15,,鋼筋混凝土造,69年12月1日,四層,三層
RPWNMLMLKHOFFBE38CA,38,93.39,,鋼筋混凝土造,70年6月30日,七層,七層
RPUNMLPKKHOFFAE28CA,6,164.32,住家用,鋼筋混凝土造,101年8月9日,二十四層,十四層 陽台 雨遮
RPUNMLPKKHOFFAE28CA,6,96.94,本共有部分之項目有防空避難室、停車空間、垃圾分類中心、電樓梯間、機械室、中繼水箱、管委會使用空間、頂蓋型開放空間、防災中心、出入口緩衝空間、門廳、外廊等１２項。,鋼筋混凝土造,101年8月9日,二十四層,
RPPNMLRKKHOFFCE18CA,42,67.58,,鋼筋混凝土造,65年10月8日,四層,四層
RPROMLKLKHOFFAE67CA,16,57.24,住家用,鋼筋混凝土造,92年7月4日,十四層,十二層 陽台 雨遮
RPROMLKLKHOFFAE67CA,15,47.95,共有部份,鋼筋混凝土造,92年9月4日,十四層,
RPTOMLOKKHOFFCE38CA,22,91.92,住家用,鋼筋混凝土造,86年4月1日,七層,二層 陽台
RPTOMLOKKHOFFCE38CA,22,28.55,見使用執照,鋼筋混凝土造,86年4月1日,七層,
RPPPMLMLKHOFFCE97CA,1,64.71,集合住宅,鋼筋混凝土,107年5月9日,十四層,十一層 陽台
RPPPMLMLKHOFFCE97CA,1,70.03,本共有部分之項目有防空避難室兼停車空間、車道、管委會使用空間、公共服務空間、安全梯、緊急昇降機道、昇降機道、梯廳、陽台、排煙室、樓梯間、機械室、水箱等１３項。,鋼筋混凝土,107年5月9日,十四層,
RPTOMLOKKHOFFDE48CA,29,622.12,,鋼筋混凝土造,79年1月8日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物 騎樓 地下層
RPPNMLNKKHOFFDE87CA,24,128.06,住家用,鋼筋混凝土造,83年7月28日,二十四層,十一層 陽台 電梯樓梯間
RPPNMLNKKHOFFDE87CA,24,26.77,見使用執照,鋼筋混凝土造,83年7月28日,二十四層,
RPPPMLKLKHOFFCE77CA,29,108.27,住家用,鋼筋混凝土造,78年8月22日,五層,五層 陽台
RPPPMLKLKHOFFCE77CA,29,17.75,見使用執照,鋼筋混凝土造,78年8月22日,五層,
RPVOMLMLKHOFFAE28CA,3,274.36,集合住宅,鋼筋混凝土、鋼骨構造（有牆）,105年3月30日,二十六層,十三層 陽台 雨遮
RPVOMLMLKHOFFAE28CA,3,204.30,本共有部分之項目有停車空間、梯間、防空避難室兼停車空間、頂蓋型廣場式開放空間、公共服務空間、電梯間、出入口緩衝空間、機械室、水箱、門廳、車道、管委會使用空間、中繼機房、防災中心、樓梯間等１５項。,鋼筋混凝土、鋼骨構造（有牆）,105年3月30日,二十六層,
RPPOMLMLKHOFFDE97CA,35,83.61,,鋼筋混凝土造,72年10月26日,五層,四層 陽台
RPUOMLMLKHOFFDE48CA,9,72.99,住家用,鋼筋混凝土造,99年1月15日,十五層,三層 陽台 雨遮
RPUOMLMLKHOFFDE48CA,9,37.18,共用部分之項目有：防空避難室兼停車空間、台電配電場所、緊急發電機室、消防幫浦室、樓梯間、電梯機房及水箱等項,鋼筋混凝土造,99年1月15日,十五層,
RPVOMLMLKHOFFCE48CA,49,72.03,住家用,加強磚造,58年8月5日,二層,一層 二層
RPUOMLMLKHOFFCE38CA,38,80.89,,鋼筋混凝土造,69年8月8日,五層,三層 電梯樓梯間
RPOOMLSKKHOFFCE28CA,2,102.46,集合住宅,鋼筋混凝土造,106年6月8日,十八層,十層 陽台 雨遮
RPOOMLSKKHOFFCE28CA,2,69.60,本共有部分之項目有防空避難室兼停車空間、停車空間、梯間、公共服務空間、梯廳、垃圾暫存室、防災中心、車道、頂蓋型開放空間、樓梯間、中繼水箱、機械室及水箱等１３項。,鋼筋混凝土造,106年6月8日,十八層,
RPWNMLSKKHOFFCE98CA,2,114.91,集合住宅,鋼筋混凝土造,106年6月8日,十八層,十五層 陽台 雨遮
RPWNMLSKKHOFFCE98CA,2,75.41,本共有部分之項目有防空避難室兼停車空間、停車空間、梯間、公共服務空間、梯廳、垃圾暫存室、防災中心、車道、頂蓋型開放空間、樓梯間、中繼水箱、機械室及水箱等１３項。,鋼筋混凝土造,106年6月8日,十八層,
RPQNMLPJLHOFFBE97CA,39,79.39,,鋼筋混凝土造,69年4月21日,五層,一層
RPXNMLSKKHOFFCE09CA,2,66.23,集合住宅,鋼筋混凝土造,106年6月8日,十八層,九層 陽台
RPXNMLSKKHOFFCE09CA,2,42.97,本共有部分之項目有防空避難室兼停車空間、停車空間、梯間、公共服務空間、梯廳、垃圾暫存室、防災中心、車道、頂蓋型開放空間、樓梯間、中繼水箱、機械室及水箱等１３項。,鋼筋混凝土造,106年6月8日,十八層,
RPQNMLNKKHOFFEE08CA,10,199.58,住家用,鋼筋混凝土造,98年1月20日,四層,一層 二層 三層 四層 陽台
RPPOMLMKKHOFFEE97CA,23,50.50,住家用,鋼筋混凝土造,84年8月14日,十六層,十層 陽台 雨遮
RPPOMLMKKHOFFEE97CA,23,18.30,見使用執照,鋼筋混凝土造,84年8月14日,十六層,
RPWNMLNKKHOFFEE68CA,20,94.71,住家用,見使用執照,88年6月16日,十四層,七層 陽台 雨遮
RPWNMLNKKHOFFEE68CA,20,59.38,見使用執照,見使用執照,88年6月16日,十四層,
RPRNMLPKKHOFFEE38CA,17,21.02,住家用,鋼筋混凝土結構造,90年9月7日,六層,三層 陽台
RPRNMLPKKHOFFEE38CA,17,11.21,見使用執照,見使用執照,90年9月7日,六層,
RPUNMLSKKHOFFEE98CA,12,82.21,住家用,鋼筋混凝土造,95年11月28日,十五層,十三層 陽台
RPUNMLSKKHOFFEE98CA,12,47.15,防空避難室、停車空間、電樓梯間、管理委員會空間、屋頂突出物、頂蓋型沿街開放空間、車道,鋼筋混凝土造,95年11月28日,十五層,
RPQNMLOKKHOFFEE18CA,45,70.94,,加強磚造,63年3月25日,二層,一層 二層
RPUNMLKLKHOFFEE28CA,21,106.17,集合住宅,鋼筋混凝土造,87年2月9日,十三層,十二層 陽台
RPUNMLKLKHOFFEE28CA,21,35.45,見使用執照,鋼筋混凝土造,87年2月9日,十三層,
RPVOMLMLKHOFFDE58CA,20,106.95,住家用,鋼筋混凝土造,88年5月19日,二十七層,二十二層 陽台
RPVOMLMLKHOFFDE58CA,20,29.98,見使用執照,鋼筋混凝土造,88年5月19日,二十七層,
RPPOMLNKKHOFFEE08CA,20,75.17,住家用,鋼筋混凝土造,88年1月20日,十四層,十層 陽台 雨遮
RPPOMLNKKHOFFEE08CA,20,36.85,見使用執照,見使用執照,88年1月20日,十四層,
RPPOMLQLKHOFFDE38CA,24,120.23,住家用,鋼筋混凝土造,83年11月14日,二十三層,十二層 陽台 花台
RPPOMLQLKHOFFDE38CA,24,19.38,見使用執照,鋼筋混凝土造,83年11月14日,二十三層,
RPPOMLQLKHOFFDE38CA,24,12.45,見使用執照,鋼筋混凝土造,83年11月14日,二十三層,
RPPOMLQLKHOFFDE38CA,24,25.67,見使用執照,鋼筋混凝土造,83年11月14日,二十三層,
RPWNMLQJLHOFFDE88CA,30,121.39,,鋼筋混凝土造,77年6月23日,五層,二層 陽台 電梯樓梯間
RPUOMLPLKHOFFDE78CA,,47.49,集合住宅,鋼筋混凝土造,107年10月31日,二十九層,十一層 陽台
RPUOMLPLKHOFFDE78CA,,26.25,共有部份,鋼筋混凝土造,107年10月31日,二十九層,
RPTNMLLLKHOFFEE28CA,3,76.27,集合住宅,鋼筋混凝土,105年2月24日,十五層,九層 陽台 雨遮
