編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKKHOFFCE87CA,中厝段,20.08,都市：商,10000,147,持分移轉,00130000
RPVOMLOKKHOFFBE48CA,新興段四小段,11.58,都市：商,10000,2184,持分移轉,20710000
RPVOMLOKKHOFFBE48CA,新興段四小段,2.18,都市：商,10000,2184,持分移轉,20710001
RPVOMLOKKHOFFBE48CA,新興段四小段,17.12,都市：商,10000,1802,持分移轉,20720000
RPVOMLOKKHOFFBE48CA,新興段四小段,2.88,都市：商,10000,1802,持分移轉,20720001
RPRNMLPKKHOFFAE97CA,前金段,5.22,都市：商,10000,190,持分移轉,06680000
RPRNMLPKKHOFFAE97CA,前金段,9.85,都市：商,10000,228,持分移轉,06680008
RPTPMLOKKHOFFAE28CA,前金段,7.94,都市：商,10000,210,持分移轉,00710017
RPQPMLPKKHOFFBE18CA,衛武段,5.69,都市：住,16,1,持分移轉,00070000
RPQPMLPKKHOFFBE18CA,衛武段,43.81,都市：住,16,1,持分移轉,00080000
RPWNMLMLKHOFFBE38CA,新興段一小段,19.00,都市：商,8,1,持分移轉,18820000
RPUNMLPKKHOFFAE28CA,青海段,25.65,都市：住,10000,149,持分移轉,04510000
RPPNMLRKKHOFFCE18CA,愛群段,27.69,都市：住,16,1,持分移轉,06100000
RPROMLKLKHOFFAE67CA,青海段,13.94,都市：住,100000,671,持分移轉,06360000
RPTOMLOKKHOFFCE38CA,瑞隆段一小段,19.84,都市：住,10000,145,持分移轉,05550000
RPPPMLMLKHOFFCE97CA,店鎮段,17.79,都市：住,100000,700,持分移轉,01690000
RPTOMLOKKHOFFDE48CA,三塊厝段三小段,119.00,都市：住,1,1,全筆移轉,36700002
RPPNMLNKKHOFFDE87CA,中都段三小段,11.05,都市：住,10000,38,持分移轉,10100000
RPPPMLKLKHOFFCE77CA,港墘段,36.80,都市：住,15,1,持分移轉,02290000
RPVOMLMLKHOFFAE28CA,龍水段一小段,45.20,都市：住,10000,195,持分移轉,11860000
RPPOMLMLKHOFFDE97CA,三塊厝段四小段,3.20,都市：商,10000,135,持分移轉,30540000
RPPOMLMLKHOFFDE97CA,三塊厝段四小段,17.30,都市：商,10,1,持分移轉,30550000
RPUOMLMLKHOFFDE48CA,灣中段,.04,都市：商,10000,50,持分移轉,01790002
RPUOMLMLKHOFFDE48CA,灣中段,12.51,都市：商,10000,50,持分移轉,01800000
RPVOMLMLKHOFFCE48CA,瑞崗段四小段,49.00,都市：住,1,1,全筆移轉,01710000
RPUOMLMLKHOFFCE38CA,瑞隆段二小段,31.80,都市：商,10000,30,持分移轉,06750000
RPUOMLMLKHOFFCE38CA,瑞隆段二小段,.42,都市：商,10000,30,持分移轉,06750001
RPOOMLSKKHOFFCE28CA,光華段一小段,14.39,都市：住,100000,319,持分移轉,19070000
RPOOMLSKKHOFFCE28CA,光華段一小段,2.36,都市：商,100000,319,持分移轉,19070016
RPWNMLSKKHOFFCE98CA,光華段一小段,15.93,都市：住,100000,353,持分移轉,19070000
RPWNMLSKKHOFFCE98CA,光華段一小段,2.61,都市：商,100000,353,持分移轉,19070016
RPQNMLPJLHOFFBE97CA,正昌段,31.58,都市：住,10000,86,持分移轉,08060000
RPXNMLSKKHOFFCE09CA,光華段一小段,9.11,都市：住,100000,202,持分移轉,19070000
RPXNMLSKKHOFFCE09CA,光華段一小段,1.49,都市：商,100000,202,持分移轉,19070016
RPQNMLNKKHOFFEE08CA,芎蕉段,145.13,都市：住,1,1,全筆移轉,02120008
RPPOMLMKKHOFFEE97CA,福山段,5.97,都市：商,10000,55,持分移轉,02800000
RPWNMLNKKHOFFEE68CA,新民段,19.23,都市：住,10000,44,持分移轉,03520000
RPRNMLPKKHOFFEE38CA,芎蕉段,9.60,都市：住,100000,321,持分移轉,02150003
RPUNMLSKKHOFFEE98CA,新庄段十三小段,12.43,都市：商,100000,797,持分移轉,14900000
RPQNMLOKKHOFFEE18CA,莒光段二小段,59.00,都市：住,1,1,全筆移轉,06600000
RPUNMLKLKHOFFEE28CA,菜公段二小段,18.38,都市：住,100000,513,持分移轉,05960000
RPUNMLKLKHOFFEE28CA,菜公段二小段,.13,都市：其他:路,100000,513,持分移轉,05960001
RPVOMLMLKHOFFDE58CA,鼎泰段,7.60,都市：住,10000,25,持分移轉,14030001
RPPOMLNKKHOFFEE08CA,福山段,9.90,都市：住,100000,505,持分移轉,05150000
RPPOMLQLKHOFFDE38CA,大順段,11.97,都市：商,30000,162,持分移轉,08720000
RPWNMLQJLHOFFDE88CA,陽明段二小段,35.57,都市：住,10000,173,持分移轉,01160000
RPTNMLLKKHOFFFE28CA,湖子內段,124.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03450000
RPVNMLNKKHOFFFE68CA,頂?田段,1430.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,21870000
RPUOMLPLKHOFFDE78CA,建民段,5.56,都市：商,100000,215,持分移轉,03320000
RPTNMLLLKHOFFEE28CA,藍昌段三小段,10.56,都市：商,100000,524,持分移轉,04860000
RPSNMLOLKHOFFEE48CA,高昌段,22.12,都市：住,100000,1344,持分移轉,03590000
RPTNMLOLKHOFFEE58CA,高昌段,12.31,都市：住,100000,748,持分移轉,03590000
RPRNMLOLKHOFFEE38CA,高昌段,13.18,都市：住,100000,801,持分移轉,03590000
RPOOMLPKKHOFFGE38CA,新甲段,20.94,都市：住,100000,379,持分移轉,12450179
