編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOKKHOFFCE87CA,坡道平面,0,,
RPRNMLPKKHOFFAE97CA,坡道平面,0,,
RPUNMLPKKHOFFAE28CA,坡道平面,0,17.06,
RPROMLKLKHOFFAE67CA,坡道平面,0,23.82,
RPPPMLMLKHOFFCE97CA,坡道平面,1280000,36.68,
RPVOMLMLKHOFFAE28CA,坡道平面,2500000,14.72,
RPVOMLMLKHOFFAE28CA,坡道平面,2500000,14.72,
RPVOMLMLKHOFFAE28CA,坡道平面,2500000,14.72,
RPOOMLSKKHOFFCE28CA,坡道平面,0,15.25,
RPWNMLSKKHOFFCE98CA,坡道平面,0,15.25,
RPXNMLSKKHOFFCE09CA,坡道機械,0,8.16,
RPPOMLMKKHOFFEE97CA,坡道機械,0,,
RPWNMLNKKHOFFEE68CA,坡道平面,0,,
RPUNMLSKKHOFFEE98CA,坡道機械,0,,
RPPOMLNKKHOFFEE08CA,坡道平面,0,17.62,
RPPOMLQLKHOFFDE38CA,坡道平面,0,,
RPTNMLLLKHOFFEE28CA,坡道機械,0,7.95,
RPSNMLOLKHOFFEE48CA,坡道平面,0,,
RPTNMLOLKHOFFEE58CA,坡道機械,0,,
RPRNMLOLKHOFFEE38CA,坡道機械,0,,
RPOOMLPKKHOFFGE38CA,坡道平面,0,24.75,
RPSOMLLLKHOFFGE48CA,坡道平面,0,,
RPSNMLLLKHOFFIE58CA,坡道機械,0,15.38,
RPUNMLOLKHOFFEE68CA,坡道機械,0,,
RPPNMLLJKHOFFAE57CD,坡道平面,0,,
RPUNMLOJLHOFFDE48CA,坡道平面,0,23.72,
RPPNMLRKKHOFFGE58CA,坡道機械,0,,
RPWOMLNLKHOFFEE88CA,坡道平面,0,36.27,
RPPNMLOKKHOFFEE08CA,坡道平面,0,28.04,
RPTPMLPKKHOFFEE78CA,坡道平面,0,20.00,
RPTPMLPKKHOFFEE78CA,坡道平面,0,20.00,
RPVNMLOKKHOFFEE68CA,坡道平面,0,19.37,
RPQNMLOJLHOFFGE38CA,坡道平面,0,,
RPUOMLPKKHOFFDE68CA,坡道平面,1200000,23.88,
RPQNMLMLKHOFFCE87CA,坡道機械,0,,
RPSNMLPJLHOFFEE48CA,坡道機械,0,16.79,
RPVNMLMLKHOFFAE18CA,坡道平面,0,,
RPVOMLMKKHOFFAE18CA,坡道平面,0,23.76,
RPPPMLQLKHOFFAE18CA,坡道平面,0,,
RPPPMLQLKHOFFAE18CA,坡道平面,0,,
RPPNMLPLKHOFFBE97CA,坡道平面,0,,
RPTOMLRJLHOFFAE48CA,坡道平面,0,33.14,
RPQOMLRJLHOFFAE18CA,坡道平面,0,33.14,
RPSOMLRJLHOFFAE38CA,坡道平面,0,33.14,
RPROMLRJLHOFFAE28CA,坡道平面,0,33.14,
RPPQMLPKKHOFFAE08CA,塔式車位,0,,
RPQNMLRKKHOFFAE08CA,坡道平面,0,,
RPSNMLOKKHOFFAE97CA,坡道平面,0,,
RPXOMLPKKHOFFAE68CA,坡道平面,0,26.38,
RPUNMLMLKHOFFAE08CA,坡道平面,0,,
RPOOMLOKKHOFFBE77CA,升降機械,0,,
RPSNMLLLKHOFFBE87CA,坡道平面,0,18.00,
RPTNMLLLKHOFFBE97CA,坡道機械,1000000,13.93,
RPUNMLLLKHOFFBE08CA,坡道平面,0,18.00,
RPROMLSKKHOFFBE48CA,坡道平面,0,22.27,
RPSNMLOKKHOFFCE18CA,坡道平面,1150000,39.86,
RPTNMLOKKHOFFCE28CA,坡道平面,1150000,40.97,
RPWOMLNLKHOFFBE58CA,塔式車位,1250000,13.81,
RPROMLOKKHOFFCE18CA,坡道機械,0,,
RPVPMLMLKHOFFCE58CA,坡道平面,0,,
RPXOMLOKKHOFFDE88CA,坡道平面,1500000,31.00,
RPTNMLPKKHOFFDE48CA,坡道平面,0,50.22,
RPUNMLPKKHOFFDE58CA,坡道平面,0,50.22,
RPVNMLPKKHOFFDE68CA,坡道平面,0,50.22,
RPWNMLTKKHOFFDE56CA,坡道平面,0,27.62,
RPUOMLRJLHOFFAE58CA,坡道平面,0,29.29,
RPXNMLLLKHOFFAE28CA,坡道機械,0,12.00,
RPWPMLRJLHOFFEE66CA,坡道平面,0,22.64,
RPQNMLLKLHOFFCE77CA,坡道機械,0,,
RPROMLNKKHOFFEE28CA,坡道平面,0,36.62,
RPPNMLTJLHOFFCE38CA,升降機械,0,13.21,
