編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLPKKHOFFEE98CB,援中段一小段,14.14,都市：商,10000,99,持分移轉,01470000
RPXNMLPKKHOFFEE09CB,援中段一小段,13.28,都市：商,10000,93,持分移轉,01470000
RPOOMLPKKHOFFEE28CB,援中段一小段,13.28,都市：商,10000,93,持分移轉,01470000
RPPOMLPKKHOFFEE38CB,援中段一小段,13.28,都市：商,10000,93,持分移轉,01470000
RPUOMLPKKHOFFEE88CB,援中段一小段,13.28,都市：商,10000,93,持分移轉,01470000
RPQOMLPKKHOFFEE48CB,援中段一小段,13.28,都市：商,10000,93,持分移轉,01470000
RPROMLPKKHOFFEE58CB,援中段一小段,13.28,都市：商,10000,93,持分移轉,01470000
RPWOMLPKKHOFFEE09CB,援中段一小段,13.56,都市：商,10000,95,持分移轉,01470000
RPXOMLPKKHOFFEE56CB,援中段一小段,13.56,都市：商,10000,95,持分移轉,01470000
RPSOMLPKKHOFFEE68CB,援中段一小段,13.56,都市：商,10000,95,持分移轉,01470000
RPTOMLPKKHOFFEE78CB,援中段一小段,13.28,都市：商,10000,93,持分移轉,01470000
RPQPMLPKKHOFFEE58CB,援中段一小段,10.42,都市：商,10000,73,持分移轉,01470000
RPVOMLPKKHOFFEE98CB,援中段一小段,13.28,都市：商,10000,93,持分移轉,01470000
RPUPMLPKKHOFFEE98CB,援中段一小段,10.42,都市：商,10000,73,持分移轉,01470000
RPRPMLPKKHOFFEE68CB,援中段一小段,10.42,都市：商,10000,73,持分移轉,01470000
RPOPMLPKKHOFFEE38CB,援中段一小段,13.42,都市：商,10000,94,持分移轉,01470000
RPPPMLPKKHOFFEE48CB,援中段一小段,13.56,都市：商,10000,95,持分移轉,01470000
RPSPMLPKKHOFFEE78CB,援中段一小段,10.42,都市：商,10000,73,持分移轉,01470000
RPVPMLPKKHOFFEE09CB,援中段一小段,10.42,都市：商,10000,73,持分移轉,01470000
RPXPMLPKKHOFFEE66CB,援中段一小段,10.42,都市：商,10000,73,持分移轉,01470000
RPWPMLPKKHOFFEE56CB,援中段一小段,10.42,都市：商,10000,73,持分移轉,01470000
RPOQMLPKKHOFFEE48CB,援中段一小段,10.42,都市：商,10000,73,持分移轉,01470000
RPPQMLPKKHOFFEE58CB,援中段一小段,13.71,都市：商,10000,96,持分移轉,01470000
RPRQMLPKKHOFFEE78CB,援中段一小段,13.85,都市：商,10000,97,持分移轉,01470000
RPSQMLPKKHOFFEE88CB,援中段一小段,13.99,都市：商,10000,98,持分移轉,01470000
RPUQMLPKKHOFFEE09CB,援中段一小段,13.85,都市：商,10000,97,持分移轉,01470000
RPTQMLPKKHOFFEE98CB,援中段一小段,13.85,都市：商,10000,97,持分移轉,01470000
RPVQMLPKKHOFFEE56CB,援中段一小段,13.85,都市：商,10000,97,持分移轉,01470000
RPWQMLPKKHOFFEE66CB,援中段一小段,13.99,都市：商,10000,98,持分移轉,01470000
