編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLLKKHOFFAE28CC,38,151.10,,鋼筋混凝土造,69年11月6日,十二層,
RPOOMLLKKHOFFAE57CC,29,94.31,住家用,鋼筋混凝土造,78年9月20日,二十二層,
RPOOMLLKKHOFFAE57CC,29,28.10,住家用,鋼筋混凝土造,78年9月20日,二十二層,
RPOOMLLKKHOFFAE57CC,29,1.65,見使用執照,鋼筋混凝土造,78年9月20日,二十二層,
RPOOMLLKKHOFFAE57CC,29,5.53,見使用執照,鋼筋混凝土造,78年9月20日,二十二層,
RPOOMLLKKHOFFAE57CC,29,4.13,見使用執照,鋼筋混凝土造,78年9月20日,二十二層,
RPTOMLLKKHOFFAE08CC,24,23.08,見使用執照,鋼筋混凝土造,84年7月7日,二十七層,
RPTOMLLKKHOFFAE08CC,24,80.24,住家用,鋼筋混凝土造,84年7月7日,二十七層,
RPUNMLLKKHOFFBE18CC,13,125.63,住家用,鋼筋混凝土造,94年12月6日,十四層,
RPUNMLLKKHOFFBE18CC,13,12.84,住家用,鋼筋混凝土造,94年12月6日,十四層,
RPUNMLLKKHOFFBE18CC,13,83.72,防空避難室、停車空間、門廳、管理委員會使用空間、樓梯間、機械室、水塔等,鋼筋混凝土造,94年12月6日,十四層,
RPQOMLLKKHOFFAE77CC,4,75.94,住家用,鋼筋混凝土造,104年2月10日,十二層,
RPQOMLLKKHOFFAE77CC,4,11.80,住家用,鋼筋混凝土造,104年2月10日,十二層,
RPQOMLLKKHOFFAE77CC,4,82.80,本共有部分之項目有：防空避難室兼停車空間、樓梯間、昇降機、機械室、水箱、管委會使用空間、門廊、車道等８項。,鋼筋混凝土造,104年2月10日,十二層,
RPSOMLLKKHOFFEE38CC,13,36.69,住商用,鋼筋混凝土造,94年8月1日,五層,
RPTOMLLKKHOFFGE68CC,38,71.42,住家用,鋼筋混凝土造,69年8月20日,五層,
RPUOMLMKKHOFFDE68DC,17,56.81,住商用,鋼筋混凝土造,91年1月15日,十三層,
RPTNMLMKKHOFFFE58CC,50,141.39,住家用,加強磚造,58年8月1日,三層,
RPSNMLLKKHOFFJE78CC,30,760.33,辦公室、自用車庫、廠房、員工餐廳、員工單身宿舍、廁所、研究室、梯間。,鋼鐵造、加強磚造、鋼骨造,78年3月17日,二層,
RPROMLMKKHOFFFE48CC,,432.58,住家用,鋼筋混凝土造,107年8月17日,四層,
RPQNMLLKKHOFFFE28DC,22,221.51,住商用,鋼筋混凝土造,86年5月1日,五層,
RPWNMLMKKHOFFBE48CC,33,110.08,,鋼筋混凝土造,74年7月31日,五層,
RPWNMLMKKHOFFBE48CC,33,7.30,,鋼筋混凝土造,74年7月31日,五層,
RPOOMLMKKHOFFAE67CC,2,38.41,集合住宅,鋼筋混凝土,105年10月17日,十四層,
RPOOMLMKKHOFFAE67CC,2,22.92,本共有部分項目有防空避難室兼停車空間、門廊、樓梯間、汽車昇降機道、停車空間、騎樓、門廳、昇降機間、樓梯間機械室、樓梯間水箱。,鋼筋混凝土,105年10月17日,十四層,
RPXNMLMKKHOFFAE48CC,34,78.84,,鋼筋混凝土造,74年5月8日,五層,
RPXNMLMKKHOFFAE48CC,34,8.10,,鋼筋混凝土造,74年5月8日,五層,
RPWOMLMKKHOFFAE48CC,24,157.06,住家用,鋼筋混凝土造,84年7月7日,二十七層,
RPPOMLMKKHOFFAE77CC,32,252.10,,鋼筋混凝土造,75年12月5日,四層,
RPWNMLMKKHOFFDE68CC,54,50.40,住家用,加強磚造,54年4月22日,二層,
RPQOMLMKKHOFFIE68CC,14,48.06,住家用,鋼筋混凝土造,93年8月2日,四層,
RPQOMLMKKHOFFIE68CC,14,30.18,住家用,鋼筋混凝土造,93年8月2日,四層,
RPQOMLMKKHOFFIE68CC,14,22.18,住家用,鋼筋混凝土造,93年8月2日,四層,
RPQOMLMKKHOFFIE68CC,14,19.30,住家用,鋼筋混凝土造,93年8月2日,四層,
RPQOMLMKKHOFFIE68CC,14,29.04,住家用,鋼筋混凝土造,93年8月2日,四層,
RPVNMLNKKHOFFCE58CC,21,125.06,商業用,鋼筋混凝土造,87年7月14日,二十八層,
RPVNMLNKKHOFFCE58CC,21,71.21,共有部份,鋼筋混凝土造,87年7月14日,二十八層,
RPXNMLNKKHOFFCE78CC,35,48.29,,鋼筋混凝土造,72年12月15日,十二層,
RPSNMLNKKHOFFAE08CC,41,81.90,,鋼筋混凝土造,66年8月24日,五層,
RPVNMLNKKHOFFDE68CC,34,14.47,,加強磚造,74年7月3日,二層,
RPSNMLNKKHOFFDE38CC,35,87.97,,鋼筋混凝土造,73年1月9日,五層,
RPSNMLNKKHOFFDE38CC,35,15.02,,鋼筋混凝土造,73年1月9日,五層,
RPQOMLMKKHOFFDE18CC,51,87.00,住家用,加強磚造,56年9月6日,三層,
RPTOMLMKKHOFFDE48CC,20,52.25,住家用,鋼筋混凝土造,88年5月21日,十三層,
RPTOMLMKKHOFFDE48CC,20,17.67,見使用執照,鋼筋混凝土造,88年5月21日,十三層,
RPPOMLMKKHOFFDE08CC,41,78.85,,鋼筋混凝土造,66年11月25日,六層,
RPPNMLNKKHOFFBE87CC,35,29.87,,鋼筋混凝土造,72年12月16日,十二層,
RPPNMLNKKHOFFBE87CC,35,4.32,見使用執照,鋼筋混凝土造,72年12月16日,000,
RPUNMLNKKHOFFBE38CC,24,173.50,住家用,鋼筋混凝土造,83年11月17日,二十二層,
RPTNMLNKKHOFFAE18CC,25,24.35,住家用,鋼筋混凝土造,83年3月8日,九層,
RPTNMLNKKHOFFAE18CC,25,8.34,見使用執照,鋼筋混凝土造,83年3月8日,九層,
RPROMLNKKHOFFAE08CC,60,121.12,,加強磚造,48年5月30日,三層,
RPQOMLNKKHOFFAE97CC,60,63.19,,加強磚造,48年5月30日,三層,
RPOOMLNKKHOFFAE77CC,60,63.47,,加強磚造,48年5月30日,三層,
RPPOMLNKKHOFFAE87CC,60,121.66,,加強磚造,48年5月30日,三層,
RPVNMLNKKHOFFBE48CC,39,76.27,,鋼筋混凝土造,69年1月17日,五層,
RPROMLNKKHOFFBE18CC,34,20.31,,鋼筋混凝土造,73年8月9日,十二層,
RPROMLNKKHOFFBE18CC,34,3.85,,鋼筋混凝土造,73年8月9日,十二層,
RPQOMLNKKHOFFBE08CC,34,18.51,,鋼筋混凝土造,73年8月9日,十二層,
RPQOMLNKKHOFFBE08CC,34,3.13,,鋼筋混凝土造,73年8月9日,十二層,
RPWNMLNKKHOFFIE66CC,22,128.66,住家用,鋼筋混凝土造,86年7月9日,十一層,
RPWNMLNKKHOFFIE66CC,22,39.31,管理員室、樓梯間、機械室、水箱、門廊、停車空間,鋼筋混凝土造,86年7月9日,十二層,
RPRPMLLKKHOFFEE38CC,8,77.50,住家用,鋼筋混凝土造,100年7月14日,十三層,
RPWOMLLKKHOFFEE78CC,5,50.38,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPWOMLLKKHOFFEE78CC,5,5.87,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPWOMLLKKHOFFEE78CC,5,29.12,本共有部分之項目有防空避難室兼停車空間、停車空間、梯間、門廳、門廊、管理委員會使用空間、走廊、立體架構投影、機械室、水箱、夾層、遮、陽台等１３項。,鋼筋混凝土造,103年3月27日,十五層,
RPUOMLLKKHOFFEE58CC,14,97.08,住家用,鋼筋混凝土造,94年5月20日,十四層,
RPUOMLLKKHOFFEE58CC,14,13.09,住家用,鋼筋混凝土造,94年5月20日,十四層,
RPUOMLLKKHOFFEE58CC,14,58.37,見使用執照,鋼筋混凝土造,94年5月20日,十四層,
RPTPMLLKKHOFFEE58CC,6,118.24,住家用,鋼筋混凝土造,101年10月4日,十五層,
RPTPMLLKKHOFFEE58CC,6,23.24,住家用,鋼筋混凝土造,101年10月4日,十五層,
RPTPMLLKKHOFFEE58CC,6,90.66,本共有部分之項目有防空避難室兼停車空間、停車空間、門廳、管理員室、管理委員會使用空間、車道、梯間、走廊、樓梯間、管道間、機械室、水箱等１２項。,鋼筋混凝土造,101年10月4日,十五層,
RPTPMLNKKHOFFEE78CC,25,18.19,住商用,鋼筋混凝土造,82年11月17日,八層,
RPTPMLNKKHOFFEE78CC,25,3.95,見使用執照,鋼筋混凝土造,82年11月17日,八層,
RPOPMLNKKHOFFEE28CC,26,82.83,住家用,鋼筋混凝土造,82年5月11日,七層,
RPOPMLNKKHOFFEE28CC,26,37.63,見使用執照,鋼筋混凝土造,82年5月11日,七層,
RPQNMLOKKHOFFAE08DC,13,82.24,住家用,鋼筋混凝土造,94年8月31日,二十層,
RPTNMLOKKHOFFIE09CC,42,42.09,住家用,鋼筋混凝土造,66年3月20日,七層,
RPVNMLOKKHOFFIE66CC,27,115.44,廠房,鋼造,80年11月23日,一層,
RPPNMLOKKHOFFBE97CC,30,119.32,,鋼筋混凝土造,78年1月14日,十七層,
RPWNMLOKKHOFFBE68CC,22,145.16,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPUPMLOKKHOFFEE98CC,24,108.27,住家用,鋼筋混凝土造,84年5月23日,十二層,
RPUPMLOKKHOFFEE98CC,24,37.65,見使用執照,鋼筋混凝土造,84年5月23日,十二層,
RPOPMLOKKHOFFEE38CC,19,109.85,住商用,見使用執照,89年6月23日,十四層,
RPOPMLOKKHOFFEE38CC,19,26.33,停車空間、門廳、社區服務中心、水箱、機械室、避難室、車道、管理員室、門廊、樓梯間,鋼筋混凝土造,89年6月23日,十四層,
RPSPMLOKKHOFFEE78CC,1,89.56,集合住宅,鋼筋混凝土,106年8月17日,十四層,
RPWPMLOKKHOFFEE56CC,,201.56,店舖、集合住宅,鋼筋混凝土,107年11月14日,六層,
RPSPMLOKKHOFFEE78CC,1,48.22,本共有部分之項目有防空避難室兼停車空間、頂蓋投影面積、電梯間、樓梯間、汽車坡道、梯廳兼入口門廳、管委會使用空間、水箱、機械房等９項,鋼筋混凝土,106年8月17日,十四層,
RPPPMLOKKHOFFEE48CC,19,106.96,住商用,見使用執照,89年6月23日,十四層,
RPWPMLOKKHOFFEE56CC,,108.50,本共有部分之項目有防空避難室兼停車空間、樓電梯間、門廳、騎樓、廁所、昇降機間、機械室、水箱等８項。,鋼筋混凝土,107年11月14日,六層,
RPPPMLOKKHOFFEE48CC,19,26.33,停車空間、門廳、社區服務中心、水箱、機械室、避難室、車道、管理員室、門廊、樓梯間,鋼筋混凝土造,89年6月23日,十四層,
RPVPMLOKKHOFFEE09CC,18,206.50,住商用,見使用執照,89年10月18日,二層,
RPUNMLOKKHOFFEE78CC,5,67.17,住家用,鋼筋混凝土造,103年4月29日,十三層,
RPUNMLOKKHOFFEE78CC,5,10.11,住家用,鋼筋混凝土造,103年4月29日,十三層,
RPUNMLOKKHOFFEE78CC,5,68.93,本共有部分之項目有停車空間、防空避難室兼停車空間、樓梯間、管委會使用空間、門廳兼梯廳、車道、水箱、機械室等共８項。,鋼筋混凝土造,103年4月29日,十三層,
RPQOMLOKKHOFFAE08CC,,49.64,集合住宅,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土造,107年9月4日,二十八層,
RPQOMLOKKHOFFAE08CC,,8.82,集合住宅,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土造,107年9月4日,二十八層,
RPQOMLOKKHOFFAE08CC,,51.46,本共有部分之項目有防空避難室兼停車空間、專用出入口緩衝空間、停車空間、車道、管委會使用空間、管道間、大廳兼梯廳、門廊、樓梯間、防災中心、梯廳、中繼機械室、機械室、水箱、機械設備區、陽台、雨遮等１７項。,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土造,107年9月4日,二十八層,
RPSOMLOKKHOFFAE28CC,23,169.75,住家用,鋼筋混凝土造,84年11月29日,十九層,
RPUNMLOKKHOFFCE58CC,13,82.20,住家用,鋼筋混凝土造,94年12月28日,十五層,
RPUNMLOKKHOFFCE58CC,13,10.18,住家用,鋼筋混凝土造,94年12月28日,十五層,
RPUNMLOKKHOFFCE58CC,13,75.11,共有部份,鋼筋混凝土造,94年12月28日,十五層,
RPTOMLOKKHOFFAE38CC,39,34.57,,鋼筋混凝土造,68年12月18日,十二層,
RPOOMLOKKHOFFCE08CC,1,55.85,集合住宅,鋼筋混凝土,107年6月20日,十六層,
RPOOMLOKKHOFFCE08CC,1,8.19,集合住宅,鋼筋混凝土,107年6月20日,十六層,
RPOOMLOKKHOFFCE08CC,1,18.10,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,
RPOOMLOKKHOFFCE08CC,1,40.67,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,
RPSNMLOKKHOFFDE48CC,39,67.20,,鋼筋混凝土造,68年10月22日,四層,
RPQOMLOKKHOFFDE38CC,44,55.83,,鋼筋混凝土造,64年3月14日,四層,
RPROMLOKKHOFFDE48CC,38,36.28,,鋼筋混凝土造,69年8月28日,五層,
RPSOMLOKKHOFFDE58CC,34,85.02,,鋼筋混凝土造,73年9月18日,五層,
RPSOMLOKKHOFFDE58CC,34,10.98,,鋼筋混凝土造,73年9月18日,五層,
RPTOMLPKKHOFFDE78CC,43,149.85,,鋼筋混凝土造,65年4月16日,三層,
RPVOMLOKKHOFFDE88CC,37,151.78,,鋼筋混凝土造,71年2月25日,五層,
RPSNMLPKKHOFFAE28CC,,49.64,集合住宅,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土造,107年9月4日,二十八層,
