編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLLKKHOFFBE18CC,坡道平面,0,35.28,
RPQOMLLKKHOFFAE77CC,坡道平面,0,31.95,
RPVNMLNKKHOFFCE58CC,坡道平面,0,,
RPTNMLNKKHOFFBE28CC,坡道平面,2000,14.64,
RPUNMLNKKHOFFBE38CC,坡道機械,0,,
RPXNMLNKKHOFFBE68CC,坡道平面,1700,12.66,
RPOOMLNKKHOFFBE87CC,坡道平面,1800,12.66,
RPWOMLLKKHOFFEE78CC,坡道平面,0,,
RPTPMLLKKHOFFEE58CC,坡道平面,0,20.66,
RPSPMLOKKHOFFEE78CC,坡道平面,0,34.62,
RPUNMLOKKHOFFEE78CC,坡道平面,0,20.78,
RPSOMLOKKHOFFAE28CC,坡道平面,0,,
RPOOMLOKKHOFFCE08CC,坡道平面,0,24.86,
RPQNMLPKKHOFFAE08CC,坡道平面,0,19.34,
RPPPMLPKKHOFFAE18CC,升降平面,0,17.12,
RPOQMLPKKHOFFAE18CC,坡道機械,0,15.88,
RPPNMLPKKHOFFBE08CC,坡道平面,0,16.41,
RPXNMLOKKHOFFBE78CC,坡道平面,0,16.70,
RPPOMLPKKHOFFCE28CC,坡道平面,0,20.38,
RPOPMLOKKHOFFCE18CC,坡道平面,0,23.60,
RPSOMLPKKHOFFGE98CC,坡道平面,0,,
RPSNMLSKKHOFFAE58CC,坡道平面,0,,
RPRNMLSKKHOFFDE78CC,坡道平面,0,20.11,
RPRUMLPKKHOFFEE66CC,坡道平面,0,,
RPQNMLPKKHOFFEE48CC,坡道平面,0,19.65,
RPRNMLTKKHOFFAE58CC,坡道機械,0,8.25,
RPWOMLTKKHOFFAE56CC,坡道平面,0,22.95,
RPPOMLTKKHOFFEE88CC,坡道平面,0,29.27,
RPUNMLKLKHOFFIE88CC,坡道平面,0,33.49,
RPXPMLKLKHOFFCE78CC,坡道平面,0,32.00,
RPPPMLLLKHOFFCE08CC,坡道平面,0,41.03,
RPPOMLLLKHOFFAE77CC,坡道機械,0,12.66,
RPRNMLLLKHOFFGE48CC,坡道平面,0,,
RPUPMLMLKHOFFCE68CC,坡道機械,0,,
RPQOMLNLKHOFFAE08CC,坡道平面,0,,
RPOOMLMLKHOFFEE18CC,坡道平面,0,,
RPOOMLMLKHOFFEE18CC,坡道平面,0,,
RPUPMLLLKHOFFEE78CC,坡道機械,0,7.78,
RPQOMLTKKHOFFEE98CC,坡道平面,0,18.64,
RPOOMLPLKHOFFAE08CC,坡道平面,0,,
RPPOMLPLKHOFFEE58CC,坡道平面,18000,19.93,
RPTNMLQLKHOFFEE98CC,坡道平面,0,36.28,
RPROMLQLKHOFFAE48CC,坡道平面,0,25.27,
RPTOMLQLKHOFFAE68CC,坡道平面,0,26.31,
RPXOMLQLKHOFFAE09CC,坡道平面,0,,
RPOPMLQLKHOFFAE28CC,坡道平面,0,16.54,
RPXNMLRLKHOFFAE09CC,坡道平面,0,29.84,
