編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRPMLTKKHOFFAF68CA,文化段,23.00,都市：住,4,1,持分移轉,04480000
RPUOMLLKKHOFFAF08CA,學成段,5.75,都市：住,100000,39,持分移轉,07850000
RPTNMLNKKHOFFAF08CA,幸福段,7.43,都市：住,50000,129,持分移轉,00570000
RPTNMLNKKHOFFAF08CA,江子翠段溪頭小段,.40,都市：住,50000,129,持分移轉,02700000
RPOPMLNKKHOFFAF77CA,瑞興段,713.59,都市：其他:公園用地,100,24,持分移轉,04730001
RPUNMLMKKHOFFAF08CA,力行段,29.64,都市：住,4,1,持分移轉,08470000
RPUNMLQLKHOFFAF58CA,江翠段,8.08,都市：商,10000,22,持分移轉,00240000
RPUPMLQLKHOFFAF78CA,江翠段,4.41,都市：商,10000,12,持分移轉,00240000
RPSNMLNKKHOFFAF97CA,埔墘段,23.04,都市：住,100000,1223,持分移轉,00380000
RPQNMLMKKHOFFAF67CA,南天母段,29.22,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,110,持分移轉,03750000
RPQTMLRLKHOFFAF88CA,大觀段,21.48,都市：住,100000,597,持分移轉,01630000
RPPOMLOJLHOFFAF87CA,江翠段,4.41,都市：商,10000,12,持分移轉,00240000
RPWRNLQLKHOFFAF66CA,江翠段,8.81,都市：商,10000,24,持分移轉,00240000
RPURMLQLKHOFFAF98CA,江翠段,7.34,都市：商,10000,20,持分移轉,00240000
RPURMLRLKHOFFAF09CA,江翠段,4.41,都市：商,10000,12,持分移轉,00240000
RPXRMLRLKHOFFAF76CA,江翠段,4.41,都市：商,10000,12,持分移轉,00240000
RPTSMLLKLHOFFAF48CA,江翠段,6.61,都市：商,10000,18,持分移轉,00240000
RPOSMLLKLHOFFAF97CA,江翠段,8.81,都市：商,10000,24,持分移轉,00240000
RPXRMLLKLHOFFAF78CA,江翠段,5.51,都市：商,10000,15,持分移轉,00240000
RPROMLRLKHOFFAF48CA,江翠段,5.51,都市：商,10000,15,持分移轉,00240000
RPUOMLMLKHOFFAF28CA,文化段,6.88,都市：住,100000,82,持分移轉,11980000
RPUONLRLKHOFFAF88CA,金城段,11.95,都市：住,10000,42,持分移轉,03440000
RPWSMLLKLHOFFAF78CA,江翠段,6.61,都市：商,10000,18,持分移轉,00240000
RPVSMLOJLHOFFAF88CA,大巒段,21.38,都市：工,100000,788,持分移轉,00100000
RPVSMLOJLHOFFAF88CA,沛陂段,10.32,都市：工,100000,788,持分移轉,01290000
RPTRMLLKLHOFFAF38CA,江翠段,5.51,都市：商,10000,15,持分移轉,00240000
RPURMLLKLHOFFAF48CA,江翠段,5.51,都市：商,10000,15,持分移轉,00240000
RPVSMLLKLHOFFAF68CA,江翠段,6.61,都市：商,10000,18,持分移轉,00240000
RPUSMLLKLHOFFAF58CA,江翠段,6.61,都市：商,10000,18,持分移轉,00240000
RPXSMLLKLHOFFAF88CA,江翠段,6.61,都市：商,10000,18,持分移轉,00240000
RPWONLLKLHOFFAF48CA,江翠段,8.08,都市：商,10000,22,持分移轉,00240000
RPUONLLKLHOFFAF28CA,江翠段,8.08,都市：商,10000,22,持分移轉,00240000
RPXONLLKLHOFFAF58CA,江翠段,7.71,都市：商,10000,21,持分移轉,00240000
RPOPNLLKLHOFFAF77CA,江翠段,7.71,都市：商,10000,21,持分移轉,00240000
RPPPNLLKLHOFFAF87CA,江翠段,7.71,都市：商,10000,21,持分移轉,00240000
RPTONLLKLHOFFAF18CA,江翠段,8.08,都市：商,10000,22,持分移轉,00240000
RPSONLLKLHOFFAF08CA,江翠段,8.08,都市：商,10000,22,持分移轉,00240000
RPQPNLLKLHOFFAF97CA,江翠段,7.71,都市：商,10000,21,持分移轉,00240000
RPPONLLKLHOFFAF77CA,江翠段,8.81,都市：商,10000,24,持分移轉,00240000
RPQONLLKLHOFFAF87CA,江翠段,7.34,都市：商,10000,20,持分移轉,00240000
RPRONLLKLHOFFAF97CA,江翠段,8.08,都市：商,10000,22,持分移轉,00240000
RPRPNLLKLHOFFAF08CA,江翠段,7.71,都市：商,10000,21,持分移轉,00240000
RPSNMLMKLHOFFAF97CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPRNMLMKLHOFFAF87CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPUPNLLKLHOFFAF38CA,江翠段,7.71,都市：商,10000,21,持分移轉,00240000
RPQNMLMKLHOFFAF77CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPTPNLLKLHOFFAF28CA,江翠段,7.71,都市：商,10000,21,持分移轉,00240000
RPTPNLQLKHOFFAF78CA,江翠段,4.41,都市：商,10000,12,持分移轉,00240000
RPTNMLMKLHOFFAF08CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPVNMLMKLHOFFAF28CA,江翠段,8.81,都市：商,10000,24,持分移轉,00240000
RPUNMLMKLHOFFAF18CA,江翠段,8.44,都市：商,10000,23,持分移轉,00240000
RPPOMLMKLHOFFAF77CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPOOMLMKLHOFFAF67CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPXNMLMKLHOFFAF48CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPWNMLMKLHOFFAF38CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPXNNLLKLHOFFAF48CA,江翠段,4.77,都市：商,10000,13,持分移轉,00240000
RPOONLLKLHOFFAF67CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPUOMLMKLHOFFAF28CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPVOMLMKLHOFFAF38CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPWOMLMKLHOFFAF48CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPRPMLMKLHOFFAF08CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPTPMLMKLHOFFAF28CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPROMLMKLHOFFAF97CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPQOMLMKLHOFFAF87CA,江翠段,9.54,都市：商,10000,26,持分移轉,00240000
RPSOMLMKLHOFFAF08CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPOQMLMKLHOFFAF87CA,江翠段,5.87,都市：商,10000,16,持分移轉,00240000
RPOPMLMKLHOFFAF77CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPXOMLMKLHOFFAF58CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPPPMLMKLHOFFAF87CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPQPMLMKLHOFFAF97CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPWPMLMKLHOFFAF58CA,江翠段,5.87,都市：商,10000,16,持分移轉,00240000
RPVPMLMKLHOFFAF48CA,江翠段,5.87,都市：商,10000,16,持分移轉,00240000
RPSVOLMKLHOFFAF98CA,江翠段,10.28,都市：商,10000,28,持分移轉,00240000
RPQVOLMKLHOFFAF78CA,江翠段,9.18,都市：商,10000,25,持分移轉,00240000
RPRVOLMKLHOFFAF88CA,江翠段,13.22,都市：商,10000,36,持分移轉,00240000
RPPWOLMKLHOFFAF78CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPOWOLMKLHOFFAF68CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPQWOLMKLHOFFAF88CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPXVOLMKLHOFFAF86CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPWVOLMKLHOFFAF76CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPTWOLMKLHOFFAF56CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPUWOLMKLHOFFAF66CA,江翠段,5.87,都市：商,10000,16,持分移轉,00240000
RPSWOLMKLHOFFAF09CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPRWOLMKLHOFFAF98CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPTVOLMKLHOFFAF09CA,江翠段,10.28,都市：商,10000,28,持分移轉,00240000
RPVVOLMKLHOFFAF66CA,江翠段,6.24,都市：商,10000,17,持分移轉,00240000
RPUVOLMKLHOFFAF56CA,江翠段,5.87,都市：商,10000,16,持分移轉,00240000
RPQNPLMKLHOFFAF08CA,江翠段,5.87,都市：商,10000,16,持分移轉,00240000
RPSNPLMKLHOFFAF28CA,江翠段,8.08,都市：商,10000,22,持分移轉,00240000
RPRNPLMKLHOFFAF18CA,江翠段,5.87,都市：商,10000,16,持分移轉,00240000
RPTNPLMKLHOFFAF38CA,江翠段,7.71,都市：商,10000,21,持分移轉,00240000
RPUNPLMKLHOFFAF48CA,江翠段,7.71,都市：商,10000,21,持分移轉,00240000
