編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSUMLLKKHOFFBF68CB,芳洲段,19.02,都市：住,10000,207,持分移轉,02660000
RPPNNLLKKHOFFBF77CB,芳洲段,19.02,都市：住,10000,207,持分移轉,02660000
RPOWMLLKKHOFFBF48CB,芳洲段,14.24,都市：住,10000,155,持分移轉,02660000
RPRVMLLKKHOFFBF68CB,芳洲段,19.02,都市：住,10000,207,持分移轉,02660000
RPXTMLLKKHOFFBF09CB,芳洲段,19.02,都市：住,10000,207,持分移轉,02660000
RPQWMLLKKHOFFBF68CB,芳洲段,14.24,都市：住,10000,155,持分移轉,02660000
RPUWMLLKKHOFFBF09CB,芳洲段,18.92,都市：住,10000,206,持分移轉,02660000
RPSWMLLKKHOFFBF88CB,芳洲段,19.02,都市：住,10000,207,持分移轉,02660000
RPQNMLMKKHOFFBF87CB,芳洲段,19.02,都市：住,10000,207,持分移轉,02660000
RPONNLLKKHOFFBF67CB,芳洲段,19.02,都市：住,10000,207,持分移轉,02660000
RPOOMLMKKHOFFBF77CB,芳洲段,14.24,都市：住,10000,155,持分移轉,02660000
RPRNMLMKKHOFFBF97CB,芳洲段,14.24,都市：住,10000,155,持分移轉,02660000
RPQQMLMKKHOFFBF18CB,芳洲段,23.88,都市：住,10000,260,持分移轉,02660000
RPOPMLMKKHOFFBF87CB,芳洲段,14.33,都市：住,10000,156,持分移轉,02660000
RPRNMLTKKHOFFAF58CB,土城段,1.49,都市：住,10000,50,持分移轉,05590001
RPRNMLTKKHOFFAF58CB,土城段,11.30,都市：住,10000,50,持分移轉,05590000
RPRNMLTKKHOFFAF58CB,土城段,.27,都市：住,10000,50,持分移轉,05710000
RPVNMLMKKHOFFBF38CB,芳洲段,14.24,都市：住,10000,155,持分移轉,02660000
RPTNMLTKKHOFFAF78CB,土城段,1.49,都市：住,10000,50,持分移轉,05590001
RPTNMLTKKHOFFAF78CB,土城段,11.30,都市：住,10000,50,持分移轉,05590000
RPTNMLTKKHOFFAF78CB,土城段,.27,都市：住,10000,50,持分移轉,05710000
RPURMLMKKHOFFBF68CB,芳洲段,14.33,都市：住,10000,156,持分移轉,02660000
RPVQMLSKKHOFFAF56CB,土城段,1.73,都市：住,10000,58,持分移轉,05590001
RPVQMLSKKHOFFAF56CB,土城段,13.11,都市：住,10000,58,持分移轉,05590000
RPVQMLSKKHOFFAF56CB,土城段,.32,都市：住,10000,58,持分移轉,05710000
RPXNMLTKKHOFFAF56CB,土城段,1.73,都市：住,10000,58,持分移轉,05590001
RPORMLMKKHOFFBF08CB,芳洲段,23.88,都市：住,10000,260,持分移轉,02660000
RPXNMLTKKHOFFAF56CB,土城段,13.11,都市：住,10000,58,持分移轉,05590000
RPXNMLTKKHOFFAF56CB,土城段,.32,都市：住,10000,58,持分移轉,05710000
RPTRMLMKKHOFFBF58CB,芳洲段,23.79,都市：住,10000,259,持分移轉,02660000
RPUNMLTKKHOFFAF88CB,土城段,1.64,都市：住,10000,55,持分移轉,05590001
RPUNMLTKKHOFFAF88CB,土城段,12.43,都市：住,10000,55,持分移轉,05590000
RPUNMLTKKHOFFAF88CB,土城段,.30,都市：住,10000,55,持分移轉,05710000
RPOOMLTKKHOFFAF38CB,土城段,1.67,都市：住,10000,56,持分移轉,05590001
RPOOMLTKKHOFFAF38CB,土城段,12.65,都市：住,10000,56,持分移轉,05590000
RPOOMLTKKHOFFAF38CB,土城段,.31,都市：住,10000,56,持分移轉,05710000
RPPOMLTKKHOFFAF48CB,土城段,1.82,都市：住,10000,61,持分移轉,05590001
RPPOMLTKKHOFFAF48CB,土城段,13.78,都市：住,10000,61,持分移轉,05590000
RPPOMLTKKHOFFAF48CB,土城段,.34,都市：住,10000,61,持分移轉,05710000
RPQOMLTKKHOFFAF58CB,土城段,1.67,都市：住,10000,56,持分移轉,05590001
RPQOMLTKKHOFFAF58CB,土城段,12.65,都市：住,10000,56,持分移轉,05590000
RPQOMLTKKHOFFAF58CB,土城段,.31,都市：住,10000,56,持分移轉,05710000
RPVOMLTKKHOFFIF27CB,尖山腳段,38.03,都市：住,10000,178,持分移轉,03660000
RPOPMLTKKHOFFIF66CB,尖山腳段,30.34,都市：住,10000,142,持分移轉,03660000
RPXOMLTKKHOFFIF47CB,尖山腳段,30.34,都市：住,10000,142,持分移轉,03660000
RPPPMLTKKHOFFIF76CB,尖山腳段,30.12,都市：住,10000,141,持分移轉,03660000
RPWOMLTKKHOFFIF37CB,尖山腳段,30.34,都市：住,10000,142,持分移轉,03660000
RPQPMLTKKHOFFIF86CB,尖山腳段,30.34,都市：住,10000,142,持分移轉,03660000
RPRPMLTKKHOFFIF96CB,尖山腳段,30.12,都市：住,10000,141,持分移轉,03660000
RPSPMLTKKHOFFIF07CB,尖山腳段,30.12,都市：住,10000,141,持分移轉,03660000
RPUPMLTKKHOFFIF27CB,尖山腳段,30.34,都市：住,10000,142,持分移轉,03660000
RPOQMLTKKHOFFIF76CB,尖山腳段,30.34,都市：住,10000,142,持分移轉,03660000
RPXPMLTKKHOFFIF57CB,尖山腳段,30.34,都市：住,10000,142,持分移轉,03660000
RPRQMLTKKHOFFIF07CB,尖山腳段,30.34,都市：住,10000,142,持分移轉,03660000
RPSQMLTKKHOFFIF17CB,尖山腳段,30.34,都市：住,10000,142,持分移轉,03660000
RPTQMLTKKHOFFIF27CB,尖山腳段,30.34,都市：住,10000,142,持分移轉,03660000
RPQRMLTKKHOFFIF07CB,尖山腳段,22.64,都市：住,10000,106,持分移轉,03660000
RPUQMLTKKHOFFIF37CB,尖山腳段,30.34,都市：住,10000,142,持分移轉,03660000
RPRRMLTKKHOFFIF17CB,尖山腳段,22.43,都市：住,10000,105,持分移轉,03660000
RPSRMLTKKHOFFIF27CB,尖山腳段,22.64,都市：住,10000,106,持分移轉,03660000
RPVRMLTKKHOFFIF57CB,尖山腳段,22.43,都市：住,10000,105,持分移轉,03660000
RPWRMLTKKHOFFIF67CB,尖山腳段,22.64,都市：住,10000,106,持分移轉,03660000
RPTRMLTKKHOFFIF37CB,尖山腳段,22.64,都市：住,10000,106,持分移轉,03660000
RPURMLTKKHOFFIF47CB,尖山腳段,22.64,都市：住,10000,106,持分移轉,03660000
RPOSMLTKKHOFFIF96CB,尖山腳段,22.64,都市：住,10000,106,持分移轉,03660000
RPSSMLTKKHOFFIF37CB,尖山腳段,22.43,都市：住,10000,105,持分移轉,03660000
RPQSMLTKKHOFFIF17CB,尖山腳段,22.43,都市：住,10000,105,持分移轉,03660000
RPUSMLTKKHOFFIF57CB,尖山腳段,22.64,都市：住,10000,106,持分移轉,03660000
RPXRMLTKKHOFFIF77CB,尖山腳段,22.64,都市：住,10000,106,持分移轉,03660000
RPRSMLTKKHOFFIF27CB,尖山腳段,22.64,都市：住,10000,106,持分移轉,03660000
RPVSMLTKKHOFFIF67CB,尖山腳段,22.43,都市：住,10000,105,持分移轉,03660000
RPVTMLTKKHOFFIF77CB,尖山腳段,20.08,都市：住,10000,94,持分移轉,03660000
RPVUMLTKKHOFFIF87CB,尖山腳段,20.08,都市：住,10000,94,持分移轉,03660000
RPUUMLTKKHOFFIF77CB,尖山腳段,20.08,都市：住,10000,94,持分移轉,03660000
RPSUMLTKKHOFFIF57CB,尖山腳段,20.08,都市：住,10000,94,持分移轉,03660000
RPTUMLTKKHOFFIF67CB,尖山腳段,20.08,都市：住,10000,94,持分移轉,03660000
RPWUMLTKKHOFFIF97CB,尖山腳段,20.08,都市：住,10000,94,持分移轉,03660000
RPRUMLTKKHOFFIF47CB,尖山腳段,20.08,都市：住,10000,94,持分移轉,03660000
RPXUMLTKKHOFFIF08CB,尖山腳段,20.08,都市：住,10000,94,持分移轉,03660000
RPSVMLTKKHOFFIF67CB,尖山腳段,20.08,都市：住,10000,94,持分移轉,03660000
