編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSUMLLKKHOFFBF68CB,升降平面,1500000,29.77,
RPPNNLLKKHOFFBF77CB,升降平面,1600000,30.86,
RPRVMLLKKHOFFBF68CB,升降平面,1600000,30.86,
RPXTMLLKKHOFFBF09CB,升降平面,1700000,30.86,
RPSWMLLKKHOFFBF88CB,升降平面,1500000,29.77,
RPQNMLMKKHOFFBF87CB,升降平面,1600000,30.86,
RPONNLLKKHOFFBF67CB,升降平面,1600000,30.86,
RPQQMLMKKHOFFBF18CB,升降平面,1700000,30.86,
RPOPMLMKKHOFFBF87CB,升降平面,1600000,30.86,
RPURMLMKKHOFFBF68CB,升降平面,1600000,30.86,
RPORMLMKKHOFFBF08CB,升降平面,1700000,30.86,
RPUNMLTKKHOFFAF88CB,坡道平面,2150000,36.36,
RPPOMLTKKHOFFAF48CB,坡道平面,1950000,36.36,
RPVOMLTKKHOFFIF27CB,坡道平面,1400000,29.96,
RPOPMLTKKHOFFIF66CB,坡道平面,1300000,29.96,
RPXOMLTKKHOFFIF47CB,坡道平面,1300000,29.96,
RPWOMLTKKHOFFIF37CB,坡道平面,1200000,29.02,
RPQPMLTKKHOFFIF86CB,坡道平面,1300000,29.96,
RPUPMLTKKHOFFIF27CB,坡道平面,1400000,29.96,
RPOQMLTKKHOFFIF76CB,坡道平面,1300000,28.55,
RPXPMLTKKHOFFIF57CB,坡道平面,1300000,29.96,
RPRQMLTKKHOFFIF07CB,坡道平面,1300000,29.96,
RPSQMLTKKHOFFIF17CB,坡道平面,1400000,29.96,
RPTQMLTKKHOFFIF27CB,坡道平面,1400000,29.96,
RPQRMLTKKHOFFIF07CB,坡道平面,1300000,29.96,
RPUQMLTKKHOFFIF37CB,坡道平面,1300000,29.96,
RPSRMLTKKHOFFIF27CB,坡道平面,1300000,29.96,
RPWRMLTKKHOFFIF67CB,坡道平面,1300000,29.96,
RPTRMLTKKHOFFIF37CB,坡道平面,1400000,29.96,
RPURMLTKKHOFFIF47CB,坡道平面,1300000,29.96,
RPOSMLTKKHOFFIF96CB,坡道平面,1200000,29.02,
RPUSMLTKKHOFFIF57CB,坡道平面,1300000,29.96,
RPXRMLTKKHOFFIF77CB,坡道平面,1400000,29.96,
RPRSMLTKKHOFFIF27CB,坡道平面,1300000,29.02,
RPUVMLTKKHOFFIF87CB,坡道平面,1400000,29.96,
RPWVMLTKKHOFFIF08CB,坡道平面,1300000,29.96,
RPXVMLTKKHOFFIF18CB,坡道平面,1300000,29.96,
RPVVMLTKKHOFFIF97CB,坡道平面,1300000,29.96,
RPUOMLTKKHOFFAF98CB,坡道平面,2050000,36.36,
RPTOMLTKKHOFFAF88CB,坡道平面,2050000,36.36,
RPSOMLTKKHOFFAF78CB,坡道平面,2000000,33.06,
RPROMLTKKHOFFHF76CB,塔式車位,0,13.61,
RPSOMLTKKHOFFHF86CB,塔式車位,0,13.61,
RPSPMLTKKHOFFHF96CB,塔式車位,0,13.61,
RPOPMLTKKHOFFHF56CB,塔式車位,0,13.75,
RPXOMLTKKHOFFHF37CB,塔式車位,0,13.61,
RPVPMLTKKHOFFHF27CB,塔式車位,0,13.75,
RPWPMLTKKHOFFHF37CB,塔式車位,0,13.61,
RPTNMLKLKHOFFIF78CB,坡道平面,1200000,29.02,
RPSNMLKLKHOFFIF68CB,坡道平面,1300000,29.96,
RPWNMLKLKHOFFIF09CB,坡道平面,1300000,29.96,
RPVNMLKLKHOFFIF98CB,坡道平面,1300000,29.96,
RPUNMLKLKHOFFIF88CB,坡道平面,1300000,29.96,
RPXNMLKLKHOFFIF56CB,坡道平面,1300000,29.96,
RPOOMLKLKHOFFIF38CB,坡道平面,1400000,29.96,
RPPOMLKLKHOFFIF48CB,坡道平面,1300000,29.96,
RPQOMLKLKHOFFIF58CB,坡道平面,1300000,29.96,
RPUOMLKLKHOFFIF98CB,坡道平面,1300000,29.96,
RPROMLKLKHOFFIF68CB,坡道平面,1300000,29.96,
RPSOMLKLKHOFFIF78CB,坡道平面,1300000,29.96,
RPTOMLKLKHOFFIF88CB,坡道平面,1300000,29.96,
RPWOMLKLKHOFFIF56CB,坡道平面,1300000,29.96,
RPVOMLKLKHOFFIF09CB,坡道平面,1400000,29.96,
RPXOMLKLKHOFFIF66CB,坡道平面,1300000,29.96,
RPOPMLKLKHOFFIF48CB,坡道平面,1200000,29.02,
RPPQMLTKKHOFFHF76CB,塔式車位,0,13.75,
RPRPMLKLKHOFFIF78CB,坡道平面,1200000,29.02,
RPQPMLKLKHOFFIF68CB,坡道平面,1200000,29.02,
RPPPMLKLKHOFFIF58CB,坡道平面,1300000,29.96,
RPSPMLKLKHOFFIF88CB,坡道平面,1200000,29.02,
RPTPMLKLKHOFFIF98CB,坡道平面,1300000,29.02,
RPWQMLKLKHOFFIF76CB,坡道平面,1300000,29.96,
RPQRMLKLKHOFFIF88CB,坡道平面,1400000,29.96,
RPPRMLKLKHOFFIF78CB,坡道平面,1400000,29.96,
RPVQMLKLKHOFFIF66CB,坡道平面,1400000,29.96,
RPPPMLQLKHOFFAF38CB,坡道平面,1950000,36.36,
RPORMLKLKHOFFIF68CB,坡道平面,1300000,29.96,
RPXRMLQLKHOFFAF76CB,坡道平面,2050000,36.36,
RPXTMLQLKHOFFAF96CB,坡道平面,1950000,36.36,
RPSUMLQLKHOFFAF56CB,坡道平面,1950000,36.36,
RPTTMLQLKHOFFAF56CB,坡道平面,2050000,36.36,
RPWVMLQLKHOFFAF07CB,坡道平面,1950000,36.36,
RPVNNLQLKHOFFAF88CB,坡道平面,2050000,36.36,
RPOONLQLKHOFFAF28CB,坡道平面,1850000,33.06,
RPVONLQLKHOFFAF98CB,坡道平面,1950000,36.36,
RPPONLQLKHOFFAF38CB,坡道平面,1900000,36.36,
RPTONLQLKHOFFAF78CB,坡道平面,1850000,33.06,
RPXNNLQLKHOFFAF09CB,坡道平面,2200000,36.36,
RPVRMLOJLHOFFAF09EB,坡道平面,2150000,36.36,
RPWTMLRLKHOFFAF17EB,坡道平面,1900000,36.36,
RPTRMLOJLHOFFAF88EB,坡道平面,2200000,36.36,
RPURMLOJLHOFFAF98EB,坡道平面,2050000,36.36,
RPROMLOJLHOFFHF88CB,坡道機械,1800000,8.92,
RPTOMLOJLHOFFHF09CB,坡道機械,1800000,8.95,
RPTNMLPJLHOFFHF09CB,坡道機械,1800000,8.95,
RPSNMLPJLHOFFHF98CB,坡道機械,1800000,11.35,
RPVNMLPJLHOFFHF66CB,坡道機械,1800000,8.95,
RPWQMLRLKHOFFAF66CB,坡道平面,2250000,36.36,
RPVWMLRLKHOFFAF17CB,坡道平面,1800000,35.83,
RPUWMLRLKHOFFAF07CB,坡道平面,1800000,35.83,
RPSOMLMLLHOFFCF48CB,坡道平面,2000000,38.32,
RPUOMLMLLHOFFCF68CB,坡道平面,1500000,38.32,
RPVOMLMLLHOFFCF78CB,坡道平面,1900000,38.32,
RPOPMLMLLHOFFCF18CB,坡道平面,2000000,38.32,
RPXOMLMLLHOFFCF98CB,坡道平面,2650000,38.32,
RPRPMLMLLHOFFCF48CB,坡道平面,2100000,38.32,
RPQPMLMLLHOFFCF38CB,坡道平面,2100000,38.32,
RPPPMLMLLHOFFCF28CB,坡道平面,2300000,38.32,
RPSPMLMLLHOFFCF58CB,坡道平面,2100000,38.32,
RPVPMLMLLHOFFCF88CB,坡道平面,2200000,38.32,
RPTPMLMLLHOFFCF68CB,坡道平面,2100000,38.32,
RPUPMLMLLHOFFCF78CB,坡道平面,1900000,38.32,
RPPQMLMLLHOFFCF38CB,坡道平面,2500000,38.32,
RPQQMLMLLHOFFCF48CB,坡道平面,2300000,38.32,
RPXPMLMLLHOFFCF09CB,坡道平面,2000000,38.32,
