編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRPMLLKKHOFFAF08CC,21,132.01,住家用,鋼筋混凝土造,87年5月28日,十四層,
RPRPMLLKKHOFFAF08CC,21,15.46,停車空間、防空避難室兼停車空間,鋼筋混凝土造,87年5月28日,十四層,
RPRPMLLKKHOFFAF08CC,21,24.66,騎樓、門廳、電樓梯間、走廊、機械室、水箱,鋼筋混凝土造,87年5月28日,十四層,
RPSOMLLKKHOFFEF48CC,10,40.87,一般服務業,鋼筋混凝土造,97年12月23日,二十四層,
RPSOMLLKKHOFFEF48CC,10,13.09,共有部分,鋼筋混凝土造,97年12月23日,二十四層,
RPSOMLLKKHOFFEF48CC,10,9.71,共有部分,鋼筋混凝土造,97年12月23日,二十四層,
RPROMLLKKHOFFEF38CC,1,153.14,住家用,鋼筋混凝土造,106年12月29日,二十七層,
RPSOMLLKKHOFFHF78CC,42,101.16,住家用,加強磚造,66年2月28日,四層,
RPXOMLLKKHOFFHF66CC,10,36.40,住家用,鋼筋混凝土造,98年1月19日,十五層,
RPXOMLLKKHOFFHF66CC,10,11.48,共有部分,鋼筋混凝土造,98年1月19日,十五層,
RPPPMLLKKHOFFHF58CC,38,112.80,住家用,鋼筋混凝土造,69年9月16日,五層,
RPSOMLLKKHOFFDF38CC,13,91.20,住家用,鋼筋混凝土造,94年12月22日,九層,
RPSOMLLKKHOFFDF38CC,13,30.25,共有部分,鋼筋混凝土造,94年12月22日,九層,
RPVOMLLKKHOFFDF68CC,,72.75,集合住宅,鋼筋混凝土構造,107年9月26日,二十三層,
RPVOMLLKKHOFFDF68CC,,14.77,本共有部分之項目有：管委會使用空間、防空避難室兼停車空間、停車空間等３項。,鋼筋混凝土構造,107年9月26日,二十三層,
RPVOMLLKKHOFFDF68CC,,17.79,本共有部分之項目有：特別安全梯兼無障礙樓梯、排煙室、門廳、梯廳、消防中繼機房、消防水箱、陽台、雨遮、機房、電梯機房、水箱等１１項。,鋼筋混凝土構造,107年9月26日,二十三層,
RPXWMLLKKHOFFBF86CC,29,160.41,工業用,鋼筋混凝土造,79年2月7日,八層,
RPXWMLLKKHOFFBF86CC,29,97.29,共有部分,鋼筋混凝土造,79年2月7日,八層,
RPRPMLLKKHOFFBF18CC,25,58.95,住家用,鋼筋混凝土造,82年12月7日,十二層,
RPRPMLLKKHOFFBF18CC,25,13.35,共有部分,鋼筋混凝土造,82年12月7日,十二層,
RPRPMLLKKHOFFBF18CC,25,9.37,共有部分,鋼筋混凝土造,82年12月7日,十二層,
RPOOMLLKKHOFFBF77CC,2,86.30,集合住宅,鋼筋混凝土造,106年4月19日,十五層,
RPOOMLLKKHOFFBF77CC,2,54.00,本共有部分之項目有：自行車空間、梯廳、梯間、陽台、雨遮、管委會空間、防空避難室兼停車空間、排煙室、台電配電場所、垃圾儲藏空間、垃圾車暫停車位、機坑、電信機房、停車空間、蓄水池、發電機房、機房、消防機房等１８項。,鋼筋混凝土造,106年4月19日,十五層,
RPOOMLLKKHOFFBF77CC,2,14.53,本共有部分之項目有：排煙室、梯廳、梯間、機械室、水箱等５項。,鋼筋混凝土造,106年4月19日,十五層,
RPWOMLLKKHOFFDF78CC,20,90.82,住家用,鋼筋混凝土造,87年9月3日,二十二層,
RPQNMLMKKHOFFDF18CC,7,56.44,住家用,鋼筋混凝土造,100年12月23日,二十九層,
RPQOMLMKKHOFFHF68CC,8,34.58,一般事務所,鋼骨鋼筋混凝土構造,100年4月22日,十九層,
RPQOMLMKKHOFFHF68CC,8,3.78,本共有部分之項目有Ａ樓梯間、Ａ梯廳、Ｆ樓梯間、騎樓、無障礙昇降機、緊急昇降機、發電機房、電信機房、蓄水池、昇降機管道、台電管道間Ａ１、Ｅ樓梯間、台電配電場所Ａ、管道間、機車昇降機、電梯機坑、一般昇降機、防災中心、儲藏室Ａ、消防幫浦室、污水機房、Ｂ樓梯間、儲藏室Ｂ、垃圾收集室Ａ、防空避難室兼停車空間、垃圾收集室Ｂ。,鋼骨鋼筋混凝土構造,100年4月22日,十九層,
RPQOMLMKKHOFFHF68CC,8,9.99,本共有部分之項目有一般昇降機、受電箱室、台電管道間、Ｆ梯廳、Ｆ樓梯間兼排煙室、Ｂ梯廳兼排煙室、雨遮、走道、台電配電場所Ｂ、台電管道間Ｂ２、台電專用管道間Ｂ、Ｅ樓梯間、機房、Ｂ樓梯間、緊急昇降機、Ｂ水箱、Ｂ電梯機房、Ｂ梯廳、消防水箱、屋頂突出物。,鋼骨鋼筋混凝土構造,100年4月22日,十九層,
RPQOMLMKKHOFFHF68CC,8,2.91,本共有部分之項目有Ｄ樓梯間、Ｄ梯廳、騎樓、緊急昇降機、雨遮、Ｂ樓梯間、水箱、機房Ｂ、陽台、屋頂突出物〈一〉、屋頂突出物〈二〉。,鋼骨鋼筋混凝土構造,100年4月22日,十九層,
RPQOMLMKKHOFFHF68CC,8,1.59,本共有部分之項目有陽台、Ａ梯廳兼排煙室、宅配室、半戶外庭園、走道。,鋼骨鋼筋混凝土構造,100年4月22日,十九層,
RPWNMLMKKHOFFBF58CC,,117.92,住家用,加強磚造,,二層,
RPTOMLLKKHOFFEF58CC,1,59.21,住家用,鋼筋混凝土造,106年12月29日,二十七層,
RPTOMLLKKHOFFEF58CC,1,27.42,本共有部分項目：騎樓、接待大廳、梯廳、管委會使用空間、排煙室、陽台、緩衝空間６＊１２、人行通廊、走道、防災中心、商業管委會使用空間、女廁、男廁、男按摩池、女按摩池、男更衣室、女更衣室、樓梯間、機房、機械室、水箱、中繼消防水箱、泵浦區、中繼消防機房、Ｂ梯廳排煙室、Ｂ棟電錶室、昇降機坑、排風機房、電信室（Ａ）、台電配電室（Ｄ）、受電箱通道、Ｈ梯廳排煙室、Ｈ棟電錶室、停車空間、Ｉ棟電錶室、Ｉ梯廳排煙室、電信室（Ｂ）、儲油室、緊急發電機室（Ｂ）（兼大公變電室）、台電配電室（Ｃ）、Ｆ棟電錶室、Ｆ梯廳排煙室、消防中繼水箱、消防中繼機房（兼揚水泵浦機房）、游泳池專用水箱－１、游泳池專用水箱－２、Ｅ梯廳排煙室、Ｅ棟電錶室、Ａ梯廳排煙室、Ａ棟電錶室、緊急發電機室（Ａ）（兼大公變電室）、垃圾儲藏室、游泳池機房、車道、防空避難室兼停車空間、排風管道、進風管道、Ｃ梯廳排煙室、Ｃ棟電錶室、台電配電室（Ｂ）、Ｄ梯廳排煙室、Ｄ棟電錶室、Ａ棟小公變電室、Ｈ棟小公變電室、Ｉ棟小公變電室、Ｅ棟水箱－１、Ｅ棟小公變電室、Ｄ棟水箱－１、Ｃ棟小公變電室、Ｄ棟小公變電室、Ｂ棟小公變電室、Ｅ棟水箱－２、Ｄ棟水箱－２、Ｆ棟小公變電室、Ａ棟水箱、Ｂ棟水箱、共同泵浦區、Ｈ棟水箱、Ｉ棟水箱、消防泵浦室、雨水過濾機房、Ｆ棟水箱、Ｃ棟水箱、住宅臨停車位１～５４、商業臨停車位１～２０、裝卸車位１～３、＃３、＃６、＃９、＃１２、＃１５、＃１８、＃２１、＃２４緊急昇降機（行動不便者電梯）、安全梯（Ｃ）、安全梯（Ｂ）、垃圾車位、機車停車空間、安全梯（Ａ）、特別安全梯（Ａ）、特別安全梯（Ｂ）、ａ梯、ｂ梯、ｃ梯、台電配電室（Ａ）、＃２５昇降機、＃２６昇降機等１０７項。,鋼筋混凝土造,106年12月29日,二十七層,
RPWOMLLKKHOFFEF88CC,8,65.99,住家用,鋼筋混凝土造,100年2月14日,十九層,
RPWOMLLKKHOFFEF88CC,8,5.66,住家用,鋼筋混凝土造,100年2月14日,十九層,
RPWOMLLKKHOFFEF88CC,8,5.96,住家用,鋼筋混凝土造,100年2月14日,十九層,
RPWOMLLKKHOFFEF88CC,8,32.72,本共有部分之項目有公共服務空間、梯廳兼走道、防災中心、特別安全梯、撒水消防、排煙室、電氣管道、中繼水箱、自來水箱、蓄水池、Ａ單元電氣機房、消防水箱、水錶室、陽台、機車停車空間、社區活動空間、中繼機房、電梯間、樓梯間、Ｅ，Ｆ單元電氣機房、門廊、電梯機房、台電配電室、垃圾儲藏空間、管委會空間、別墅水箱、給水泵浦空間、水箱、緊急發電機房、電信機房、消防專用水箱、進氣機房、排氣機房、Ａ棟水箱、Ｂ棟水箱、Ｃ棟水箱、Ｄ棟水箱、Ｅ棟水箱、Ｆ棟水箱、Ｂ，Ｃ，Ｄ單元電氣機房、停車空間、梯廳、消防、排煙、進風、走道、防空避難室兼停車空間及揚水泵浦空間等４８項,鋼筋混凝土造,100年2月14日,二十二層,
RPPQMLMKKHOFFAF28EC,20,76.85,住家用,鋼筋混凝土造,87年11月20日,十三層,
RPRQMLMKKHOFFAF48EC,11,97.79,住家用,鋼骨鋼筋混凝土造,96年9月7日,二十九層,
RPRQMLMKKHOFFAF48EC,11,10.60,住家用,鋼骨鋼筋混凝土造,96年9月7日,二十九層,
RPRQMLMKKHOFFAF48EC,11,7.32,住家用,鋼骨鋼筋混凝土造,96年9月7日,二十九層,
RPRQMLMKKHOFFAF48EC,11,16.35,共有部分,鋼骨鋼筋混凝土造,96年9月7日,二十九層,
RPRQMLMKKHOFFAF48EC,11,.60,共有部分,鋼骨鋼筋混凝土造,96年9月7日,二十九層,
RPRQMLMKKHOFFAF48EC,11,8.09,共有部分,鋼骨鋼筋混凝土造,96年9月7日,二十九層,
RPRQMLMKKHOFFAF48EC,11,18.08,共有部分,鋼骨鋼筋混凝土造,96年9月7日,二十九層,
RPRQMLMKKHOFFAF48EC,11,.04,住家用,鋼骨鋼筋混凝土造,96年9月7日,二十九層,
RPRQMLMKKHOFFAF48EC,11,.02,住家用,鋼骨鋼筋混凝土造,96年9月7日,二十九層,
RPRQMLMKKHOFFAF48EC,11,15.82,共有部分,鋼骨鋼筋混凝土造,96年9月7日,二十九層,
RPSPMLLKKHOFFCF38CC,7,73.68,住家用,鋼筋混凝土造,101年2月23日,十五層,
