編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRPMLLKKHOFFAF08CC,江子翠段第三崁小段,.00,都市：住,,,,01030000
RPSOMLLKKHOFFEF48CC,馬偕段,6.92,都市：工,,,,01960000
RPROMLLKKHOFFEF38CC,新市段,10.95,都市：商,,,,01450001
RPSOMLLKKHOFFHF78CC,福祥段,98.06,都市：住,,,,01210000
RPXOMLLKKHOFFHF66CC,雙和段,.00,都市：商,,,,02020000
RPXOMLLKKHOFFHF66CC,雙和段,.00,都市：住,,,,02030000
RPPPMLLKKHOFFHF58CC,莊敬段,.00,都市：住,,,,00360000
RPSOMLLKKHOFFDF38CC,新峰段,25.68,都市：住,,,,05610000
RPVOMLLKKHOFFDF68CC,金龍段,18.88,都市：住,,,,02340000
RPXWMLLKKHOFFBF86CC,新工段一小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00050000
RPRPMLLKKHOFFBF18CC,富國段,.00,都市：商,,,,02050000
RPOOMLLKKHOFFBF77CC,新豐段,12.00,都市：商,,,,00100000
RPWOMLLKKHOFFDF78CC,智興段,.00,都市：商,,,,04710000
RPWOMLLKKHOFFDF78CC,智興段,.00,都市：住,,,,04760000
RPQNMLMKKHOFFDF18CC,智興段,5.01,都市：住,,,,01040000
RPQOMLMKKHOFFHF68CC,中信段,.00,都市：其他:,,,,04670000
RPWNMLMKKHOFFBF58CC,全安段,82.57,都市：住,,,,03110000
RPTOMLLKKHOFFEF58CC,新市段,7.71,都市：商,,,,01450001
RPWOMLLKKHOFFEF88CC,公司田段,15.63,都市：住,,,,01930000
RPPQMLMKKHOFFAF28EC,篤行段,.00,都市：住,,,,01590000
RPRQMLMKKHOFFAF48EC,新板段三小段,11.09,都市：其他:第二種特定專用區,,,,00380000
RPSPMLLKKHOFFCF38CC,安和段,.00,都市：住,,,,05770000
RPXTMLNKKHOFFBF76CC,力行段,.00,都市：商,,,,07420000
RPOPMLNKKHOFFCF18CC,大豐段,.00,都市：住,,,,01760000
RPUPMLNKKHOFFAF58CC,公館段,.00,都市：住,,,,18220000
RPVPMLNKKHOFFAF68CC,新雅段,.00,都市：住,,,,05310000
RPUOMLNKKHOFFEF88CC,中興段,26.60,都市：住,,,,03320000
RPWPMLNKKHOFFAF78CC,力行段,.00,都市：住,,,,04080040
RPPNMLMKKHOFFGF38CC,頂崁段,.00,都市：工,,,,11630000
RPOOMLNKKHOFFHF58CC,大新段,.00,都市：商,,,,02550000
RPVPMLNKKHOFFEF09CC,淡海段,21.93,都市：住,,,,00290000
RPXNMLNKKHOFFHF76CC,大仁段,.00,都市：住,,,,06570000
RPTOMLNKKHOFFDF68CC,金龍段,.00,都市：住,,,,02500000
RPQOMLOKKHOFFAF38EC,新雅段,3.79,都市：住,,,,12680000
RPTOMLNKKHOFFDF68CC,金龍段,.00,都市：住,,,,02640000
RPQOMLOKKHOFFAF38EC,力行段,3.53,都市：住,,,,12230004
RPVOMLOKKHOFFIF86CC,鎮前段,.00,都市：住,,,,00230000
RPSSMLNKKHOFFBF78CC,力行段,24.92,都市：住,,,,00330000
RPUSMLNKKHOFFBF98CC,信華段一小段,16.12,都市：住,,,,00260000
RPVTMLNKKHOFFBF56CC,後港段,.00,都市：住,,,,05080000
RPQPMLNKKHOFFBF28CC,建林段,32.12,都市：住,,,,08040000
RPSSMLMKKHOFFBF68CC,力行段,101.01,都市：住,,,,05480000
RPTQMLNKKHOFFBF68CC,陸光段,.00,都市：住,,,,02780000
RPSNMLOKKHOFFFF88DC,?子寮段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01660000
RPUNMLOKKHOFFEF88CC,飛歌段,.00,都市：住,,,,10650000
RPPOMLOKKHOFFCF28CC,莊敬段,85.78,都市：工,,,,07800000
RPWNMLOKKHOFFCF88CC,新和段,.00,都市：住,,,,01860000
RPPQMLPKKHOFFBF48CC,忠孝段,16.38,都市：住,,,,04460000
RPQNMLQKKHOFFDF58CC,智興段,.00,都市：商,,,,04860000
RPPNMLPKKHOFFDF38CC,智興段,.00,都市：商,,,,04410000
RPPNMLQKKHOFFCF38CC,新和段,.00,都市：住,,,,00540000
RPPNMLQKKHOFFAF18CC,仁愛段,.00,都市：住,,,,04210006
RPPOMLSKKHOFFAF48CC,員福段,29.50,都市：住,,,,05370000
RPPNMLSKKHOFFCF58CC,中央段,.00,都市：住,,,,04410000
RPUNMLSKKHOFFBF98CC,榮富段,.00,都市：住,,,,06410000
RPQRMLSKKHOFFBF98CC,忠孝段,.00,都市：住,,,,06150000
RPTSMLSKKHOFFBF76CC,思源段,27.46,都市：住,,,,00100000
RPOOMLPKKHOFFEF48CC,公司田段,24.43,都市：住,,,,00360000
RPPPMLPKKHOFFEF68CC,正德段,8.15,都市：住,,,,06360000
RPXNMLOKKHOFFHF86CC,板南段,.00,都市：工,,,,03820000
RPXNMLOKKHOFFHF86CC,板南段,.00,都市：其他:道路用地,,,,03820001
RPSPMLOKKHOFFHF56CC,台貿段,.00,都市：住,,,,06990000
RPSPMLOKKHOFFHF56CC,台貿段,.00,都市：其他:道路用地,,,,06990001
RPSOMLPKKHOFFHF56CC,中正段,.00,都市：住,,,,06890000
RPSOMLPKKHOFFHF56CC,中正段,.00,都市：住,,,,06910000
RPWNMLOKKHOFFHF76CC,健康段,.00,都市：工,,,,10650000
RPTPMLNKKHOFFHF56CC,景平段,.00,都市：住,,,,01720000
RPPNMLSKKHOFFDF68CC,智興段,.00,都市：住,,,,00480000
RPUNMLSKKHOFFGF86CC,信義段,.00,都市：住,,,,02420000
RPQPMLSKKHOFFAF68CC,學成段,.00,都市：住,,,,02890000
RPQNMLSKKHOFFIF66CC,大同段,287.00,都市：工,,,,03660039
RPPOMLSKKHOFFDF78CC,智興段,.00,都市：商,,,,05000000
RPTNMLSKKHOFFIF96CC,復興段,8.00,都市：商,,,,06210000
RPTNMLSKKHOFFIF96CC,復興段,20.00,都市：商,,,,06220000
RPTNMLSKKHOFFIF96CC,復興段,107.00,都市：商,,,,06230000
RPVOMLSKKHOFFHF17CC,南山段,.00,都市：住,,,,03540000
RPVOMLSKKHOFFHF17CC,南山段,.00,都市：住,,,,03550000
RPVOMLSKKHOFFHF17CC,南山段,.00,都市：住,,,,03560000
RPUNMLTKKHOFFDF66CC,同新段,26.17,都市：工,,,,00130000
RPSOMLTKKHOFFDF56CC,智興段,.00,都市：住,,,,02650000
RPSOMLTKKHOFFDF56CC,智興段,.00,都市：其他:道路用地,,,,02650001
RPXSMLSKKHOFFBF17CC,榮富段,34.56,都市：住,,,,09290000
RPQNNLSKKHOFFBF68CC,新林段,.00,都市：住,,,,04350000
RPRTMLSKKHOFFBF66CC,榮富段,15.53,都市：住,,,,09390000
RPVSMLSKKHOFFBF96CC,建林段,.00,都市：住,,,,02940000
RPQNMLTKKHOFFGF56CC,大智段,.00,都市：住,,,,07250000
RPPNMLTKKHOFFGF09CC,正義段,.00,都市：住,,,,06720000
RPTPMLPKKHOFFEF09CC,新市段,30.33,都市：住,,,,00900000
RPPNMLTKKHOFFEF88CC,新市段,.00,都市：住,,,,02040000
RPQNMLTKKHOFFEF98CC,公司田段,.00,都市：住,,,,00360000
RPWQMLTKKHOFFEF27CC,公司田段,38.13,都市：住,,,,01270000
RPPNMLTKKHOFFAF48CC,公館段,.00,都市：住,,,,09700000
RPTQMLTKKHOFFAF56CC,力行段,.00,都市：住,,,,04080004
RPUQMLTKKHOFFAF66CC,幸福段,6.55,都市：住,,,,14050000
RPSNMLKLKHOFFAF97CC,公館段,.00,都市：住,,,,09830004
RPSNMLKLKHOFFAF97CC,公館段,.00,都市：住,,,,09840009
RPTQMLKLKHOFFAF38CC,延和段,.00,都市：住,,,,03670000
RPQSMLKLKHOFFAF28CC,光華段,.00,都市：住,,,,00690006
RPSOMLKLKHOFFCF28CC,安德段,.00,都市：住,,,,05910000
RPRPMLSKKHOFFHF86CC,盛昌段,.00,都市：住,,,,01450000
RPRPMLSKKHOFFHF86CC,盛昌段,.00,都市：住,,,,01530000
RPXOMLSKKHOFFHF37CC,南工段,.00,都市：住,,,,10920000
RPQPMLSKKHOFFHF76CC,瓦?段,.00,都市：住,,,,00490000
RPOPMLSKKHOFFHF56CC,瓦?段,.00,都市：住,,,,00420000
RPROMLKLKHOFFBF08CC,五工段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,03730000
RPPQMLKLKHOFFBF08CC,新豐段,38.00,都市：商,,,,00100000
RPQQMLKLKHOFFBF18CC,新豐段,28.00,都市：商,,,,00100000
RPXTMLTKKHOFFBF37CC,立言段,.00,都市：住,,,,05790000
RPXNMLKLKHOFFBF58CC,福基段,.00,都市：工,,,,04690000
RPRTMLTKKHOFFBF76CC,雙鳳段,.00,都市：住,,,,07470000
RPVNMLTKKHOFFBF56CC,中原段,.00,都市：住,,,,01100000
RPROMLKLKHOFFEF38CC,學府段,.00,都市：住,,,,04040000
RPPNMLKLKHOFFGF28CC,光華段,.00,都市：住,,,,06820000
RPRPMLKLKHOFFGF68CC,文化北段,.00,都市：商,,,,08370000
RPPSMLKLKHOFFIF98CC,太平段,.00,都市：住,,,,08080000
RPUOMLKLKHOFFEF68CC,竹圍段,1.00,都市：工,,,,07780000
RPTRMLKLKHOFFAF68EC,力行段,22.65,都市：住,,,,04080013
RPSPMLKLKHOFFDF48CC,福德段,.00,都市：住,,,,04460000
RPUOMLTKKHOFFDF76CC,智興段,24.47,都市：住,,,,08890000
RPSOMLKLKHOFFDF38CC,厚德段,.00,都市：住,,,,01620000
RPWOMLTKKHOFFDF96CC,智興段,17.56,都市：住,,,,08890000
RPXOMLKLKHOFFHF66CC,中和段,.00,都市：住,,,,03650000
RPRQMLKLKHOFFBF28CC,光明段,.00,都市：住,,,,01980000
RPTNMLLLKHOFFHF88CC,安樂段,.00,都市：住,,,,00210000
RPQOMLLLKHOFFIF78CC,大學段一小段,20.14,都市：住,,,,01860000
RPROMLLLKHOFFIF88CC,大學段一小段,28.88,都市：住,,,,00690000
RPSOMLLLKHOFFIF98CC,大學段二小段,10.48,都市：商,,,,00960000
RPVNMLLLKHOFFDF88EC,水源段,3.12,都市：住,,,,09920000
RPTNMLLLKHOFFDF48CC,新峰段,.00,都市：住,,,,03530000
RPVNMLLLKHOFFDF88EC,水源段,.00,都市：其他:保護區,,,,09920001
RPPNMLLLKHOFFDF08CC,同新段,8.21,都市：工,,,,00130000
RPPNMLLLKHOFFDF08CC,同新段,.00,都市：其他:鐵路用地,,,,00130001
RPPNMLLLKHOFFDF08CC,同新段,.00,都市：其他:鐵路用地,,,,00130002
RPVOMLLLKHOFFDF98EC,保長段,5.21,都市：住,,,,09950000
RPSOMLLLKHOFFDF68EC,中正段,25.40,都市：住,,,,00150000
RPSNMLLLKHOFFEF48CC,公司田段,107.60,都市：住,,,,01390000
RPOSMLKLKHOFFAF28EC,港子嘴段,.00,都市：住,,,,01320007
RPOSMLKLKHOFFAF28EC,港子嘴段,.00,都市：住,,,,01320022
RPOSMLKLKHOFFAF28EC,港子嘴段,.00,都市：住,,,,01320023
RPVRMLKLKHOFFAF88EC,介壽段,.00,都市：商,,,,01140000
RPTOMLLLKHOFFAF28CC,學成段,.00,都市：住,,,,08420000
RPXRMLKLKHOFFAF09EC,光華段,.00,都市：住,,,,02790000
