編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSOMLLKKHOFFEF48CC,坡道平面,0,34.83,
RPROMLLKKHOFFEF38CC,坡道平面,0,30.84,
RPSOMLLKKHOFFDF38CC,坡道平面,0,41.60,
RPVOMLLKKHOFFDF68CC,坡道平面,0,35.96,
RPOOMLLKKHOFFBF77CC,坡道平面,0,26.94,
RPTOMLLKKHOFFEF58CC,坡道機械,0,15.42,
RPRQMLMKKHOFFAF48EC,坡道機械,0,15.88,
RPOPMLNKKHOFFCF18CC,坡道平面,0,,
RPWPMLNKKHOFFAF78CC,坡道平面,0,31.97,
RPVPMLNKKHOFFEF09CC,坡道平面,0,28.26,
RPUSMLNKKHOFFBF98CC,坡道平面,0,31.38,
RPQPMLNKKHOFFBF28CC,坡道平面,0,,
RPSSMLMKKHOFFBF68CC,坡道平面,0,21.22,
RPSSMLMKKHOFFBF68CC,坡道平面,0,21.22,
RPPOMLOKKHOFFCF28CC,坡道平面,0,,
RPQPMLSKKHOFFAF68CC,坡道平面,0,26.43,
RPUNMLTKKHOFFDF66CC,坡道平面,0,31.50,
RPUNMLTKKHOFFDF66CC,坡道平面,0,31.50,
RPRTMLSKKHOFFBF66CC,坡道平面,0,16.78,
RPVSMLSKKHOFFBF96CC,坡道平面,0,26.48,
RPTPMLPKKHOFFEF09CC,坡道平面,0,,
RPPNMLTKKHOFFEF88CC,坡道平面,0,26.54,
RPQNMLTKKHOFFEF98CC,坡道平面,0,27.90,
RPWQMLTKKHOFFEF27CC,坡道平面,0,20.73,
RPRPMLSKKHOFFHF86CC,坡道平面,0,30.99,
RPXOMLSKKHOFFHF37CC,坡道平面,0,43.71,
RPQPMLSKKHOFFHF76CC,坡道平面,0,21.09,
RPROMLKLKHOFFBF08CC,坡道平面,0,,
RPROMLKLKHOFFBF08CC,坡道平面,0,,
RPROMLKLKHOFFBF08CC,坡道平面,0,,
RPQQMLKLKHOFFBF18CC,坡道平面,0,23.17,
RPVNMLTKKHOFFBF56CC,坡道平面,0,29.91,
RPPNMLKLKHOFFGF28CC,坡道平面,0,,
RPTRMLKLKHOFFAF68EC,坡道平面,0,31.28,
RPUOMLTKKHOFFDF76CC,坡道平面,0,30.31,
RPWOMLTKKHOFFDF96CC,坡道平面,0,30.31,
RPQOMLLLKHOFFIF78CC,坡道平面,0,34.80,
RPROMLLLKHOFFIF88CC,坡道平面,0,26.21,
RPSNMLLLKHOFFEF48CC,坡道平面,0,15.02,
RPVOMLLLKHOFFEF88CC,坡道平面,0,37.77,
RPXNMLMLKHOFFIF86CC,坡道平面,0,38.32,
RPRNMLMLKHOFFEF48CC,坡道平面,0,32.44,
RPQNMLMLKHOFFEF38CC,坡道平面,0,13.04,
RPPNMLOLKHOFFEF48CC,坡道平面,0,29.74,
RPWNMLOLKHOFFEF56CC,坡道平面,0,26.17,
RPWNMLOLKHOFFEF56CC,坡道平面,0,26.17,
RPXNMLOLKHOFFEF66CC,坡道平面,0,29.20,
RPPOMLOLKHOFFEF58CC,坡道平面,0,27.86,
RPPNMLOLKHOFFDF38CC,坡道平面,0,30.31,
RPTPMLKLKHOFFGF88CC,坡道平面,0,24.44,
