鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉親河路二段２９１巷５１弄２８號,155.07,,特定農業區,甲種建築用地,1071230,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0950425,213.22,5,2,5,有,無,7600000,35644,,0.0,0,含增建或未登記建物。；,RPQNMLMKKHOFFAG77CA,178.2,12.78,22.24,,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉水源路３７巷４弄６０號三樓,26.64,,特定農業區,甲種建築用地,1071228,土地2建物1車位0,三層,四層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061124,70.56,2,1,1,有,無,6000000,85034,,0.0,0,,RPUNMLMKKHOFFAG18CA,43.2,0.0,2.85,,
冬山鄉,土地,柯林一段984地號,2856.35,,特定農業區,農牧用地,1071221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22897200,8016,,0.0,0,,RPPOMLMKKHOFFAG77CA,0.0,0.0,0.0,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮竹林街４０５巷８０號,96.56,,鄉村區,乙種建築用地,1071221,土地2建物1車位0,一層，二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830420,172.74,4,2,3,有,無,6600000,38208,,0.0,0,,RPSNMLNKKHOFFAG08CA,152.11,16.26,4.37,,
羅東鎮,土地,北成一段631地號,118.6,,鄉村區,乙種建築用地,1080122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5560000,46880,,0.0,0,,RPUNMLLLKHOFFAG18CA,0.0,0.0,0.0,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉五濱路一段１３６巷２１號十一樓之４,16.07,,一般農業區,甲種建築用地,1080103,土地1建物1車位0,十一層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880128,42.32,1,1,1,有,有,800000,18904,,0.0,0,,RPSNMLQLKHOFFAG48CA,20.82,0.0,3.23,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮復興路三段１５７巷６０弄３２之２號,95.14,,特定農業區,甲種建築用地,1071223,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1000303,193.81,4,3,1,有,無,11000000,56757,,0.0,0,頂樓有增建。,RPSOMLSJLHOFFAG68CA,164.01,17.09,12.71,,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路２３１巷１４弄１６號,10.65,住,,,1080112,土地1建物1車位0,一層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831212,59.57,1,1,1,有,有,3800000,63790,,0.0,0,,RPPNMLMKKHOFFBG77CA,33.44,6.34,0.0,,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉忠孝路８號七樓之十二,5.39,其他,,,1071219,土地2建物1車位0,七層,九層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0711001,36.99,1,1,1,有,有,2100000,56772,,0.0,0,,RPSNMLMKKHOFFBG08CA,25.5,0.0,4.13,,
