編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLMKKHOFFAG77CA,柯林一段,2856.35,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09840000
RPQNMLMKKHOFFAG77CA,新協富段,121.01,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03190000
RPQNMLMKKHOFFAG77CA,新協富段,34.06,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03200000
RPUNMLLLKHOFFAG18CA,北成一段,118.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,06310000
RPUNMLMKKHOFFAG18CA,水源段,26.55,非都市：特定農業區 ; 非都市編定：甲種建築用地,175130,2655,持分移轉,04300000
RPUNMLMKKHOFFAG18CA,水源段,.08,非都市：特定農業區 ; 非都市編定：甲種建築用地,5810,85,持分移轉,04300001
RPSNMLMKKHOFFBG08CA,玉石段,5.36,都市：其他:健康休閒專用區,10000,49,持分移轉,08260000
RPSNMLMKKHOFFBG08CA,玉石段,.03,都市：其他:健康休閒專用區,10000,49,持分移轉,08260001
RPSNMLNKKHOFFAG08CA,竹林一段,93.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,11250000
RPSNMLNKKHOFFAG08CA,竹林一段,2.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,11490000
RPOOMLNKKHOFFBG87CA,珍子滿力段擺厘小段,31.86,都市：住,10000,302,持分移轉,01320005
RPSOMLOKKHOFFBG38CA,坤門五段,.05,都市：其他:道路用地,45,2,持分移轉,03550000
RPSOMLOKKHOFFBG38CA,坤門五段,63.10,都市：住,45,2,持分移轉,03560000
RPSOMLOKKHOFFBG38CA,坤門五段,71.33,都市：住,1,1,全筆移轉,03580000
RPSOMLOKKHOFFBG38CA,坤門五段,109.94,都市：住,1,1,全筆移轉,03780000
RPPOMLNKKHOFFBG97CA,武營段,20.56,都市：住,5,1,持分移轉,04640000
RPPOMLNKKHOFFBG97CA,武營段,.54,都市：其他:道路用地,5,1,持分移轉,04640001
RPPNMLMKKHOFFBG77CA,五峰段,10.65,都市：住,10000,61,持分移轉,11970000
RPQNMLMKKHOFFBG08EA,延平段,40.00,都市：農,1,1,全筆移轉,07940010
RPVNMLLKKHOFFBG48EA,中崙段,88.74,非都市：河川區 ; 非都市編定：水利用地,1,1,全筆移轉,04940008
RPSNMLOKKHOFFBG48EA,外大溪段,11.39,都市：其他:道路用地,1,1,全筆移轉,00690000
RPSNMLOKKHOFFBG48EA,外大溪段,36.45,都市：住,1,1,全筆移轉,00700000
RPQOMLQLKHOFFBG48CA,和平段,48.95,都市：住,10000,196,持分移轉,01030000
RPOOMLSKKHOFFBG38CA,南橋一段,79.91,非都市：特定農業區 ; 非都市編定：農牧用地,5,1,持分移轉,05770000
RPOOMLSKKHOFFBG38CA,南橋一段,531.71,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05790000
RPRNMLNKKHOFFBG08CA,新社段,23.10,非都市：一般農業區 ; 非都市編定：甲種建築用地,10,1,持分移轉,01220000
RPRNMLNKKHOFFBG08CA,新社段,50.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01220006
RPRNMLNKKHOFFBG08CA,新社段,7.70,非都市：一般農業區 ; 非都市編定：甲種建築用地,10,1,持分移轉,01220012
RPTNMLTKKHOFFBG88CA,壯志段,784.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05230000
