編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLNKKHOFFBG87CA,坡道平面,0,,
RPSOMLOKKHOFFBG38CA,坡道平面,0,,
RPSOMLOKKHOFFBG38CA,坡道平面,0,,
RPQOMLQLKHOFFBG48CA,坡道平面,1100000,42.93,
RPQOMLQLKHOFFBG48CA,坡道平面,1100000,42.93,
RPROMLOKKHOFFBG28CA,坡道平面,0,,
RPSNMLLLKHOFFAG97CA,坡道平面,0,,
RPTNMLKLKHOFFBG08CA,坡道平面,0,,
RPPNMLQKKHOFFBG18CA,坡道平面,0,,
RPPNMLSKKHOFFBG38CA,坡道機械,0,,
RPQNMLOJLHOFFBG08CA,坡道平面,1000000,31.40,
RPPNMLLKLHOFFBG77CA,坡道平面,0,,
RPOOMLRLKHOFFBG38CA,一樓平面,0,52.07,
RPOOMLRLKHOFFBG38CA,一樓平面,0,52.07,
RPSOMLLLKHOFFBG18CA,坡道平面,0,,
RPPNMLNLKHOFFBG97CA,坡道平面,0,,
RPSNMLNLKHOFFAG18CA,坡道平面,0,,
RPRNMLRLKHOFFAG48CA,一樓平面,0,,
RPWNMLLKLHOFFBG48CA,坡道平面,0,,
RPXPMLKLLHOFFBG78CA,坡道平面,0,,
RPVNMLOJLHOFFAG48CA,坡道平面,0,,
RPTNMLRLKHOFFAG68CA,坡道平面,0,,
RPWNMLQJLHOFFAG78CA,坡道機械,0,,
RPXNMLRJLHOFFAG98CA,一樓平面,0,,
RPTNMLSJLHOFFAG68CA,坡道平面,0,,
RPVNMLTKLHOFFAG09CA,一樓平面,0,,
RPQQMLKLLHOFFBG18CA,坡道平面,0,,
RPTNMLLKLHOFFBG18CA,坡道平面,0,,
RPRNMLSKLHOFFAG58CA,一樓平面,0,,
RPPPMLMJMHOFFBG08CA,一樓平面,0,,
RPPPMLMJMHOFFBG08CA,一樓平面,0,,
RPORMLTKLHOFFBG88CA,坡道平面,1100000,45.85,
RPRNMLLJMHOFFBG97CA,坡道平面,0,51.23,
RPTOMLLLLHOFFBG38CA,升降機械,0,,
