編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLMKKHOFFAG08CC,25,91.21,住家用,鋼筋混凝土造,83年7月19日,十三層,
RPRNMLNKKHOFFAG18CC,33,162.68,住家用,鋼筋混凝土造,74年8月22日,三層,
RPTNMLSKKHOFFBG98CC,20,235.47,住商用,鋼筋混凝土造,88年5月13日,三層,
RPSNMLQJLHOFFBG68CC,4,237.24,住宅、樓梯間,鋼筋混凝土造,103年10月20日,三層,
RPPNMLPJLHOFFBG28CC,7,268.25,店舖、住宅、樓梯間,鋼筋混凝土造,100年10月17日,三層,
RPSNMLNKLHOFFAG58EC,49,136.15,住家用,鋼筋混凝土加強磚造,58年11月5日,二層,
RPOOMLNKLHOFFBG38EC,,151.40,商業用,鋼筋混凝土加強磚造,,三層,
RPSNMLOKLHOFFBG58CC,8,114.82,集合住宅,鋼筋混凝土造,100年4月13日,七層,
RPPNMLOJLHOFFAG08CC,23,65.27,住家用,鋼筋混凝土造,84年11月22日,七層,
RPWNMLOKLHOFFAG88CC,24,31.54,住家用,鋼筋混凝土造,83年9月9日,七層,
RPOQMLKLKHOFFAG97CC,1,85.39,店舖,鋼筋混凝土造,107年2月21日,四層,
RPUNMLSJLHOFFAG98CC,23,81.78,住家用,鋼筋混凝土造,85年2月13日,六層,
RPXNMLPKLHOFFAG09CC,4,139.50,住宅、停車空間,鋼筋混凝土造,104年7月21日,三層,
RPQNMLSKKHOFFAG58CC,4,68.17,農舍,鋼筋混凝土造,103年9月2日,三層,
RPTNMLLKLHOFFAG28CC,43,79.00,住家用,鋼筋混凝土加強磚造,64年9月25日,三層,
RPTNMLOJLHOFFAG48CC,24,160.84,住家用,鋼筋混凝土造,83年10月26日,四層,
RPOOMLPLKHOFFAG28CC,28,134.22,住家用,鋼筋混凝土造,80年4月3日,五層,
RPUNMLSKKHOFFAG98CC,42,29.28,住家用,鋼筋混凝土加強磚造,65年11月30日,三層,
RPWOMLSKLHOFFBG86CC,19,98.01,住家用,鋼筋混凝土造,88年10月21日,五層,
RPOOMLTLLHOFFBG98DC,20,121.68,住家用,鋼筋混凝土造,87年11月2日,八層,
RPSNMLSKLHOFFAG88CC,5,41.00,住家用,鋼筋混凝土造,103年4月2日,三層,
RPTNMLTKLHOFFAG09CC,38,100.19,住家用,鋼筋混凝土造,69年11月28日,四層,
RPUNMLQLLHOFFBG56DC,25,115.07,住家用,鋼筋混凝土造,83年2月5日,七層,
RPWNMLKLLHOFFAG58CC,20,208.24,辦公室．會議室,鋼筋混凝土造,88年6月22日,二層,
RPVNMLNJMHOFFAG88EC,26,106.74,住家用,鋼筋混凝土造,81年10月8日,三層,
RPROMLQLLHOFFBG09EC,24,208.15,停車場、鄉村住宅,鋼筋混凝土造,84年3月30日,四層,
RPUNMLKKMHOFFBG48CC,24,41.33,住家用,鋼筋混凝土造,84年5月1日,五層,
RPPNMLKKMHOFFAG08EC,35,103.80,住家用,鐵筋加強磚造,73年3月20日,二層,
RPROMLNJMHOFFBG48CC,3,230.43,見其他登記事項,鋼筋混凝土造,104年12月31日,三層,
RPUNMLSJMHOFFAG09CC,16,538.18,農民文康活動中心．倉庫,鋼筋混凝土造,92年6月30日,三層,
RPUNMLTKMHOFFAG66CC,24,21.00,住家用,鋼筋混凝土造,84年8月10日,七層,
RPRNMLTKMHOFFBG09CC,7,369.10,騎樓、店舖、住宅、樓梯間,鋼筋混凝土造,101年6月28日,三層,
RPSNMLQKMHOFFAG78CC,42,104.38,住家用,鋼筋混凝土加強磚造,65年11月6日,二層,
RPXNMLOLMHOFFBG66CC,8,115.89,集合住宅,鋼筋混凝土造,100年4月13日,九層,
RPPOMLMLMHOFFBG38CC,32,66.15,住家用,鋼筋混凝土造,76年2月11日,二層,
RPQPMLMLMHOFFBG58CC,20,33.16,住家用,鋼筋混凝土造,88年7月9日,八層,
RPVPMLMLMHOFFBG09CC,27,171.38,住家用,鋼筋混凝土造,81年5月28日,七層,
RPQOMLKMMHOFFBG58EC,,63.68,住商用,鋼筋混凝土加強磚造,,三層,
RPPOMLKMMHOFFBG48EC,17,22.22,住家用,鋼筋混凝土造,91年8月20日,七層,
RPPPMLMJNHOFFBG58EC,29,924.06,集合住宅及防空避難室,鋼筋混凝土造,79年1月15日,五層,
RPWNMLOLMHOFFBG56CC,25,107.56,住家用,鋼筋混凝土造,83年5月24日,七層,
RPROMLKMMHOFFBG68EC,14,21.11,住家用,鋼筋混凝土造,94年10月11日,六層,
RPTNMLNJNHOFFBG68CC,25,83.40,住家用,鋼筋混凝土造,83年8月6日,七層,
RPVOMLLJNHOFFAG88EC,25,14.64,住家用,鋼筋混凝土造,83年3月23日,五層,
RPPNMLKKNHOFFAG18EC,30,215.68,住商用,鋼筋混凝土造,78年9月5日,二層,
