編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLMKKHOFFAG08CC,信義段,27.90,都市：住,,,,03640000
RPRNMLNKKHOFFAG18CC,東榮一段,70.03,都市：商,,,,01520000
RPTNMLSKKHOFFBG98CC,金六結段金結小段,95.00,都市：住,,,,00200027
RPSNMLQJLHOFFBG68CC,進士段,129.54,都市：住,,,,03330001
RPPNMLPJLHOFFBG28CC,進士段,120.51,都市：住,,,,03440001
RPSNMLNKLHOFFAG58EC,興東段,.00,都市：住,,,,09840000
RPOOMLNKLHOFFBG38EC,協天段,.00,都市：其他:旅館區,,,,00020000
RPSNMLOKLHOFFBG58CC,和平段,.00,都市：住,,,,00120000
RPPNMLOJLHOFFAG08CC,羅莊段,16.09,都市：住,,,,00380000
RPWNMLOKLHOFFAG88CC,信義段,.00,非都市： ; 非都市編定：,,,,07000000
RPOQMLKLKHOFFAG97CC,國華段,.00,都市：商,,,,04760000
RPUNMLSJLHOFFAG98CC,東安段,.00,都市：住,,,,04770000
RPXNMLPKLHOFFAG09CC,家福段,81.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02210013
RPQNMLSKKHOFFAG58CC,新群二段,155.39,非都市：特定農業區 ; 非都市編定：農牧用地,,,,06510000
RPTNMLLKLHOFFAG28CC,興平段,.00,都市：住,,,,01140000
RPTNMLOJLHOFFAG48CC,新協富段,85.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00130000
RPOOMLPLKHOFFAG28CC,公正段,.00,都市：住,,,,00580007
RPUNMLSKKHOFFAG98CC,信義段,10.26,都市：商,,,,02510000
RPWOMLSKLHOFFBG86CC,坤門五段,.00,都市：住,,,,11680000
RPOOMLTLLHOFFBG98DC,金六結三段,.00,都市：住,,,,00710000
RPSNMLSKLHOFFAG88CC,羅莊段,23.53,都市：住,,,,00090000
RPTNMLTKLHOFFAG09CC,南昌段,46.00,都市：住,,,,16660000
RPUNMLQLLHOFFBG56DC,珍子滿力段擺厘小段,.00,都市：住,,,,00310000
RPWNMLKLLHOFFAG58CC,猴猴段,207.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02460000
RPVNMLNJMHOFFAG88EC,北成段,.00,都市：住,,,,02530000
RPROMLQLLHOFFBG09EC,新三泰段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01590000
RPUNMLKKMHOFFBG48CC,慈安段,.00,都市：住,,,,08690000
RPPNMLKKMHOFFAG08EC,五結段,.00,都市：商,,,,04250000
RPROMLNJMHOFFBG48CC,金六結段七結小段,.00,都市：住,,,,00630000
RPUNMLSJMHOFFAG09CC,湖口段,4371.30,都市：其他:農會用地,,,,03770000
RPUNMLTKMHOFFAG66CC,北成段,12.74,都市：商,,,,16780000
RPRNMLTKMHOFFBG09CC,宜商段,52.19,都市：商,,,,08640001
RPRNMLTKMHOFFBG09CC,宜商段,115.05,都市：住,,,,08650000
RPSNMLQKMHOFFAG78CC,富農段,157.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,09940001
RPXNMLOLMHOFFBG66CC,和平段,.00,都市：住,,,,01000000
RPPOMLMLMHOFFBG38CC,宜商段,.00,都市：住,,,,02020000
RPQPMLMLMHOFFBG58CC,忠義段,.00,都市：住,,,,07800001
RPVPMLMLMHOFFBG09CC,金六結段金結小段,.00,都市：住,,,,00180000
RPQOMLKMMHOFFBG58EC,坤門二段,.00,都市：住,,,,02830000
RPPOMLKMMHOFFBG48EC,金六結二段,.00,都市：住,,,,10400000
RPPPMLMJNHOFFBG58EC,金六結二段,.00,都市：住,,,,03360000
RPPPMLMJNHOFFBG58EC,金六結二段,.00,都市：住,,,,03370000
RPWNMLOLMHOFFBG56CC,黎明段,.00,都市：住,,,,02890000
RPROMLKMMHOFFBG68EC,金六結三段,.00,都市：住,,,,05790000
RPTNMLNJNHOFFBG68CC,坤門三段,.00,都市：住,,,,07070000
RPVOMLLJNHOFFAG88EC,羅莊段,.00,都市：住,,,,00740005
RPPNMLKKNHOFFAG18EC,東安段,.00,都市：住,,,,05500006
RPSNMLRJNHOFFAG09EC,蘇聖段,.19,都市：住,,,,03310001
RPSNMLRJNHOFFAG09EC,蘇聖段,216.28,都市：住,,,,03320000
RPSNMLRJNHOFFAG09EC,蘇聖段,415.40,都市：住,,,,03570000
