編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLLKKHOFFAH77CA,33,121.22,住家用,鋼筋混凝土造,74年11月26日,七層,六層 陽台
RPOPMLLKKHOFFAH77CA,33,31.00,防空避難室、停車空間,鋼筋混凝土造,74年11月26日,七層,地下層
RPOPMLLKKHOFFAH77CA,33,7.10,共有部份,鋼筋混凝土造,74年11月26日,七層,
RPPPMLLKKHOFFAH87CA,33,121.94,住家用,鋼筋混凝土造,74年11月26日,七層,六層 陽台
RPPPMLLKKHOFFAH87CA,33,7.10,共有部份,鋼筋混凝土造,74年11月26日,七層,
RPRNMLMKKHOFFAH97CA,20,98.26,住家用,鋼筋混凝土造,88年5月1日,十六層,七層 陽台 見其他登記事項
RPRNMLMKKHOFFAH97CA,20,27.20,共有部份,鋼筋混凝土造,88年5月1日,十六層,
RPQOMLOKKHOFFAH18CA,25,58.81,住家用,鋼筋混凝土造,83年3月3日,七層,四層 陽台 花台
RPQOMLOKKHOFFAH18CA,25,13.02,共有部份,鋼筋混凝土造,83年3月3日,七層,
RPQOMLOKKHOFFAH18CA,25,4.94,共有部份,鋼筋混凝土造,83年3月3日,七層,
RPQOMLOKKHOFFAH18CA,25,6.98,共有部份,鋼筋混凝土造,83年3月3日,七層,
RPVOMLSKKHOFFAH09CA,4,35.84,本共有部分之項目有附屬（防空避難室兼停車空間、停車空間、管理員辦公室、門廳、社區中心、垃圾置放室門廳、管理委員會使用空間、梯間、水箱、機房）等１０項目。,鋼筋混凝土造,104年1月4日,十五層,
RPPPMLMKKHOFFBH08CA,16,81.51,住家用,鋼筋混凝土造,91年10月28日,十層,三層 陽台 雨遮
RPPPMLMKKHOFFBH08CA,16,53.48,共有部份,鋼筋混凝土造,91年10月28日,十層,
RPWNMLOJLHOFFBH78CA,,82.74,集合住宅,鋼筋混凝土造,107年8月22日,十三層,一層 陽台
RPWNMLOJLHOFFBH78CA,,73.16,本共有部分之項目有：防空避難室兼停車空間、停車空間、樓梯間、機房、水箱、雨水機房、污水機房、消防機房、垃圾暫存空間、受電箱、台電配電場所、發電機房、電信機房、管委會使用空間、門廳、梯廳、電梯機房、自來水箱、消防水箱等十九項。,鋼筋混凝土造,107年8月22日,十三層,
RPRNMLOJLHOFFAH18CA,1,80.41,住家用,鋼筋混凝土造,106年11月24日,十三層,十層 陽台 雨遮
RPRNMLOJLHOFFAH18CA,1,20.46,本共有部分之項目有集合住宅（附屬管委會使用空間，公共服務空間）、梯間、消防水箱、機房、水箱等項。,鋼筋混凝土造,106年11月24日,十三層,
RPRNMLOJLHOFFAH18CA,1,42.87,本共有部分之項目有附屬（防空避難室兼停車空間、停車空間、台電配電場所）等項。,鋼筋混凝土造,106年11月24日,十三層,
RPUNMLTKKHOFFCH56CA,1,111.10,集合住宅,鋼筋混凝土造,106年10月17日,十五層,十層 陽台
RPUNMLTKKHOFFCH56CA,1,82.58,共有部分：防空避難室兼停車空間、汙水機房、蓄水池、消防泵浦室、發電機房、梯間、停車空間、機房、電信室、台電配電場所、垃圾冷藏室、水景機房、管委會使用空間、機械室、水箱,鋼筋混凝土造,106年10月17日,十五層,
RPTNMLOJLHOFFAH38CA,2,64.86,住家用,鋼筋混凝土造,105年11月2日,十五層,八層 陽台 雨遮
