編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOPMLLKKHOFFAH77CA,桃園段武陵小段,30.18,都市：住,100000,1970,持分移轉,01540045
RPPPMLLKKHOFFAH87CA,桃園段武陵小段,24.51,都市：住,100000,1600,持分移轉,01540045
RPRNMLMKKHOFFAH97CA,和平段,14.06,都市：住,10000,21,持分移轉,00550000
RPQOMLOKKHOFFAH18CA,富國段,15.79,都市：住,10000,241,持分移轉,08670000
RPVOMLSKKHOFFAH09CA,慈文段,6.24,都市：住,100000,349,持分移轉,15360000
RPQPMLOJLHOFFAH28CA,新埔段,10.01,都市：其他:綠地,145,6,持分移轉,11860000
RPPPMLMKKHOFFBH08CA,忠福段,16.67,都市：住,100000,1879,持分移轉,31160000
RPWNMLOJLHOFFBH78CA,普義段,38.54,都市：住,10000,131,持分移轉,05380000
RPPNMLMKKHOFFCH97CA,田心子段上田心子小段,107.00,都市：住,1,1,全筆移轉,04520002
RPRNMLOJLHOFFAH18CA,中路三段,19.37,都市：住,10000,43,持分移轉,01200000
RPUNMLTKKHOFFCH56CA,仁善段,24.22,都市：商,100000,729,持分移轉,06860000
RPROMLMKKHOFFDH38CA,二重溪段,5.97,都市：住,700,10,持分移轉,00020001
RPROMLMKKHOFFDH38CA,二重溪段,9.63,都市：住,700,10,持分移轉,00020010
RPROMLMKKHOFFDH38CA,二重溪段,.13,都市：其他:綠地用地,700,10,持分移轉,00020033
RPTNMLOJLHOFFAH38CA,水汴頭段,11.67,都市：商,10000,19,持分移轉,00560000
RPQNMLNKKHOFFDH28CA,笨子港段榕樹下小段,2500.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04850000
RPROMLNKKHOFFDH48CA,大金山下段大金山下小段,25.90,都市：住,100000,650,持分移轉,00470000
RPROMLNKKHOFFDH48CA,大金山下段大金山下小段,.23,都市：住,100000,650,持分移轉,00470003
RPROMLNKKHOFFDH48CA,大金山下段大金山下小段,.21,都市：住,100000,650,持分移轉,00470004
RPPNMLNKKHOFFEH28CA,聖德段,665.20,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07450000
RPSNMLQKKHOFFDH78CA,高洲段,15.61,都市：其他:道路用地,2,1,持分移轉,07170000
RPSNMLQKKHOFFDH78CA,高洲段,9.68,都市：其他:道路用地,2,1,持分移轉,07180000
RPSNMLQKKHOFFDH78CA,高洲段,32.83,都市：其他:乙種工業區,2,1,持分移轉,07190000
RPQNMLSKKHOFFEH88CA,大新段,45.65,都市：住,1,1,全筆移轉,02580012
RPQNMLSKKHOFFEH88CA,大新段,7.75,都市：住,14,1,持分移轉,02580002
RPQNMLSKKHOFFEH88CA,大新段,4.19,都市：住,14,1,持分移轉,02580015
RPQPMLPLKHOFFEH88CA,圳股頭段圳股頭小段,107.05,非都市：一般農業區 ; 非都市編定：甲種建築用地,40000,3144,持分移轉,00290011
RPTNMLSKKHOFFAH78CA,中路三段,28.61,都市：住,100000,1759,持分移轉,01700000
RPQNMLKLKHOFFFH28CA,茄明段,9.22,都市：住,10000,29,持分移轉,00310000
RPPNMLKLKHOFFGH28CA,湧光段,66.72,都市：農,1,1,全筆移轉,05410000
RPPNMLKLKHOFFGH28CA,湧光段,11.56,都市：其他:機關用地,1,1,全筆移轉,05410001
RPPNMLPJLHOFFAH08CA,和平段,21.97,都市：住,10000,101,持分移轉,00580000
RPVNMLOJLHOFFBH68CA,普義段,27.65,都市：住,10000,94,持分移轉,05380000
RPSNMLMKKHOFFHH78CA,陳厝段,34.78,都市：農,18,1,持分移轉,03890000
RPSNMLMKKHOFFHH78CA,陳厝段,47.27,都市：農,18,1,持分移轉,03910000
RPSNMLMKKHOFFHH78CA,陳厝段,163.28,都市：農,18,1,持分移轉,03920000
RPSNMLMKKHOFFHH78CA,陳厝段,87.84,都市：農,18,1,持分移轉,03930000
