編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWOMLMKKHOFFAH68CB,中路二段,23.45,都市：住,100000,1081,持分移轉,00690000
RPVOMLMKKHOFFAH58CB,中路二段,23.45,都市：住,100000,1081,持分移轉,00690000
RPXOMLMKKHOFFAH78CB,中路二段,23.45,都市：住,100000,1081,持分移轉,00690000
RPOPMLMKKHOFFAH97CB,中路二段,15.55,都市：住,100000,717,持分移轉,00690000
RPRPMLMKKHOFFAH28CB,中路二段,23.45,都市：住,100000,1081,持分移轉,00690000
RPQPMLMKKHOFFAH18CB,中路二段,10.72,都市：住,100000,494,持分移轉,00690000
RPVPMLMKKHOFFAH68CB,中路二段,12.76,都市：住,100000,588,持分移轉,00690000
RPPPMLMKKHOFFAH08CB,中路二段,15.36,都市：住,100000,708,持分移轉,00690000
RPWPMLMKKHOFFAH78CB,中路二段,12.56,都市：住,100000,579,持分移轉,00690000
RPSPMLMKKHOFFAH38CB,中路二段,23.45,都市：住,100000,1081,持分移轉,00690000
RPTPMLMKKHOFFAH48CB,中路二段,23.67,都市：住,100000,1091,持分移轉,00690000
RPUPMLMKKHOFFAH58CB,中路二段,23.45,都市：住,100000,1081,持分移轉,00690000
RPRQMLMKKHOFFAH38CB,中路二段,15.51,都市：住,100000,715,持分移轉,00690000
RPPQMLMKKHOFFAH18CB,中路二段,19.72,都市：住,100000,909,持分移轉,00690000
RPSQMLMKKHOFFAH48CB,中路二段,15.51,都市：住,100000,715,持分移轉,00690000
RPVQMLMKKHOFFAH78CB,中路二段,12.76,都市：住,100000,588,持分移轉,00690000
RPUQMLMKKHOFFAH68CB,中路二段,19.72,都市：住,100000,909,持分移轉,00690000
RPWQMLMKKHOFFAH88CB,中路二段,11.24,都市：住,100000,518,持分移轉,00690000
RPOQMLMKKHOFFAH08CB,中路二段,23.45,都市：住,100000,1081,持分移轉,00690000
RPTQMLMKKHOFFAH58CB,中路二段,16.14,都市：住,100000,744,持分移轉,00690000
RPXPMLMKKHOFFAH88CB,中路二段,13.80,都市：住,100000,636,持分移轉,00690000
RPQQMLMKKHOFFAH28CB,中路二段,19.72,都市：住,100000,909,持分移轉,00690000
RPXNMLPKKHOFFDH66CB,幼獅段,26.03,都市：住,100000,227,持分移轉,12430006
RPXNMLPKKHOFFDH66CB,幼獅段,.18,都市：住,100000,227,持分移轉,12640001
RPXQMLMKKHOFFAH98CB,中路二段,19.72,都市：住,100000,909,持分移轉,00690000
RPUOMLMLKHOFFBH68CB,培英段,14.56,都市：住,10000,53,持分移轉,00050000
RPWNMLPKKHOFFDH56CB,幼獅段,25.46,都市：住,100000,222,持分移轉,12430006
RPWNMLPKKHOFFDH56CB,幼獅段,.17,都市：住,100000,222,持分移轉,12640001
RPVOMLMLKHOFFBH78CB,培英段,21.71,都市：住,10000,79,持分移轉,00050000
RPTOMLMLKHOFFBH58CB,培英段,16.49,都市：住,10000,60,持分移轉,00050000
RPWOMLMLKHOFFBH88CB,培英段,14.56,都市：住,10000,53,持分移轉,00050000
RPOPMLMLKHOFFBH18CB,培英段,14.84,都市：住,10000,54,持分移轉,00050000
RPPPMLMLKHOFFBH28CB,培英段,14.84,都市：住,10000,54,持分移轉,00050000
RPQPMLMLKHOFFBH38CB,培英段,15.11,都市：住,10000,55,持分移轉,00050000
RPXOMLMLKHOFFBH98CB,培英段,16.21,都市：住,10000,59,持分移轉,00050000
RPRPMLMLKHOFFBH48CB,培英段,14.56,都市：住,10000,53,持分移轉,00050000
RPSPMLMLKHOFFBH58CB,培英段,26.10,都市：住,10000,95,持分移轉,00050000
RPVPMLMLKHOFFBH88CB,培英段,21.71,都市：住,10000,79,持分移轉,00050000
RPUPMLMLKHOFFBH78CB,培英段,30.22,都市：住,10000,110,持分移轉,00050000
RPTPMLMLKHOFFBH68CB,培英段,26.10,都市：住,10000,95,持分移轉,00050000
RPXPMLMLKHOFFBH09CB,培英段,23.63,都市：住,10000,86,持分移轉,00050000
RPPQMLMLKHOFFBH38CB,培英段,14.84,都市：住,10000,54,持分移轉,00050000
RPOQMLMLKHOFFBH28CB,培英段,14.84,都市：住,10000,54,持分移轉,00050000
RPWPMLMLKHOFFBH98CB,培英段,21.71,都市：住,10000,79,持分移轉,00050000
RPRQMLMLKHOFFBH58CB,培英段,19.23,都市：住,10000,70,持分移轉,00050000
RPXNMLKKMHOFFAH68CB,埔子段北門埔子小段,5.35,都市：商,100000,460,持分移轉,01040000
RPXNMLKKMHOFFAH68CB,埔子段北門埔子小段,3.49,都市：商,100000,460,持分移轉,01040011
RPXNMLKKMHOFFAH68CB,埔子段北門埔子小段,.87,都市：商,100000,460,持分移轉,01050003
RPXNMLKKMHOFFAH68CB,埔子段北門埔子小段,.05,都市：商,100000,460,持分移轉,01060012
RPXNMLKKMHOFFAH68CB,埔子段北門埔子小段,.67,都市：商,100000,460,持分移轉,01070001
RPXNMLKKMHOFFAH68CB,埔子段北門埔子小段,.03,都市：商,100000,460,持分移轉,01160009
RPWNMLKKMHOFFAH58CB,埔子段北門埔子小段,5.51,都市：商,100000,473,持分移轉,01040000
RPWNMLKKMHOFFAH58CB,埔子段北門埔子小段,3.59,都市：商,100000,473,持分移轉,01040011
RPWNMLKKMHOFFAH58CB,埔子段北門埔子小段,.90,都市：商,100000,473,持分移轉,01050003
RPWNMLKKMHOFFAH58CB,埔子段北門埔子小段,.05,都市：商,100000,473,持分移轉,01060012
