編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLLKKHOFFDH28CC,14,89.11,住家用,鋼筋混凝土造,94年5月10日,十層,
RPPOMLLKKHOFFDH28CC,14,20.57,防空避難室、停車空間﹝共同使用﹞,鋼筋混凝土造,94年5月10日,十層,
RPPOMLLKKHOFFDH28CC,14,9.24,梯間、水箱、機械室﹝共同使用﹞,鋼筋混凝土造,94年5月10日,十層,
RPUPMLLKKHOFFAH58CC,3,63.10,住家用,鋼筋混凝土造,104年8月10日,十四層,
RPUPMLLKKHOFFAH58CC,3,76.54,本共有部分之項目有附屬（防空避難室兼停車空間、停車空間、公共服務空間、門廳、樓梯間、機械室、水箱）等７項。,鋼筋混凝土造,104年8月10日,十四層,
RPVPMLLKKHOFFAH68CC,24,117.35,住家用,鋼筋混凝土造,84年7月17日,七層,
RPVPMLLKKHOFFAH68CC,24,12.75,共有部份,鋼筋混凝土造,84年7月17日,七層,
RPVPMLLKKHOFFAH68CC,24,33.07,共有部份,鋼筋混凝土造,84年7月17日,七層,
RPVNMLLKKHOFFFH98CC,4,97.42,住家用,鋼筋混凝土造,103年11月1日,十三層,
RPVNMLLKKHOFFFH98CC,4,5.01,共有部分之項目有：管委會服務空間、外廊、台電配電場所、水景機房、發電機室、電信機室、環保資源處理室、儲藏室、污水機房、消防泵浦室、管委會辦公室等計十一項。,鋼筋混凝土造,103年11月1日,十三層,
RPVNMLLKKHOFFFH98CC,4,42.52,共有部分之項目有：防空避難室兼停車空間、停車空間、蓄水池等計三項。,鋼筋混凝土造,103年11月1日,十三層,
RPVNMLLKKHOFFFH98CC,4,24.25,共有部分之項目有：樓梯間、電梯間、梯廳、水箱、機房等計五項,鋼筋混凝土造,103年11月1日,十三層,
RPQOMLLKKHOFFDH38CC,4,85.84,住家用,鋼筋混凝土造,104年5月25日,十四層,
RPQOMLLKKHOFFDH38CC,4,39.84,本共有部分之項目有管理室（附屬公共服務空間、梯間）（附屬梯間、水箱、機房）（附屬停車空間、台電配電場所、電信室、水循環設備、梯間）（附屬停車空間、梯間）（附屬雨水機房）（附屬防空避難室兼停車空間、蓄水池、消防泵浦室、污水處理設備、發電機室、梯間）等二十項,鋼筋混凝土造,104年5月25日,十五層,
RPSOMLLKKHOFFGH88CC,4,94.97,店舖,鋼筋混凝土造,104年7月12日,十四層,
RPSOMLLKKHOFFGH88CC,4,3.70,共有部份,鋼筋混凝土造,104年7月12日,十四層,
RPSOMLLKKHOFFGH88CC,4,18.20,共有部份,鋼筋混凝土造,104年7月12日,十四層,
RPUNMLLKKHOFFFH88CC,13,80.97,住家用,鋼筋混凝土造,95年3月29日,十五層,
RPUNMLLKKHOFFFH88CC,13,16.25,共有部份,鋼筋混凝土造,95年3月29日,十五層,
RPUNMLLKKHOFFFH88CC,13,42.78,共有部份,鋼筋混凝土造,95年3月29日,十五層,
RPTOMLMKKHOFFDH88DC,12,269.52,住宅、停車空間,鋼筋混凝土造,96年7月6日,四層,
RPPOMLMKKHOFFDH48DC,1,445.70,作業廠房,鋼筋混凝土造,107年2月27日,十層,
RPUNMLMKKHOFFHH56CC,32,423.14,宿舍﹐廠房﹐避難室,鋼筋混凝土造,76年1月9日,二層,
RPRNMLMKKHOFFDH48CC,4,68.52,住家用,鋼筋混凝土造,104年5月25日,十五層,
RPRNMLMKKHOFFDH48CC,4,32.10,本共有部分之項目有管理室（附屬公共服務空間、梯間）（附屬梯間、水箱、機房）（附屬停車空間、台電配電場所、電信室、水循環設備、梯間）（附屬停車空間、梯間）（附屬雨水機房）（附屬防空避難室兼停車空間、蓄水池、消防泵浦室、污水處理設備、發電機室、梯間）等二十項,鋼筋混凝土造,104年5月25日,十五層,
RPQNMLMKKHOFFEH68EC,31,1634.00,工業用,鋼筋混凝土造,77年3月25日,二層,
RPQNMLMKKHOFFDH38CC,1,81.91,集合住宅,鋼筋混凝土造,106年8月2日,十五層,
