編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLLKKHOFFDH28CC,頭重溪段,.00,都市：住,,,,01690014
RPUPMLLKKHOFFAH58CC,會稽段,.00,都市：住,,,,01000000
RPVPMLLKKHOFFAH68CC,忠義段,.00,都市：住,,,,11220000
RPVPMLLKKHOFFAH68CC,忠義段,.00,都市：其他:人行步道用地,,,,11220001
RPVNMLLKKHOFFFH98CC,豐田段,.00,都市：住,,,,14870000
RPQOMLLKKHOFFDH38CC,大金山下段大金山下小段,.00,都市：住,,,,00460000
RPSOMLLKKHOFFGH88CC,環南段,.00,都市：商,,,,12020000
RPUNMLLKKHOFFFH88CC,高明段,.00,都市：商,,,,01460000
RPTOMLMKKHOFFDH88DC,草湳坡段埔心小段,95.00,都市：住,,,,00332120
RPTOMLMKKHOFFDH88DC,草湳坡段埔心小段,17.50,都市：住,,,,00332124
RPPOMLMKKHOFFDH48DC,二重溪段,59.98,都市：工,,,,01480025
RPUNMLMKKHOFFHH56CC,山頂段,700.83,非都市：工業區 ; 非都市編定：丁種建築用地,,,,03510018
RPRNMLMKKHOFFDH48CC,大金山下段大金山下小段,.00,都市：住,,,,00460000
RPQNMLMKKHOFFEH68EC,長發段,1848.42,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,04060000
RPQNMLMKKHOFFDH38CC,大金山下段大金山下小段,.00,都市：住,,,,00100000
RPSNMLMKKHOFFDH58CC,草湳坡段草湳坡小段,.00,都市：住,,,,00590000
RPUNMLNKKHOFFEH98CC,坑子口段後壁厝小段,1983.47,非都市：工業區 ; 非都市編定：丁種建築用地,,,,03590012
RPPNMLNKKHOFFBH18CC,石頭段,.00,都市：商,,,,00030891
RPPNMLNKKHOFFBH18CC,石頭段,.00,都市：商,,,,00030892
RPRPMLNKKHOFFBH58CC,三民段,396.69,都市：工,,,,04840000
RPQPMLNKKHOFFBH48CC,三座屋段三座屋小段,17.13,都市：住,,,,04670002
RPPNMLNKKHOFFHH78CC,文化段,24.96,都市：商,,,,03190000
RPVNMLNKKHOFFHH76CC,興華段,11.17,都市：商,,,,00620000
RPUNMLNKKHOFFHH66CC,興華段,10.19,都市：商,,,,00940000
RPWNMLNKKHOFFHH86CC,興華段,11.03,都市：商,,,,00620000
RPXNMLNKKHOFFHH96CC,善捷段,.00,都市：住,,,,00040000
RPVNMLNKKHOFFFH56CC,東勇段,396.69,非都市：特定農業區 ; 非都市編定：農牧用地,,,,07830012
RPSNMLOKKHOFFFH09DC,力行段,24.56,都市：住,,,,04090000
RPSNMLOKKHOFFFH09DC,力行段,.91,都市：住,,,,04100000
RPXNMLOKKHOFFCH56CC,潛龍段,.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10790000
RPXNMLOKKHOFFCH56CC,潛龍段,43.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10990000
RPRNMLOKKHOFFBH48CC,青平段,18.62,都市：住,,,,01300000
RPOOMLOKKHOFFBH28CC,忠福段,.00,都市：住,,,,28640010
RPOOMLOKKHOFFEH58CC,南華段,21.13,都市：住,,,,00060000
RPPPMLOKKHOFFAH38CC,大興段,.00,都市：住,,,,01750000
RPPPMLOKKHOFFAH38CC,大興段,.00,都市：其他:河川區,,,,01750001
RPPPMLOKKHOFFAH38CC,大興段,.00,都市：其他:河川區,,,,01750002
RPPOMLOKKHOFFEH68CC,大新段,.00,都市：住,,,,02580001
RPQPMLOKKHOFFAH48CC,桃園段長美小段,.00,都市：商,,,,00860021
RPQPMLOKKHOFFAH48CC,桃園段長美小段,.00,都市：住,,,,00860017
RPQPMLOKKHOFFAH48CC,桃園段長美小段,.00,都市：住,,,,00860029
RPXNMLPKKHOFFAH09CC,埔子段埔子小段,.00,都市：住,,,,20230030
RPUOMLPKKHOFFAH88CC,中埔段,.00,都市：商,,,,04680000
RPUOMLPKKHOFFAH88CC,中埔段,.00,都市：商,,,,04680002
RPTNMLPKKHOFFEH09CC,長發段,540.60,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,04050000
RPTOMLPKKHOFFAH78CC,中埔段,.00,都市：住,,,,00270000
RPPNMLPKKHOFFHH09DC,新路段,20.03,都市：住,,,,08040000
