編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQLKHOFFAI38CA,車店段車店小段,16.76,都市：住,1000,21,持分移轉,07120000
RPQOMLQKKHOFFAI48CA,車店段車店小段,166.00,都市：住,1,1,全筆移轉,00460000
RPVNMLMKKHOFFAI48CA,湖子內段湖內小段,90.62,都市：住,10000,414,持分移轉,01450000
RPWNMLTKKHOFFAI66CA,西門段二小段,10.40,都市：商,5,1,持分移轉,00670000
RPWNMLTKKHOFFAI66CA,西門段二小段,1.00,都市：商,5,1,持分移轉,00700001
RPWNMLTKKHOFFAI66CA,西門段二小段,12.60,都市：商,5,1,持分移轉,00710000
RPQNMLOLKHOFFAI28CA,長竹段,22.75,都市：住,10000,140,持分移轉,09590000
RPSNMLOLKHOFFAI48CA,盧厝段,10.86,都市：住,10000,20,持分移轉,02600004
RPRNMLOLKHOFFAI38CA,東門段七小段,8.42,都市：商,10000,66,持分移轉,00590000
RPOOMLOLKHOFFAI18CA,湖內段,17.39,都市：住,10000,135,持分移轉,09980000
RPOOMLOLKHOFFAI18CA,湖內段,13.76,都市：住,10000,135,持分移轉,10230000
RPOOMLRJLHOFFAI38CA,湖子內段興安小段,112.64,都市：住,1,1,全筆移轉,01270010
RPPOMLRJLHOFFAI48CA,湖子內段興安小段,109.92,都市：住,1,1,全筆移轉,01270002
RPTNMLRJLHOFFAI78CA,湖子內段興安小段,114.28,都市：住,1,1,全筆移轉,01270016
RPQNMLRJLHOFFAI48CA,湖子內段興安小段,130.15,都市：住,1,1,全筆移轉,01270017
RPUNMLRJLHOFFAI88CA,湖子內段興安小段,109.88,都市：住,1,1,全筆移轉,01270015
RPUOMLNLKHOFFAI68CA,盧厝段,91.00,都市：農,1,1,全筆移轉,01950050
RPUOMLNLKHOFFAI68CA,盧厝段,22.25,都市：農,16,1,持分移轉,01950059
RPVOMLNLKHOFFAI78CA,盧厝段,87.00,都市：農,1,1,全筆移轉,01950052
RPVOMLNLKHOFFAI78CA,盧厝段,22.25,都市：農,16,1,持分移轉,01950059
RPWOMLNLKHOFFAI88CA,盧厝段,86.00,都市：農,1,1,全筆移轉,01950054
RPWOMLNLKHOFFAI88CA,盧厝段,22.25,都市：農,16,1,持分移轉,01950059
RPUNMLMLKHOFFAI48CA,港子坪段港坪小段,22.00,都市：住,10000,109,持分移轉,02320000
RPQNMLTKKHOFFAI68CA,台斗坑段,80.00,都市：住,1,1,全筆移轉,03780024
RPPNMLOKKHOFFAI08CA,白川段,34.25,都市：住,100000,708,持分移轉,00160000
RPQNMLOKKHOFFAI18CA,下路頭段,10.00,都市：住,1,1,全筆移轉,02200059
RPWNMLPLKHOFFAI98CA,竹圍子段三小段,26.70,都市：住,10000,227,持分移轉,00910000
RPSNMLOKKHOFFAI58EA,堀川段,8.11,都市：住,1000,51,持分移轉,00040041
RPSNMLOKKHOFFAI58EA,堀川段,3.32,都市：住,1000,51,持分移轉,00040299
RPSNMLOKKHOFFAI58EA,堀川段,.36,都市：住,1000,51,持分移轉,00050013
RPSNMLOKKHOFFAI58EA,堀川段,5.56,都市：住,1000,51,持分移轉,00050057
RPSNMLOKKHOFFAI58EA,堀川段,4.95,都市：住,1000,51,持分移轉,00050058
RPSNMLOKKHOFFAI58EA,堀川段,9.84,都市：住,1000,51,持分移轉,00050059
RPSNMLOKKHOFFAI58EA,堀川段,4.18,都市：住,1000,51,持分移轉,00050060
RPSNMLOKKHOFFAI58EA,堀川段,.46,都市：住,1000,51,持分移轉,00050071
RPRNMLKLKHOFFAI18EA,下路頭段,7.07,都市：住,10000,13,持分移轉,00970000
RPSNMLPKKHOFFAI68EA,北門段七小段,6.53,都市：商,10000,185,持分移轉,00040000
RPPOMLPLKHOFFAI38CA,盧厝段,43.56,都市：住,100000,186,持分移轉,03020000
RPRNMLRLKHOFFAI68CA,太平段,9.65,都市：住,10000,12,持分移轉,00210000
RPXNMLRJLHOFFAI56CA,湖子內段興安小段,109.89,都市：住,1,1,全筆移轉,01270011
RPVNMLRJLHOFFAI98CA,湖子內段興安小段,109.89,都市：住,1,1,全筆移轉,01270014
RPWNMLRJLHOFFAI09CA,湖子內段興安小段,109.89,都市：住,1,1,全筆移轉,01270012
RPPNMLRKKHOFFAI38CA,湖內段,75.00,都市：住,1,1,全筆移轉,00450000
RPQNMLSKKHOFFAI58CA,溪東段,840.11,都市：農,1,1,全筆移轉,04820000
RPVOMLMKLHOFFAI68CA,車店段車店小段,13.68,都市：住,10000,349,持分移轉,10430000
RPPNMLNKLHOFFAI08CA,中山段三小段,60.00,都市：住,1,1,全筆移轉,00380049
RPPNMLNKLHOFFAI08CA,中山段三小段,54.43,都市：住,1000,81,持分移轉,00380051
RPPNMLNKLHOFFAI08CA,中山段三小段,60.00,都市：住,1,1,全筆移轉,00380050
RPQNMLNKLHOFFAI18CA,遠東段,191.00,都市：工,1,1,全筆移轉,05300000
RPQNMLNKLHOFFAI18CA,遠東段,5101.00,都市：工,1,1,全筆移轉,05310000
RPQNMLNKLHOFFAI18CA,遠東段,3.00,都市：其他:道路用地,1,1,全筆移轉,05390000
RPQNMLNKLHOFFAI18CA,遠東段,234.00,都市：其他:部份道路及部份乙種工業區,1,1,全筆移轉,05400000
RPQNMLNKLHOFFAI18CA,遠東段,26.00,都市：其他:部份道路及部份乙種工業區,1,1,全筆移轉,05410000
RPQOMLRJLHOFFAI58CA,湖子內段興安小段,109.92,都市：住,1,1,全筆移轉,01270001
RPROMLRJLHOFFAI68CA,湖子內段興安小段,113.78,都市：住,1,1,全筆移轉,01270000
RPUNMLOLKHOFFAI68CA,太平段,9.65,都市：住,10000,12,持分移轉,00210000
RPSOMLMKLHOFFAI38CA,下路頭段,30.00,都市：住,15,1,持分移轉,04750010
RPSOMLMKLHOFFAI38CA,下路頭段,135.00,都市：住,3,1,持分移轉,04750151
RPSOMLMKLHOFFAI38CA,下路頭段,189.60,都市：住,5,1,持分移轉,04800020
RPSOMLMKLHOFFAI38CA,下路頭段,52.20,都市：其他:兒童遊樂場用地,5,1,持分移轉,04800032
RPOOMLNKLHOFFAI08CA,育人段,18.72,都市：住,2,1,持分移轉,03910000
RPXNMLNKLHOFFAI88CA,育人段,18.72,都市：住,48,24,持分移轉,03910000
RPWNMLNKLHOFFAI78CA,育人段,27.16,都市：住,2,1,持分移轉,09200000
RPROMLTKKHOFFAI88CA,堀川段,45.00,都市：住,1,1,全筆移轉,00220240
RPXNMLLKLHOFFAI68CA,短竹段,1932.00,都市：農,1,1,全筆移轉,17080004
RPPNMLTJLHOFFAI58CA,盧東段,15.90,都市：住,18,1,持分移轉,02960013
RPPNMLTJLHOFFAI58CA,盧東段,228.04,都市：住,1,1,全筆移轉,02960014
RPPNMLTJLHOFFAI58CA,盧東段,.26,都市：住,18,1,持分移轉,02960026
RPPNMLTJLHOFFAI58CA,盧東段,13.93,都市：其他:道路用地(公共設施保留地),35,1,持分移轉,02200002
RPPNMLTJLHOFFAI58CA,盧東段,7.06,都市：其他:道路用地(公共設施保留地),35,1,持分移轉,03050000
RPPNMLTJLHOFFAI58CA,盧東段,11.92,都市：其他:道路用地(公共設施保留地),56,3,持分移轉,03080000
RPPNMLTJLHOFFAI58CA,盧東段,20.06,都市：其他:道路用地(公共設施保留地),35,1,持分移轉,03690001
RPQOMLLKLHOFFAI08CA,太平段,10.45,都市：住,10000,13,持分移轉,00210000
RPUOMLMKLHOFFAI58CA,湖內段,13.04,都市：住,10000,91,持分移轉,03760000
RPXNMLOLKHOFFAI98CA,北園段,29.38,都市：住,13,1,持分移轉,01920013
RPXNMLOLKHOFFAI98CA,北園段,93.00,都市：住,1,1,全筆移轉,01920015
RPOOMLPLKHOFFAI28CA,湖內段,75.00,都市：住,1,1,全筆移轉,00460000
RPQNMLPJLHOFFAI28CA,埤子頭段新厝小段,97.00,都市：住,1,1,全筆移轉,02080000
RPUNMLOJLHOFFAI58CA,湖子內段興安小段,698.84,都市：住,1,1,全筆移轉,03110001
RPSNMLOJLHOFFAI38CA,湖子內段興安小段,698.83,都市：住,1,1,全筆移轉,03110000
RPQPMLLKLHOFFAI18CA,盧厝段,18.43,都市：農,80200,1871,持分移轉,00760040
RPQPMLLKLHOFFAI18CA,盧厝段,72.00,都市：農,1,1,全筆移轉,00760047
RPVNMLMLKHOFFAI58CA,港子坪段,92.56,都市：住,1815,56,持分移轉,02030002
RPRNMLTKKHOFFAI78CA,湖內段,20.35,都市：住,10000,142,持分移轉,03760000
RPVNMLTKKHOFFAI56CA,車店段車店小段,32.44,都市：住,10000,525,持分移轉,07290000
RPSNMLMLKHOFFAI28CA,港子坪段港坪小段,24.97,都市：住,10000,323,持分移轉,00360000
RPQOMLSJLHOFFAI68CA,劉厝段劉厝小段,9.92,都市：住,10000,26,持分移轉,03120001
RPRNMLMKLHOFFAI18CA,竹圍子段二小段,9.63,都市：住,10000,59,持分移轉,02530000
RPUNMLTKKHOFFAI66EA,劉厝段,62.00,都市：住,1,1,全筆移轉,00370023
RPTNMLTKKHOFFAI56EA,埤子頭段,14.38,都市：住,10000,102,持分移轉,03890005
RPPNMLKLKHOFFAI97EA,興村段,95.00,都市：住,1,1,全筆移轉,03200000
RPRNMLLLKHOFFAI28EA,檜段一小段,119.00,都市：住,1,1,全筆移轉,00060006
RPSNMLLLKHOFFAI38EA,中山段三小段,23.68,都市：住,10000,317,持分移轉,00270000
RPOOMLLKLHOFFAI87CA,育人段,89.17,都市：住,1,1,全筆移轉,02100000
RPTNMLLLKHOFFAI48EA,太平段,314.00,都市：住,1,1,全筆移轉,00440003
RPTNMLPKKHOFFAI58CA,遠東段,13.06,都市：住,10000,14,持分移轉,00680007
RPPNMLMLKHOFFAI97CA,堀川段,10.15,都市：住,20000,111,持分移轉,00040650
RPPNMLPKKHOFFAI18CA,短竹段,34.17,都市：其他:旅館用地,1000000,18222,持分移轉,02480000
RPPNMLMLKHOFFAI97CA,堀川段,10.15,都市：住,20000,111,持分移轉,00040650
RPSNMLOKLHOFFAI48CA,竹圍子段,15.45,都市：住,40,1,持分移轉,02350050
RPSNMLOKLHOFFAI48CA,竹圍子段,106.00,都市：住,1,1,全筆移轉,02350055
RPSNMLOKLHOFFAI48CA,竹圍子段,18.28,都市：住,40,1,持分移轉,02350086
RPVNMLKLKHOFFAI38CA,下路頭段,110.00,都市：住,1,1,全筆移轉,04350288
RPTNMLOLKHOFFAI58CA,港子坪段,1.58,都市：住,10000,220,持分移轉,02020067
RPTNMLOLKHOFFAI58CA,港子坪段港坪小段,15.64,都市：住,10000,220,持分移轉,01110000
RPPOMLNLKHOFFAI18CA,彌陀段,182.00,都市：住,1,1,全筆移轉,01130009
RPPOMLNLKHOFFAI18CA,彌陀段,36.96,都市：住,28,1,持分移轉,01130010
RPPOMLNLKHOFFAI18CA,彌陀段,6.74,都市：住,10000,355,持分移轉,01130022
RPSOMLNLKHOFFAI48CA,盧厝段,71.00,都市：農,1,1,全筆移轉,01940001
RPSOMLNLKHOFFAI48CA,盧厝段,113.00,都市：農,1,1,全筆移轉,01950000
RPSOMLNLKHOFFAI48CA,盧厝段,22.25,都市：農,16,1,持分移轉,01950059
