編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLNKKHOFFAI28DC,檜段三小段,.00,都市：住,,,,00120046
RPRNMLOKKHOFFAI68EC,同興段,1996.00,都市：工,,,,00500008
RPRNMLOKKHOFFAI68EC,同興段,2043.00,都市：工,,,,00500010
RPPOMLNKKHOFFAI38DC,太平段,14.48,都市：住,,,,00210000
RPTNMLMLKHOFFAI58CC,短竹段,77.00,都市：住,,,,16820000
RPPNMLLJLHOFFAI97CC,彌陀段,93.00,都市：住,,,,12090000
RPTNMLKLKHOFFAI38CC,下埤段,87.57,都市：住,,,,06100000
RPTNMLKLKHOFFAI38CC,下埤段,.29,都市：住,,,,06100001
RPRNMLLJLHOFFAI18CC,中山段一小段,88.00,都市：住,,,,00070009
RPUNMLKLKHOFFAI58DC,太平段,9.65,都市：住,,,,00210000
RPSNMLQJLHOFFAI88DC,太平段,9.65,都市：住,,,,00210000
RPTNMLPJLHOFFAI78CC,下路頭段,8.11,都市：住,,,,04270077
RPTNMLMKLHOFFAI68DC,太平段,15.28,都市：住,,,,00210000
RPWNMLMKLHOFFAI98DC,太平段,15.28,都市：住,,,,00210000
RPOOMLMKLHOFFAI28DC,太平段,18.50,都市：住,,,,00210000
RPWNMLKLLHOFFAI88DC,太平段,14.48,都市：住,,,,00210000
RPXNMLKLLHOFFAI98DC,台斗坑段,26.55,都市：住,,,,04290008
RPOOMLKLLHOFFAI18DC,檜段三小段,.00,非都市： ; 非都市編定：,,,,00120048
RPRNMLPKKHOFFAI78EC,下埤段,1720.00,都市：農,,,,14780000
RPVNMLQLLHOFFAI76DC,太平段,9.65,都市：住,,,,00210000
RPQOMLSLLHOFFAI56DC,太平段,18.50,都市：住,,,,00210000
RPUNMLQLLHOFFAI66DC,檜段三小段,.00,非都市： ; 非都市編定：,,,,00120046
RPPOMLSLLHOFFAI98CC,劉厝段,125.00,都市：住,,,,00140033
RPPOMLLLLHOFFAI28CC,東門段七小段,8.41,都市：住,,,,00590000
RPPOMLTJMHOFFAI98CC,檜段六小段,.00,都市：商,,,,00140014
RPSNMLLKLHOFFAI38CC,車店段,.00,都市：住,,,,00880000
RPSNMLLKLHOFFAI38CC,白川段,.00,都市：住,,,,00320001
RPQNMLLKLHOFFAI18CC,竹圍子段,.00,都市：住,,,,02170042
RPUOMLSKLHOFFAI76CC,西門段七小段,149.00,都市：商,,,,00640007
RPUOMLSKLHOFFAI76CC,西門段七小段,97.00,都市：商,,,,00640008
RPQPMLRJLHOFFAI88CC,頂庄段,71.00,都市：住,,,,00650015
RPQNMLTLLHOFFAI09CC,末廣段四小段,86.00,都市：商,,,,00050017
RPRNMLLKLHOFFAI28CC,白川段,.00,都市：住,,,,00260000
RPPNMLLKLHOFFAI08CC,劉厝段,85.00,都市：住,,,,00370156
RPPNMLLKLHOFFAI08CC,劉厝段,104.00,都市：住,,,,00370157
RPVNMLKKMHOFFAI68CC,黑金段,35.00,都市：住,,,,00250010
RPVNMLKKMHOFFAI68CC,黑金段,58.00,都市：住,,,,00260012
RPVNMLKKMHOFFAI68CC,黑金段,1.00,都市：住,,,,00270011
RPTNMLSKMHOFFAI66CC,下路頭段,86.00,都市：住,,,,05860092
RPTNMLSKMHOFFAI66CC,下路頭段,2.00,都市：住,,,,05860231
RPQNMLKMMHOFFAI48DC,白川段,32.98,都市：住,,,,00140001
RPPNMLSKMHOFFAI98DC,北門段六小段,106.00,都市：商,,,,00480005
RPPNMLSKMHOFFAI98DC,北門段六小段,20.00,都市：商,,,,00480037
RPQNMLKLMHOFFAI38DC,檜段三小段,.00,非都市： ; 非都市編定：,,,,00120045
RPSNMLPLMHOFFAI09DC,白川段,34.88,都市：住,,,,00170000
RPSNMLKMMHOFFAI68DC,太平段,14.48,都市：住,,,,00210000
RPSNMLSKMHOFFAI56CC,遠東段,14.18,都市：住,,,,00680000
RPPNMLKLMHOFFAI28DC,太平段,13.67,都市：住,,,,00210000
RPPNMLKKNHOFFAI18CC,遠東段,14.93,都市：住,,,,00680007
RPXNMLRJNHOFFAI96CC,遠東段,24.68,都市：住,,,,00680000
RPWNMLLJNHOFFAI88CC,竹圍子段三小段,25.90,都市：住,,,,00420000
RPTNMLMJNHOFFAI68CC,同興段,20.51,都市：住,,,,14350000
