編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTOMLLKKHOFFBJ48CA,莊敬段,22.22,都市：商,100000,553,持分移轉,07110000
RPQQMLTKKHOFFBJ56CA,家興段,36.47,都市：住,100000,1927,持分移轉,05550000
RPUOMLLKKHOFFBJ58CA,莊敬段,22.38,都市：商,100000,557,持分移轉,07110000
RPQOMLOKKHOFFBJ48CA,大學段,19.55,都市：商,10000,54,持分移轉,00240000
RPUOMLTKKHOFFBJ76CA,隘興段,67.72,都市：住,100000,9108,持分移轉,07390000
RPUPMLLKKHOFFCJ78CA,內灣段,19.52,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00340006
RPTPMLLKKHOFFCJ68CA,內灣段,87.88,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00340005
RPPNMLOKKHOFFCJ38CA,石硬子段石硬子小段,732.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02190000
RPTNMLTKKHOFFDJ76CA,埔和段,113.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01630006
RPTNMLTKKHOFFDJ76CA,埔和段,15.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,01630003
RPTNMLTKKHOFFDJ76CA,埔和段,.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,01630007
RPSNMLTKKHOFFDJ66CA,埔和段,95.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01630005
RPSNMLTKKHOFFDJ66CA,埔和段,15.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,01630003
RPSNMLTKKHOFFDJ66CA,埔和段,.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,01630007
RPXNMLPKKHOFFDJ76CA,後湖段坡子頭小段,81.23,非都市：特定農業區 ; 非都市編定：甲種建築用地,390,5,持分移轉,01300001
RPOOMLSKKHOFFDJ88CA,和興段,2000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,24600000
RPUNMLTKKHOFFDJ86CA,埔和段,149.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01630001
RPUNMLTKKHOFFDJ86CA,埔和段,15.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,01630003
RPUNMLTKKHOFFDJ86CA,埔和段,.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,01630007
RPSOMLQLKHOFFCJ09CA,資源段,50.00,都市：住,1,1,全筆移轉,07890058
RPSOMLQLKHOFFCJ09CA,資源段,16.90,都市：住,10,1,持分移轉,07890046
RPSOMLQLKHOFFCJ09CA,資源段,.50,都市：住,10,1,持分移轉,07890047
RPSOMLQLKHOFFCJ09CA,資源段,1.00,都市：住,10,1,持分移轉,07890048
RPSOMLQLKHOFFCJ09CA,資源段,7.40,都市：住,10,1,持分移轉,07890059
RPSNMLNKKHOFFCJ58CA,?油林段,15.80,都市：住,100,20,持分移轉,02050753
RPSNMLNKKHOFFCJ58CA,?油林段,13.40,都市：住,100,20,持分移轉,02050754
RPWNMLKLKHOFFBJ68CA,台元段,164.01,都市：工,100000,330,持分移轉,06110000
RPRNMLPKKHOFFBJ58CA,光明段,31.21,都市：住,10000,183,持分移轉,05110000
RPQNMLNLKHOFFDJ68DA,建興段鳳凰小段,20.65,非都市：工業區 ; 非都市編定：丁種建築用地,10000,624,持分移轉,01390002
RPRNMLTKKHOFFDJ56CA,埔和段,116.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01630004
RPRNMLTKKHOFFDJ56CA,埔和段,15.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,01630003
RPRNMLTKKHOFFDJ56CA,埔和段,.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,01630007
RPVNMLTKKHOFFCJ07EA,油車窩段,9617.92,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,03150002
RPQNMLOKKHOFFCJ48CA,大肚段香園小段,849.50,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,03130000
