編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTOMLLKKHOFFBJ48CA,坡道平面,0,33.17,
RPTOMLLKKHOFFBJ48CA,坡道平面,0,33.17,
RPQQMLTKKHOFFBJ56CA,坡道平面,0,33.62,
RPQQMLTKKHOFFBJ56CA,坡道平面,0,33.62,
RPUOMLLKKHOFFBJ58CA,坡道平面,0,35.45,
RPUOMLLKKHOFFBJ58CA,坡道平面,0,35.45,
RPQOMLOKKHOFFBJ48CA,坡道平面,0,,
RPQOMLOKKHOFFBJ48CA,坡道平面,0,,
RPUOMLTKKHOFFBJ76CA,坡道平面,0,,
RPUOMLTKKHOFFBJ76CA,坡道平面,0,,
RPWNMLKLKHOFFBJ68CA,坡道平面,0,32.63,
RPWNMLKLKHOFFBJ68CA,坡道平面,0,32.63,
RPRNMLPKKHOFFBJ58CA,坡道平面,0,,
RPWPMLLLKHOFFBJ98CA,坡道平面,0,,
RPPPMLSJLHOFFBJ88CA,坡道平面,1280000,38.83,
RPUOMLRLKHOFFBJ66CA,坡道平面,1350000,36.15,
RPVOMLRLKHOFFBJ76CA,坡道平面,1300000,36.15,
RPVPMLQLKHOFFBJ76CA,坡道平面,0,26.70,
RPVPMLQLKHOFFBJ76CA,坡道平面,0,26.70,
RPSPMLRLKHOFFBJ56CA,坡道平面,1300000,35.08,
RPTOMLRLKHOFFBJ56CA,坡道平面,1300000,36.15,
RPSOMLRLKHOFFBJ09CA,坡道平面,1300000,36.15,
RPROMLRLKHOFFBJ98CA,坡道平面,1300000,36.15,
RPQOMLRLKHOFFBJ88CA,坡道平面,1400000,37.44,
RPUNMLOKKHOFFBJ78CA,坡道平面,0,26.43,
RPUNMLOKKHOFFBJ78CA,坡道平面,0,26.43,
RPROMLSKKHOFFBJ98CA,坡道平面,1350000,33.03,
RPSOMLSKKHOFFBJ09CA,坡道平面,1250000,30.46,
RPTOMLSKKHOFFBJ56CA,坡道平面,1350000,33.03,
RPUOMLSKKHOFFBJ66CA,坡道平面,1350000,33.03,
RPQPMLRLKHOFFBJ98CA,坡道平面,1300000,36.15,
RPWOMLSKKHOFFBJ86CA,坡道平面,1350000,33.03,
RPVOMLSKKHOFFBJ76CA,坡道平面,1350000,33.03,
RPTPMLRLKHOFFBJ66CA,坡道平面,1450000,37.44,
RPUPMLRLKHOFFBJ76CA,坡道平面,1300000,36.15,
RPVPMLRLKHOFFBJ86CA,坡道平面,1350000,36.15,
RPXOMLSKKHOFFBJ96CA,坡道機械,850000,20.66,
RPOPMLSKKHOFFBJ78CA,坡道平面,1350000,30.46,
RPQPMLSKKHOFFBJ98CA,坡道平面,1250000,33.03,
RPWPMLSKKHOFFBJ96CA,坡道平面,1250000,30.46,
RPXPMLSKKHOFFBJ07CA,坡道平面,1350000,33.03,
RPRPMLSKKHOFFBJ09CA,坡道平面,1350000,33.03,
RPSPMLSKKHOFFBJ56CA,坡道平面,1350000,33.03,
RPXPMLTKKHOFFBJ17CA,坡道平面,0,34.77,
RPXPMLTKKHOFFBJ17CA,坡道平面,0,34.77,
RPOPMLRLKHOFFBJ78CA,坡道平面,960000,36.15,
RPWOMLRLKHOFFBJ86CA,坡道平面,1350000,36.15,
RPXOMLRLKHOFFBJ96CA,坡道平面,1350000,36.15,
RPTQMLKLKHOFFBJ68CA,坡道平面,0,28.80,
RPTQMLKLKHOFFBJ68CA,坡道平面,0,28.80,
RPQQMLSKKHOFFBJ09CA,坡道平面,1250000,30.46,
SPTQMLSKKHOFFBJ86CA,坡道平面,1250000,33.03,
RPTQMLSKKHOFFBJ76CA,坡道平面,1250000,33.03,
RPTPMLSKKHOFFBJ66CA,坡道平面,1350000,33.03,
RPVPMLSKKHOFFBJ86CA,坡道平面,1350000,30.46,
RPUPMLSKKHOFFBJ76CA,坡道平面,1350000,33.03,
RPVNMLSJLHOFFBJ66CA,坡道平面,1300000,35.08,
RPUNMLSJLHOFFBJ56CA,坡道平面,1400000,37.44,
RPVNMLLKLHOFFBJ68CA,坡道平面,1400000,36.15,
RPPPMLKLKHOFFBJ18CA,坡道平面,1250000,33.03,
RPUPMLPJLHOFFBJ09CA,坡道平面,1350000,36.15,
RPVPMLPJLHOFFBJ56CA,坡道平面,0,35.08,
RPVPMLPJLHOFFBJ56CA,坡道平面,0,37.44,
RPTPMLPJLHOFFBJ98CA,坡道平面,1350000,36.15,
RPQPMLPJLHOFFBJ68CA,坡道平面,1350000,36.15,
RPSPMLPJLHOFFBJ88CA,坡道平面,1400000,36.15,
RPRPMLPJLHOFFBJ78CA,坡道平面,1350000,35.08,
RPWPMLPJLHOFFBJ66CA,坡道平面,1350000,36.15,
RPQPMLOJLHOFFBJ58CA,坡道平面,0,36.15,
RPQPMLOJLHOFFBJ58CA,坡道平面,0,36.15,
RPXPMLPJLHOFFBJ76CA,坡道機械,0,,
RPXNMLPJLHOFFBJ56CA,坡道平面,0,,
RPXNMLPJLHOFFBJ56CA,坡道平面,0,,
RPQPMLSKKHOFFCJ09CA,坡道平面,0,26.02,
RPOPMLPJLHOFFBJ48CA,坡道平面,1300000,36.15,
RPPPMLPJLHOFFBJ58CA,坡道平面,0,36.15,
RPPPMLPJLHOFFBJ58CA,坡道平面,0,36.15,
RPQNMLQJLHOFFCJ68CA,坡道平面,700000,15.07,
RPPNMLMKLHOFFBJ18CA,坡道平面,0,31.97,
RPSNMLMKLHOFFBJ48CA,坡道平面,0,,
RPQNMLPJLHOFFBJ48CA,坡道機械,0,,
