編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNJMHOFFBJ48CB,家興段,40.91,都市：住,10000,170,持分移轉,03300000
RPWNMLNJMHOFFBJ09CB,家興段,35.14,都市：住,10000,146,持分移轉,03300000
RPUNMLNJMHOFFBJ88CB,家興段,42.60,都市：住,10000,177,持分移轉,03300000
RPVNMLNJMHOFFBJ98CB,家興段,44.52,都市：住,10000,185,持分移轉,03300000
RPOOMLNJMHOFFBJ38CB,家興段,44.52,都市：住,10000,185,持分移轉,03300000
RPROMLNJMHOFFBJ68CB,家興段,44.52,都市：住,10000,185,持分移轉,03300000
RPUOMLNJMHOFFBJ98CB,家興段,42.84,都市：住,10000,178,持分移轉,03300000
RPWOMLNJMHOFFBJ56CB,家興段,44.76,都市：住,10000,186,持分移轉,03300000
RPPOMLNJMHOFFBJ48CB,家興段,42.84,都市：住,10000,178,持分移轉,03300000
RPTOMLNJMHOFFBJ88CB,家興段,42.84,都市：住,10000,178,持分移轉,03300000
RPOPMLNJMHOFFBJ48CB,家興段,44.52,都市：住,10000,185,持分移轉,03300000
RPQPMLNJMHOFFBJ68CB,家興段,44.76,都市：住,10000,186,持分移轉,03300000
RPRPMLNJMHOFFBJ78CB,家興段,35.62,都市：住,10000,148,持分移轉,03300000
RPTPMLNJMHOFFBJ98CB,家興段,44.28,都市：住,10000,184,持分移轉,03300000
RPUPMLNJMHOFFBJ09CB,家興段,42.84,都市：住,10000,178,持分移轉,03300000
RPSPMLNJMHOFFBJ88CB,家興段,44.52,都市：住,10000,185,持分移轉,03300000
RPVPMLNJMHOFFBJ56CB,家興段,35.62,都市：住,10000,148,持分移轉,03300000
RPXPMLNJMHOFFBJ76CB,家興段,44.52,都市：住,10000,185,持分移轉,03300000
RPWPMLNJMHOFFBJ66CB,家興段,35.62,都市：住,10000,148,持分移轉,03300000
RPQQMLNJMHOFFBJ88DB,家興段,77.05,都市：住,500000,9723,持分移轉,06170000
RPUQMLNJMHOFFBJ66DB,家興段,77.05,都市：住,500000,9723,持分移轉,06170000
RPRNMLTKMHOFFBJ66CB,家興段,56.07,都市：住,10000,233,持分移轉,03300000
RPXNMLMKMHOFFBJ56CB,家興段,35.62,都市：住,10000,148,持分移轉,03300000
RPXQMLNJMHOFFBJ86CB,家興段,57.76,都市：住,10000,240,持分移轉,03300000
RPSQMLNJMHOFFBJ98CB,家興段,35.38,都市：住,10000,147,持分移轉,03300000
RPWQMLNJMHOFFBJ76CB,家興段,35.38,都市：住,10000,147,持分移轉,03300000
RPRQMLNJMHOFFBJ88CB,家興段,35.62,都市：住,10000,148,持分移轉,03300000
RPTQMLNJMHOFFBJ09CB,家興段,42.36,都市：住,10000,176,持分移轉,03300000
RPVQMLNJMHOFFBJ66CB,家興段,44.28,都市：住,10000,184,持分移轉,03300000
RPOOMLMKMHOFFBJ38CB,家興段,42.60,都市：住,10000,177,持分移轉,03300000
