編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLMKKHOFFBJ58CC,11,27.37,商業用,鋼筋混凝土造,97年3月10日,十層,
RPSNMLMKKHOFFBJ58CC,11,11.33,共用部分,鋼筋混凝土造,97年3月10日,十層,
RPTNMLMKKHOFFBJ68CC,26,28.50,住家用,鋼筋混凝土造,81年7月31日,八層,
RPTNMLMKKHOFFBJ68CC,26,7.37,共用部分,鋼筋混凝土造,81年7月31日,八層,
RPTNMLMKKHOFFBJ68CC,26,2.21,共用部分,鋼筋混凝土造,81年7月31日,八層,
RPPNMLNKKHOFFBJ38CC,9,168.70,商業用,鋼筋混凝土造,99年1月6日,二十層,
RPTOMLOKKHOFFBJ98CC,5,83.54,住家用,鋼筋混凝土造,103年1月27日,十四層,
RPPNMLNKKHOFFBJ38CC,9,36.87,共用部分,鋼筋混凝土造,99年1月6日,二十層,
RPPNMLNKKHOFFBJ38CC,9,9.74,共用部分,鋼筋混凝土造,99年1月6日,二十層,
RPPNMLNKKHOFFBJ38CC,9,54.73,共用部分,鋼筋混凝土造,99年1月6日,二十三層,
RPWOMLNKKHOFFBJ56CC,2,53.41,住家用,鋼筋混凝土造,105年11月1日,二十三層,
RPWOMLNKKHOFFBJ56CC,2,38.72,本共有部分之項目有停車空間、防空避難室兼停車空間等二項。,鋼筋混凝土造,105年11月1日,二十三層,
RPWOMLNKKHOFFBJ56CC,2,53.41,本共有部分之項目有店舖、管委會使用空間、沿街步道式、廣場式（有頂蓋）開放空間、梯間、機械式、水箱等七項。,鋼筋混凝土造,105年11月1日,二十三層,
RPVNMLPKKHOFFBJ56CC,9,57.93,商業用,鋼筋混凝土造,99年5月26日,六層,
RPVNMLPKKHOFFBJ56CC,9,46.59,本共有部分之項目有防空避難室、停車空間、管理員室、梯間、機房、水塔等六項。,鋼筋混凝土造,99年5月26日,六層,
RPSQMLSKKHOFFBJ96DC,11,101.31,商業用,鋼筋混凝土造,96年12月4日,十三層,
RPPNMLNJLHOFFCJ48CC,4,34.73,店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,104年1月20日,四層,
RPVOMLQLKHOFFBJ86CC,11,30.60,商業用,鋼筋混凝土造,97年3月21日,十三層,
RPVOMLQLKHOFFBJ86CC,11,3.58,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPVOMLQLKHOFFBJ86CC,11,10.59,共用部分,鋼筋混凝土造,97年3月21日,十三層,
