編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLMKKHOFFBK18CA,,121.97,住家用,加強磚造,,二層,一層 二層
RPPNMLLLKHOFFCK28CA,58,168.48,住商用,加強磚造,50年1月30日,四層,一層 二層 騎樓
RPQNMLLKKHOFFDK38CA,4,63.53,集合住宅,鋼筋混凝土造,103年9月29日,十五層,十五層 陽台 雨遮
RPQNMLLKKHOFFDK38CA,4,11.80,共有部分,鋼筋混凝土造,103年9月29日,十五層,
RPQNMLLKKHOFFDK38CA,4,32.86,共有部分,鋼筋混凝土造,103年9月29日,十五層,
RPQNMLMKKHOFFDK48CA,25,236.64,住家用,鋼筋混凝土造,82年12月22日,三層,一層 二層 三層 陽台 平台
RPRNMLNKKHOFFEK78CA,36,50.78,住家用,加強磚造,72年5月15日,二層,一層 二層 陽台
RPVNMLOKKHOFFFK76CA,2,27.11,辦公室,鋼筋混凝土造,106年5月10日,七層,六層 陽台
RPVNMLOKKHOFFFK76CA,2,15.19,防空避難室、台電配電室、消防機械室、樓梯間、電梯機房、水箱,鋼筋混凝土造,106年5月10日,七層,
RPVNMLOKKHOFFFK76CA,2,10.14,停車空間,鋼筋混凝土造,106年5月10日,七層,
RPUNMLPKKHOFFFK76CA,,76.78,住家用,鋼筋混凝土造,107年12月6日,九層,四層 陽台
RPUNMLPKKHOFFFK76CA,,20.62,停車空間、機房、水箱、樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPUNMLPKKHOFFFK76CA,,13.03,樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPRNMLTKKHOFFFK86CA,,98.34,住家用,鋼筋混凝土造,107年12月6日,九層,七層 陽台
RPRNMLTKKHOFFFK86CA,,57.04,停車空間、機房、水箱、樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPRNMLTKKHOFFFK86CA,,13.22,樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPTNMLTKKHOFFFK07CA,,98.34,住家用,鋼筋混凝土造,107年12月6日,九層,六層 陽台
RPTNMLTKKHOFFFK07CA,,57.04,停車空間、機房、水箱、樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPTNMLTKKHOFFFK07CA,,13.22,樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPSNMLTKKHOFFFK96CA,,76.78,住家用,鋼筋混凝土造,107年12月6日,九層,三層 陽台
RPSNMLTKKHOFFFK96CA,,51.54,停車空間、機房、水箱、樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPSNMLTKKHOFFFK96CA,,12.83,樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPRNMLPJLHOFFDK88CA,3,95.67,住家用,鋼筋混凝土造,105年1月15日,九層,四層 陽台
RPRNMLPJLHOFFDK88CA,3,55.57,共有部分,鋼筋混凝土造,105年1月15日,九層,
RPTNMLPJLHOFFDK09CA,3,76.22,住商用、停車空間,鋼筋混凝土造,105年1月15日,九層,一層
RPTNMLPJLHOFFDK09CA,3,35.04,共有部分,鋼筋混凝土造,105年1月15日,九層,
RPTNMLNLKHOFFDK98CA,3,98.37,住家用,鋼筋混凝土造,105年4月22日,十層,四層 陽台
