編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLMKKHOFFAK18CA,上庄段,150.00,都市：住,1,1,全筆移轉,02870003
RPQNMLMKKHOFFAK18CA,上庄段,5.07,都市：住,3,1,持分移轉,04250000
RPQNMLMKKHOFFAK18CA,上庄段,3.02,都市：其他:道,3,1,持分移轉,04260000
RPQNMLMKKHOFFAK18CA,上庄段,2.02,都市：其他:道,150,9,持分移轉,04530000
RPQNMLMKKHOFFAK18CA,上庄段,35.61,都市：其他:道,10,1,持分移轉,04540000
RPPNMLMKKHOFFBK18CA,玉清段,52.45,都市：住,1,1,全筆移轉,04970000
RPPNMLMKKHOFFBK18CA,玉清段,42.39,都市：其他:道路用地,1,1,全筆移轉,04980000
RPPNMLMKKHOFFBK18CA,玉清段,21.22,都市：住,1,1,全筆移轉,04990000
RPPNMLLLKHOFFCK28CA,通西段,57.08,都市：其他:道路用地,1,1,全筆移轉,01680000
RPPNMLLLKHOFFCK28CA,通西段,27.26,都市：商,1,1,全筆移轉,01690000
RPPNMLLKKHOFFBK08CA,巨蛋段,46.33,都市：其他:〈公園用地〉,3648,15,持分移轉,11240000
RPPNMLLKKHOFFBK08CA,巨蛋段,.01,都市：其他:〈道路用地〉,3648,15,持分移轉,11250000
RPPNMLLKKHOFFBK08CA,巨蛋段,.02,都市：其他:〈道路用地〉,3648,15,持分移轉,11260000
RPPNMLLKKHOFFBK08CA,巨蛋段,.70,都市：其他:〈公園用地〉,3648,15,持分移轉,11310000
RPPNMLLKKHOFFBK08CA,巨蛋段,3.90,都市：其他:〈公園用地〉,52636,323,持分移轉,11320000
RPPNMLLKKHOFFBK08CA,巨蛋段,1.43,都市：其他:〈公園用地〉,52636,323,持分移轉,11330000
RPQNMLLKKHOFFDK38CA,新生段,10.51,都市：商,10000,35,持分移轉,08360000
RPQNMLMKKHOFFDK48CA,平安段,114.41,都市：住,1,1,全筆移轉,15410000
RPUNMLNKKHOFFDK98CA,大同段,1267.47,都市：住,1,1,全筆移轉,11090000
RPRNMLMKKHOFFEK68CA,銅鑼段銅鑼工業區小段,100.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00440000
RPRNMLMKKHOFFEK68CA,銅鑼段銅鑼工業區小段,97.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00450002
RPRNMLMKKHOFFEK68CA,銅鑼段銅鑼工業區小段,92.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00450003
RPSNMLMKKHOFFEK78CA,竹圍段,1500.00,非都市：一般農業區 ; 非都市編定：暫未編定,1,1,全筆移轉,03460312
RPPNMLTKKHOFFBK88CA,文發段,15.20,都市：住,1,1,全筆移轉,19550000
RPRNMLNKKHOFFEK78CA,西湖段,32.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,11380000
RPRNMLNKKHOFFEK78CA,西湖段,29.08,非都市：山坡地保育區 ; 非都市編定：農牧用地,8120,579,持分移轉,11440000
RPVNMLOKKHOFFFK76CA,湳湖段,15.15,都市：住,10000,270,持分移轉,11040000
RPUNMLPKKHOFFFK76CA,僑善段,30.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,70,持分移轉,06050000
RPRNMLTKKHOFFFK86CA,僑善段,37.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,86,持分移轉,06050000
RPTNMLTKKHOFFFK07CA,僑善段,37.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,86,持分移轉,06050000
RPSNMLTKKHOFFFK96CA,僑善段,30.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,70,持分移轉,06050000
RPUNMLQLKHOFFEK86CA,新鴨南段,443.35,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08960001
RPUNMLQLKHOFFEK86CA,新鴨南段,3612.56,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08820001
RPRNMLPJLHOFFDK88CA,大同段,42.84,都市：住,1000000,15983,持分移轉,11370000
RPTNMLPJLHOFFDK09CA,大同段,30.79,都市：住,1000000,11488,持分移轉,11370000
RPPNMLRLKHOFFAK68CA,新開北段,2540.35,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03000000
RPPNMLRLKHOFFAK68CA,新開北段,2655.56,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03010000
RPPNMLRLKHOFFAK68CA,新開北段,2540.47,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03020000
RPPNMLRLKHOFFAK68CA,新開北段,2539.01,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03050000
RPPNMLRLKHOFFAK68CA,新開北段,2503.68,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03060000
RPPNMLRLKHOFFAK68CA,新開北段,2539.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03030000
RPPNMLRLKHOFFAK68CA,新開北段,2539.38,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03040000
RPTNMLNLKHOFFDK98CA,大同段,44.53,都市：住,100000,1302,持分移轉,09990000
RPPNMLOKLHOFFBK48CA,關爺埔段,838.16,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11010000
RPUNMLTKKHOFFFK17CA,僑善段,41.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,96,持分移轉,06050000
RPXNMLTKKHOFFFK47CA,僑善段,51.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,120,持分移轉,06050000
RPVNMLTKKHOFFFK27CA,僑善段,37.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,86,持分移轉,06050000
RPWNMLTKKHOFFFK37CA,僑善段,30.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,70,持分移轉,06050000
RPTOMLOKKHOFFFK66CA,蟠桃段忠孝小段,194.00,都市：住,1,1,全筆移轉,05280000
RPRNMLPKKHOFFFK09CA,和平段,120.30,都市：商,2,1,持分移轉,06580000
RPRNMLPKKHOFFFK09CA,和平段,120.30,都市：商,2,1,持分移轉,06580000
RPQOMLTKKHOFFFK86CA,僑善段,81.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,189,持分移轉,06050000
RPPOMLTKKHOFFFK76CA,僑善段,30.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,70,持分移轉,06050000
RPROMLTKKHOFFFK96CA,僑善段,37.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,86,持分移轉,06050000
RPRNMLQKKHOFFFK56CA,仁愛段,25.75,都市：住,10000,43,持分移轉,00480001
RPTNMLQKKHOFFFK76CA,仁愛段,28.15,都市：住,10000,47,持分移轉,00480001
RPUNMLQKKHOFFFK86CA,仁愛段,20.36,都市：住,10000,34,持分移轉,00480001
