編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLPLKHOFFDK66CC,龍鳳段,77.00,都市：住,,,,18740000
RPUNMLOJLHOFFDK66CC,龍富段,84.30,都市：住,,,,05580010
RPROMLOJLHOFFFK66CC,仁愛段,70.89,都市：住,,,,00580000
RPQOMLPKLHOFFDK56CC,立達段,106.78,都市：住,,,,00100000
RPROMLOJLHOFFFK66CC,仁愛段,131.46,都市：住,,,,01230000
RPPOMLLKLHOFFBK48CC,苗栗段,147.00,都市：住,,,,07560000
RPPNMLQLLHOFFBK09DC,苗栗段,14.00,都市：住,,,,08390000
RPQOMLQLLHOFFBK66DC,苗栗段,28.00,都市：住,,,,11510000
RPQNMLTJMHOFFDK86CC,龍天段,132.89,都市：工,,,,10360000
RPQNMLTJMHOFFDK86CC,龍天段,51.23,都市：工,,,,10350000
RPUNMLQJNHOFFBK96DC,苗栗段,15.00,都市：住,,,,08390000
RPVNMLQJNHOFFDK17CC,龍天段,134.53,都市：工,,,,12340000
RPVNMLQJNHOFFDK17CC,龍天段,133.00,都市：工,,,,12350000
RPVNMLQJNHOFFDK17CC,龍天段,133.00,都市：工,,,,12360000
RPSNMLNJMHOFFBK88CC,苗栗段,5.41,都市：住,,,,12860000
RPWNMLTKMHOFFBK37CC,福麗段,92.96,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,00700000
RPUNMLRLLHOFFBK96CC,文山段,98.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,01950005
RPQNMLPKMHOFFBK98CC,華清段,.00,都市：住,,,,13220000
RPQNMLLJMHOFFBK48CC,文峰段,23.19,都市：住,,,,09720000
RPRNMLTLLHOFFBK86CC,芒埔段,87.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,04190006
