編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLMKKHOFFDM78CA,23,158.61,住家用,鋼筋混凝土造,85年3月1日,四層,一層 二層 三層 四層 花台
RPSNMLMKKHOFFCM78CA,37,107.21,住商用,加強磚造,70年10月27日,二層,一層 二層 陽台 騎樓
RPUNMLNKKHOFFCM09CA,21,278.07,住商用,鋼筋混凝土造,86年7月4日,四層,一層 二層 三層 四層 騎樓
RPRNMLMLKHOFFCM78CA,15,131.67,住家用,鋼筋混凝土造,93年5月11日,三層,一層 二層 三層 陽台 平台 屋頂突出物
RPSNMLMLKHOFFCM88CA,15,60.72,住家用,鋼筋混凝土造,93年5月11日,三層,二層 三層 陽台
RPSNMLMLKHOFFCM88CA,15,25.52,梯間,鋼筋混凝土造,93年5月11日,三層,
RPTNMLKLKHOFFBM68CA,36,91.67,住商用,加強磚造,71年12月17日,二層,一層 二層 騎樓
RPPNMLPJLHOFFCM88DA,,224.53,住宅、過樑面積,鋼筋混凝土造,107年11月14日,四層,一層 二層 三層 四層 陽台
RPUNMLLLKHOFFBM88CA,,177.24,住宅、樓梯間,鋼筋混凝土造,107年8月22日,三層,一層 二層 三層 見其他登記事項
RPUNMLLLKHOFFBM88CA,,.15,電信室,鋼筋混凝土造,107年8月22日,一層,
RPSNMLQJLHOFFDM66CA,,205.07,住家用,鋼筋混凝土造,107年11月15日,三層,一層 二層 三層 陽台
RPRNMLQJLHOFFDM56CA,,261.11,住家用,鋼筋混凝土造,107年11月15日,三層,一層 二層 三層 陽台
RPQNMLQJLHOFFDM09CA,,217.08,住家用,鋼筋混凝土造,107年11月15日,三層,一層 二層 三層 陽台
RPQNMLMLKHOFFAM48CA,15,87.47,住家用,鋼筋混凝土造,92年8月19日,七層,三層 陽台
RPQNMLMLKHOFFAM48CA,15,16.45,梯間、機房,鋼筋混凝土造,92年8月19日,七層,
RPQNMLMLKHOFFAM48CA,15,13.34,防空避難室,鋼筋混凝土造,92年8月19日,七層,
RPRNMLMLKHOFFAM58CA,15,57.29,住家用,鋼筋混凝土造,92年8月19日,七層,二層 陽台
RPRNMLMLKHOFFAM58CA,15,16.45,梯間、機房,鋼筋混凝土造,92年8月19日,七層,
RPRNMLMLKHOFFAM58CA,15,13.34,防空避難室,鋼筋混凝土造,92年8月19日,七層,
RPXNMLLLKHOFFBM56CA,,179.53,住宅、樓梯間,鋼筋混凝土造,107年8月22日,三層,一層 二層 三層 見其他登記事項
RPXNMLLLKHOFFBM56CA,,.15,電信室,鋼筋混凝土造,107年8月22日,一層,
RPOOMLLLKHOFFBM38CA,,179.53,住宅、樓梯間,鋼筋混凝土造,107年8月22日,三層,一層 二層 三層 見其他登記事項
RPOOMLLLKHOFFBM38CA,,.15,電信室,鋼筋混凝土造,107年8月22日,一層,
RPWNMLLLKHOFFBM09CA,,155.72,住宅、樓梯間,鋼筋混凝土造,107年8月22日,三層,一層 二層 三層 見其他登記事項
