編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLMKKHOFFDM78CA,大統段,64.84,都市：住,1,1,全筆移轉,00360031
RPSNMLMKKHOFFCM78CA,慈恩段,91.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08780000
RPQNMLOKKHOFFCM78CA,頭社段,1756.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,07270007
RPSNMLOKKHOFFBM88CA,草屯段,20.00,都市：商,1,1,全筆移轉,00960025
RPSNMLOKKHOFFBM88CA,草屯段,9.00,都市：商,1,1,全筆移轉,00970003
RPXNMLQJLHOFFAM96DA,名松段,100.50,都市：農,4,1,持分移轉,01700000
RPPNMLNKKHOFFEM78CA,中溝段,1360.01,都市：農,1009,300,持分移轉,07050000
RPPNMLNKKHOFFEM78CA,中溝段,1702.32,都市：農,1,1,全筆移轉,07150001
RPSNMLOKKHOFFCM09DA,珠格段,2021.33,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01850000
RPSNMLOKKHOFFCM09DA,珠格段,904.17,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01910000
RPSNMLOKKHOFFCM09DA,珠格段,261.84,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01920000
RPSNMLOKKHOFFCM09DA,珠格段,390.97,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01930000
RPSNMLOKKHOFFCM09DA,珠格段,703.64,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02040003
RPSNMLOKKHOFFCM09DA,珠格段,779.92,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02050002
RPQNMLNKKHOFFCM78DA,牛尾段,650.22,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03040000
