編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLKLKHOFFBM78CC,中興段,1251.00,都市：住,,,,02710000
RPSNMLKLKHOFFBM78CC,中興段,1168.00,都市：住,,,,02710001
RPSNMLKLKHOFFBM78CC,中興段,95.00,都市：住,,,,02710002
RPVNMLOKKHOFFAM66CC,華新段,93.95,都市：住,,,,00580019
RPQOMLLLKHOFFBM78CC,頂茄荖段,77.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,05960023
RPSNMLPKKHOFFBM56CC,新豐段,140.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,20090000
RPRNMLOJLHOFFCM09CC,忠實段,286.18,都市：商,,,,00260000
RPRNMLOJLHOFFCM09CC,忠實段,106.97,都市：商,,,,00270000
RPRNMLOJLHOFFCM09CC,忠實段,822.69,都市：商,,,,00280000
RPWNMLMKLHOFFBM76CC,新御史段,208.25,都市：住,,,,07700000
RPPOMLRJLHOFFAM56DC,包尾段,244.00,都市：住,,,,07340000
RPVNMLPLKHOFFAM86CC,光大段,515.89,都市：農,,,,04200000
RPQNMLLLLHOFFCM88CC,光榮段,89.72,都市：商,,,,06310000
RPSNMLMJMHOFFBM09DC,中興段,874.00,都市：工,,,,01220000
RPSNMLMJMHOFFBM09DC,中興段,244.00,都市：工,,,,01220001
RPQNMLLKMHOFFAM68CC,包尾段,12.67,都市：住,,,,07350054
RPPNMLSJMHOFFBM66CC,新富寮段,77.90,都市：住,,,,00910045
RPPNMLOLMHOFFBM09CC,草鞋墩段,129.22,都市：其他:倉儲區,,,,05510000
RPUNMLMKMHOFFAM56CC,福德段,206.66,非都市：鄉村區 ; 非都市編定：丁種建築用地,,,,07430000
RPUNMLMKMHOFFAM56CC,福德段,551.76,非都市：鄉村區 ; 非都市編定：丁種建築用地,,,,07490000
RPUNMLMKMHOFFAM56CC,福德段,289.53,非都市：鄉村區 ; 非都市編定：丁種建築用地,,,,07500000
RPUNMLMKMHOFFAM56CC,福德段,264.84,非都市：鄉村區 ; 非都市編定：丁種建築用地,,,,07510000
RPOOMLOLMHOFFAM98CC,包尾段,91.33,都市：住,,,,07350054
