編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLMLKHOFFAN66CA,30,97.33,住家用,鋼筋混凝土造,78年1月31日,八層,四層 陽台
RPPNMLRKKHOFFAN88CA,27,110.92,住家用,鋼筋混凝土造,80年8月16日,九層,八層 陽台
RPPNMLRKKHOFFAN88CA,27,26.01,避難室、電樓梯、開放空間、車道、交誼廳,鋼筋混凝土造,80年8月16日,九層,
RPPNMLRKKHOFFAN88CA,27,13.41,停車場,鋼筋混凝土造,80年8月16日,,
RPPNMLRKKHOFFAN88CA,27,3.30,避難室、電樓梯、開放空間、車道、交誼廳,鋼筋混凝土造,80年8月16日,九層,
RPVNMLQLKHOFFBN96CA,1,90.14,集合住宅,鋼筋混凝土造,107年5月2日,十三層,十三層 陽台 雨遮
RPTNMLQLKHOFFBN76CA,1,90.14,集合住宅,鋼筋混凝土造,107年5月2日,十三層,十三層 陽台 雨遮
RPVNMLQLKHOFFBN96CA,1,94.68,本共有部分係依使用執照之建築概要表記載項目有：停車空間、消防機房、汙水機房、車道、消防給水水箱、電梯廳兼排煙室、機房、發電機房、台電配電室、景觀機房、電信室、管委會空間、共同梯廳、安全梯、水錶室、水箱室、電梯機房等１７項,鋼筋混凝土造,107年5月2日,十三層,
RPTNMLQLKHOFFBN76CA,1,94.68,本共有部分係依使用執照之建築概要表記載項目有：停車空間、消防機房、汙水機房、車道、消防給水水箱、電梯廳兼排煙室、機房、發電機房、台電配電室、景觀機房、電信室、管委會空間、共同梯廳、安全梯、水錶室、水箱室、電梯機房等１７項,鋼筋混凝土造,107年5月2日,十三層,
RPSNMLMKKHOFFCN88CA,36,220.50,住商用,鋼筋混凝土加強磚造,71年12月31日,三層,一層 二層 三層 騎樓
RPUNMLQLKHOFFBN86CA,1,90.14,集合住宅,鋼筋混凝土造,107年5月2日,十三層,十三層 陽台 雨遮
RPUNMLQLKHOFFBN86CA,1,94.68,本共有部分係依使用執照之建築概要表記載項目有：停車空間、消防機房、汙水機房、車道、消防給水水箱、電梯廳兼排煙室、機房、發電機房、台電配電室、景觀機房、電信室、管委會空間、共同梯廳、安全梯、水錶室、水箱室、電梯機房等１７項,鋼筋混凝土造,107年5月2日,十三層,
RPQNMLPJLHOFFDN09CA,,429.29,住宅、停車空間,鋼筋混凝土造,107年7月31日,五層,一層 二層 三層 四層 五層 陽台
RPPNMLKLKHOFFEN68CA,39,92.50,住家用,鋼筋混凝土加強磚造,68年10月8日,二層,一層 二層
RPPNMLPLKHOFFFN66CA,1,237.63,店舖　住宅,鋼筋混凝土造,106年10月27日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLMKKHOFFFN88CA,44,125.40,住家用,鋼筋混凝土加強磚造,64年5月26日,一層,一層 二層
RPUNMLNKKHOFFAN09DA,39,150.60,住商用,鋼筋混凝土造,69年6月6日,三層,一層 二層 三層 騎樓
RPOOMLMKKHOFFBN58DA,41,116.22,住家用,加強磚造,67年5月10日,二層,一層 二層
RPUNMLOKKHOFFEN96DA,2,181.06,住家用,鋼筋混凝土造,105年11月28日,三層,一層 二層 三層 陽台 見其他登記事項
RPTNMLMKKHOFFDN66EA,4,172.32,住宅,鋼筋混凝土造,103年9月30日,三層,一層 二層 三層 陽台
RPSNMLOKKHOFFHN96CA,,183.63,住家用,鋼筋混凝土造,107年9月27日,四層,一層 二層 三層 四層 陽台
RPTNMLKLKHOFFHN76CA,,175.73,住家用,鋼筋混凝土造,107年9月27日,四層,一層 二層 三層 四層 陽台
RPSNMLNLKHOFFGN86CA,,152.24,住家用,鋼筋混凝土造,107年10月8日,三層,一層 二層 三層 陽台
RPQNMLPKKHOFFGN76CA,14,147.31,住家用,鋼筋混凝土造,93年9月14日,三層,一層 二層 三層 陽台 雨遮
RPSNMLPJLHOFFDN66CA,,263.39,人行道、住宅、停車空間,鋼筋混凝土造,107年7月31日,四層,一層 二層 三層 四層 陽台 騎樓
RPRNMLPJLHOFFDN56CA,,217.81,住宅、樓梯間,鋼筋混凝土造,107年7月31日,三層,一層 二層 三層 陽台 見其他登記事項
RPUNMLPJLHOFFDN86CA,,193.75,住宅、停車空間、樓梯間,鋼筋混凝土造,107年7月31日,三層,一層 二層 三層 陽台 見其他登記事項
RPQNMLNKKHOFFDN88CA,4,252.92,住宅、停車空間,鋼筋混凝土造,103年9月3日,四層,一層 二層 三層 四層 陽台
RPQNMLNKKHOFFDN88CA,4,4.31,守衛室,鋼筋混凝土造,103年9月3日,二層,
RPRNMLTKKHOFFAN66CA,28,20.70,農舍,水泥瓦磚造,79年9月22日,一層,一層
RPTNMLOKKHOFFHN07CA,1,173.06,住家用,鋼筋混凝土造,107年9月27日,四層,一層 二層 三層 四層 陽台
RPQOMLMLKHOFFAN68CA,39,107.30,住家用,鋼筋混凝土加強磚造,69年5月5日,二層,一層 二層
RPXOMLSKKHOFFAN27CA,7,254.07,作業廠房,鋼筋混凝土造,100年7月12日,二層,一層 二層 陽台
RPSNMLOKKHOFFAN88CA,27,36.92,辦公室,鋼筋混凝土造,81年7月11日,十六層,十二層 陽台
RPSNMLOKKHOFFAN88CA,27,6.68,梯間,鋼筋混凝土造,81年7月11日,十六層,
RPSNMLOKKHOFFAN88CA,27,4.59,防空避難室兼停車空間,鋼筋混凝土造,81年7月11日,十六層,
RPVNMLKLKHOFFAN88CA,31,74.02,住家用,鋼筋混凝土造,77年1月13日,七層,五層
RPWNMLKLKHOFFAN98CA,24,111.21,住家用,鋼筋混凝土造,83年12月28日,十九層,七層 陽台
RPWNMLKLKHOFFAN98CA,24,20.24,辦公室、停車空間、避難室、開放空間、水箱梯間、機械室、門廳,鋼筋混凝土造,83年12月28日,十九層,
RPWNMLKLKHOFFAN98CA,24,13.04,梯間,鋼筋混凝土造,83年12月28日,十九層,
RPWNMLKLKHOFFAN98CA,24,7.81,辦公室、停車空間、避難室、開放空間、水箱梯間、機械室、門廳,鋼筋混凝土造,83年12月28日,十九層,
RPWNMLKLKHOFFAN98CA,24,.26,辦公室,鋼筋混凝土造,83年12月28日,十九層,
RPVOMLMLKHOFFAN56CA,38,118.20,住商用,鋼筋混凝土加強磚造,69年7月22日,二層,一層 二層 騎樓
RPUNMLOKKHOFFAN09CA,1,.73,管委會空間、車道,鋼筋混凝土造,107年2月5日,五層,
RPUNMLOKKHOFFAN09CA,1,.60,台電配電室,鋼筋混凝土造,107年2月5日,五層,
RPUNMLOKKHOFFAN09CA,1,28.68,梯廳、樓梯間,鋼筋混凝土造,107年2月5日,五層,
RPUNMLOKKHOFFAN09CA,1,45.46,集合住宅,鋼筋混凝土造,107年2月5日,五層,四層 陽台
RPOOMLOKKHOFFAN58CA,29,63.68,住商用,鋼筋混凝土造,78年12月14日,四層,一層 二層 三層 四層 騎樓
RPWOMLSKKHOFFAN17CA,26,196.14,住家用,鋼筋混凝土造,82年5月28日,三層,一層 二層 三層 騎樓
RPQNMLTKKHOFFAN56CA,24,104.15,住家、梯間,鋼筋混凝土造,83年8月31日,十二層,二層 陽台 花台
RPQNMLTKKHOFFAN56CA,24,11.60,停車場、避難室、梯間、門廳、車道,鋼筋混凝土造,83年8月31日,十二層,
RPQNMLPKKHOFFAN78CA,37,15.73,住家用,鋼筋混凝土造,71年7月9日,七層,五層
RPQNMLPKKHOFFAN78CA,37,15.73,住家用,鋼筋混凝土造,71年7月9日,七層,五層
RPQNMLPKKHOFFAN78CA,37,15.73,住家用,鋼筋混凝土造,71年7月9日,七層,五層
RPQNMLPKKHOFFAN78CA,37,2.57,走道、樓梯間、電氣室,鋼筋混凝土造,71年7月9日,七層,
RPQNMLPKKHOFFAN78CA,37,2.57,走道、樓梯間、電氣室,鋼筋混凝土造,71年7月9日,七層,
RPQNMLPKKHOFFAN78CA,37,2.57,走道、樓梯間、電氣室,鋼筋混凝土造,71年7月9日,七層,
RPWNMLPKKHOFFAN76CA,22,109.21,住家用,鋼筋混凝土造,85年7月29日,十四層,八層 陽台 花台
RPWNMLPKKHOFFAN76CA,22,14.77,梯間、機械室、水箱,鋼筋混凝土造,85年7月29日,十四層,
RPWNMLPKKHOFFAN76CA,22,13.60,停車空間、避難室,鋼筋混凝土造,85年7月29日,十四層,
RPXOMLMLKHOFFAN76CA,25,90.11,住商用,鋼筋混凝土造,83年4月13日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPPNMLNKKHOFFAN48CA,38,86.87,住家用,加強磚造,70年6月26日,二層,一層 二層
RPUPMLMLKHOFFAN56CA,21,170.12,住家用,鋼筋混凝土造,87年3月20日,三層,一層 二層 三層 見其他登記事項
RPQNMLRKKHOFFAN98CA,27,114.81,住家用,鋼筋混凝土造,80年11月19日,七層,七層 陽台
RPQNMLRKKHOFFAN98CA,27,34.20,避難室、停車空間、梯間,鋼筋混凝土造,80年11月19日,七層,
RPPNMLPKKHOFFEN09CA,28,197.95,倉庫，店鋪，住家,鋼筋混凝土造,80年3月28日,三層,一層 二層 三層 屋頂突出物 騎樓 地下層
RPPNMLOKKHOFFGN56CA,37,108.36,住家用,加強磚造,70年12月9日,二層,一層 二層
RPSNMLPKKHOFFGN96CA,25,151.20,住宅﹝國民住宅﹞,加強磚造,83年4月16日,二層,一層 二層 騎樓
RPQNMLOKKHOFFHN76CA,34,34.78,住家用,加強磚造,74年5月25日,二層,一層 二層 騎樓
RPSNMLKLKHOFFGN56CA,,79.68,住家用,鋼筋混凝土造,107年10月8日,三層,一層 二層 三層 陽台
RPSNMLKLKHOFFGN56CA,,79.68,住家用,鋼筋混凝土造,107年10月8日,三層,一層 二層 三層 陽台
RPRNMLSKKHOFFHN27CA,1,180.63,住家用,鋼筋混凝土造,107年7月12日,三層,一層 二層 三層 陽台 屋頂突出物
