編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWOMLMLKHOFFAN66CA,大埔段,20.63,都市：住,10000,76,持分移轉,05750000
RPSNMLMKKHOFFAN68CA,華南段,6.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,176,1,持分移轉,04100010
RPSNMLMKKHOFFAN68CA,華南段,134.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04100015
RPQNMLOJLHOFFAN68CA,西勢子段過溝子小段,32.00,都市：住,1,1,全筆移轉,02410009
RPPNMLRKKHOFFAN88CA,西勢子段過溝子小段,28.66,都市：住,10000,71,持分移轉,00380000
RPTNMLMKKHOFFBN88CA,中興段,49.00,都市：住,1,1,全筆移轉,07250013
RPTNMLMKKHOFFBN88CA,中興段,51.00,都市：住,1,1,全筆移轉,07250014
RPUNMLMKKHOFFBN98CA,永慶段,104.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03130000
RPWNMLMKKHOFFBN56CA,中興段,30.00,都市：住,1,1,全筆移轉,07250016
RPVNMLMKKHOFFBN09CA,中興段,42.00,都市：住,1,1,全筆移轉,07250015
RPSNMLMKKHOFFBN78CA,中興段,46.00,都市：住,1,1,全筆移轉,07250012
RPRNMLNKKHOFFBN78CA,伸同段,1011.01,都市：住,1,1,全筆移轉,00160000
RPRNMLNKKHOFFBN78CA,伸同段,122.50,都市：住,1,1,全筆移轉,00160001
RPRNMLNKKHOFFBN78CA,伸同段,122.50,都市：住,1,1,全筆移轉,00160002
RPRNMLNKKHOFFBN78CA,伸同段,122.50,都市：住,1,1,全筆移轉,00160003
RPRNMLNKKHOFFBN78CA,伸同段,889.99,都市：住,1,1,全筆移轉,00160004
RPXNMLMKKHOFFBN66CA,柑竹段,752.02,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03000000
RPVNMLQLKHOFFBN96CA,糖友段,33.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1848,持分移轉,10450000
RPTNMLQLKHOFFBN76CA,糖友段,33.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1848,持分移轉,10450000
RPSNMLMKKHOFFCN88CA,海埔段,118.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05060000
RPUNMLQLKHOFFBN86CA,糖友段,33.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1848,持分移轉,10450000
RPQNMLPJLHOFFDN09CA,橋愛段,189.65,都市：住,1,1,全筆移轉,12700013
RPPNMLKLKHOFFEN68CA,崁頂段,78.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05780000
RPPNMLOLKHOFFEN09CA,修仁段,6.66,都市：工,2,1,持分移轉,03110000
RPPNMLOLKHOFFEN09CA,修仁段,6.66,都市：工,2,1,持分移轉,03110000
RPPNMLOLKHOFFEN09CA,修仁段,44.16,都市：工,2,1,持分移轉,03100000
RPPNMLKLKHOFFEN68CA,中正段,62.12,都市：住,1,1,全筆移轉,00620000
RPPNMLOLKHOFFEN09CA,修仁段,44.16,都市：工,2,1,持分移轉,03100000
RPPNMLOLKHOFFEN09CA,修仁段,2.50,都市：工,2,1,持分移轉,03120000
RPPNMLOLKHOFFEN09CA,修仁段,2.50,都市：工,2,1,持分移轉,03120000
RPPNMLOLKHOFFEN09CA,修仁段,3.38,都市：工,2,1,持分移轉,03150000
RPPNMLOLKHOFFEN09CA,修仁段,3.38,都市：工,2,1,持分移轉,03150000
RPPNMLOLKHOFFEN09CA,修仁段,945.89,都市：工,2,1,持分移轉,03170002
RPPNMLOLKHOFFEN09CA,修仁段,945.89,都市：工,2,1,持分移轉,03170002
RPPNMLPLKHOFFFN66CA,光復段,109.73,都市：住,1,1,全筆移轉,20300001
RPPNMLMKKHOFFFN88CA,新埤頭段,175.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06990000
RPQNMLMKKHOFFEN88CA,崁頂段,102.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04210006
RPPNMLQJLHOFFFN66CA,後溪段,664.20,非都市：特定農業區 ; 非都市編定：農牧用地,35692,2717,持分移轉,06320000
