鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
埔鹽鄉,土地,成功段689地號,443.0,住,,,1080213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,13000,29,,0.0,0,,RPQNMLNKKHOFFHN86CC
埔心鄉,房地(土地+建物),彰化縣埔心鄉員林大道7段68號,82.01,,特定農業區,甲種建築用地,1080201,土地1建物1車位0,見其他登記事項,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041026,256.81,6,2,4,有,無,無,28600,111,,0.0,0,,RPOOMLOKKHOFFHN86CC
福興鄉,房地(土地+建物),彰化縣福興鄉萬豐巷262號,90.0,,特定農業區,甲種建築用地,1080201,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0671103,121.8,3,2,2,有,無,有,10000,82,,0.0,0,,RPQNMLOKKHOFFCN09CC
和美鎮,建物,彰化縣和美鎮彰和路二段４６２號,0.0,住,,,1080131,土地0建物1車位0,見其他登記事項,5,店面(店鋪),住家用,鋼筋混凝土造,0791107,252.11,6,4,4,有,無,無,25000,99,,0.0,0,,RPRNMLTKKHOFFBN96CC
彰化市,建物,彰化縣彰化市辭修北路１６７巷５９號５樓之三,0.0,住,,,1080129,土地0建物1車位0,五層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820121,108.28,1,1,1,有,有,有,7500,69,,0.0,0,,RPWNMLLLKHOFFAN66CC
彰化市,建物,彰化縣彰化市民生路４３８巷５４號,0.0,住,,,1080216,土地0建物1車位0,全,3,透天厝,住商用,加強磚造,0690714,124.32,3,3,3,有,無,有,15000,121,,0.0,0,,RPXNMLLLKHOFFAN76CC
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮謝厝巷103號,2600.0,,特定農業區,農牧用地,1080222,土地1建物1車位0,見其他登記事項,1,農舍,農舍,見其他登記事項,0850514,205.78,0,0,0,無,無,無,45000,,,0.0,0,,RPRNMLMLKHOFFCN09CC
員林市,土地,三和段835地號,591.46,住,,,1080124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,51,,0.0,0,本土地係供承租人搭設臨時公司銷售辦公之用,RPTNMLMLKHOFFDN76CC
秀水鄉,房地(土地+建物),彰化縣秀水鄉民意街67號,52.1,商,,,1080222,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0830825,121.15,4,2,3,有,無,有,12000,99,,0.0,0,,RPQNMLQLKHOFFAN56CC
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮育民街17號1樓,58.3,住,,,1080306,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0730711,35.26,0,0,0,無,無,無,15000,425,,0.0,0,,RPVNMLQJLHOFFCN17CC
彰化市,房地(土地+建物),彰化縣彰化市金馬路三段４７７號,208.0,住,,,1080225,土地2建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0670708,167.76,3,2,3,有,無,無,30000,179,,0.0,0,地上有未保存登記建物.有免租金裝潢期乙個月,RPVNMLSJLHOFFAN17CC
彰化市,建物,彰化縣彰化市互助一街１巷２９號,0.0,,山坡地保育區,特定目的事業用地,1080228,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0800619,222.36,4,2,4,有,無,無,16000,72,,0.0,0,,RPWNMLSJLHOFFAN27CC
彰化市,建物,彰化縣彰化市民族路２６９巷５號,0.0,住,,,1080301,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0871008,168.88,5,3,4,有,無,有,23000,136,,0.0,0,,RPRNMLMKLHOFFAN88CC
鹿港鎮,土地,景福段223-1地號,135.53,住,,,1080312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,23000,170,,0.0,0,,RPRNMLOKLHOFFCN66CC
埔心鄉,房地(土地+建物),彰化縣埔心鄉中興路143號,149.26,住,,,1080307,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0940915,211.54,4,2,3,有,無,有,16000,76,,0.0,0,,RPTNMLOKLHOFFHN37CC
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮民族路36號,63.52,住,,,1080317,土地1建物1車位1,全,8,透天厝,見其他登記事項,鋼筋混凝土造,0891013,276.05,0,0,0,無,無,有,58000,210,升降平面,6.87,0,,RPQNMLSKLHOFFCN96CC
彰化市,房地(土地+建物),彰化縣彰化市和平路211巷12號,71.0,商,,,1080316,土地2建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0810217,23.0,8,0,0,有,無,有,5000,217,,0.0,0,,RPQPMLTKLHOFFAN07CC
彰化市,建物,彰化縣彰化市中華西路５７１巷１４號９樓,0.0,住,,,1080306,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830831,107.36,3,2,2,有,有,有,13000,121,,0.0,0,,RPRNMLKLLHOFFAN78CC
彰化市,建物,彰化縣彰化市福馬街３２號,0.0,,鄉村區,乙種建築用地,1080309,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0670724,121.88,3,2,3,有,無,有,13000,107,,0.0,0,,RPSOMLLLLHOFFAN09CC
員林市,房地(土地+建物),彰化縣員林市員東路二段324號一樓,67.0,住,,,1080318,土地1建物1車位0,一層,3,店面(店鋪),住家用,鋼筋混凝土造,0721104,44.53,0,1,1,有,無,無,18000,404,,0.0,0,只租一樓店面,RPXNMLTLLHOFFDN97CC
員林市,土地,員林段43-48地號,42.0,商,,,1080319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,16000,381,,0.0,0,,RPOOMLTLLHOFFDN17CC
員林市,土地,員林段43-45地號,43.0,商,,,1080325,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,16000,372,,0.0,0,,RPPOMLTLLHOFFDN27CC
員林市,房地(土地+建物),彰化縣員林市中山路二段85之6號,99.0,商,,,1080327,土地1建物1車位0,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0960503,135.68,0,0,0,無,無,有,29000,214,,0.0,0,,RPSNMLNJMHOFFDN76CC
秀水鄉,土地,西興段2028-4地號,55.0,住,,,1080323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,7000,127,,0.0,0,含增建或未登記建物。；含未辦保存登記建物一棟,RPTNMLTJMHOFFAN17CC
員林市,房地(土地+建物),彰化縣員林市日泰街54號,126.0,住,,,1080401,土地2建物1車位0,見其他登記事項,4,店面(店鋪),住工用,鋼筋混凝土造,0800730,386.54,7,2,4,有,無,有,22000,57,,0.0,0,,RPROMLQKMHOFFDN17CC
鹿港鎮,土地,景福段223-1地號,171.9,住,,,1080418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,35000,204,,0.0,0,,RPPNMLTKMHOFFCN07CC
彰化市,建物,彰化縣彰化市成功路215之2樓之2號,0.0,商,,,1080423,土地0建物1車位0,二層,8,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0771022,767.37,0,0,0,無,無,無,60000,78,,0.0,0,,RPWNMLOLMHOFFAN27DC
