編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLOKKHOFFCN09CC,40,121.80,住家用,加強磚造,67年11月3日,二層,
RPOOMLOKKHOFFHN86CC,3,256.81,私設騎樓、停車空間、店舖、住宅,鋼筋混凝土造,104年10月26日,五層,
RPRNMLMLKHOFFCN09CC,23,205.78,農舍,有牆鋼架造,85年5月14日,一層,
RPRNMLTKKHOFFBN96CC,28,252.11,住家用,鋼筋混凝土造,79年11月7日,五層,
RPWNMLLLKHOFFAN66CC,26,91.23,住家用,鋼筋混凝土造,82年1月21日,十一層,
RPWNMLLLKHOFFAN66CC,26,17.05,避難室、停車空間、梯間,鋼筋混凝土造,82年1月21日,十一層,
RPVNMLQJLHOFFCN17CC,35,35.26,住商用,鋼筋混凝土造,73年7月11日,三層,
RPXNMLLLKHOFFAN76CC,39,124.32,住商用,加強磚造,69年7月14日,三層,
RPQNMLQLKHOFFAN56CC,24,121.15,住商用,鋼筋混凝土造,83年8月25日,三層,
RPQPMLTKLHOFFAN07CC,27,23.00,住家用,鋼筋混凝土造,81年2月17日,三層,
RPWNMLSJLHOFFAN27CC,28,222.36,住家用,鋼筋混凝土造,80年6月19日,三層,
RPVNMLSJLHOFFAN17CC,41,167.76,住商用,鋼筋混凝土造,67年7月8日,三層,
RPRNMLMKLHOFFAN88CC,20,168.88,住家用,鋼筋混凝土造,87年10月8日,四層,
RPQNMLSKLHOFFCN96CC,18,276.05,店舖、人行道、住宅,鋼筋混凝土造,89年10月13日,八層,
RPTNMLOKLHOFFHN37CC,13,211.54,住家用,鋼筋混凝土造,94年9月15日,三層,
RPRNMLKLLHOFFAN78CC,25,96.86,住家、梯間,鋼筋混凝土造,83年8月31日,十二層,
RPRNMLKLLHOFFAN78CC,25,10.50,停車場、避難室、梯間、門廳、車道,鋼筋混凝土造,83年8月31日,十二層,
RPSOMLLLLHOFFAN09CC,41,121.88,住商用,鋼筋混凝土加強磚造,67年7月24日,二層,
RPXNMLTLLHOFFDN97CC,35,29.83,住家用,鋼筋混凝土造,72年11月4日,三層,
RPXNMLTLLHOFFDN97CC,35,14.70,住家用,鋼筋混凝土造,72年11月4日,三層,
RPWNMLOLMHOFFAN27DC,31,767.37,餐廳,鋼筋混凝土造,77年10月22日,八層,
RPUNMLSJNHOFFCN47CC,34,89.30,住家用,鋼筋混凝土造,74年2月4日,二層,
RPTNMLRJNHOFFDN37CC,25,158.94,住宅用,鋼筋混凝土造,83年6月6日,三層,
RPROMLQKMHOFFDN17CC,28,386.54,住工用,鋼筋混凝土造,80年7月30日,四層,
RPTOMLSJNHOFFAN27CC,3,170.93,停車空間、住宅,鋼筋混凝土造,104年7月22日,四層,
RPSNMLNJMHOFFDN76CC,12,135.68,店舖、住宅、停車空間,鋼筋混凝土造,96年5月3日,五層,
RPUOMLSJNHOFFAN37CC,3,170.91,停車空間、住宅,鋼筋混凝土造,104年7月22日,四層,
RPPNMLSJNHOFFAN76CC,,65.04,集合住宅,鋼筋混凝土造,,,
RPPNMLSJNHOFFAN76CC,,53.60,防空避難室、停車空間、騎樓、車道、門廳、梯間、屋頂突出物,鋼筋混凝土造,,,
