編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNKKHOFFHN86CC,成功段,443.00,都市：住,,,,06890000
RPQNMLOKKHOFFCN09CC,三豐段,90.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,04230019
RPOOMLOKKHOFFHN86CC,瓦窯中段,82.01,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00350002
RPRNMLMLKHOFFCN09CC,東昇段,2600.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,06690000
RPRNMLTKKHOFFBN96CC,嘉慶段,.00,都市：住,,,,00350000
RPWNMLLLKHOFFAN66CC,西勢子段過溝子小段,.00,都市：住,,,,00040008
RPVNMLQJLHOFFCN17CC,鹿德段,58.30,都市：住,,,,07550000
RPTNMLMLKHOFFDN76CC,三和段,591.46,都市：住,,,,08350000
RPXNMLLLKHOFFAN76CC,三民段,.00,都市：住,,,,00710000
RPQNMLQLKHOFFAN56CC,福安段,52.10,都市：商,,,,04660000
RPQPMLTKLHOFFAN07CC,三民段,8.00,都市：商,,,,04350000
RPQPMLTKLHOFFAN07CC,三民段,63.00,都市：商,,,,04340000
RPWNMLSJLHOFFAN27CC,廣鳳段,.00,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地,,,,12340000
RPVNMLSJLHOFFAN17CC,西勢子段西勢子小段,188.00,都市：住,,,,02040012
RPVNMLSJLHOFFAN17CC,西勢子段西勢子小段,20.00,都市：住,,,,02040020
RPRNMLMKLHOFFAN88CC,南郭段南郭小段,.00,都市：住,,,,04430004
RPQNMLSKLHOFFCN96CC,景福段,63.52,都市：住,,,,05600000
RPRNMLOKLHOFFCN66CC,景福段,135.53,都市：住,,,,02230001
RPTNMLTJMHOFFAN17CC,西興段,55.00,都市：住,,,,20280004
RPTNMLOKLHOFFHN37CC,霖興段,149.26,都市：住,,,,11920003
RPRNMLKLLHOFFAN78CC,西門口段,.00,都市：住,,,,05580000
RPSOMLLLLHOFFAN09CC,茄苳段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07770000
RPXNMLTLLHOFFDN97CC,仁愛段,67.00,都市：住,,,,00440076
RPOOMLTLLHOFFDN17CC,員林段,42.00,都市：商,,,,00430048
RPPOMLTLLHOFFDN27CC,員林段,15.00,都市：商,,,,00430109
RPPOMLTLLHOFFDN27CC,員林段,28.00,都市：商,,,,00430045
RPWNMLOLMHOFFAN27DC,成功段,.00,都市：商,,,,05930000
RPPNMLTKMHOFFCN07CC,景福段,171.90,都市：住,,,,02230001
RPUNMLSJNHOFFCN47CC,永安段,131.00,都市：住,,,,33350002
RPTNMLRJNHOFFDN37CC,美港段,85.55,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03840000
RPROMLQKMHOFFDN17CC,中山段,117.00,都市：住,,,,01360011
RPROMLQKMHOFFDN17CC,中山段,9.00,都市：住,,,,01360068
RPTOMLSJNHOFFAN27CC,南白沙坑段,75.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,00740054
RPSNMLNJMHOFFDN76CC,員林段,99.00,都市：商,,,,05870002
RPUOMLSJNHOFFAN37CC,南白沙坑段,81.69,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,00740043
RPPNMLSJNHOFFAN76CC,,.00,都市：住,,,,05650029
