編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUOMLPKKHOFFAO76CA,19,250.35,住宅、停車空間,鋼筋混凝土造,88年12月28日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPRNMLQKKHOFFAO09CA,4,169.70,店舖、停車空間、集合住宅,鋼筋混凝土造,103年12月23日,二層,一層 二層 陽台
RPTQMLOKKHOFFAO76CA,6,.04,守衛室,鋼筋混凝土造,101年8月21日,十一層,一層
RPTQMLOKKHOFFAO76CA,6,.01,共有部分,鋼筋混凝土造,101年8月21日,十一層,
RPTQMLOKKHOFFAO76CA,6,41.47,共有部分,鋼筋混凝土造,101年8月21日,十一層,
RPTQMLOKKHOFFAO76CA,6,89.85,集合住宅、機電設備空間,鋼筋混凝土造,101年8月21日,十一層,八層 陽台
RPTQMLOKKHOFFAO76CA,6,15.56,共有部分,鋼筋混凝土造,101年8月21日,十一層,
RPTQMLOKKHOFFAO76CA,6,27.27,共有部分,鋼筋混凝土造,101年8月21日,十一層,
RPUQMLOKKHOFFAO86CA,5,.02,店舖,鋼筋混凝土造,102年12月11日,十五層,一層
RPUQMLOKKHOFFAO86CA,5,.00,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPRNMLOKKHOFFAO88CA,12,.01,管理室,鋼筋混凝土造,95年12月20日,十三層,一層
RPUQMLOKKHOFFAO86CA,5,27.25,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPUNMLPKKHOFFAO66CA,37,66.62,住家用,鋼筋混凝土造,70年9月22日,五層,三層
RPUNMLPKKHOFFAO66CA,37,18.39,共有部分,鋼筋混凝土造,70年9月22日,五層,
RPUQMLOKKHOFFAO86CA,5,87.41,集合住宅,鋼筋混凝土造,102年12月11日,十五層,十層 陽台
RPRNMLOKKHOFFAO88CA,12,21.68,停車空間、開放空間、防空避難室,鋼筋混凝土造,95年12月20日,十三層,
RPUQMLOKKHOFFAO86CA,5,18.79,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPRNMLOKKHOFFAO88CA,12,87.36,集合住宅,鋼筋混凝土造,95年12月20日,十三層,三層 陽台 雨遮
RPUQMLOKKHOFFAO86CA,5,21.72,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPRNMLOKKHOFFAO88CA,12,18.59,停車空間、開放空間、防空避難室,鋼筋混凝土造,95年12月20日,十三層,
RPRNMLOKKHOFFAO88CA,12,12.24,樓梯間,鋼筋混凝土造,95年12月20日,十三層,
RPUNMLMLKHOFFAO09CA,19,130.37,住家用,鋼筋混凝土造,88年12月6日,六層,三層 陽台
RPUNMLMLKHOFFAO09CA,19,56.87,共有部分,鋼筋混凝土造,88年12月6日,六層,
RPWOMLSKKHOFFAO27CA,,80.61,住家用,鋼筋混凝土造,,七層,二層 陽台
RPWOMLSKKHOFFAO27CA,,14.50,共有部分,鋼筋混凝土造,,七層,
RPRNMLNKKHOFFAO78CA,4,189.71,集合住宅,鋼筋混凝土造,103年8月15日,十五層,五層 陽台 雨遮
RPRNMLNKKHOFFAO78CA,4,44.11,共有部分,鋼筋混凝土造,103年8月15日,十五層,
RPRNMLNKKHOFFAO78CA,4,129.78,共有部分,鋼筋混凝土造,103年8月15日,十五層,
RPWOMLLLKHOFFAO86EA,39,108.00,住家用,加強磚造,68年11月17日,二層,一層 二層
RPVOMLLLKHOFFAO56CA,10,145.67,集合住宅,鋼筋混凝土造,98年6月17日,十四層,九層 陽台 雨遮
RPVOMLLLKHOFFAO56CA,10,96.60,防空避難室兼停車空間、梯間、消防浦泵室、汙水機房、蓄水池、發電機房、台電受電室、電信室、開放空間、公共服務空間、管理空間、垃圾處理室,鋼筋混凝土造,98年6月17日,,
RPVOMLLLKHOFFAO56CA,10,30.23,梯間、機房、水箱,鋼筋混凝土造,98年6月17日,十四層,
RPUNMLNKKHOFFAO66EA,,82.37,住家用,鋼筋混凝土造,,六層,一層
RPOPMLOKKHOFFAO78CA,35,74.40,住家用,鋼筋混凝土造,72年8月19日,七層,七層 陽台
RPTPMLOKKHOFFAO66CA,,106.56,住家用,鋼筋混凝土造,,七層,五層 陽台
RPTPMLOKKHOFFAO66CA,25,37.98,見使用執照,鋼筋混凝土造,82年6月21日,七層,
RPXNMLOKKHOFFAO86CA,42,60.27,住家用,加強磚造,65年9月21日,二層,一層 二層 騎樓
RPRQMLOKKHOFFAO56CA,16,26.55,住家用,鋼筋混凝土造,92年1月10日,十三層,五層 陽台
RPRQMLOKKHOFFAO56CA,16,5.80,停車空間、機械室、騎樓、梯間、車道、防空避難室,鋼筋混凝土造,92年1月10日,十三層,
RPRQMLOKKHOFFAO56CA,16,4.46,梯間,鋼筋混凝土造,92年1月10日,十三層,
RPRQMLOKKHOFFAO56CA,16,1.96,走道,鋼筋混凝土造,92年1月10日,十三層,
RPOPMLPLKHOFFAO98CA,,72.94,住家用,鋼筋混凝土造,,八層,三層 陽台 花台
RPOPMLPLKHOFFAO98CA,,11.05,共有部分,鋼筋混凝土造,,八層,
RPOPMLPLKHOFFAO98CA,,26.44,共有部分,鋼筋混凝土造,,八層,
RPUNMLNLKHOFFAO56CA,19,.12,住宅、守衛室,鋼筋混凝土造,88年8月12日,九層,一層 騎樓
RPUNMLNLKHOFFAO56CA,19,.00,共有部分,鋼筋混凝土造,88年8月12日,九層,
RPUNMLNLKHOFFAO56CA,19,28.01,共有部分,鋼筋混凝土造,88年8月12日,九層,
RPVNMLNLKHOFFAO66CA,20,282.15,住宅、停車空間,鋼筋混凝土造,88年3月26日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮
RPOOMLOKKHOFFAO68CA,23,173.08,住家用,鋼筋混凝土造,85年6月27日,四層,一層 二層 三層 四層 陽台 平台
RPQNMLQKKHOFFAO98CA,1,231.87,停車空間、集合住宅、梯間,鋼筋混凝土造,106年11月17日,四層,一層 二層 三層 四層 陽台 屋簷 見其他登記事項
RPUOMLSKKHOFFAO07CA,21,22.44,住家用,鋼筋混凝土造,87年6月1日,六層,六層 陽台
RPUOMLSKKHOFFAO07CA,21,12.62,共有部分,鋼筋混凝土造,87年6月1日,六層,
RPROMLSKKHOFFAO76CA,3,95.82,集合住宅,鋼筋混凝土造,104年7月20日,十三層,七層 陽台
RPROMLSKKHOFFAO76CA,3,57.23,共有部分,鋼筋混凝土造,104年7月20日,十三層,
RPVNMLMLKHOFFAO56CA,4,52.59,辦公室,鋼筋混凝土造,103年7月8日,九層,二層 陽台 雨遮 見其他登記事項
RPVNMLMLKHOFFAO56CA,4,14.39,共有部分,鋼筋混凝土造,103年7月8日,九層,
RPVNMLMLKHOFFAO56CA,4,29.74,共有部分,鋼筋混凝土造,103年7月8日,九層,
RPROMLPJLHOFFAO66EA,36,288.62,住商用,鋼筋混凝土造,72年1月11日,四層,一層 二層 三層 四層 地下層
RPRNMLMLKHOFFAO78CA,7,58.51,集合住宅,鋼筋混凝土造,100年10月15日,六層,六層 陽台 雨遮 見其他登記事項
